time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,17.05,17.05,17.05,17.05,300,,
2020-01-03,14.92,14.92,14.92,14.92,500,,
2020-01-06,14.92,14.92,14.92,14.92,0,,
2020-01-07,14.92,14.92,14.92,14.92,0,,
2020-01-08,14.92,14.92,14.92,14.92,0,,
2020-01-09,14.92,14.92,14.92,14.92,0,,
2020-01-10,14.92,14.92,14.92,14.92,100,,
2020-01-13,16.75,16.75,16.75,16.75,100,,
2020-01-14,19.25,19.25,19.25,19.25,100,,
2020-01-15,19.25,19.25,19.25,19.25,0,,
2020-01-16,19.25,19.25,19.25,19.25,0,,
2020-01-17,19.25,19.25,19.25,19.25,0,,
2020-01-20,21.32,21.32,21.32,21.32,100,,
2020-01-21,21.32,21.32,21.32,21.32,0,,
2020-01-22,21.32,21.32,21.32,21.32,1,,
2020-01-30,21.32,21.32,21.32,21.32,0,,
2020-01-31,21.32,21.32,21.32,21.32,0,,
2020-02-03,24.48,24.48,24.48,24.48,200,,
2020-02-04,24.48,24.48,24.48,24.48,0,,
2020-02-05,24.48,24.48,24.48,24.48,0,19.018,20.2778
2020-02-06,24.48,24.48,24.48,24.48,0,19.3895,20.678
2020-02-07,28.14,28.14,28.14,28.14,100,20.0505,21.3886
2020-02-10,28.14,28.14,28.14,28.14,0,20.7115,22.0316
2020-02-11,32.34,32.34,32.34,32.34,100,21.5825,23.0134
2020-02-12,32.34,32.34,32.34,32.34,0,22.4535,23.9016
2020-02-13,32.34,32.34,32.34,32.34,0,23.3245,24.7053
2020-02-14,32.34,32.34,32.34,32.34,0,24.1955,25.4324
2020-02-17,32.34,32.34,32.34,32.34,0,24.975,26.0903
2020-02-18,32.34,32.34,32.34,32.34,0,25.6295,26.6855
2020-02-19,32.34,32.34,32.34,32.34,0,26.284,27.224
2020-02-20,32.34,32.34,32.34,32.34,0,26.9385,27.7112
2020-02-21,30.45,37.15,27.53,27.53,300,27.3525,27.694
2020-02-24,31.73,27.53,27.53,27.53,0,27.663,27.6784
2020-02-25,26.98,26.98,26.98,26.98,500,27.946,27.6119
2020-02-26,26.98,26.98,26.98,26.98,0,28.229,27.5517
2020-02-27,22.96,22.96,22.96,22.96,800,28.311,27.1144
2020-02-28,22.72,22.72,22.72,22.72,100,28.381,26.6959
2020-03-02,22.72,22.72,22.72,22.72,0,28.293,26.3172
2020-03-03,22.72,22.72,22.72,22.72,0,28.205,25.9746
2020-03-04,22.72,22.72,22.72,22.72,0,28.117,25.6647
2020-03-05,22.72,22.72,22.72,22.72,0,28.029,25.3842
2020-03-06,22.72,22.72,22.72,22.72,0,27.758,25.1305
2020-03-09,22.72,22.72,22.72,22.72,0,27.487,24.9009
2020-03-10,25.58,25.58,25.58,25.58,200,27.149,24.9656
2020-03-11,25.58,25.58,25.58,25.58,0,26.811,25.0241
2020-03-12,25.58,25.58,25.58,25.58,0,26.473,25.077
2020-03-13,25.58,25.58,25.58,25.58,0,26.135,25.1249
2020-03-16,25.58,25.58,25.58,25.58,0,25.797,25.1683
2020-03-17,25.58,25.58,25.58,25.58,2,25.459,25.2075
2020-03-18,21.74,21.74,21.74,21.74,100,24.929,24.8773
2020-03-19,18.52,18.52,18.52,18.52,100,24.238,24.2718
2020-03-20,15.77,15.77,15.77,15.77,100,23.65,23.4621
2020-03-23,15.77,15.77,15.77,15.77,0,23.062,22.7295
2020-03-24,17.97,17.97,13.52,13.52,1500,22.389,21.8524
2020-03-25,15.23,15.53,13.83,13.83,4800,21.7315,21.0884
2020-03-26,13.7,13.7,13.7,13.7,2900,21.2685,20.3847
2020-03-27,15.23,15.23,15.23,15.23,700,20.894,19.8938
2020-03-30,15.23,15.23,15.23,15.23,0,20.5195,19.4496
2020-03-31,15.23,15.23,15.23,15.23,0,20.145,19.0478
2020-04-01,15.53,15.53,15.53,15.53,900,19.7855,18.7127
2020-04-03,16.14,16.14,16.14,16.14,800,19.4565,18.4677
2020-04-06,16.14,16.14,16.14,16.14,0,19.1275,18.246
2020-04-07,16.14,16.14,16.14,16.14,1700,18.7985,18.0455
2020-04-08,16.14,16.14,16.14,16.14,1200,18.3265,17.864
2020-04-09,16.14,17.42,16.14,17.42,5000,17.9185,17.8217
2020-04-10,16.69,17.42,17.42,17.42,0,17.5105,17.7834
2020-04-13,14.62,14.62,14.62,14.62,1000,16.9625,17.4822
2020-04-14,13.58,13.58,13.09,13.09,2700,16.338,17.0639
2020-04-15,12.79,15.17,12.79,15.17,5400,15.8175,16.8835
2020-04-16,14.86,14.86,14.68,14.68,300,15.4645,16.6736
2020-04-17,16.57,16.57,13.76,13.76,700,15.2265,16.3961
2020-04-20,14.56,13.76,13.76,13.76,0,15.126,16.1451
2020-04-21,15.23,16.32,15.23,16.32,4400,15.1535,16.1617
2020-04-22,16.02,16.38,15.84,15.84,1000,15.2695,16.1311
2020-04-23,16.32,16.32,16.32,16.32,1900,15.394,16.1491
2020-04-24,16.75,18.76,14.62,14.62,4200,15.44,16.0035
2020-04-27,16.69,14.62,14.62,14.62,0,15.4095,15.8717
2020-04-28,14.62,17.66,14.62,17.66,3200,15.531,16.042
2020-04-29,14.68,15.41,14.62,15.41,2900,15.54,15.9818
2020-05-04,16.08,16.14,16.08,16.14,2700,15.5705,15.9969
2020-05-05,16.08,16.08,16.08,16.08,200,15.5675,16.0048
2020-05-06,16.02,16.02,16.02,16.02,200,15.5615,16.0063
2020-05-07,14.92,14.92,14.92,14.92,400,15.5005,15.9028
2020-05-08,14.92,14.92,14.92,14.92,0,15.4395,15.8092
2020-05-11,16.08,17.05,16.08,17.05,700,15.421,15.9274
2020-05-12,16.75,17.05,17.05,17.05,0,15.4025,16.0343
2020-05-13,16.75,17.05,17.05,17.05,0,15.524,16.131
2020-05-14,16.75,17.05,17.05,17.05,0,15.722,16.2185
2020-05-15,16.75,17.05,17.05,17.05,0,15.816,16.2977
2020-05-18,15.23,15.23,14.92,14.98,2300,15.831,16.1722
2020-05-19,15.04,14.98,14.98,14.98,0,15.892,16.0587
2020-05-20,15.04,14.98,14.98,14.98,0,15.953,15.956
2020-05-21,15.77,15.84,15.77,15.84,3200,15.929,15.9449
2020-05-22,15.84,15.84,15.84,15.84,500,15.929,15.9349
2020-05-25,17.14,17.14,17.14,17.14,800,15.97,16.0497
2020-05-26,17.14,17.14,17.14,17.14,0,16.096,16.1535
2020-05-27,17.14,17.14,17.14,17.14,0,16.222,16.2475
2020-05-28,17.14,17.14,17.14,17.14,0,16.196,16.3325
2020-05-29,17.14,17.14,17.14,17.14,0,16.2825,16.4094
2020-06-01,15.99,15.99,15.67,15.8,1200,16.2655,16.3514
2020-06-02,15.8,15.8,15.8,15.8,0,16.2515,16.2988
2020-06-03,15.8,15.8,15.8,15.8,0,16.2405,16.2513
2020-06-04,16.83,16.83,16.83,16.83,1500,16.336,16.3064
2020-06-05,16.83,16.83,16.83,16.83,2200,16.4315,16.3563
2020-06-08,16.83,16.83,16.83,16.83,0,16.4205,16.4014
2020-06-09,16.83,16.83,16.83,16.83,0,16.4095,16.4422
2020-06-10,16.83,16.83,16.83,16.83,0,16.3985,16.4792
2020-06-11,16.83,16.83,16.83,16.83,0,16.3875,16.5126
2020-06-12,16.83,16.83,16.83,16.83,0,16.3765,16.5428
2020-06-15,16.83,16.83,16.83,16.83,0,16.469,16.5702
2020-06-16,16.83,16.83,16.83,16.83,100,16.5615,16.5949
2020-06-17,16.83,16.83,16.83,16.83,0,16.654,16.6173
2020-06-18,16.83,16.83,16.83,16.83,0,16.7035,16.6376
2020-06-19,16.83,16.83,16.83,16.83,0,16.753,16.6559
2020-06-22,16.83,16.83,16.83,16.83,0,16.7375,16.6725
2020-06-23,16.83,16.83,16.83,16.83,0,16.722,16.6875
2020-06-24,16.83,16.83,16.83,16.83,0,16.7065,16.701
2020-06-25,16.83,16.83,16.83,16.83,300,16.691,16.7133
2020-06-26,16.83,16.83,16.83,16.83,0,16.6755,16.7244
2020-06-29,16.83,16.83,16.83,16.83,0,16.727,16.7345
2020-06-30,16.83,16.83,16.83,16.83,0,16.7785,16.7436
2020-07-01,16.83,16.83,16.83,16.83,0,16.83,16.7518
2020-07-02,16.83,16.83,16.83,16.83,0,16.83,16.7593
2020-07-03,16.83,16.83,16.83,16.83,0,16.83,16.766
2020-07-06,16.7,16.7,16.63,16.63,3000,16.82,16.753
2020-07-07,16.7,16.63,16.63,16.63,0,16.81,16.7413
2020-07-08,16.7,16.63,16.63,16.63,0,16.8,16.7307
2020-07-09,16.7,16.63,16.63,16.63,0,16.79,16.7211
2020-07-10,16.7,16.63,16.63,16.63,0,16.78,16.7125
2020-07-13,16.7,16.63,16.63,16.63,0,16.77,16.7046
2020-07-14,16.7,16.63,16.63,16.63,0,16.76,16.6975
2020-07-15,16.7,16.63,16.63,16.63,0,16.75,16.6911
2020-07-16,16.7,16.63,16.63,16.63,0,16.74,16.6853
2020-07-17,16.7,16.63,16.63,16.63,0,16.73,16.68
2020-07-20,17.68,17.68,17.68,17.68,1500,16.7725,16.7752
2020-07-21,17.03,17.03,17.03,17.03,500,16.7825,16.7995
2020-07-22,17.03,17.03,17.03,17.03,0,16.7925,16.8214
2020-07-23,17.03,17.03,17.03,17.03,0,16.8025,16.8413
2020-07-24,16.11,16.11,16.11,16.11,1000,16.7665,16.7717
2020-07-27,16.11,16.11,16.11,16.11,0,16.7305,16.7086
2020-07-28,16.11,16.11,16.11,16.11,0,16.6945,16.6516
2020-07-29,16.11,16.11,16.11,16.11,0,16.6585,16.6
2020-07-30,16.11,16.11,16.11,16.11,1000,16.6225,16.5534
2020-07-31,17.29,17.29,17.29,17.29,1100,16.6455,16.6235
2020-08-03,17.29,17.29,17.29,17.29,0,16.6785,16.687
