time,open,high,low,close,volume,SMA_20,EMA_20
2024-01-11,13.8,13.8,13.8,13.8,474900,,
2024-01-12,15.8,15.8,15.8,15.8,85000,,
2024-01-15,18.1,18.1,18.1,18.1,300,,
2024-01-16,20.8,20.8,20.8,20.8,1048000,,
2024-01-17,23.9,23.9,18.0,20.8,63700,,
2024-01-18,20.0,21.0,20.0,20.0,1040800,,
2024-01-19,20.0,20.5,20.0,20.5,1037700,,
2024-01-22,20.5,20.5,19.5,20.1,180000,,
2024-01-23,20.1,20.3,19.8,20.0,1008500,,
2024-01-24,20.0,20.0,19.8,20.0,1014020,,
2024-01-25,19.8,20.0,19.1,19.9,168200,,
2024-01-26,19.9,20.4,19.9,20.4,1015101,,
2024-01-29,20.3,20.8,19.8,20.0,537300,,
2024-01-30,20.0,20.0,19.7,19.8,276911,,
2024-01-31,19.8,19.8,19.5,19.7,760102,,
2024-02-01,19.7,19.7,19.5,19.5,1174800,,
2024-02-02,19.5,19.7,18.2,19.7,1312111,,
2024-02-05,18.9,18.9,18.9,18.9,1010,,
2024-02-06,18.5,18.8,18.2,18.3,118100,,
2024-02-07,18.3,18.4,17.5,17.5,113300,19.18,18.4853
2024-02-15,18.0,18.0,17.9,18.0,97800,19.39,18.4391
2024-02-16,17.8,17.9,17.8,17.9,100301,19.495,18.3878
2024-02-19,17.8,17.8,17.6,17.7,100308,19.475,18.3223
2024-02-20,17.6,17.6,17.0,17.4,103110,19.305,18.2344
2024-02-21,17.5,17.5,17.3,17.4,560800,19.135,18.155
2024-02-22,17.5,18.0,17.5,17.9,2001000,19.03,18.1307
2024-02-23,17.5,17.6,17.5,17.6,105700,18.885,18.0801
2024-02-26,17.6,17.9,17.6,17.6,3200701,18.76,18.0344
2024-02-27,17.6,17.6,17.0,17.4,1040700,18.63,17.974
2024-02-28,17.6,17.6,17.0,17.0,580707,18.48,17.8812
2024-02-29,17.5,17.5,17.4,17.4,76000,18.355,17.8354
2024-03-01,17.5,17.5,16.8,17.3,137700,18.2,17.7844
2024-03-04,17.4,17.4,17.0,17.3,126201,18.065,17.7383
2024-03-05,17.0,17.0,16.8,17.0,151000,17.925,17.668
2024-03-06,16.9,16.9,16.9,16.9,110301,17.785,17.5948
2024-03-07,16.9,17.0,16.9,17.0,143300,17.66,17.5382
2024-03-08,16.9,16.9,16.3,16.9,133200,17.52,17.4774
2024-03-11,16.9,16.9,16.8,16.9,129601,17.42,17.4224
2024-03-12,17.0,17.0,16.8,16.8,230401,17.345,17.3631
