time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,24.42,24.42,24.42,24.42,20,,
2020-01-03,24.42,24.64,24.42,24.64,30,,
2020-01-06,24.42,24.64,24.42,24.64,30,,
2020-01-07,23.22,26.08,23.22,26.08,210,,
2020-01-08,26.08,26.08,26.08,26.08,0,,
2020-01-09,26.08,26.08,26.08,26.08,0,,
2020-01-10,26.77,26.77,26.77,26.77,10,,
2020-01-13,24.93,24.93,24.93,24.93,200,,
2020-01-14,24.93,24.93,24.93,24.93,0,,
2020-01-15,24.06,24.06,24.06,24.06,10,,
2020-01-16,24.06,24.06,24.06,24.06,300,,
2020-01-17,22.46,22.46,22.46,22.46,40,,
2020-01-20,22.46,22.46,22.46,22.46,0,,
2020-01-21,22.46,22.46,22.46,22.46,200,,
2020-01-22,24.02,24.02,24.02,24.02,10,,
2020-01-30,22.57,25.0,22.57,25.0,70,,
2020-01-31,24.06,26.66,24.06,26.66,110,,
2020-02-03,26.66,26.66,26.66,26.66,0,,
2020-02-04,24.82,26.63,24.82,26.63,30,,
2020-02-05,24.78,26.45,24.78,26.45,20,24.9745,25.05
2020-02-06,26.45,26.45,26.45,26.45,0,25.076,25.1833
2020-02-07,24.71,26.66,24.71,26.52,150,25.17,25.3106
2020-02-10,26.52,26.52,26.52,26.52,0,25.264,25.4258
2020-02-11,24.67,24.67,24.67,24.67,10,25.1935,25.3538
2020-02-12,23.33,26.37,23.33,26.37,2020,25.208,25.4506
2020-02-13,26.66,26.66,25.0,26.45,430,25.2265,25.5458
2020-02-14,24.71,26.45,24.71,26.45,20,25.2105,25.6319
2020-02-17,24.64,24.71,24.64,24.64,270,25.196,25.5374
2020-02-18,24.64,25.36,23.69,23.69,80,25.134,25.3615
2020-02-19,23.73,23.73,23.73,23.73,10,25.1175,25.2061
2020-02-20,23.73,23.98,23.73,23.98,580,25.1135,25.0893
2020-02-21,23.98,23.98,23.91,23.98,1270,25.1895,24.9837
2020-02-24,25.51,25.51,24.27,24.27,20,25.28,24.9157
2020-02-25,22.75,24.27,22.75,24.27,110,25.3705,24.8542
2020-02-26,23.91,23.91,23.19,23.19,30,25.329,24.6957
2020-02-27,24.2,24.2,23.22,23.22,20,25.24,24.5552
2020-02-28,23.22,23.22,23.19,23.19,260,25.0665,24.4252
2020-03-02,23.91,23.91,23.91,23.91,10,24.929,24.3761
2020-03-03,22.82,22.82,22.82,22.82,10,24.7385,24.2279
2020-03-04,22.82,23.19,22.82,23.19,510,24.5755,24.129
2020-03-05,24.35,24.35,24.35,24.35,10,24.4705,24.1501
2020-03-06,24.38,24.38,24.35,24.35,20,24.362,24.1691
2020-03-09,24.35,24.42,23.19,24.42,3390,24.257,24.193
2020-03-10,24.42,24.42,24.42,24.42,0,24.2445,24.2146
2020-03-11,24.42,25.36,24.42,25.36,5560,24.194,24.3237
2020-03-12,25.36,25.36,23.59,23.62,4700,24.0525,24.2567
