time,open,high,low,close,volume,SMA_20,EMA_20
2023-05-30,22.2,22.2,10.0,13.6,768400,,
2023-05-31,13.8,13.9,12.4,12.6,297400,,
2023-06-01,12.6,12.7,10.9,11.6,587300,,
2023-06-02,11.3,12.7,11.3,12.1,182337,,
2023-06-05,12.1,12.9,12.0,12.3,330000,,
2023-06-06,12.3,12.4,11.9,12.3,241500,,
2023-06-07,12.3,12.3,12.0,12.1,201100,,
2023-06-08,12.0,12.1,11.7,11.7,225400,,
2023-06-09,11.9,11.9,11.5,11.9,105200,,
2023-06-12,11.7,11.9,11.6,11.9,94500,,
2023-06-13,11.9,12.1,11.7,12.1,180805,,
2023-06-14,12.0,12.2,11.9,12.0,173100,,
2023-06-15,12.0,12.0,11.8,11.9,53500,,
2023-06-16,12.0,12.2,11.8,11.9,309200,,
2023-06-19,11.9,11.9,11.7,11.8,49900,,
2023-06-20,11.9,11.9,11.6,11.8,56860,,
2023-06-21,11.9,11.9,11.7,11.9,176339,,
2023-06-22,11.9,12.9,11.9,12.7,486900,,
2023-06-23,12.8,12.8,12.4,12.6,125200,,
2023-06-26,12.5,12.5,11.9,12.2,244100,12.15,12.3319
2023-06-27,12.1,12.6,12.0,12.4,184911,12.09,12.3384
2023-06-28,12.3,12.6,12.2,12.2,202200,12.07,12.3252
2023-06-29,12.3,12.4,11.7,11.7,253712,12.075,12.2657
2023-06-30,11.9,11.9,11.7,11.9,88700,12.065,12.2309
2023-07-03,11.8,11.9,11.7,11.8,86050,12.04,12.1898
2023-07-04,11.7,12.0,11.6,11.9,190900,12.02,12.1622
2023-07-05,11.8,12.0,11.7,11.8,120316,12.005,12.1277
2023-07-06,11.9,11.9,11.5,11.8,111300,12.01,12.0965
2023-07-07,11.7,11.7,11.6,11.7,50208,12.0,12.0588
2023-07-10,11.8,11.8,11.6,11.7,112500,11.99,12.0246
2023-07-11,11.6,11.7,10.0,11.6,173402,11.965,11.9841
2023-07-12,11.6,11.8,11.6,11.7,122937,11.95,11.9571
2023-07-13,11.6,11.8,11.6,11.7,105600,11.94,11.9326
2023-07-14,11.7,11.7,11.6,11.7,93407,11.93,11.9105
2023-07-17,11.7,11.8,11.6,11.6,126302,11.92,11.8809
2023-07-18,11.6,12.1,11.6,11.9,252505,11.925,11.8827
2023-07-19,12.0,12.0,11.7,11.8,164401,11.92,11.8748
2023-07-20,11.7,11.8,11.6,11.8,111204,11.875,11.8677
2023-07-21,11.7,11.8,11.6,11.7,61601,11.83,11.8517
2023-07-24,11.7,12.4,11.7,12.2,602740,11.83,11.8849
2023-07-25,12.2,12.4,12.0,12.0,283500,11.81,11.8959
2023-07-26,12.0,12.0,11.7,11.9,228000,11.795,11.8963
2023-07-27,11.9,11.9,11.6,11.8,180200,11.8,11.8871
2023-07-28,11.7,11.9,11.6,11.8,211605,11.795,11.8788
2023-07-31,11.7,11.9,11.6,11.7,147301,11.79,11.8618
2023-08-01,11.7,11.9,11.6,11.7,276002,11.78,11.8464
2023-08-02,11.7,11.8,11.6,11.8,113700,11.78,11.8419
2023-08-03,11.8,12.3,11.8,11.9,506200,11.785,11.8475
2023-08-04,12.0,12.0,11.7,11.9,207100,11.795,11.8525
2023-08-07,12.0,13.6,12.0,13.6,1228309,11.89,12.0189
2023-08-08,14.4,14.8,13.5,14.8,1054755,12.05,12.2838
2023-08-09,15.0,15.3,13.8,14.3,719530,12.18,12.4758
2023-08-10,14.0,14.4,13.5,13.6,577546,12.275,12.5829
2023-08-11,13.8,14.8,13.4,14.0,640367,12.39,12.7178
2023-08-14,14.3,14.7,14.1,14.4,366727,12.53,12.878
2023-08-15,14.4,14.5,13.8,13.9,260703,12.63,12.9754
2023-08-16,13.9,14.3,13.6,14.0,343808,12.74,13.0729
2023-08-17,13.9,15.2,13.9,14.4,682546,12.87,13.1993
2023-08-18,14.1,14.4,12.7,13.0,557120,12.935,13.1804
2023-08-21,13.6,13.7,13.0,13.3,391291,12.99,13.1917
2023-08-22,13.4,13.6,12.5,13.5,383116,13.065,13.2211
2023-08-23,13.5,13.8,13.2,13.3,235600,13.135,13.2286
2023-08-24,13.4,13.8,13.1,13.8,402172,13.235,13.283
2023-08-25,13.8,14.3,13.6,13.7,317701,13.33,13.3227
2023-08-28,13.7,13.9,13.5,13.9,236193,13.44,13.3777
2023-08-29,14.1,14.2,13.6,13.8,183900,13.545,13.4179
2023-08-30,13.8,14.8,13.5,14.5,756900,13.68,13.521
2023-08-31,14.1,14.8,14.1,14.7,348452,13.82,13.6333
2023-09-05,15.0,15.1,14.4,14.5,239333,13.95,13.7158
2023-09-06,14.6,16.7,14.6,16.5,6035475,14.095,13.981
2023-09-07,16.5,16.9,15.9,16.4,411163,14.175,14.2114
2023-09-08,16.4,16.4,15.7,15.9,2391361,14.255,14.3722
2023-09-11,16.0,16.1,15.1,15.2,1437100,14.335,14.451
2023-09-12,15.5,16.1,15.1,16.1,1443505,14.44,14.6081
2023-09-13,16.0,16.2,15.3,15.6,1031040,14.5,14.7025
2023-09-14,15.3,15.6,14.3,14.9,1223300,14.55,14.7213
