time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,45.51,45.51,44.42,44.96,105912,,
2020-01-03,44.66,45.14,44.35,45.08,18800,,
2020-01-06,44.42,45.33,44.42,44.9,29100,,
2020-01-07,45.27,45.33,44.54,44.96,15462,,
2020-01-08,44.42,44.84,44.35,44.66,14713,,
2020-01-09,44.35,44.48,44.11,44.48,50234,,
2020-01-10,43.2,44.29,42.96,44.29,71775,,
2020-01-13,43.2,43.75,43.02,43.75,66965,,
2020-01-14,43.69,43.69,43.14,43.26,20770,,
2020-01-15,43.2,43.44,43.02,43.2,41001,,
2020-01-16,43.02,43.14,42.17,43.14,106318,,
2020-01-17,42.41,42.53,42.35,42.53,7900,,
2020-01-20,42.41,43.08,42.23,43.08,29490,,
2020-01-21,42.53,42.53,41.32,42.47,80810,,
2020-01-22,41.86,41.92,41.01,41.92,61020,,
2020-01-30,41.86,42.53,37.67,39.13,216900,,
2020-01-31,39.25,39.98,37.98,39.25,113027,,
2020-02-03,37.67,37.67,34.03,35.67,99773,,
2020-02-04,35.67,35.67,30.68,33.42,234395,,
2020-02-05,33.72,35.85,33.72,35.85,449690,42.0,40.8458
2020-02-06,36.03,37.12,35.42,35.85,307002,41.5445,40.37
2020-02-07,36.09,36.09,35.54,35.85,92200,41.083,39.9395
2020-02-10,35.85,35.85,34.63,34.63,93422,40.5695,39.4339
2020-02-11,35.18,35.42,35.12,35.24,211200,40.0835,39.0345
2020-02-12,35.24,36.7,35.24,36.4,115930,39.6705,38.7836
2020-02-13,36.46,36.46,36.21,36.4,73133,39.2665,38.5566
2020-02-14,36.15,36.64,35.85,36.46,89080,38.875,38.3569
2020-02-17,36.46,36.52,35.97,36.46,41506,38.5105,38.1762
2020-02-18,36.46,36.46,36.21,36.33,79814,38.164,38.0004
2020-02-19,36.4,36.4,35.97,36.21,65120,37.8145,37.8299
2020-02-20,36.15,36.76,36.15,36.46,196950,37.4805,37.6994
2020-02-21,36.7,36.7,35.97,36.46,101193,37.177,37.5814
2020-02-24,35.97,35.97,32.87,33.17,187635,36.6815,37.1612
2020-02-25,32.81,33.17,30.44,32.75,256310,36.1955,36.7411
2020-02-26,32.99,32.99,30.99,31.96,285710,35.6975,36.2858
2020-02-27,32.02,32.2,31.84,31.84,94100,35.333,35.8624
2020-02-28,31.9,31.9,30.87,31.17,87687,34.929,35.4155
2020-03-02,30.99,32.81,30.44,32.2,201970,34.7555,35.1092
2020-03-03,32.81,34.94,32.81,34.63,135930,34.816,35.0636
2020-03-04,34.63,35.91,34.21,35.42,141109,34.7945,35.0975
2020-03-05,35.85,37.98,35.85,37.06,194917,34.855,35.2844
2020-03-06,37.06,37.31,35.85,37.19,219526,34.922,35.4659
2020-03-09,35.85,36.46,33.24,34.27,163979,34.904,35.352
2020-03-10,33.42,35.0,33.42,34.82,144656,34.883,35.3014
2020-03-11,35.18,36.09,34.57,35.18,249122,34.822,35.2898
2020-03-12,34.03,34.63,33.42,33.78,219355,34.691,35.146
2020-03-13,33.42,33.42,30.81,30.99,346572,34.4175,34.7502
2020-03-16,31.6,34.94,29.59,29.77,172010,34.083,34.2759
2020-03-17,29.77,33.42,28.86,32.75,141120,33.904,34.1306
2020-03-18,31.6,32.2,30.56,30.68,87500,33.6275,33.8019
2020-03-19,30.99,30.99,29.23,29.47,148308,33.278,33.3894
2020-03-20,30.14,30.14,29.16,29.65,108521,32.9375,33.0332
2020-03-23,29.65,29.65,26.13,26.37,129224,32.5975,32.3987
2020-03-24,26.31,27.28,26.13,27.22,65350,32.321,31.9054
2020-03-25,28.5,28.5,27.52,28.44,125617,32.145,31.5754
2020-03-26,28.44,28.44,26.92,26.92,131600,31.899,31.132
2020-03-27,27.34,27.77,26.73,26.73,146417,31.677,30.7128
2020-03-30,26.73,26.73,25.4,25.88,162448,31.361,30.2525
2020-03-31,25.88,26.67,25.4,25.64,170345,30.9115,29.8132
2020-04-01,25.64,27.34,25.52,26.73,47340,30.477,29.5196
2020-04-03,26.73,27.65,26.73,27.28,251852,29.988,29.3063
2020-04-06,29.16,30.38,27.65,29.47,587922,29.602,29.3219
2020-04-07,30.08,30.08,29.16,29.47,194188,29.362,29.336
