time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,7.83,7.83,7.83,7.83,0,,
2020-01-03,7.83,7.83,7.83,7.83,0,,
2020-01-06,7.83,7.83,7.83,7.83,0,,
2020-01-07,7.83,7.83,7.83,7.83,0,,
2020-01-08,7.83,7.83,7.83,7.83,0,,
2020-01-09,7.83,7.83,7.83,7.83,0,,
2020-01-10,7.83,7.83,7.83,7.83,0,,
2020-01-13,7.83,7.83,7.83,7.83,0,,
2020-01-14,7.83,7.83,7.83,7.83,0,,
2020-01-15,7.83,7.83,7.83,7.83,1,,
2020-01-16,7.83,7.83,7.83,7.83,0,,
2020-01-17,7.83,7.83,7.83,7.83,0,,
2020-01-20,7.83,7.83,7.83,7.83,0,,
2020-01-21,7.83,7.83,7.83,7.83,0,,
2020-01-22,7.83,7.83,7.83,7.83,0,,
2020-01-30,7.83,7.83,7.83,7.83,0,,
2020-01-31,7.83,7.83,7.83,7.83,0,,
2020-02-03,7.83,7.83,7.83,7.83,0,,
2020-02-04,7.83,7.83,7.83,7.83,0,,
2020-02-05,7.83,7.83,7.83,7.83,0,7.83,7.83
2020-02-06,7.83,7.83,7.83,7.83,0,7.83,7.83
2020-02-07,7.83,7.83,7.83,7.83,0,7.83,7.83
2020-02-10,7.83,7.83,7.83,7.83,0,7.83,7.83
2020-02-11,7.83,7.83,7.83,7.83,0,7.83,7.83
2020-02-12,7.83,7.83,7.83,7.83,0,7.83,7.83
2020-02-13,7.83,7.83,7.83,7.83,0,7.83,7.83
2020-02-14,7.83,7.83,7.83,7.83,0,7.83,7.83
2020-02-17,7.83,7.83,7.83,7.83,0,7.83,7.83
2020-02-18,7.83,7.83,7.83,7.83,0,7.83,7.83
2020-02-19,7.83,7.83,7.83,7.83,0,7.83,7.83
2020-02-20,7.83,7.83,7.83,7.83,0,7.83,7.83
2020-02-21,7.83,7.83,7.83,7.83,0,7.83,7.83
2020-02-24,7.83,7.83,7.83,7.83,0,7.83,7.83
2020-02-25,7.83,7.83,7.83,7.83,0,7.83,7.83
2020-02-26,7.12,7.12,7.12,7.12,5000,7.7945,7.7624
2020-02-27,7.12,7.12,7.12,7.12,8,7.759,7.7012
2020-02-28,7.12,7.12,7.12,7.12,0,7.7235,7.6458
2020-03-02,7.12,7.12,7.12,7.12,4000,7.688,7.5958
2020-03-03,7.83,7.83,7.12,7.12,617,7.6525,7.5505
2020-03-04,7.12,7.12,7.12,7.12,0,7.617,7.5095
2020-03-05,7.83,7.83,7.83,7.83,1200,7.617,7.54
2020-03-06,8.47,8.47,8.25,8.25,300,7.638,7.6076
2020-03-09,8.47,8.47,8.25,8.25,5500,7.659,7.6688
2020-03-10,8.25,8.25,8.25,8.25,0,7.68,7.7241
2020-03-11,8.75,8.75,8.25,8.25,318,7.701,7.7742
2020-03-12,8.25,8.25,8.25,8.25,0,7.722,7.8195
2020-03-13,8.25,8.75,8.25,8.75,1100,7.768,7.9082
2020-03-16,7.97,9.04,7.97,8.75,1000,7.814,7.9883
2020-03-17,8.75,8.75,8.75,8.75,0,7.86,8.0609
2020-03-18,8.75,8.75,8.75,8.75,0,7.906,8.1265
2020-03-19,7.9,8.9,7.9,8.9,200,7.9595,8.2002
2020-03-20,8.9,8.9,8.9,8.9,0,8.013,8.2668
2020-03-23,8.9,8.9,8.9,8.9,0,8.0665,8.3271
2020-03-24,8.9,8.9,8.9,8.9,0,8.12,8.3817
2020-03-25,8.9,8.9,8.9,8.9,0,8.209,8.431
2020-03-26,8.9,8.9,8.9,8.9,0,8.298,8.4757
2020-03-27,8.9,8.9,8.9,8.9,0,8.387,8.5161
2020-03-30,8.9,8.9,8.9,8.9,0,8.476,8.5527
2020-03-31,8.9,8.9,8.9,8.9,0,8.565,8.5858
2020-04-01,8.9,8.9,8.9,8.9,0,8.654,8.6157
2020-04-03,8.04,8.04,8.04,8.04,100,8.6645,8.5609
2020-04-06,8.04,8.04,8.04,8.04,0,8.654,8.5113
2020-04-07,7.47,7.47,7.47,7.47,1587,8.615,8.4121
2020-04-08,7.47,7.47,7.47,7.47,0,8.576,8.3224
2020-04-09,7.26,8.11,7.26,8.11,200,8.569,8.3021
2020-04-10,8.11,8.11,8.11,8.11,0,8.562,8.2838
2020-04-13,8.11,8.11,8.11,8.11,0,8.53,8.2673
2020-04-14,7.54,8.47,7.54,8.47,5800,8.516,8.2866
2020-04-15,7.69,7.69,7.69,7.69,100,8.463,8.2298
2020-04-16,7.69,7.69,7.69,7.69,0,8.41,8.1784
2020-04-17,7.69,7.69,7.69,7.69,0,8.3495,8.1319
2020-04-20,7.33,8.33,7.33,8.33,200,8.321,8.1507
2020-04-21,7.54,7.54,7.54,7.54,100,8.253,8.0926
2020-04-22,8.18,8.18,8.18,8.18,6400,8.217,8.1009
2020-04-23,8.18,8.18,8.18,8.18,0,8.181,8.1084
2020-04-24,8.18,8.82,8.18,8.75,2700,8.1735,8.1695
2020-04-27,8.75,8.75,8.75,8.75,0,8.166,8.2248
2020-04-28,8.75,8.75,8.75,8.75,0,8.1585,8.2748
2020-04-29,7.9,8.82,7.9,8.82,5600,8.1545,8.3267
2020-05-04,8.82,8.82,8.82,8.82,0,8.1505,8.3737
2020-05-05,8.82,8.82,8.82,8.82,0,8.1895,8.4162
2020-05-06,9.39,9.39,9.39,9.39,5407,8.257,8.509
2020-05-07,9.39,9.39,9.39,9.39,0,8.353,8.5929
2020-05-08,8.47,9.32,8.47,9.32,200,8.4455,8.6621
2020-05-11,8.4,8.4,8.4,8.4,5400,8.46,8.6372
2020-05-12,8.4,8.4,8.4,8.4,0,8.4745,8.6146
2020-05-13,9.18,9.18,9.18,9.18,106,8.528,8.6684
2020-05-14,9.18,9.18,9.18,9.18,0,8.5635,8.7171
2020-05-15,9.32,9.32,9.25,9.25,5900,8.6415,8.7679
2020-05-18,9.25,9.25,9.25,9.25,0,8.7195,8.8138
2020-05-19,9.25,9.25,9.25,9.25,0,8.7975,8.8554
2020-05-20,8.33,8.33,8.33,8.33,100,8.7975,8.8053
2020-05-21,8.47,8.47,8.47,8.47,5600,8.844,8.7734
2020-05-22,8.47,8.47,8.47,8.47,0,8.8585,8.7445
2020-05-25,8.47,8.47,8.47,8.47,0,8.873,8.7183
2020-05-26,8.47,8.47,8.47,8.47,100,8.859,8.6947
2020-05-27,8.47,8.47,8.47,8.47,0,8.845,8.6733
2020-05-28,8.47,8.47,8.47,8.47,0,8.831,8.6539
2020-05-29,9.18,9.18,9.18,9.18,5700,8.849,8.704
2020-06-01,9.18,9.18,9.18,9.18,0,8.867,8.7494
2020-06-02,9.18,9.18,9.18,9.18,0,8.885,8.7904
2020-06-03,9.18,9.18,9.18,9.18,0,8.8745,8.8275
2020-06-04,9.18,9.18,9.18,9.18,0,8.864,8.8611
2020-06-05,9.18,9.18,9.18,9.18,0,8.857,8.8914
2020-06-08,9.18,9.18,9.18,9.18,0,8.896,8.9189
2020-06-09,8.33,9.18,8.33,9.18,5600,8.935,8.9438
2020-06-10,9.18,9.18,9.18,9.18,0,8.935,8.9663
2020-06-11,9.18,9.18,9.18,9.18,0,8.935,8.9866
2020-06-12,9.18,9.18,9.18,9.18,0,8.9315,9.005
2020-06-15,9.18,9.18,9.18,9.18,0,8.928,9.0217
2020-06-16,9.18,9.18,9.18,9.18,0,8.9245,9.0368
2020-06-17,9.18,9.18,9.18,9.18,0,8.967,9.0504
2020-06-18,9.18,9.18,9.18,9.18,0,9.0025,9.0628
2020-06-19,9.18,9.18,9.18,9.18,0,9.038,9.0739
2020-06-22,9.11,9.11,9.11,9.11,5600,9.07,9.0774
2020-06-23,9.11,9.11,9.11,9.11,0,9.102,9.0805
2020-06-24,9.11,9.11,9.11,9.11,0,9.134,9.0833
2020-06-25,9.11,9.11,9.11,9.11,0,9.166,9.0858
2020-06-26,9.11,9.11,9.11,9.11,0,9.1625,9.0881
2020-06-29,9.11,9.11,9.11,9.11,0,9.159,9.0902
2020-06-30,9.11,9.11,9.11,9.11,0,9.1555,9.0921
2020-07-01,9.11,9.11,9.11,9.11,0,9.152,9.0938
2020-07-02,9.11,9.11,9.11,9.11,0,9.1485,9.0953
2020-07-03,8.25,8.9,8.25,8.9,5606,9.1345,9.0767
2020-07-06,8.04,8.04,8.04,8.04,100,9.0775,8.978
2020-07-07,8.04,8.04,8.04,8.04,5000,9.0205,8.8887
2020-07-08,8.04,8.04,8.04,8.04,0,8.9635,8.8078
2020-07-09,8.04,8.04,8.04,8.04,0,8.9065,8.7347
2020-07-10,8.04,8.04,8.04,8.04,0,8.8495,8.6686
2020-07-13,8.04,8.04,8.04,8.04,0,8.7925,8.6087
2020-07-14,8.04,8.04,8.04,8.04,0,8.7355,8.5545
2020-07-15,8.04,8.04,8.04,8.04,0,8.6785,8.5055
2020-07-16,8.04,8.04,8.04,8.04,0,8.6215,8.4612
2020-07-17,8.04,8.04,8.04,8.04,0,8.5645,8.4211
2020-07-20,8.82,8.82,8.82,8.82,5600,8.55,8.4591
2020-07-21,8.82,8.82,8.82,8.82,0,8.5355,8.4934
2020-07-22,8.82,8.82,8.82,8.82,0,8.521,8.5245
2020-07-23,7.97,8.82,7.97,8.82,5600,8.5065,8.5527
2020-07-24,8.82,8.82,8.82,8.82,0,8.492,8.5781
2020-07-27,8.82,8.82,8.82,8.82,0,8.4775,8.6012
2020-07-28,9.11,9.11,9.11,9.11,5600,8.4775,8.6496
2020-07-29,9.11,9.11,9.11,9.11,0,8.4775,8.6935
2020-07-30,9.11,9.11,9.11,9.11,0,8.4775,8.7331
2020-07-31,9.11,9.11,9.11,9.11,0,8.488,8.769
2020-08-03,9.11,9.11,9.11,9.11,0,8.5415,8.8015
2020-08-04,9.11,9.11,9.11,9.11,0,8.595,8.8309
2020-08-05,9.11,9.11,9.11,9.11,0,8.6485,8.8575
2020-08-06,9.11,9.11,9.11,9.11,0,8.702,8.8815
2020-08-07,8.25,8.25,8.25,8.25,2700,8.7125,8.8214
2020-08-10,8.25,8.25,8.25,8.25,0,8.723,8.767
2020-08-11,8.25,8.25,8.25,8.25,9,8.7335,8.7177
2020-08-12,8.25,8.25,8.25,8.25,0,8.744,8.6732
2020-08-13,8.25,8.25,8.25,8.25,0,8.7545,8.6329
2020-08-14,8.25,8.25,7.69,7.69,2600,8.737,8.5431
2020-08-17,7.69,7.69,7.69,7.69,0,8.6805,8.4618
2020-08-18,7.69,7.69,7.69,7.69,0,8.624,8.3883
2020-08-19,7.69,7.69,7.69,7.69,300,8.5675,8.3218
2020-08-20,7.69,7.69,7.69,7.69,0,8.511,8.2616
2020-08-21,7.69,7.69,7.69,7.69,99,8.4545,8.2072
2020-08-24,7.69,7.69,7.69,7.69,0,8.398,8.1579
2020-08-25,8.4,8.4,8.4,8.4,302,8.3625,8.181
2020-08-26,8.4,8.4,8.4,8.4,0,8.327,8.2019
2020-08-27,8.4,8.4,8.4,8.4,0,8.2915,8.2207
2020-08-28,8.4,8.4,8.4,8.4,0,8.256,8.2378
2020-08-31,8.47,8.47,8.47,8.47,200,8.224,8.2599
2020-09-01,8.47,8.47,8.47,8.47,0,8.192,8.2799
2020-09-03,8.47,8.47,8.47,8.47,0,8.16,8.298
2020-09-04,8.47,8.47,8.47,8.47,0,8.128,8.3144
2020-09-07,8.9,8.9,8.9,8.9,100,8.1605,8.3702
2020-09-08,8.9,8.9,8.9,8.9,500,8.193,8.4206
2020-09-09,8.9,8.9,8.9,8.9,0,8.2255,8.4663
2020-09-10,8.9,8.9,8.9,8.9,0,8.258,8.5076
2020-09-11,8.9,8.9,8.9,8.9,0,8.2905,8.545
2020-09-14,9.59,9.59,9.59,9.59,0,8.3855,8.6445
2020-09-15,9.59,9.59,9.59,9.59,0,8.4805,8.7345
2020-09-16,9.59,9.59,9.59,9.59,13,8.5755,8.816
2020-09-17,9.59,9.59,9.59,9.59,0,8.6705,8.8897
2020-09-18,8.13,8.13,8.13,8.13,624,8.6925,8.8174
2020-09-21,8.13,8.13,8.13,8.13,0,8.7145,8.7519
2020-09-22,8.13,8.13,8.13,8.13,17,8.7365,8.6927
2020-09-23,8.13,8.13,8.13,8.13,0,8.723,8.6391
2020-09-24,8.9,8.9,8.9,8.9,300,8.748,8.6639
2020-09-25,8.9,8.9,8.9,8.9,0,8.773,8.6864
2020-09-28,8.9,8.9,8.9,8.9,0,8.798,8.7068
2020-09-29,8.9,8.9,8.9,8.9,0,8.8195,8.7252
2020-09-30,8.9,8.9,8.9,8.9,0,8.841,8.7418
2020-10-01,8.9,8.9,8.9,8.9,0,8.8625,8.7569
2020-10-02,8.9,8.9,8.9,8.9,13,8.884,8.7705
2020-10-05,8.9,8.9,8.9,8.9,0,8.884,8.7828
2020-10-06,8.9,8.9,8.9,8.9,0,8.884,8.794
2020-10-07,8.9,8.9,8.9,8.9,0,8.884,8.8041
2020-10-08,8.9,8.9,8.9,8.9,0,8.884,8.8132
2020-10-09,8.9,8.9,8.9,8.9,0,8.884,8.8215
2020-10-12,8.9,8.9,8.9,8.9,0,8.8495,8.829
2020-10-13,8.9,8.9,8.9,8.9,0,8.815,8.8357
2020-10-14,8.9,8.9,8.9,8.9,0,8.7805,8.8419
2020-10-15,8.9,8.9,8.9,8.9,0,8.746,8.8474
2020-10-16,9.59,9.59,9.59,9.59,100,8.819,8.9181
2020-10-19,9.59,9.59,9.59,9.59,0,8.892,8.9821
2020-10-20,9.59,9.59,9.59,9.59,0,8.965,9.04
2020-10-21,9.59,9.59,9.59,9.59,0,9.038,9.0924
2020-10-22,9.59,9.59,9.59,9.59,0,9.0725,9.1398
2020-10-23,9.59,9.59,9.59,9.59,0,9.107,9.1827
2020-10-26,9.59,9.59,9.59,9.59,0,9.1415,9.2214
2020-10-27,9.59,9.59,9.59,9.59,0,9.176,9.2565
2020-10-28,9.59,9.59,9.59,9.59,0,9.2105,9.2883
2020-10-29,9.59,9.59,9.59,9.59,0,9.245,9.317
2020-10-30,9.59,9.59,9.59,9.59,0,9.2795,9.343
2020-11-02,9.59,9.59,9.59,9.59,0,9.314,9.3666
2020-11-03,9.59,9.59,9.59,9.59,0,9.3485,9.3878
2020-11-04,9.59,9.59,9.59,9.59,0,9.383,9.4071
2020-11-05,9.59,9.59,9.59,9.59,0,9.4175,9.4245
2020-11-06,9.59,9.59,9.59,9.59,0,9.452,9.4403
2020-11-09,9.59,9.59,9.59,9.59,0,9.4865,9.4545
2020-11-10,9.59,9.59,9.59,9.59,0,9.521,9.4674
2020-11-11,9.59,9.59,9.59,9.59,0,9.5555,9.4791
2020-11-12,9.59,9.59,9.59,9.59,0,9.59,9.4897
2020-11-13,9.59,9.59,9.59,9.59,0,9.59,9.4992
2020-11-16,9.59,9.59,9.59,9.59,0,9.59,9.5079
2020-11-17,9.05,9.05,8.97,8.97,2400,9.559,9.4566
2020-11-18,8.97,8.97,8.97,8.97,0,9.528,9.4103
2020-11-19,8.97,8.97,8.97,8.97,0,9.497,9.3684
2020-11-20,8.59,8.59,8.43,8.43,282800,9.439,9.279
2020-11-23,8.43,8.43,8.43,8.43,0,9.381,9.1981
2020-11-24,8.43,8.43,8.43,8.43,0,9.323,9.125
2020-11-25,8.43,8.43,8.43,8.43,0,9.265,9.0588
2020-11-26,8.43,8.43,8.43,8.43,0,9.207,8.9989
2020-11-27,8.43,8.43,8.43,8.43,0,9.149,8.9447
2020-11-30,8.43,8.43,8.43,8.43,0,9.091,8.8957
2020-12-01,8.43,8.43,8.43,8.43,0,9.033,8.8514
2020-12-02,8.43,8.43,8.43,8.43,0,8.975,8.8112
2020-12-03,8.43,8.43,8.43,8.43,0,8.917,8.7749
2020-12-04,8.43,8.43,8.43,8.43,0,8.859,8.7421
2020-12-07,8.43,8.43,8.43,8.43,0,8.801,8.7123
2020-12-08,8.43,8.43,8.43,8.43,0,8.743,8.6855
2020-12-09,8.43,8.43,8.43,8.43,0,8.685,8.6611
2020-12-10,8.43,8.43,8.43,8.43,0,8.627,8.6391
2020-12-11,8.43,8.43,8.43,8.43,0,8.569,8.6192
2020-12-14,8.43,8.43,8.43,8.43,0,8.511,8.6012
2020-12-15,9.28,9.28,8.51,8.51,5700,8.488,8.5925
2020-12-16,8.51,8.51,8.51,8.51,0,8.465,8.5846
2020-12-17,8.51,8.51,8.51,8.51,0,8.442,8.5775
2020-12-18,8.51,8.51,8.51,8.51,0,8.446,8.5711
2020-12-21,8.51,8.51,8.51,8.51,0,8.45,8.5653
2020-12-22,8.51,8.51,8.51,8.51,0,8.454,8.56
2020-12-23,7.82,7.82,7.82,7.82,100,8.4235,8.4895
2020-12-24,7.82,7.82,7.82,7.82,0,8.393,8.4258
2020-12-25,7.82,7.82,7.82,7.82,0,8.3625,8.3681
2020-12-28,7.82,7.82,7.82,7.82,34,8.332,8.3159
2020-12-29,7.9,7.9,7.9,7.9,7500,8.3055,8.2763
2020-12-30,7.9,7.9,7.9,7.9,11,8.279,8.2404
2020-12-31,8.05,8.05,8.05,8.05,1075,8.26,8.2223
2021-01-04,8.05,8.05,8.05,8.05,0,8.241,8.2059
2021-01-05,8.05,8.05,8.05,8.05,9,8.222,8.191
2021-01-06,8.05,8.05,8.05,8.05,0,8.203,8.1776
2021-01-07,8.05,8.05,8.05,8.05,39,8.184,8.1655
2021-01-08,8.28,8.28,8.28,8.28,100,8.1765,8.1764
2021-01-11,8.36,8.36,8.36,8.36,9000,8.173,8.1939
2021-01-12,8.36,8.36,8.36,8.36,58,8.1695,8.2097
2021-01-13,8.43,8.43,8.43,8.43,228,8.1655,8.2307
2021-01-14,7.9,7.9,7.9,7.9,200,8.135,8.1992
