time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,11.06,11.06,11.06,11.06,0,,
2020-01-03,11.06,11.06,11.06,11.06,0,,
2020-01-06,11.06,11.06,11.06,11.06,0,,
2020-01-07,11.06,11.06,11.06,11.06,0,,
2020-01-08,11.06,11.06,11.06,11.06,0,,
2020-01-09,11.06,11.06,11.06,11.06,600,,
2020-01-10,11.06,11.06,11.06,11.06,0,,
2020-01-13,11.06,11.06,11.06,11.06,0,,
2020-01-14,11.06,11.06,11.06,11.06,0,,
2020-01-15,11.06,11.06,11.06,11.06,100,,
2020-01-16,11.68,11.68,11.68,11.68,400,,
2020-01-17,11.68,11.68,11.68,11.68,0,,
2020-01-20,11.68,11.68,11.68,11.68,0,,
2020-01-21,11.68,11.68,11.68,11.68,0,,
2020-01-22,11.68,11.68,11.68,11.68,0,,
2020-01-30,11.68,11.68,11.68,11.68,0,,
2020-01-31,11.68,11.68,11.68,11.68,0,,
2020-02-03,11.68,11.68,11.68,11.68,0,,
2020-02-04,11.68,11.68,11.68,11.68,0,,
2020-02-05,11.68,11.68,11.68,11.68,0,11.37,11.4521
2020-02-06,11.68,11.68,11.68,11.68,0,11.401,11.4738
2020-02-07,11.68,11.68,11.68,11.68,0,11.432,11.4934
2020-02-10,11.68,11.68,11.68,11.68,2000,11.463,11.5112
2020-02-11,11.68,11.68,11.68,11.68,500,11.494,11.5273
2020-02-12,11.68,11.68,11.68,11.68,0,11.525,11.5418
2020-02-13,11.68,11.68,11.68,11.68,2000,11.556,11.555
2020-02-14,11.37,11.37,11.37,11.37,1700,11.5715,11.5374
2020-02-17,11.37,11.37,11.37,11.37,0,11.587,11.5214
2020-02-18,11.37,11.37,11.37,11.37,3500,11.6025,11.507
2020-02-19,11.37,11.37,11.37,11.37,0,11.618,11.494
2020-02-20,11.37,11.37,11.37,11.37,0,11.6025,11.4822
2020-02-21,11.37,11.37,11.37,11.37,0,11.587,11.4715
2020-02-24,11.12,11.12,11.12,11.12,2600,11.559,11.438
2020-02-25,11.12,11.12,11.12,11.12,0,11.531,11.4077
2020-02-26,11.12,11.12,11.12,11.12,0,11.503,11.3803
2020-02-27,11.12,11.12,11.12,11.12,0,11.475,11.3555
2020-02-28,11.12,11.12,11.12,11.12,0,11.447,11.3331
2020-03-02,11.12,11.12,11.12,11.12,0,11.419,11.3128
2020-03-03,11.12,11.12,11.12,11.12,0,11.391,11.2944
2020-03-04,11.12,11.12,11.12,11.12,0,11.363,11.2778
2020-03-05,11.12,11.12,11.12,11.12,0,11.335,11.2628
2020-03-06,11.12,11.12,11.12,11.12,4000,11.307,11.2492
2020-03-09,11.12,11.12,11.12,11.12,0,11.279,11.2369
2020-03-10,11.12,11.12,11.12,11.12,0,11.251,11.2258
2020-03-11,11.12,11.12,11.12,11.12,0,11.223,11.2157
2020-03-12,11.12,11.12,11.12,11.12,0,11.195,11.2066
2020-03-13,11.12,11.12,11.12,11.12,0,11.1825,11.1983
2020-03-16,11.12,11.12,11.12,11.12,0,11.17,11.1909
2020-03-17,11.12,11.12,11.12,11.12,0,11.1575,11.1841
2020-03-18,11.0,11.0,10.94,10.94,7400,11.136,11.1609
2020-03-19,10.94,10.94,10.75,10.75,3300,11.105,11.1217
2020-03-20,10.75,10.75,10.75,10.75,0,11.074,11.0863
2020-03-23,10.75,10.75,10.75,10.75,0,11.0555,11.0543
2020-03-24,10.75,10.75,10.75,10.75,0,11.037,11.0253
2020-03-25,10.75,10.75,10.75,10.75,0,11.0185,10.9991
2020-03-26,10.75,10.75,10.75,10.75,0,11.0,10.9754
