time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,5.78,5.9,5.75,5.9,332910,,
2020-01-03,5.9,5.96,5.78,5.81,432590,,
2020-01-06,5.81,5.83,5.66,5.83,493700,,
2020-01-07,5.83,5.84,5.78,5.83,398620,,
2020-01-08,5.84,5.84,5.78,5.82,484060,,
2020-01-09,5.82,5.84,5.78,5.78,780220,,
2020-01-10,5.78,5.84,5.78,5.82,1166490,,
2020-01-13,5.82,5.84,5.78,5.84,715610,,
2020-01-14,5.84,5.95,5.84,5.89,988030,,
2020-01-15,5.95,5.95,5.84,5.9,743020,,
2020-01-16,5.95,5.95,5.79,5.84,607990,,
2020-01-17,5.84,5.84,5.72,5.84,694330,,
2020-01-20,5.9,5.9,5.72,5.84,432420,,
2020-01-21,5.78,5.95,5.78,5.9,843330,,
2020-01-22,5.9,6.28,5.72,6.28,681180,,
2020-01-30,6.28,6.7,6.28,6.28,849180,,
2020-01-31,6.31,6.43,5.96,6.17,655840,,
2020-02-03,5.96,5.99,5.81,5.96,519800,,
2020-02-04,5.96,6.37,5.9,6.37,682740,,
2020-02-05,6.49,6.79,6.49,6.79,673270,5.9845,6.0749
2020-02-06,6.85,7.06,6.73,7.06,459910,6.0425,6.1687
2020-02-07,7.06,7.09,6.61,6.7,685910,6.087,6.2193
2020-02-10,6.7,6.7,6.49,6.61,696770,6.126,6.2565
2020-02-11,6.73,6.79,6.61,6.76,459860,6.1725,6.3044
2020-02-12,6.76,6.79,6.55,6.55,578110,6.209,6.3278
2020-02-13,6.55,6.76,6.43,6.55,512320,6.2475,6.349
2020-02-14,6.55,6.55,6.28,6.43,774840,6.278,6.3567
2020-02-17,6.43,6.73,6.37,6.73,494600,6.3225,6.3923
2020-02-18,6.73,6.73,6.37,6.37,609660,6.3465,6.3901
2020-02-19,6.43,6.49,6.25,6.25,670310,6.364,6.3768
2020-02-20,6.25,6.31,6.14,6.28,678800,6.386,6.3676
2020-02-21,6.25,6.34,6.17,6.17,783950,6.4025,6.3488
2020-02-24,5.96,6.02,5.9,5.95,625420,6.408,6.3108
2020-02-25,5.99,5.99,5.84,5.84,803360,6.405,6.2659
2020-02-26,5.9,5.9,5.72,5.79,673620,6.3805,6.2206
2020-02-27,5.84,5.89,5.79,5.81,697880,6.357,6.1815
2020-02-28,5.81,5.81,5.6,5.65,567860,6.331,6.1309
2020-03-02,5.66,5.72,5.54,5.72,607750,6.319,6.0918
2020-03-03,5.78,5.78,5.66,5.76,655350,6.2885,6.0602
2020-03-04,5.78,5.84,5.66,5.84,717800,6.241,6.0392
2020-03-05,5.9,5.96,5.78,5.84,575450,6.18,6.0202
2020-03-06,5.9,5.9,5.84,5.87,537850,6.1385,6.0059
2020-03-09,5.9,5.9,5.54,5.71,224320,6.0935,5.9777
2020-03-10,5.72,5.72,5.42,5.69,198000,6.04,5.9503
2020-03-11,5.72,5.72,5.36,5.6,337370,5.9925,5.917
2020-03-12,5.6,5.6,5.31,5.31,323320,5.9305,5.8592
2020-03-13,5.3,5.36,5.18,5.36,359520,5.877,5.8116
2020-03-16,5.36,5.39,5.18,5.29,636520,5.805,5.7619
2020-03-17,5.29,5.29,5.06,5.21,823530,5.747,5.7094
2020-03-18,5.24,5.24,5.06,5.12,592620,5.6905,5.6532
2020-03-19,4.94,5.12,4.78,4.94,617770,5.6235,5.5853
2020-03-20,4.88,4.94,4.71,4.94,968420,5.562,5.5239
2020-03-23,4.94,4.94,4.71,4.71,1000280,5.5,5.4463
2020-03-24,4.77,4.99,4.71,4.91,1015300,5.4535,5.3953
2020-03-25,4.88,5.06,4.88,5.06,1382320,5.417,5.3633
2020-03-26,5.0,5.18,5.0,5.12,951760,5.3825,5.3402
2020-03-27,5.15,5.19,4.94,5.06,624800,5.353,5.3135
2020-03-30,5.09,5.09,4.77,4.77,521330,5.3055,5.2617
2020-03-31,4.77,4.83,4.53,4.78,688230,5.2565,5.2158
