time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,7.0,7.0,7.0,7.0,0,,
2020-01-03,7.0,7.0,7.0,7.0,0,,
2020-01-06,7.0,7.0,7.0,7.0,0,,
2020-01-07,7.0,7.0,7.0,7.0,0,,
2020-01-08,7.0,7.0,7.0,7.0,0,,
2020-01-09,7.0,7.0,7.0,7.0,0,,
2020-01-10,6.3,6.3,6.3,6.3,4000,,
2020-01-13,5.7,5.7,5.7,5.7,5000,,
2020-01-14,5.7,5.7,5.7,5.7,0,,
2020-01-15,5.2,5.2,5.2,5.2,2200,,
2020-01-16,5.2,5.2,5.2,5.2,40,,
2020-01-17,5.2,5.2,5.2,5.2,0,,
2020-01-20,5.7,5.7,5.7,5.7,131,,
2020-01-21,5.7,5.7,5.7,5.7,0,,
2020-01-22,6.2,6.2,6.2,6.2,100,,
2020-01-30,6.2,6.2,6.2,6.2,0,,
2020-01-31,6.2,6.2,6.2,6.2,0,,
2020-02-03,6.2,6.2,6.2,6.2,0,,
2020-02-04,6.2,6.2,6.2,6.2,0,,
2020-02-05,6.2,6.2,6.2,6.2,0,6.195,6.2033
2020-02-06,6.2,6.2,6.2,6.2,0,6.155,6.2029
2020-02-07,6.2,6.2,6.2,6.2,0,6.115,6.2027
2020-02-10,6.2,6.2,6.2,6.2,20,6.075,6.2024
2020-02-11,6.2,6.2,6.2,6.2,0,6.035,6.2022
2020-02-12,6.2,6.2,6.2,6.2,0,5.995,6.202
2020-02-13,6.2,6.2,6.2,6.2,0,5.955,6.2018
2020-02-14,6.2,6.2,6.2,6.2,0,5.95,6.2016
2020-02-17,5.6,5.6,5.6,5.6,3700,5.945,6.1443
2020-02-18,5.6,5.6,5.6,5.6,40,5.94,6.0925
2020-02-19,5.6,5.6,5.6,5.6,51,5.96,6.0456
2020-02-20,5.6,5.6,5.6,5.6,0,5.98,6.0031
2020-02-21,5.6,5.6,5.6,5.6,0,6.0,5.9647
2020-02-24,5.6,5.6,5.6,5.6,0,5.995,5.93
2020-02-25,5.6,5.6,5.6,5.6,0,5.99,5.8986
2020-02-26,5.6,5.6,5.6,5.6,0,5.96,5.8701
2020-02-27,5.6,5.6,5.6,5.6,0,5.93,5.8444
2020-02-28,5.6,5.6,5.6,5.6,0,5.9,5.8211
2020-03-02,5.6,5.6,5.6,5.6,0,5.87,5.8001
2020-03-03,5.6,5.6,5.6,5.6,0,5.84,5.781
2020-03-04,5.6,5.6,5.6,5.6,0,5.81,5.7638
2020-03-05,5.6,5.6,5.6,5.6,0,5.78,5.7482
2020-03-06,5.6,5.6,5.6,5.6,0,5.75,5.7341
2020-03-09,5.6,5.6,5.6,5.6,0,5.72,5.7213
2020-03-10,5.6,5.6,5.6,5.6,0,5.69,5.7097
2020-03-11,5.6,5.6,5.6,5.6,0,5.66,5.6993
2020-03-12,5.6,5.6,5.6,5.6,0,5.63,5.6898
2020-03-13,5.6,5.6,5.6,5.6,0,5.6,5.6813
2020-03-16,5.6,5.6,5.6,5.6,0,5.6,5.6735
2020-03-17,5.6,5.6,5.6,5.6,0,5.6,5.6665
2020-03-18,5.6,5.6,5.6,5.6,0,5.6,5.6602
