time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,0.64,0.68,0.64,0.68,24920,,
2020-01-03,0.71,0.72,0.69,0.72,126770,,
2020-01-06,0.72,0.72,0.67,0.67,68140,,
2020-01-07,0.69,0.69,0.66,0.67,30690,,
2020-01-08,0.67,0.67,0.63,0.65,49950,,
2020-01-09,0.63,0.68,0.63,0.64,32580,,
2020-01-10,0.64,0.67,0.6,0.66,46860,,
2020-01-13,0.65,0.66,0.64,0.64,31550,,
2020-01-14,0.66,0.67,0.65,0.65,11530,,
2020-01-15,0.65,0.67,0.64,0.66,6590,,
2020-01-16,0.66,0.66,0.62,0.62,50330,,
2020-01-17,0.62,0.65,0.62,0.63,17490,,
2020-01-20,0.63,0.63,0.61,0.61,21950,,
2020-01-21,0.65,0.65,0.61,0.63,49950,,
2020-01-22,0.63,0.64,0.63,0.64,29130,,
2020-01-30,0.65,0.67,0.63,0.64,15450,,
2020-01-31,0.64,0.64,0.6,0.6,69120,,
2020-02-03,0.56,0.6,0.56,0.6,57700,,
2020-02-04,0.6,0.6,0.56,0.59,30920,,
2020-02-05,0.56,0.6,0.56,0.59,14810,0.6395,0.6319
2020-02-06,0.61,0.61,0.6,0.6,30970,0.6355,0.6289
2020-02-07,0.6,0.61,0.6,0.6,27690,0.6295,0.6261
2020-02-10,0.64,0.64,0.59,0.6,10240,0.626,0.6236
2020-02-11,0.6,0.6,0.58,0.59,8910,0.622,0.6204
2020-02-12,0.59,0.6,0.58,0.59,64950,0.619,0.6175
2020-02-13,0.58,0.6,0.58,0.6,63310,0.617,0.6159
2020-02-14,0.61,0.61,0.59,0.59,3690,0.6135,0.6134
2020-02-17,0.6,0.6,0.58,0.59,2510,0.611,0.6112
2020-02-18,0.59,0.6,0.57,0.58,51160,0.6075,0.6082
2020-02-19,0.59,0.62,0.59,0.62,153840,0.6055,0.6093
2020-02-20,0.62,0.66,0.62,0.66,218700,0.6075,0.6142
2020-02-21,0.66,0.7,0.66,0.68,307970,0.61,0.6204
2020-02-24,0.66,0.66,0.64,0.64,104080,0.6115,0.6223
2020-02-25,0.6,0.67,0.6,0.65,46580,0.6125,0.6249
2020-02-26,0.68,0.68,0.63,0.65,6630,0.613,0.6273
2020-02-27,0.65,0.65,0.61,0.63,56650,0.6125,0.6276
2020-02-28,0.64,0.67,0.6,0.62,59700,0.6135,0.6269
2020-03-02,0.6,0.63,0.6,0.63,43380,0.615,0.6272
