time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,8.7,11.0,8.7,11.0,200,,
2020-01-03,9.89,11.0,11.0,11.0,0,,
2020-01-06,11.0,11.0,11.0,11.0,100,,
2020-01-07,11.0,11.0,11.0,11.0,0,,
2020-01-08,11.0,11.0,11.0,11.0,0,,
2020-01-09,11.0,11.0,11.0,11.0,0,,
2020-01-10,11.0,11.0,11.0,11.0,0,,
2020-01-13,11.0,11.0,11.0,11.0,0,,
2020-01-14,11.0,11.0,11.0,11.0,0,,
2020-01-15,11.0,11.0,11.0,11.0,0,,
2020-01-16,9.38,9.38,9.38,9.38,100,,
2020-01-17,9.38,9.38,9.38,9.38,0,,
2020-01-20,9.38,9.38,9.38,9.38,0,,
2020-01-21,9.38,9.38,9.38,9.38,0,,
2020-01-22,9.38,9.38,9.38,9.38,0,,
2020-01-30,9.38,9.38,9.38,9.38,0,,
2020-01-31,9.38,9.38,9.38,9.38,0,,
2020-02-03,8.02,8.02,8.02,8.02,100,,
2020-02-04,8.02,8.02,8.02,8.02,0,,
2020-02-05,8.02,8.02,8.02,8.02,0,9.986,9.6227
2020-02-06,7.08,7.08,7.08,7.08,200,9.79,9.3806
2020-02-07,7.08,7.08,7.08,7.08,0,9.594,9.1615
2020-02-10,6.14,6.14,6.14,6.14,100,9.351,8.8737
2020-02-11,6.99,6.99,6.99,6.99,400,9.1505,8.6943
2020-02-12,6.99,6.99,6.99,6.99,0,8.95,8.532
2020-02-13,6.99,6.99,6.99,6.99,0,8.7495,8.3851
2020-02-14,6.99,6.99,6.99,6.99,0,8.549,8.2523
2020-02-17,6.99,6.99,6.99,6.99,0,8.3485,8.132
2020-02-18,7.93,7.93,7.93,7.93,100,8.195,8.1128
2020-02-19,7.93,7.93,7.93,7.93,0,8.0415,8.0954
2020-02-20,7.93,7.93,7.93,7.93,0,7.969,8.0796
2020-02-21,7.93,7.93,7.93,7.93,0,7.8965,8.0654
2020-02-24,8.96,8.96,8.96,8.96,100,7.8755,8.1506
2020-02-25,8.53,8.53,8.53,8.53,400,7.833,8.1867
2020-02-26,9.3,9.3,9.3,9.3,100,7.829,8.2928
2020-02-27,8.53,8.53,7.93,8.02,1100,7.761,8.2668
2020-02-28,8.27,8.02,8.02,8.02,0,7.693,8.2433
2020-03-02,8.27,8.02,8.02,8.02,0,7.693,8.222
2020-03-03,8.27,8.02,8.02,8.02,0,7.693,8.2028
2020-03-04,8.27,8.02,8.02,8.02,0,7.693,8.1854
2020-03-05,8.27,8.02,8.02,8.02,0,7.74,8.1696
2020-03-06,8.27,8.02,8.02,8.02,0,7.787,8.1554
2020-03-09,7.25,7.25,7.08,7.08,1100,7.834,8.0529
2020-03-10,7.16,7.08,7.08,7.08,0,7.8385,7.9603
2020-03-11,7.16,7.08,7.08,7.08,0,7.843,7.8765
2020-03-12,7.16,7.08,7.08,7.08,0,7.8475,7.8006
2020-03-13,7.16,7.08,7.08,7.08,0,7.852,7.732
2020-03-16,6.57,6.57,6.57,6.57,100,7.831,7.6213
2020-03-17,7.51,7.51,7.51,7.51,100,7.81,7.6107
2020-03-18,8.61,8.61,8.61,8.61,100,7.844,7.7059
2020-03-19,7.34,7.34,7.34,7.34,600,7.8145,7.671
2020-03-20,8.27,8.27,8.27,8.27,100,7.8315,7.7281
2020-03-23,9.47,9.47,9.47,9.47,100,7.857,7.894
2020-03-24,10.66,10.66,10.66,10.66,100,7.9635,8.1574
2020-03-25,9.13,10.58,9.13,10.58,200,8.0275,8.3881
2020-03-26,9.89,10.58,10.58,10.58,0,8.1555,8.5969
2020-03-27,8.44,10.75,8.44,10.75,200,8.292,8.8019
2020-03-30,11.0,11.0,8.27,10.75,300,8.4285,8.9875
2020-03-31,10.83,10.83,8.53,10.49,300,8.552,9.1306
2020-04-01,10.32,10.32,8.53,10.15,300,8.6585,9.2277
2020-04-03,8.27,8.27,8.27,8.27,100,8.671,9.1364
2020-04-06,8.27,8.27,8.27,8.27,0,8.6835,9.0539
2020-04-07,9.3,9.3,9.3,9.3,100,8.7945,9.0774
2020-04-08,9.3,9.3,9.3,9.3,0,8.9055,9.0986
2020-04-09,9.3,9.3,9.3,9.3,0,9.0165,9.1178
2020-04-10,10.66,10.66,10.66,10.66,100,9.1955,9.2646
2020-04-13,9.13,9.13,9.13,9.13,400,9.298,9.2518
2020-04-14,7.76,7.76,7.76,7.76,300,9.3575,9.1097
2020-04-15,8.7,8.7,8.7,8.7,100,9.417,9.0707
2020-04-16,8.7,8.7,8.7,8.7,0,9.4215,9.0354
2020-04-17,8.7,8.7,8.7,8.7,0,9.4895,9.0035
2020-04-20,9.13,9.13,9.13,9.13,100,9.5325,9.0155
2020-04-21,9.21,9.21,9.21,9.21,100,9.5195,9.034
2020-04-22,9.21,9.21,9.21,9.21,0,9.447,9.0508
2020-04-23,10.49,10.49,10.49,10.49,100,9.4425,9.1879
2020-04-24,10.49,10.49,10.49,10.49,0,9.438,9.3119
