time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,9.08,9.08,9.08,9.08,0,,
2020-01-03,9.08,9.08,9.08,9.08,0,,
2020-01-06,9.08,9.08,9.08,9.08,0,,
2020-01-07,10.94,10.94,10.94,10.94,100,,
2020-01-08,10.94,10.94,10.94,10.94,0,,
2020-01-09,10.94,10.94,10.94,10.94,0,,
2020-01-10,10.94,10.94,10.94,10.94,0,,
2020-01-13,10.94,10.94,10.94,10.94,0,,
2020-01-14,10.94,10.94,10.94,10.94,0,,
2020-01-15,10.94,10.94,10.94,10.94,0,,
2020-01-16,10.94,10.94,10.94,10.94,0,,
2020-01-17,10.94,10.94,10.94,10.94,0,,
2020-01-20,10.94,10.94,10.94,10.94,0,,
2020-01-21,10.94,10.94,10.94,10.94,0,,
2020-01-22,10.94,10.94,10.94,10.94,0,,
2020-01-30,10.94,10.94,10.94,10.94,0,,
2020-01-31,10.94,10.94,10.94,10.94,0,,
2020-02-03,10.94,10.94,10.94,10.94,0,,
2020-02-04,10.94,10.94,10.94,10.94,0,,
2020-02-05,10.94,10.94,10.94,10.94,0,10.661,10.6007
2020-02-06,10.94,10.94,10.94,10.94,0,10.754,10.633
2020-02-07,10.94,10.94,10.94,10.94,0,10.847,10.6622
2020-02-10,10.94,10.94,10.94,10.94,0,10.94,10.6887
2020-02-11,10.94,10.94,10.94,10.94,0,10.94,10.7126
2020-02-12,10.94,10.94,10.94,10.94,0,10.94,10.7343
2020-02-13,10.94,10.94,10.94,10.94,0,10.94,10.7539
2020-02-14,10.94,10.94,10.94,10.94,0,10.94,10.7716
2020-02-17,11.17,11.17,9.31,9.31,400,10.8585,10.6324
2020-02-18,9.75,9.31,9.31,9.31,0,10.777,10.5065
2020-02-19,9.75,9.31,9.31,9.31,0,10.6955,10.3925
2020-02-20,9.75,9.31,9.31,9.31,0,10.614,10.2894
2020-02-21,9.75,9.31,9.31,9.31,0,10.5325,10.1961
2020-02-24,9.75,9.31,9.31,9.31,0,10.451,10.1117
2020-02-25,9.75,9.31,9.31,9.31,0,10.3695,10.0354
2020-02-26,9.75,9.31,9.31,9.31,0,10.288,9.9663
2020-02-27,9.75,9.31,9.31,9.31,0,10.2065,9.9038
2020-02-28,9.75,9.31,9.31,9.31,0,10.125,9.8472
2020-03-02,9.75,9.31,9.31,9.31,0,10.0435,9.7961
2020-03-03,9.75,9.31,9.31,9.31,0,9.962,9.7498
2020-03-04,9.75,9.31,9.31,9.31,0,9.8805,9.7079
2020-03-05,9.75,9.31,9.31,9.31,0,9.799,9.67
2020-03-06,9.75,9.31,9.31,9.31,0,9.7175,9.6357
