time,open,high,low,close,volume,SMA_20,EMA_20
2021-09-08,11.0,11.0,11.0,11.0,0,,
2021-09-09,11.0,11.0,11.0,11.0,0,,
2021-09-10,11.0,11.0,11.0,11.0,0,,
2021-09-13,11.0,11.0,11.0,11.0,0,,
2021-09-14,11.0,11.0,11.0,11.0,0,,
2021-09-15,11.0,11.0,11.0,11.0,0,,
2021-09-16,15.4,15.4,15.4,15.4,1800,,
2021-09-17,17.7,17.7,17.7,17.7,114900,,
2021-09-20,20.3,20.3,18.8,18.9,658100,,
2021-09-21,19.3,20.4,18.5,18.6,760800,,
2021-09-22,18.0,18.0,16.8,16.8,350800,,
2021-09-23,16.8,16.8,15.2,15.4,104100,,
2021-09-24,15.7,15.7,14.7,15.1,72900,,
2021-09-27,15.1,15.6,15.0,15.5,291900,,
2021-09-28,15.5,15.7,15.5,15.6,189300,,
2021-09-29,15.7,16.0,15.5,15.9,199200,,
2021-09-30,15.9,16.0,15.6,15.7,57000,,
2021-10-01,15.8,15.8,15.4,15.5,168600,,
2021-10-04,15.4,15.4,15.0,15.1,141000,,
2021-10-05,15.0,15.4,15.0,15.2,322500,14.62,14.6778
2021-10-06,15.0,15.4,15.0,15.3,172000,14.835,14.737
2021-10-07,15.3,15.5,15.2,15.4,155900,15.055,14.8002
2021-10-08,15.4,15.4,15.0,15.1,91600,15.26,14.8287
2021-10-11,15.2,15.2,15.0,15.0,347800,15.46,14.845
2021-10-12,15.1,15.1,14.7,15.0,201200,15.66,14.8598
2021-10-13,17.0,17.0,14.9,15.1,172200,15.865,14.8827
2021-10-14,15.1,15.2,15.0,15.1,113000,15.85,14.9034
2021-10-15,15.1,15.3,15.0,15.0,172300,15.715,14.9126
2021-10-18,15.2,15.2,14.9,15.0,90400,15.52,14.9209
2021-10-19,15.1,15.2,15.0,15.0,99700,15.34,14.9284
2021-10-20,15.1,15.1,15.0,15.0,116400,15.25,14.9352
2021-10-21,15.1,15.1,14.7,15.0,94800,15.23,14.9414
2021-10-22,15.0,15.3,15.0,15.2,106800,15.235,14.966
2021-10-25,15.2,15.5,14.9,15.1,494900,15.215,14.9788
2021-10-26,15.2,15.3,15.0,15.1,319400,15.19,14.9903
2021-10-27,15.1,15.2,14.9,15.0,287500,15.145,14.9913
2021-10-28,15.0,15.1,14.8,14.9,265500,15.105,14.9826
2021-10-29,15.0,15.0,14.6,14.7,280400,15.065,14.9557
2021-11-01,14.7,14.9,14.7,14.8,437200,15.05,14.9408
2021-11-02,14.8,14.8,14.3,14.4,404700,15.01,14.8893
2021-11-03,14.4,14.4,14.1,14.4,298000,14.965,14.8427
2021-11-04,14.3,14.5,14.3,14.4,294200,14.915,14.8006
2021-11-05,14.5,14.7,14.5,14.6,246700,14.89,14.7815
2021-11-08,14.6,14.7,14.5,14.6,430200,14.87,14.7642
2021-11-09,14.6,15.1,14.6,14.9,582300,14.865,14.7771
2021-11-10,15.0,15.1,14.6,14.8,347900,14.85,14.7793
2021-11-11,14.6,14.8,14.2,14.5,455300,14.82,14.7527
2021-11-12,14.5,14.6,14.2,14.4,505200,14.79,14.7191
2021-11-15,14.4,14.5,14.3,14.5,307300,14.765,14.6982
2021-11-16,14.3,14.7,14.3,14.6,548200,14.745,14.6889
2021-11-17,14.0,14.7,14.0,14.6,358500,14.725,14.6804
2021-11-18,14.5,14.6,14.2,14.4,508300,14.695,14.6537
2021-11-19,14.4,14.5,13.9,14.0,323300,14.635,14.5915
