time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,10.2,10.2,10.2,10.2,0,,
2020-01-03,10.2,10.2,10.2,10.2,0,,
2020-01-06,10.2,10.2,10.2,10.2,0,,
2020-01-07,10.2,10.2,10.2,10.2,0,,
2020-01-08,10.2,10.2,10.2,10.2,0,,
2020-01-09,10.2,10.2,10.2,10.2,0,,
2020-01-10,10.2,10.2,10.2,10.2,0,,
2020-01-13,10.2,10.2,10.2,10.2,0,,
2020-01-14,10.2,10.2,10.2,10.2,0,,
2020-01-15,10.2,10.2,10.2,10.2,0,,
2020-01-16,10.2,10.2,10.2,10.2,0,,
2020-01-17,11.73,11.73,11.73,11.73,100,,
2020-01-20,11.73,11.73,11.73,11.73,0,,
2020-01-21,13.43,13.43,13.43,13.43,100,,
2020-01-22,15.39,15.39,15.39,15.39,100,,
2020-01-30,16.84,16.84,16.84,16.84,100,,
2020-01-31,16.84,16.84,16.84,16.84,0,,
2020-02-03,16.84,16.84,16.84,16.84,0,,
2020-02-04,16.84,16.84,16.84,16.84,0,,
2020-02-05,16.84,16.84,16.84,16.84,0,12.434,13.4205
2020-02-06,16.84,16.84,16.84,16.84,0,12.766,13.7461
2020-02-07,16.84,16.84,16.84,16.84,0,13.098,14.0408
2020-02-10,16.84,16.84,16.84,16.84,0,13.43,14.3074
2020-02-11,16.84,16.84,16.84,16.84,0,13.762,14.5486
2020-02-12,16.84,16.84,16.84,16.84,0,14.094,14.7668
2020-02-13,16.84,16.84,16.84,16.84,0,14.426,14.9643
2020-02-14,16.84,16.84,16.84,16.84,0,14.758,15.1429
2020-02-17,16.84,16.84,16.84,16.84,0,15.09,15.3045
2020-02-18,16.84,16.84,16.84,16.84,0,15.422,15.4508
2020-02-19,16.84,16.84,16.84,16.84,0,15.754,15.5831
2020-02-20,16.84,16.84,16.84,16.84,0,16.086,15.7028
2020-02-21,16.84,16.84,16.84,16.84,0,16.3415,15.8111
2020-02-24,16.84,16.84,16.84,16.84,0,16.597,15.9091
2020-02-25,16.84,16.84,16.84,16.84,0,16.7675,15.9977
2020-02-26,16.84,16.84,16.84,16.84,0,16.84,16.078
2020-02-27,16.84,16.84,16.84,16.84,0,16.84,16.1505
2020-02-28,16.84,16.84,16.84,16.84,0,16.84,16.2162
2020-03-02,16.84,16.84,16.84,16.84,0,16.84,16.2756
2020-03-03,16.84,16.84,16.84,16.84,0,16.84,16.3294
2020-03-04,14.37,14.37,14.37,14.37,15000,16.7165,16.1428
2020-03-05,14.37,14.37,14.37,14.37,0,16.593,15.9739
2020-03-06,14.37,14.37,14.37,14.37,0,16.4695,15.8212
2020-03-09,14.37,14.37,14.37,14.37,0,16.346,15.683
2020-03-10,14.37,14.37,14.37,14.37,0,16.2225,15.5579
2020-03-11,14.37,14.37,14.37,14.37,0,16.099,15.4448
2020-03-12,14.37,14.37,14.37,14.37,0,15.9755,15.3424
2020-03-13,14.37,14.37,14.37,14.37,0,15.852,15.2498
2020-03-16,16.41,16.41,15.98,15.98,200,15.809,15.3194
2020-03-17,16.24,15.98,15.98,15.98,0,15.766,15.3823
2020-03-18,16.24,15.98,15.98,15.98,0,15.723,15.4392
2020-03-19,16.24,15.98,15.98,15.98,0,15.68,15.4907
2020-03-20,16.24,15.98,15.98,15.98,0,15.637,15.5373
2020-03-23,16.24,15.98,15.98,15.98,0,15.594,15.5795
2020-03-24,16.24,15.98,15.98,15.98,0,15.551,15.6176
2020-03-25,13.86,13.86,13.86,13.86,6600,15.402,15.4502
2020-03-26,13.86,13.86,13.86,13.86,0,15.253,15.2988
2020-03-27,15.9,15.9,15.9,15.9,100,15.206,15.356
2020-03-30,16.24,16.24,16.24,16.24,100,15.176,15.4402
2020-03-31,16.24,16.24,16.24,16.24,0,15.146,15.5164
2020-04-01,16.24,16.24,16.24,16.24,0,15.2395,15.5853
2020-04-03,16.24,16.24,16.24,16.24,0,15.333,15.6477
2020-04-06,16.24,16.24,16.24,16.24,0,15.4265,15.7041
2020-04-07,16.24,16.24,16.24,16.24,0,15.52,15.7551
2020-04-08,16.24,16.24,16.24,16.24,0,15.6135,15.8013
2020-04-09,16.24,16.24,16.24,16.24,0,15.707,15.8431
2020-04-10,16.24,16.24,16.24,16.24,0,15.8005,15.8809
2020-04-13,16.24,16.24,16.24,16.24,0,15.894,15.9151
2020-04-14,16.24,16.24,16.24,16.24,0,15.907,15.946
2020-04-15,16.24,16.24,16.24,16.24,0,15.92,15.974
2020-04-16,16.24,16.24,16.24,16.24,0,15.933,15.9994
2020-04-17,16.24,16.24,16.24,16.24,0,15.946,16.0223
2020-04-20,16.24,16.24,16.24,16.24,0,15.959,16.043
2020-04-21,16.24,16.24,16.24,16.24,0,15.972,16.0618
2020-04-22,16.24,16.24,16.24,16.24,0,15.985,16.0787
2020-04-23,16.24,16.24,16.24,16.24,0,16.104,16.0941
2020-04-24,16.24,16.24,16.24,16.24,0,16.223,16.108
2020-04-27,16.24,16.24,16.24,16.24,0,16.24,16.1206
2020-04-28,16.24,16.24,16.24,16.24,0,16.24,16.1319
2020-04-29,16.24,16.24,16.24,16.24,0,16.24,16.1422
2020-05-04,16.24,16.24,16.24,16.24,0,16.24,16.1515
2020-05-05,16.24,16.24,16.24,16.24,0,16.24,16.16
2020-05-06,16.24,16.24,16.24,16.24,0,16.24,16.1676
2020-05-07,16.24,16.24,16.24,16.24,0,16.24,16.1745
2020-05-08,16.24,16.24,16.24,16.24,0,16.24,16.1807
2020-05-11,16.24,16.24,16.24,16.24,0,16.24,16.1864
2020-05-12,16.24,16.24,16.24,16.24,0,16.24,16.1915
2020-05-13,16.24,16.24,16.24,16.24,0,16.24,16.1961
2020-05-14,16.24,16.24,16.24,16.24,0,16.24,16.2003
2020-05-15,16.24,16.24,16.24,16.24,0,16.24,16.2041
2020-05-18,16.24,16.24,16.24,16.24,0,16.24,16.2075
2020-05-19,16.24,16.24,16.24,16.24,0,16.24,16.2106
2020-05-20,16.24,16.24,16.24,16.24,0,16.24,16.2134
2020-05-21,16.24,16.24,16.24,16.24,0,16.24,16.2159
2020-05-22,16.24,16.24,16.24,16.24,0,16.24,16.2182
2020-05-25,16.24,16.24,16.24,16.24,0,16.24,16.2203
2020-05-26,16.24,16.24,16.24,16.24,0,16.24,16.2222
2020-05-27,9.78,22.7,9.78,22.7,3300,16.563,16.8391
2020-05-28,12.58,12.58,12.58,12.58,3000,16.38,16.4335
2020-05-29,14.45,14.45,14.45,14.45,1700,16.2905,16.2446
2020-06-01,16.58,16.58,16.58,16.58,300,16.3075,16.2765
2020-06-02,16.58,16.58,16.58,16.58,0,16.3245,16.3054
