time,open,high,low,close,volume,SMA_20,EMA_20
2025-06-06,19.41,19.41,18.92,19.41,284000,,
2025-06-09,21.93,22.12,21.93,22.12,25000,,
2025-06-10,25.42,25.42,18.82,23.29,57700,,
2025-06-11,23.29,25.23,23.29,25.23,10200,,
2025-06-12,24.26,25.71,23.87,24.26,11900,,
2025-06-13,24.26,24.55,22.41,24.26,8810,,
2025-06-16,23.29,23.97,23.29,23.77,4689,,
2025-06-17,24.26,24.26,23.38,24.06,2900,,
2025-06-18,23.87,24.16,20.38,20.38,6000,,
2025-06-19,22.32,22.9,22.32,22.9,1411,,
2025-06-20,22.9,22.9,22.9,22.9,600,,
2025-06-23,22.8,22.9,22.8,22.9,9142,,
2025-06-24,22.8,22.8,22.8,22.8,2100,,
2025-06-25,22.9,23.0,22.9,23.0,620,,
2025-06-26,22.9,22.9,22.9,22.9,901,,
2025-06-27,23.0,23.0,23.0,23.0,4126,,
2025-06-30,22.9,22.9,22.9,22.9,100,,
2025-07-01,22.9,22.9,22.9,22.9,0,,
2025-07-02,23.0,26.3,21.0,21.0,2100,,
2025-07-03,25.1,25.1,25.1,25.1,110,22.954,22.5075
2025-07-04,25.1,25.1,25.1,25.1,20,23.2385,22.7544
2025-07-07,25.9,25.9,25.9,25.9,100,23.4275,23.054
2025-07-08,22.8,22.8,22.5,22.5,9800,23.388,23.0012
2025-07-09,25.2,25.2,25.2,25.2,100,23.3865,23.2106
2025-07-10,25.2,25.2,25.2,25.2,0,23.4335,23.4001
2025-07-11,22.1,22.1,21.6,21.6,8300,23.3005,23.2287
2025-07-14,21.0,21.0,21.0,21.0,100,23.162,23.0164
2025-07-15,23.9,23.9,23.9,23.9,100,23.154,23.1006
2025-07-21,22.0,22.0,22.0,22.0,200,23.235,22.9958
2025-07-22,22.9,22.9,22.9,22.9,100,23.235,22.9866
2025-07-23,22.0,22.0,21.9,22.0,1100,23.19,22.8927
2025-07-24,22.4,22.4,22.0,22.0,800,23.145,22.8077
2025-07-28,23.4,23.4,22.1,22.1,300,23.11,22.7403
2025-07-29,23.4,23.4,23.4,23.4,100,23.13,22.8031
2025-07-30,20.5,20.5,20.0,20.0,2600,22.985,22.5361
2025-07-31,22.9,22.9,22.9,22.9,900,22.98,22.5708
2025-08-01,22.9,22.9,22.5,22.5,10500,22.96,22.564
2025-08-04,22.0,25.4,22.0,23.9,400,23.01,22.6913
2025-08-05,25.3,25.3,23.9,23.9,300,23.155,22.8064
2025-08-06,21.9,23.9,21.9,23.9,200,23.095,22.9105
2025-08-07,25.9,25.9,25.9,25.9,100,23.135,23.1953
2025-08-11,22.1,25.8,22.1,23.0,6500,22.99,23.1767
2025-08-12,24.4,24.4,23.0,24.3,300,23.08,23.2836
2025-08-13,24.2,24.2,22.4,22.4,1200,22.94,23.1995
2025-08-14,24.9,24.9,19.4,22.9,1200,22.825,23.171
2025-08-15,22.9,22.9,22.9,22.9,100,22.89,23.1452
2025-08-18,21.9,22.0,21.9,22.0,1000,22.94,23.0361
2025-08-19,23.9,23.9,23.9,23.9,100,22.94,23.1184
2025-08-20,24.4,24.4,24.4,24.4,100,23.06,23.2404
2025-08-21,24.7,24.7,24.7,24.7,100,23.15,23.3794
2025-08-22,22.2,22.2,22.2,22.2,100,23.16,23.2671
2025-08-25,24.8,24.8,24.8,24.8,100,23.3,23.4131
2025-08-26,24.9,24.9,24.9,24.9,100,23.44,23.5547
2025-08-28,21.2,22.0,21.2,22.0,400,23.37,23.4066
2025-08-29,23.9,23.9,23.9,23.9,100,23.565,23.4536
2025-09-03,20.4,20.4,20.4,20.4,1000,23.44,23.1628
2025-09-04,23.2,23.2,20.5,21.4,1600,23.385,22.9949
2025-09-05,22.9,22.9,22.9,22.9,100,23.335,22.9859
2025-09-09,20.0,22.0,20.0,22.0,1000,23.24,22.892
2025-09-10,22.8,22.8,22.8,22.8,100,23.185,22.8832
2025-09-15,22.8,23.9,22.8,23.9,300,23.085,22.9801
2025-09-16,20.1,20.1,20.1,20.1,1000,22.94,22.7058
2025-09-17,22.9,22.9,19.0,19.0,200,22.675,22.3528
2025-09-18,23.9,23.9,23.9,23.9,100,22.75,22.5002
2025-10-07,23.8,23.8,23.8,23.8,100,,
