time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,4.45,6.23,6.23,6.23,0,,
2020-01-03,4.45,6.23,6.23,6.23,0,,
2020-01-06,4.45,6.23,6.23,6.23,0,,
2020-01-07,4.45,6.23,6.23,6.23,0,,
2020-01-08,4.45,6.23,6.23,6.23,0,,
2020-01-09,4.45,6.23,6.23,6.23,0,,
2020-01-10,4.45,6.23,6.23,6.23,0,,
2020-01-13,4.45,6.23,6.23,6.23,0,,
2020-01-14,4.45,6.23,6.23,6.23,0,,
2020-01-15,4.45,6.23,6.23,6.23,0,,
2020-01-16,4.45,6.23,6.23,6.23,0,,
2020-01-17,4.45,6.23,6.23,6.23,0,,
2020-01-20,4.45,6.23,6.23,6.23,0,,
2020-01-21,4.45,6.23,6.23,6.23,0,,
2020-01-22,4.45,6.23,6.23,6.23,0,,
2020-01-30,4.45,6.23,6.23,6.23,0,,
2020-01-31,6.23,6.23,6.23,6.23,100,,
2020-02-03,6.56,6.56,6.56,6.56,100,,
2020-02-04,6.56,6.56,6.56,6.56,0,,
2020-02-05,5.57,5.57,5.57,5.57,100,6.23,6.2213
2020-02-06,5.57,5.57,5.57,5.57,0,6.197,6.1593
2020-02-07,5.57,5.57,5.57,5.57,0,6.164,6.1032
2020-02-10,5.57,5.57,5.57,5.57,0,6.131,6.0524
2020-02-11,5.57,5.57,5.57,5.57,0,6.098,6.0064
2020-02-12,5.57,5.57,5.57,5.57,0,6.065,5.9649
2020-02-13,5.57,5.57,5.57,5.57,0,6.032,5.9273
2020-02-14,5.57,5.57,5.57,5.57,0,5.999,5.8932
2020-02-17,5.57,5.57,5.57,5.57,0,5.966,5.8625
2020-02-18,5.57,5.57,5.57,5.57,0,5.933,5.8346
2020-02-19,5.57,5.57,5.57,5.57,0,5.9,5.8094
2020-02-20,5.57,5.57,5.57,5.57,0,5.867,5.7866
2020-02-21,5.57,5.57,5.57,5.57,0,5.834,5.766
2020-02-24,5.57,5.57,5.57,5.57,0,5.801,5.7473
2020-02-25,5.57,5.57,5.57,5.57,0,5.768,5.7304
2020-02-26,5.57,5.57,5.57,5.57,0,5.735,5.7151
2020-02-27,5.57,5.57,5.57,5.57,0,5.702,5.7013
2020-02-28,5.57,5.57,5.57,5.57,0,5.669,5.6888
2020-03-02,5.57,5.57,5.57,5.57,0,5.6195,5.6775
2020-03-03,6.37,6.37,6.37,6.37,1000,5.61,5.7435
2020-03-04,6.37,6.37,6.37,6.37,0,5.65,5.8031
2020-03-05,6.37,6.37,6.37,6.37,0,5.69,5.8571
2020-03-06,6.56,7.31,6.56,7.31,400,5.777,5.9955
2020-03-09,7.03,7.03,7.03,7.03,1000,5.85,6.094
2020-03-10,7.03,7.03,7.03,7.03,0,5.923,6.1831
2020-03-11,7.03,7.03,7.03,7.03,200,5.996,6.2638
2020-03-12,7.03,7.03,7.03,7.03,2500,6.069,6.3368
2020-03-13,7.03,7.03,7.03,7.03,0,6.142,6.4028
2020-03-16,7.03,7.03,7.03,7.03,100,6.215,6.4625
2020-03-17,7.03,7.03,7.03,7.03,0,6.288,6.5166
2020-03-18,7.03,7.03,7.03,7.03,0,6.361,6.5655
2020-03-19,7.03,7.03,7.03,7.03,2500,6.434,6.6097
2020-03-20,7.03,7.03,7.03,7.03,0,6.507,6.6497
2020-03-23,7.03,7.03,7.03,7.03,400,6.58,6.686
2020-03-24,7.03,7.03,7.03,7.03,0,6.653,6.7187
2020-03-25,7.03,7.03,7.03,7.03,0,6.726,6.7484
2020-03-26,7.03,7.03,7.03,7.03,2000,6.799,6.7752
2020-03-27,7.03,7.03,7.03,7.03,0,6.872,6.7995
2020-03-30,7.03,7.03,7.03,7.03,0,6.945,6.8214
2020-03-31,7.03,7.03,7.03,7.03,0,6.978,6.8413
2020-04-01,7.03,7.03,7.03,7.03,0,7.011,6.8593
2020-04-03,7.03,7.03,7.03,7.03,0,7.044,6.8755
2020-04-06,7.03,7.03,7.03,7.03,0,7.03,6.8902
2020-04-07,7.03,7.03,7.03,7.03,0,7.03,6.9035
2020-04-08,7.03,7.03,7.03,7.03,0,7.03,6.9156
2020-04-09,7.03,7.03,7.03,7.03,0,7.03,6.9265
2020-04-10,7.03,7.03,7.03,7.03,0,7.03,6.9363
