time,open,high,low,close,volume,SMA_20,EMA_20
2024-12-26,14.17,17.05,13.26,17.05,51400,,
2024-12-27,17.88,17.88,16.48,17.88,11532,,
2024-12-30,17.88,17.88,14.99,17.71,17016,,
2024-12-31,15.65,16.06,15.07,15.07,2431,,
2025-01-02,14.0,16.39,14.0,16.23,11764,,
2025-01-03,14.83,15.65,14.09,15.16,5626,,
2025-01-06,14.42,14.83,14.42,14.83,1311,,
2025-01-07,14.83,14.83,14.0,14.0,4334,,
2025-01-08,14.17,14.83,14.17,14.42,1200,,
2025-01-09,14.17,14.17,14.17,14.17,1794,,
2025-01-10,12.77,14.0,12.11,14.0,12711,,
2025-01-13,13.67,13.67,12.44,13.35,2864,,
2025-01-14,13.18,13.51,12.36,13.18,3108,,
2025-01-15,13.02,13.18,12.11,13.18,11980,,
2025-01-16,12.77,13.18,12.77,13.1,5257,,
2025-01-17,12.52,13.18,12.52,13.18,2493,,
2025-01-20,12.77,14.0,12.77,13.92,1670,,
2025-01-21,13.18,14.17,11.94,13.84,29672,,
2025-01-22,13.67,13.67,12.03,13.35,4115,,
2025-01-23,13.18,13.18,12.77,13.1,3662,14.536,14.3432
2025-01-24,13.18,13.18,13.02,13.18,4303,14.3425,14.2325
2025-02-03,13.59,13.59,12.52,13.02,7605,14.0995,14.117
2025-02-04,12.6,12.6,12.6,12.6,301,13.844,13.9725
2025-02-05,14.0,14.0,13.18,13.18,620,13.7495,13.897
2025-02-06,13.18,13.18,12.77,13.18,3300,13.597,13.8287
2025-02-07,12.36,13.35,12.36,13.26,3327,13.502,13.7746
2025-02-10,13.02,13.59,13.02,13.59,2013,13.44,13.757
2025-02-11,13.59,13.76,13.59,13.59,700,13.4195,13.7411
2025-02-12,13.51,13.51,12.36,13.26,6827,13.3615,13.6953
2025-02-13,13.35,13.35,12.6,12.6,1130,13.283,13.591
2025-02-14,13.1,13.1,13.02,13.1,500,13.238,13.5442
2025-02-17,13.02,13.43,13.02,13.43,10429,13.242,13.5333
2025-02-18,13.18,13.26,12.6,13.26,4311,13.246,13.5073
2025-02-19,13.18,13.18,12.85,13.18,450,13.246,13.4761
2025-02-20,13.35,13.92,13.18,13.35,2200,13.2585,13.4641
2025-02-21,13.35,13.35,13.35,13.35,101,13.267,13.4532
2025-02-24,14.0,14.0,12.69,12.77,1000,13.2095,13.3882
2025-02-25,12.69,13.1,12.44,13.02,8721,13.1685,13.3531
2025-02-26,12.6,13.18,12.6,13.18,1700,13.16,13.3366
2025-02-27,13.18,13.18,12.77,12.93,2400,13.1515,13.2979
2025-02-28,13.02,13.02,13.02,13.02,1500,13.1435,13.2714
2025-03-03,12.36,13.26,12.36,13.02,1102,13.1435,13.2475
2025-03-04,13.18,13.18,12.93,13.1,1818,13.1685,13.2334
2025-03-05,13.1,13.18,12.6,13.1,10015,13.1645,13.2207
2025-03-06,12.36,13.1,12.36,13.1,3817,13.1605,13.2092
2025-03-07,12.85,13.02,12.69,12.85,2952,13.14,13.175
2025-03-10,13.02,13.1,12.69,12.93,14644,13.107,13.1517
2025-03-11,13.1,13.1,12.69,13.1,3010,13.0825,13.1468
2025-03-12,13.02,13.1,12.85,13.1,8901,13.0745,13.1423
2025-03-13,12.93,13.1,12.85,12.85,1300,13.087,13.1145
2025-03-14,13.1,13.1,13.1,13.1,2110,13.087,13.1131
2025-03-17,12.77,13.1,12.69,13.1,4953,13.0705,13.1118
2025-03-18,12.85,12.85,12.85,12.85,100,13.05,13.0869
2025-03-19,12.69,13.1,12.69,13.1,500,13.046,13.0882
2025-03-20,12.85,12.85,12.85,12.85,1,13.021,13.0655
2025-03-21,12.85,13.26,12.85,13.26,2700,13.0165,13.084
2025-03-24,12.93,13.1,12.93,12.93,2459,13.0245,13.0693
2025-03-25,12.93,12.93,12.6,12.6,9152,13.0035,13.0246
2025-03-26,12.77,12.77,12.69,12.69,2622,12.979,12.9928
2025-03-27,12.69,13.02,12.69,13.02,2100,12.9835,12.9954
2025-03-28,12.77,13.59,12.6,13.18,2141,12.9915,13.0129
2025-03-31,12.93,12.93,12.6,12.93,1800,12.987,13.005
2025-04-01,12.85,12.93,12.85,12.93,1800,12.9785,12.9979
2025-04-02,12.93,12.93,12.6,12.6,500,12.9535,12.96
2025-04-03,13.59,13.59,12.6,12.6,2000,12.9285,12.9257
2025-04-04,13.18,13.26,12.77,12.77,1900,12.9245,12.9109
2025-04-08,13.18,13.18,13.18,13.18,1,12.937,12.9365
2025-04-09,12.77,12.77,11.45,11.45,800,12.8545,12.7949
2025-04-10,11.53,13.18,11.53,13.18,1788,12.8585,12.8316
2025-04-11,13.84,13.84,11.53,13.1,1500,12.871,12.8572
2025-04-14,11.62,12.93,11.62,12.93,700,12.8625,12.8641
2025-04-15,12.85,12.85,12.44,12.44,312,12.8295,12.8237
2025-04-16,12.69,12.69,12.69,12.69,100,12.8215,12.811
2025-04-17,12.69,12.69,12.69,12.69,0,12.801,12.7995
2025-04-18,12.36,12.93,12.36,12.93,3435,12.805,12.8119
2025-04-21,12.93,12.93,12.93,12.93,400,12.7885,12.8231
2025-04-22,12.93,12.93,12.93,12.93,0,12.7885,12.8333
2025-04-23,12.36,12.93,12.36,12.93,300,12.805,12.8425
2025-04-24,12.36,12.36,11.12,11.12,2500,12.7265,12.6785
2025-04-25,12.85,12.85,11.12,12.77,1400,12.714,12.6872
2025-04-28,12.93,12.93,12.85,12.85,900,12.6975,12.7027
2025-04-29,12.6,13.02,12.6,13.02,500,12.702,12.7329
2025-05-05,12.36,12.36,11.94,12.27,1219,12.669,12.6888
2025-05-06,13.43,13.43,11.94,13.02,300,12.69,12.7204
2025-05-07,13.59,13.59,12.77,13.1,400,12.715,12.7565
2025-05-08,13.59,14.66,12.36,14.17,2400,12.785,12.8911
2025-05-09,13.18,13.18,13.18,13.18,6,12.785,12.9187
2025-05-12,12.77,13.35,12.77,13.35,1400,12.88,12.9597
2025-05-13,13.18,13.18,13.18,13.18,0,12.88,12.9807
2025-05-14,13.18,13.18,13.18,13.18,101,12.884,12.9997
2025-05-15,13.18,13.18,13.18,13.18,0,12.8965,13.0169
2025-05-16,13.35,13.35,13.35,13.35,136,12.942,13.0486
2025-05-19,13.35,13.59,13.35,13.59,1810,12.987,13.1002
2025-05-20,13.67,13.67,11.94,13.67,701,13.036,13.1544
2025-05-21,13.59,13.59,12.77,12.93,2000,13.036,13.1331
2025-05-22,12.85,13.18,12.11,13.18,9200,13.0485,13.1375
2025-05-23,12.77,13.18,12.77,13.18,1600,13.061,13.1416
2025-05-26,13.02,13.02,12.85,12.85,202,13.057,13.1138
2025-05-27,12.77,12.93,12.77,12.85,11510,13.1435,13.0887
2025-05-28,12.77,13.02,12.77,13.02,6801,13.156,13.0821
2025-05-29,13.84,13.84,13.84,13.84,3300,13.2055,13.1543
2025-05-30,13.84,13.84,13.84,13.84,10,13.2465,13.2196
2025-06-02,13.76,13.84,13.76,13.84,200,13.325,13.2787
2025-06-03,13.84,13.84,13.84,13.84,532,13.366,13.3322
2025-06-04,12.52,13.76,12.52,13.76,700,13.399,13.3729
2025-06-05,12.03,13.1,11.62,13.1,12027,13.3455,13.3469
2025-06-06,13.51,13.51,13.51,13.51,500,13.362,13.3624
2025-06-09,13.51,13.51,11.86,12.93,6300,13.341,13.3213
2025-06-10,12.93,13.02,12.93,13.02,310,13.333,13.2926
