time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,55.9,55.9,55.7,55.8,29500,,
2020-01-03,56.0,56.0,55.5,55.8,30800,,
2020-01-06,55.8,55.8,55.6,55.6,28800,,
2020-01-07,55.8,55.8,55.6,55.6,19100,,
2020-01-08,55.7,55.9,55.6,55.7,30700,,
2020-01-09,55.8,56.0,55.6,56.0,30200,,
2020-01-10,55.8,55.9,55.7,55.8,32600,,
2020-01-13,55.8,56.0,55.7,55.9,30700,,
2020-01-14,55.8,55.9,55.5,55.8,30100,,
2020-01-15,55.9,55.9,55.7,55.7,29500,,
2020-01-16,55.8,55.8,55.6,55.6,29600,,
2020-01-17,55.7,55.9,55.6,55.6,30100,,
2020-01-20,55.7,55.9,55.6,55.7,31300,,
2020-01-21,55.7,55.9,55.6,55.6,30300,,
2020-01-22,55.7,55.7,55.5,55.7,45700,,
2020-01-30,55.7,56.0,55.5,55.6,31500,,
2020-01-31,55.9,55.9,55.6,55.6,30200,,
2020-02-03,55.7,56.0,55.6,56.0,30800,,
2020-02-04,56.0,56.0,55.8,55.8,30700,,
2020-02-05,55.8,55.8,55.5,55.7,31000,55.73,55.7366
2020-02-06,55.6,55.7,55.6,55.6,38200,55.72,55.7236
2020-02-07,55.7,55.7,55.4,55.5,33500,55.705,55.7023
2020-02-10,55.6,55.8,55.4,55.6,29100,55.705,55.6925
2020-02-11,55.6,55.6,55.5,55.5,32100,55.7,55.6742
2020-02-12,55.5,55.7,55.4,55.5,31700,55.69,55.6576
2020-02-13,55.8,55.8,55.4,55.4,32600,55.66,55.6331
2020-02-14,55.5,55.8,55.5,55.5,36000,55.645,55.6204
2020-02-17,55.7,55.7,55.6,55.6,44200,55.63,55.6185
2020-02-18,55.5,55.7,55.5,55.6,30200,55.62,55.6167
2020-02-19,55.8,55.8,55.5,55.6,27200,55.615,55.6151
2020-02-20,55.8,55.8,55.4,55.5,31000,55.61,55.6041
2020-02-21,55.7,55.7,55.3,55.4,31400,55.6,55.5847
2020-02-24,55.5,55.5,55.2,55.3,29500,55.58,55.5576
2020-02-25,55.3,55.5,55.3,55.4,30100,55.57,55.5426
