time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,10.27,10.27,10.27,10.27,0,,
2020-01-03,10.33,10.4,10.33,10.4,3300,,
2020-01-06,10.52,10.52,10.52,10.52,3100,,
2020-01-07,10.33,10.33,10.15,10.15,6300,,
2020-01-08,10.21,10.15,10.15,10.15,0,,
2020-01-09,10.96,10.96,10.96,10.96,100,,
2020-01-10,10.96,10.96,10.96,10.96,0,,
2020-01-13,10.27,10.27,10.27,10.27,400,,
2020-01-14,10.27,10.27,10.27,10.27,0,,
2020-01-15,10.27,10.27,10.27,10.27,0,,
2020-01-16,10.27,10.27,10.27,10.27,0,,
2020-01-17,10.27,10.27,10.27,10.27,100,,
2020-01-20,10.4,10.4,10.4,10.4,10400,,
2020-01-21,10.4,10.4,10.4,10.4,0,,
2020-01-22,11.03,11.03,11.03,11.03,100,,
2020-01-30,10.4,10.4,10.08,10.08,500,,
2020-01-31,10.4,10.4,10.4,10.4,200,,
2020-02-03,10.21,10.21,9.01,9.89,12000,,
2020-02-04,9.77,9.77,9.64,9.77,3000,,
2020-02-05,9.7,9.77,9.77,9.77,0,10.325,10.2391
2020-02-06,9.7,9.77,9.77,9.77,0,10.3,10.1945
2020-02-07,9.7,9.77,9.77,9.77,0,10.2685,10.154
2020-02-10,9.96,9.96,9.96,9.96,100,10.2405,10.1356
2020-02-11,9.96,9.96,9.96,9.96,0,10.231,10.1188
2020-02-12,10.08,10.59,10.08,10.59,1400,10.253,10.1637
2020-02-13,10.46,10.46,10.4,10.4,4600,10.225,10.1862
2020-02-14,10.46,10.46,10.46,10.46,1300,10.2,10.2123
2020-02-17,10.4,10.46,10.4,10.46,1300,10.2095,10.2359
2020-02-18,10.46,10.52,10.46,10.52,20500,10.222,10.2629
2020-02-19,10.52,10.52,10.52,10.52,5700,10.2345,10.2874
2020-02-20,10.46,10.46,10.46,10.46,150,10.244,10.3039
2020-02-21,10.46,10.46,10.46,10.46,0,10.2535,10.3187
2020-02-24,10.4,10.4,10.21,10.21,6300,10.244,10.3084
2020-02-25,8.76,10.27,8.76,10.27,6950,10.2375,10.3047
2020-02-26,10.4,10.4,10.4,10.4,2100,10.206,10.3138
2020-02-27,9.89,10.59,9.89,10.59,1300,10.2315,10.3401
2020-02-28,10.27,10.27,10.21,10.21,15200,10.222,10.3277
2020-03-02,10.21,10.21,10.21,10.21,11100,10.238,10.3165
2020-03-03,10.33,10.33,10.21,10.21,4500,10.26,10.3064
2020-03-04,10.15,10.27,10.15,10.27,900,10.285,10.3029
2020-03-05,10.21,10.21,10.21,10.21,1500,10.307,10.294
2020-03-06,10.21,10.21,10.21,10.21,0,10.329,10.286
2020-03-09,10.15,10.15,9.45,9.52,38400,10.307,10.2131
2020-03-10,8.63,9.77,8.63,9.77,5900,10.2975,10.1709
2020-03-11,9.58,9.58,9.52,9.52,4500,10.244,10.1089
2020-03-12,8.89,8.95,8.89,8.89,2300,10.1685,9.9928
2020-03-13,9.45,9.45,9.07,9.45,4000,10.118,9.9411
2020-03-16,8.32,8.76,8.32,8.57,2775,10.0235,9.8105
2020-03-17,8.32,9.58,8.32,9.58,2500,9.9765,9.7886
2020-03-18,9.07,9.58,9.58,9.58,0,9.9295,9.7687
2020-03-19,8.89,9.77,8.89,9.77,4800,9.895,9.7688
2020-03-20,9.01,9.01,9.01,9.01,1000,9.8225,9.6966
2020-03-23,9.45,9.45,9.33,9.45,4100,9.7845,9.6731
2020-03-24,9.26,9.26,9.14,9.14,1400,9.728,9.6223
2020-03-25,10.52,10.52,9.89,9.89,4800,9.7025,9.6478
2020-03-26,9.89,9.89,9.89,9.89,5700,9.6675,9.6709
2020-03-27,9.89,9.89,9.89,9.89,3100,9.6515,9.6917
2020-03-30,10.08,10.08,10.08,10.08,100,9.645,9.7287
2020-03-31,10.02,10.02,10.02,10.02,100,9.6355,9.7565
2020-04-01,9.96,9.96,9.96,9.96,615,9.62,9.7758
2020-04-03,10.15,10.15,10.15,10.15,900,9.617,9.8115
2020-04-06,10.15,10.27,10.08,10.27,1205,9.62,9.8551
2020-04-07,9.77,10.15,9.7,9.83,3820,9.6355,9.8528
2020-04-08,10.15,10.15,10.15,10.15,1200,9.6545,9.8811
2020-04-09,10.02,10.02,9.83,9.96,1208,9.6765,9.8886
2020-04-10,10.08,10.27,10.08,10.27,5300,9.7455,9.9249
2020-04-13,10.4,10.4,10.4,10.4,1000,9.793,9.9702
2020-04-14,10.4,10.4,10.4,10.4,7100,9.8845,10.0111
2020-04-15,10.4,10.4,9.89,9.89,2500,9.9,9.9996
2020-04-16,10.33,10.33,10.33,10.33,2500,9.9375,10.031
2020-04-17,9.96,10.02,9.83,10.02,1800,9.95,10.03
2020-04-20,9.96,9.96,9.89,9.96,24200,9.9975,10.0233
2020-04-21,10.02,10.02,9.83,9.83,1900,10.0165,10.0049
2020-04-22,9.89,9.89,9.89,9.89,1012,10.054,9.994
2020-04-23,10.15,10.15,9.77,9.77,4200,10.048,9.9726
2020-04-24,9.83,10.08,9.83,9.96,29900,10.0515,9.9714
2020-04-27,9.89,9.96,9.96,9.96,0,10.055,9.9703
2020-04-28,9.89,9.96,9.96,9.96,0,10.049,9.9694
2020-04-29,9.96,10.08,9.96,10.08,900,10.052,9.9799
2020-05-04,10.02,10.08,10.08,10.08,0,10.058,9.9894
2020-05-05,10.02,10.08,10.02,10.08,3300,10.0545,9.9981
2020-05-06,10.08,10.08,10.08,10.08,5000,10.045,10.0059
2020-05-07,10.27,10.27,10.27,10.27,200,10.067,10.031
2020-05-08,10.21,10.21,10.21,10.21,200,10.07,10.0481
2020-05-11,10.21,10.4,10.21,10.4,3400,10.092,10.0816
