time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,3.0,3.0,3.0,3.0,0,,
2020-01-03,3.0,3.0,3.0,3.0,0,,
2020-01-06,3.0,3.0,3.0,3.0,0,,
2020-01-07,3.0,3.0,3.0,3.0,0,,
2020-01-08,3.0,3.0,3.0,3.0,0,,
2020-01-09,3.0,3.0,3.0,3.0,0,,
2020-01-10,3.0,3.0,3.0,3.0,0,,
2020-01-13,3.0,3.0,3.0,3.0,0,,
2020-01-14,3.3,3.3,3.3,3.3,100,,
2020-01-15,3.3,3.3,3.3,3.3,0,,
2020-01-16,3.6,3.6,3.6,3.6,100,,
2020-01-17,3.6,3.6,3.6,3.6,0,,
2020-01-20,3.6,3.6,3.6,3.6,0,,
2020-01-21,3.6,3.6,3.6,3.6,0,,
2020-01-22,3.6,3.6,3.6,3.6,0,,
2020-01-30,3.6,3.6,3.6,3.6,0,,
2020-01-31,3.6,3.6,3.6,3.6,0,,
2020-02-03,3.6,3.6,3.6,3.6,0,,
2020-02-04,3.6,3.6,3.6,3.6,0,,
2020-02-05,4.0,4.0,3.8,3.8,200,3.34,3.4185
2020-02-06,3.9,3.8,3.8,3.8,0,3.38,3.4548
2020-02-07,3.9,3.8,3.8,3.8,0,3.42,3.4877
2020-02-10,3.9,3.8,3.8,3.8,0,3.46,3.5175
2020-02-11,3.9,3.8,3.8,3.8,0,3.5,3.5444
2020-02-12,3.9,3.8,3.8,3.8,0,3.54,3.5687
2020-02-13,3.9,3.8,3.8,3.8,0,3.58,3.5907
2020-02-14,3.9,3.8,3.8,3.8,0,3.62,3.6107
2020-02-17,3.9,3.8,3.8,3.8,0,3.66,3.6287
2020-02-18,3.9,3.8,3.8,3.8,0,3.685,3.645
2020-02-19,3.9,3.8,3.8,3.8,0,3.71,3.6598
2020-02-20,3.9,3.8,3.8,3.8,0,3.72,3.6731
2020-02-21,3.9,3.8,3.8,3.8,0,3.73,3.6852
2020-02-24,3.9,3.8,3.8,3.8,0,3.74,3.6961
2020-02-25,3.9,3.8,3.8,3.8,0,3.75,3.706
2020-02-26,3.9,3.8,3.8,3.8,0,3.76,3.715
2020-02-27,3.4,3.4,3.4,3.4,1000,3.75,3.685
2020-02-28,3.4,3.4,3.4,3.4,0,3.74,3.6578
2020-03-02,3.4,3.4,3.4,3.4,0,3.73,3.6333
2020-03-03,3.2,3.2,2.9,2.9,3700,3.695,3.5635
2020-03-04,2.9,2.9,2.9,2.9,0,3.65,3.5003
2020-03-05,3.0,3.0,3.0,3.0,3000,3.61,3.4526
2020-03-06,3.0,3.0,3.0,3.0,0,3.57,3.4095
2020-03-09,3.3,3.3,3.3,3.3,100,3.545,3.3991
2020-03-10,3.3,3.3,3.3,3.3,0,3.52,3.3896
2020-03-11,3.3,3.3,3.3,3.3,0,3.495,3.3811
2020-03-12,3.3,3.3,3.3,3.3,0,3.47,3.3734
2020-03-13,3.3,3.3,3.3,3.3,0,3.445,3.3664
2020-03-16,3.3,3.3,3.3,3.3,0,3.42,3.3601
2020-03-17,3.3,3.3,3.3,3.3,0,3.395,3.3544
2020-03-18,3.3,3.3,3.3,3.3,0,3.37,3.3492
2020-03-19,3.3,3.3,3.3,3.3,0,3.345,3.3445
2020-03-20,3.3,3.3,3.3,3.3,0,3.32,3.3403
2020-03-23,2.9,2.9,2.9,2.9,100,3.275,3.2983
2020-03-24,2.9,2.9,2.9,2.9,0,3.23,3.2604
2020-03-25,2.9,2.9,2.9,2.9,0,3.185,3.2261
2020-03-26,2.9,2.9,2.9,2.9,0,3.16,3.195
2020-03-27,2.9,2.9,2.9,2.9,0,3.135,3.1669
2020-03-30,3.2,3.2,3.2,3.2,100,3.125,3.1701
2020-03-31,3.5,3.5,3.5,3.5,100,3.155,3.2015
2020-04-01,3.5,3.5,3.5,3.5,0,3.185,3.2299
2020-04-03,3.9,3.9,3.9,3.9,100,3.23,3.2937
2020-04-06,4.3,4.3,4.3,4.3,100,3.295,3.3896
2020-04-07,4.3,4.3,4.3,4.3,0,3.345,3.4763
2020-04-08,4.3,4.3,4.3,4.3,0,3.395,3.5547
2020-04-09,4.3,4.3,4.3,4.3,0,3.445,3.6257
2020-04-10,4.3,4.3,4.3,4.3,0,3.495,3.6899
2020-04-13,4.3,4.3,4.3,4.3,0,3.545,3.748
2020-04-14,4.3,4.3,4.3,4.3,0,3.595,3.8006
2020-04-15,4.3,4.3,4.3,4.3,0,3.645,3.8482
2020-04-16,3.7,3.7,3.7,3.7,100,3.665,3.834
2020-04-17,3.2,3.2,3.2,3.2,500,3.66,3.7737
2020-04-20,3.2,3.2,3.2,3.2,0,3.655,3.719
2020-04-21,3.2,3.2,3.2,3.2,0,3.67,3.6696
2020-04-22,3.2,3.2,3.2,3.2,0,3.685,3.6249
2020-04-23,3.2,3.2,3.2,3.2,0,3.7,3.5844
2020-04-24,3.5,3.5,3.5,3.5,100,3.73,3.5764
2020-04-27,3.9,3.9,3.9,3.9,100,3.78,3.6072
2020-04-28,3.9,3.9,3.9,3.9,0,3.815,3.6351
2020-04-29,3.9,3.9,3.9,3.9,0,3.835,3.6603
2020-05-04,3.9,3.9,3.9,3.9,0,3.855,3.6831
2020-05-05,3.9,3.9,3.9,3.9,0,3.855,3.7038
2020-05-06,3.9,3.9,3.9,3.9,0,3.835,3.7225
2020-05-07,3.9,3.9,3.9,3.9,0,3.815,3.7394
2020-05-08,3.9,3.9,3.9,3.9,0,3.795,3.7547
2020-05-11,3.4,3.4,3.4,3.4,100,3.75,3.7209
2020-05-12,2.9,2.9,2.9,2.9,100,3.68,3.6427
2020-05-13,2.9,2.9,2.9,2.9,400,3.61,3.572
2020-05-14,2.9,2.9,2.9,2.9,300,3.54,3.508
2020-05-15,2.9,2.9,2.9,2.9,0,3.47,3.4501
2020-05-18,2.8,2.8,2.8,2.8,2800,3.425,3.3882
2020-05-19,2.8,2.8,2.8,2.8,0,3.405,3.3322
2020-05-20,2.8,2.8,2.8,2.8,0,3.385,3.2815
2020-05-21,3.1,3.1,3.0,3.0,600,3.375,3.2547
2020-05-22,3.4,3.5,2.7,2.7,505,3.35,3.2018
2020-05-25,3.3,3.3,3.3,3.3,500,3.355,3.2112
2020-05-26,3.3,3.3,3.3,3.3,0,3.345,3.2196
2020-05-27,3.2,3.2,3.2,3.2,400,3.31,3.2178
2020-05-28,3.2,3.2,3.2,3.2,0,3.275,3.2161
2020-05-29,3.1,3.1,3.1,3.1,700,3.235,3.205
2020-06-01,3.1,3.1,3.1,3.1,0,3.195,3.195
2020-06-02,3.1,3.1,3.1,3.1,1000,3.155,3.186
2020-06-03,3.1,3.1,3.1,3.1,0,3.115,3.1778
2020-06-04,3.1,3.1,3.1,3.1,0,3.075,3.1704
2020-06-05,3.1,3.1,3.1,3.1,0,3.035,3.1637
2020-06-08,3.1,3.1,3.1,3.1,0,3.02,3.1576
2020-06-09,3.1,3.1,3.1,3.1,0,3.03,3.1521
2020-06-10,3.1,3.1,3.1,3.1,0,3.04,3.1472
2020-06-11,3.1,3.1,3.1,3.1,0,3.05,3.1427
2020-06-12,3.1,3.1,3.1,3.1,0,3.06,3.1386
2020-06-15,3.0,3.0,3.0,3.0,3000,3.07,3.1254
2020-06-16,3.0,3.0,3.0,3.0,0,3.08,3.1135
2020-06-17,3.0,3.0,3.0,3.0,0,3.09,3.1027
2020-06-18,2.8,2.8,2.8,2.8,100,3.08,3.0738
2020-06-19,2.7,2.7,2.7,2.7,100,3.08,3.0382
2020-06-22,2.7,2.7,2.7,2.7,0,3.05,3.006
2020-06-23,2.7,2.7,2.7,2.7,0,3.02,2.9769
2020-06-24,2.5,2.5,2.4,2.4,500,2.98,2.9219
2020-06-25,2.4,2.4,2.4,2.4,0,2.94,2.8722
2020-06-26,2.4,2.4,2.4,2.4,0,2.905,2.8273
2020-06-29,2.4,2.4,2.4,2.4,0,2.87,2.7866
