time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,3.97,3.97,3.97,3.97,100,,
2020-01-03,4.23,4.23,4.23,4.23,300,,
2020-01-06,3.88,4.23,3.88,4.23,200,,
2020-01-07,4.23,4.23,4.23,4.23,0,,
2020-01-08,4.23,4.23,4.23,4.23,0,,
2020-01-09,4.06,4.06,4.06,4.06,100,,
2020-01-10,3.71,4.23,3.71,4.15,1000,,
2020-01-13,3.88,3.88,3.88,3.88,100,,
2020-01-14,3.88,3.88,3.88,3.88,0,,
2020-01-15,3.88,3.88,3.88,3.88,0,,
2020-01-16,3.88,3.88,3.88,3.88,0,,
2020-01-17,3.71,3.71,3.71,3.71,200,,
2020-01-20,3.71,3.71,3.71,3.71,0,,
2020-01-21,3.71,3.71,3.71,3.71,0,,
2020-01-22,3.79,3.79,3.79,3.79,100,,
2020-01-30,3.79,3.79,3.79,3.79,0,,
2020-01-31,3.79,3.79,3.79,3.79,0,,
2020-02-03,3.71,3.71,3.71,3.71,300,,
2020-02-04,3.71,3.71,3.71,3.71,0,,
2020-02-05,3.71,3.71,3.71,3.71,0,3.9125,3.8448
2020-02-06,3.71,3.71,3.71,3.71,0,3.8995,3.832
2020-02-07,3.97,3.97,3.79,3.79,400,3.8775,3.828
2020-02-10,4.15,4.15,4.15,4.15,160,3.8735,3.8587
2020-02-11,4.06,4.06,3.88,3.88,700,3.856,3.8607
2020-02-12,4.15,4.15,3.88,3.88,1800,3.8385,3.8625
2020-02-13,3.71,3.71,3.71,3.71,7500,3.821,3.848
2020-02-14,3.71,3.71,3.71,3.71,0,3.799,3.8349
2020-02-17,3.79,3.79,3.79,3.79,500,3.7945,3.8306
2020-02-18,3.62,3.62,3.53,3.62,4100,3.7815,3.8105
2020-02-19,3.79,3.79,3.79,3.79,2000,3.777,3.8086
2020-02-20,3.79,3.79,3.79,3.79,0,3.7725,3.8068
2020-02-21,3.62,3.62,3.53,3.62,2280,3.768,3.789
2020-02-24,3.71,3.71,3.62,3.62,2200,3.7635,3.7729
2020-02-25,3.79,3.79,3.79,3.79,200,3.7675,3.7745
2020-02-26,3.53,3.71,3.53,3.71,12200,3.7635,3.7684
2020-02-27,3.71,3.71,3.71,3.71,0,3.7595,3.7628
2020-02-28,3.53,3.53,3.53,3.53,1500,3.7465,3.7407
2020-03-02,3.71,3.88,3.71,3.79,6000,3.7505,3.7454
2020-03-03,3.71,3.71,3.71,3.71,1100,3.7505,3.742
2020-03-04,3.62,3.62,3.62,3.62,1911,3.746,3.7304
2020-03-05,3.62,3.62,3.53,3.53,4930,3.737,3.7113
2020-03-06,3.53,3.62,3.53,3.62,3700,3.7285,3.7026
2020-03-09,3.44,3.44,3.35,3.35,1320,3.6885,3.669
2020-03-10,3.18,3.35,3.18,3.35,1100,3.662,3.6386
2020-03-11,3.44,3.44,3.44,3.44,3000,3.64,3.6197
2020-03-12,3.26,3.26,3.26,3.26,400,3.6175,3.5855
2020-03-13,3.26,3.53,3.09,3.53,1900,3.6085,3.5802
2020-03-16,3.44,3.44,3.44,3.44,100,3.591,3.5668
2020-03-17,3.26,3.26,3.26,3.26,150,3.573,3.5376
2020-03-18,3.26,3.26,3.26,3.26,300,3.5465,3.5112
2020-03-19,3.18,3.18,3.09,3.09,7760,3.5115,3.4711
2020-03-20,3.09,3.09,3.09,3.09,1000,3.485,3.4348
2020-03-23,3.09,3.09,3.09,3.09,10,3.4585,3.4019
2020-03-24,3.09,3.09,3.09,3.09,0,3.4235,3.3722
2020-03-25,3.09,3.09,3.09,3.09,0,3.3925,3.3453
2020-03-26,3.09,3.09,3.09,3.09,1311,3.3615,3.321
2020-03-27,3.09,3.09,3.09,3.09,400,3.3395,3.299
2020-03-30,3.09,3.09,3.09,3.09,0,3.3045,3.2791
2020-03-31,3.0,3.35,2.82,3.35,1700,3.2865,3.2859
2020-04-01,3.35,3.53,3.09,3.53,1850,3.282,3.3091
2020-04-03,3.53,3.53,3.18,3.18,2700,3.2645,3.2968
2020-04-06,3.18,3.44,3.18,3.44,4650,3.2555,3.3105
2020-04-07,3.44,3.44,3.26,3.26,1200,3.251,3.3057
2020-04-08,3.18,3.35,3.0,3.0,7000,3.2335,3.2765
2020-04-09,3.0,3.0,3.0,3.0,0,3.2115,3.2502
2020-04-10,3.0,3.09,3.0,3.09,3000,3.203,3.2349
2020-04-13,3.09,3.09,3.09,3.09,1100,3.181,3.2211
2020-04-14,3.18,3.18,3.18,3.18,100,3.168,3.2172
2020-04-15,3.09,3.09,3.09,3.09,100,3.1595,3.2051
2020-04-16,3.18,3.35,3.09,3.35,2330,3.164,3.2189
2020-04-17,3.26,3.44,3.26,3.44,9205,3.1815,3.24
2020-04-20,3.53,3.71,3.53,3.71,15050,3.2125,3.2847
2020-04-21,3.71,3.71,3.71,3.71,2100,3.2435,3.3252
2020-04-22,3.53,3.71,3.53,3.71,3900,3.2745,3.3619
2020-04-23,3.35,3.71,3.35,3.71,600,3.3055,3.395
2020-04-24,3.71,3.71,3.71,3.71,500,3.3365,3.425
2020-04-27,3.35,3.35,3.35,3.35,100,3.3495,3.4179
2020-04-28,3.18,3.18,3.18,3.18,100,3.354,3.3952
2020-04-29,3.35,3.44,3.26,3.26,4455,3.3495,3.3823
2020-05-04,3.53,3.53,3.53,3.53,4403,3.3495,3.3964
2020-05-05,3.53,3.53,3.53,3.53,610,3.367,3.4091
2020-05-06,3.53,3.53,3.53,3.53,0,3.3715,3.4206
2020-05-07,3.44,3.44,3.44,3.44,143,3.3805,3.4225
2020-05-08,3.26,3.53,3.26,3.35,3903,3.398,3.4156
2020-05-11,3.44,3.44,3.44,3.44,7500,3.42,3.4179
