time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,6.37,6.37,6.37,6.37,0,,
2020-01-03,6.37,6.37,6.37,6.37,0,,
2020-01-06,6.37,6.37,6.37,6.37,0,,
2020-01-07,6.37,6.37,6.37,6.37,0,,
2020-01-08,6.37,6.37,6.37,6.37,0,,
2020-01-09,6.37,6.37,6.37,6.37,0,,
2020-01-10,6.37,6.37,6.37,6.37,0,,
2020-01-13,6.37,6.37,6.37,6.37,0,,
2020-01-14,6.37,6.37,6.37,6.37,0,,
2020-01-15,6.37,6.37,6.37,6.37,0,,
2020-01-16,6.37,6.37,6.37,6.37,0,,
2020-01-17,6.37,6.37,6.37,6.37,0,,
2020-01-20,6.37,6.37,6.37,6.37,0,,
2020-01-21,6.37,6.37,6.37,6.37,0,,
2020-01-22,6.37,6.37,6.37,6.37,0,,
2020-01-30,6.37,6.37,6.37,6.37,0,,
2020-01-31,6.37,6.37,6.37,6.37,0,,
2020-02-03,6.37,6.37,6.37,6.37,0,,
2020-02-04,6.37,6.37,6.37,6.37,0,,
2020-02-05,6.37,6.37,6.37,6.37,0,6.37,6.37
2020-02-06,6.37,6.37,6.37,6.37,0,6.37,6.37
2020-02-07,6.37,6.37,6.37,6.37,0,6.37,6.37
2020-02-10,6.37,6.37,6.37,6.37,0,6.37,6.37
2020-02-11,6.37,6.37,6.37,6.37,0,6.37,6.37
2020-02-12,6.37,6.37,6.37,6.37,0,6.37,6.37
2020-02-13,6.37,6.37,6.37,6.37,0,6.37,6.37
2020-02-14,6.37,6.37,6.37,6.37,0,6.37,6.37
2020-02-17,6.37,6.37,6.37,6.37,0,6.37,6.37
2020-02-18,6.37,6.37,6.37,6.37,0,6.37,6.37
2020-02-19,6.37,6.37,6.37,6.37,0,6.37,6.37
2020-02-20,6.37,6.37,6.37,6.37,0,6.37,6.37
2020-02-21,6.37,6.37,6.37,6.37,0,6.37,6.37
2020-02-24,6.37,6.37,6.37,6.37,0,6.37,6.37
2020-02-25,6.37,6.37,6.37,6.37,0,6.37,6.37
2020-02-26,6.37,6.37,6.37,6.37,0,6.37,6.37
2020-02-27,6.37,6.37,6.37,6.37,0,6.37,6.37
2020-02-28,6.37,6.37,6.37,6.37,0,6.37,6.37
2020-03-02,6.49,6.49,6.49,6.49,100,6.376,6.3814
2020-03-03,6.49,6.49,6.49,6.49,0,6.382,6.3918
2020-03-04,6.49,6.49,6.49,6.49,0,6.388,6.4011
2020-03-05,6.49,6.49,6.49,6.49,0,6.394,6.4096
2020-03-06,6.55,6.55,6.55,6.55,400,6.403,6.423
2020-03-09,6.55,6.55,6.55,6.55,0,6.412,6.4351
2020-03-10,6.55,6.55,6.55,6.55,0,6.421,6.446
2020-03-11,6.55,6.55,6.55,6.55,0,6.43,6.4559
2020-03-12,6.55,6.55,6.55,6.55,0,6.439,6.4649
2020-03-13,6.55,6.55,6.55,6.55,0,6.448,6.473
2020-03-16,6.55,6.55,6.55,6.55,0,6.457,6.4803
2020-03-17,6.55,6.55,6.55,6.55,0,6.466,6.487
2020-03-18,6.55,6.55,6.55,6.55,0,6.475,6.493
2020-03-19,6.55,6.55,6.55,6.55,0,6.484,6.4984
2020-03-20,6.55,6.55,6.55,6.55,0,6.493,6.5033
2020-03-23,6.55,6.55,6.55,6.55,0,6.502,6.5078
2020-03-24,6.55,6.55,6.55,6.55,0,6.511,6.5118
2020-03-25,6.55,6.55,6.55,6.55,0,6.52,6.5154
2020-03-26,6.55,6.55,6.55,6.55,0,6.529,6.5187
2020-03-27,6.55,6.55,6.55,6.55,0,6.538,6.5217
2020-03-30,6.55,6.55,6.55,6.55,0,6.541,6.5244
2020-03-31,6.55,6.55,6.55,6.55,0,6.544,6.5268
2020-04-01,6.55,6.55,6.55,6.55,0,6.547,6.529
2020-04-03,6.55,6.55,6.55,6.55,0,6.55,6.531
2020-04-06,6.55,6.55,6.55,6.55,0,6.55,6.5328
2020-04-07,6.55,6.55,6.55,6.55,0,6.55,6.5345
2020-04-08,6.55,6.55,6.55,6.55,0,6.55,6.5359
2020-04-09,6.55,6.55,6.55,6.55,0,6.55,6.5373
2020-04-10,6.55,6.55,6.55,6.55,0,6.55,6.5385
2020-04-13,6.55,6.55,6.55,6.55,0,6.55,6.5396
