time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,1.8,1.8,1.8,1.8,0,,
2020-01-03,1.8,1.8,1.8,1.8,0,,
2020-01-06,1.8,1.8,1.8,1.8,0,,
2020-01-07,1.8,1.8,1.8,1.8,0,,
2020-01-08,1.8,1.8,1.8,1.8,1500,,
2020-01-09,1.8,2.0,1.8,2.0,1100,,
2020-01-10,1.7,1.7,1.6,1.6,5900,,
2020-01-13,1.6,1.8,1.6,1.7,4600,,
2020-01-14,1.8,1.9,1.8,1.9,1600,,
2020-01-15,2.0,2.0,2.0,2.0,100,,
2020-01-16,2.0,2.0,2.0,2.0,0,,
2020-01-17,2.0,2.0,2.0,2.0,0,,
2020-01-20,1.9,1.9,1.9,1.9,1000,,
2020-01-21,1.9,1.9,1.9,1.9,0,,
2020-01-22,2.1,2.1,2.1,2.1,2500,,
2020-01-30,1.8,1.8,1.8,1.8,18800,,
2020-01-31,1.8,1.8,1.6,1.6,600,,
2020-02-03,1.8,1.8,1.8,1.8,10000,,
2020-02-04,1.7,1.7,1.6,1.6,400,,
2020-02-05,1.6,1.6,1.6,1.6,0,1.825,1.8
2020-02-06,1.6,1.6,1.6,1.6,0,1.815,1.7809
2020-02-07,1.7,1.7,1.7,1.7,300,1.81,1.7732
2020-02-10,1.8,1.8,1.8,1.8,100,1.81,1.7758
2020-02-11,1.8,1.8,1.8,1.8,3700,1.81,1.7781
2020-02-12,1.8,1.8,1.8,1.8,0,1.81,1.7802
2020-02-13,1.7,1.7,1.7,1.7,900,1.795,1.7725
2020-02-14,1.7,1.7,1.7,1.7,3200,1.8,1.7656
2020-02-17,1.7,1.7,1.7,1.7,5000,1.8,1.7594
2020-02-18,1.8,1.8,1.8,1.8,200,1.795,1.7632
2020-02-19,1.8,1.8,1.8,1.8,0,1.785,1.7667
2020-02-20,1.8,1.8,1.8,1.8,0,1.775,1.7699
2020-02-21,1.7,1.7,1.7,1.7,600,1.76,1.7633
2020-02-24,1.7,1.7,1.7,1.7,0,1.75,1.7572
2020-02-25,1.6,1.6,1.5,1.5,40500,1.73,1.7327
2020-02-26,1.5,1.5,1.3,1.3,3700,1.69,1.6915
2020-02-27,1.3,1.3,1.2,1.3,33900,1.665,1.6542
2020-02-28,1.2,1.2,1.2,1.2,45300,1.645,1.611
2020-03-02,1.2,1.3,1.1,1.1,45700,1.61,1.5623
2020-03-03,1.3,1.3,1.3,1.3,12100,1.595,1.5373
2020-03-04,1.4,1.4,1.4,1.4,11000,1.585,1.5242
2020-03-05,1.5,1.6,1.3,1.4,37000,1.575,1.5124
2020-03-06,1.3,1.3,1.2,1.2,15100,1.55,1.4827
2020-03-09,1.4,1.4,1.2,1.4,12400,1.53,1.4748
2020-03-10,1.3,1.3,1.3,1.3,19900,1.505,1.4581
2020-03-11,1.4,1.4,1.3,1.4,2900,1.485,1.4526
2020-03-12,1.4,1.4,1.2,1.2,10700,1.46,1.4285
2020-03-13,1.1,1.3,1.1,1.3,101100,1.44,1.4163
2020-03-16,1.2,1.2,1.1,1.2,6700,1.415,1.3957
2020-03-17,1.2,1.2,1.1,1.2,39200,1.385,1.3771
2020-03-18,1.2,1.3,1.1,1.3,35300,1.36,1.3697
2020-03-19,1.3,1.3,1.2,1.3,7300,1.335,1.3631
2020-03-20,1.2,1.4,1.2,1.4,5800,1.32,1.3666
2020-03-23,1.2,1.2,1.2,1.2,1900,1.295,1.3507
2020-03-24,1.2,1.3,1.2,1.3,7600,1.285,1.3459
2020-03-25,1.3,1.4,1.3,1.4,1800,1.29,1.3511
2020-03-26,1.4,1.4,1.4,1.4,0,1.295,1.3557
2020-03-27,1.2,1.3,1.2,1.3,800,1.3,1.3504
2020-03-30,1.4,1.4,1.4,1.4,100,1.315,1.3551
2020-03-31,1.4,1.4,1.4,1.4,200,1.32,1.3594
2020-04-01,1.6,1.6,1.4,1.6,5200,1.33,1.3823
2020-04-03,1.4,1.4,1.3,1.3,3000,1.325,1.3745
2020-04-06,1.4,1.4,1.3,1.4,13300,1.335,1.3769
2020-04-07,1.2,1.4,1.2,1.4,10000,1.335,1.3791
2020-04-08,1.4,1.4,1.4,1.4,8110,1.34,1.3811
2020-04-09,1.3,1.5,1.3,1.5,5400,1.345,1.3924
2020-04-10,1.2,1.3,1.2,1.3,42000,1.35,1.3836
2020-04-13,1.2,1.2,1.2,1.2,13500,1.345,1.3661
2020-04-14,1.2,1.2,1.1,1.2,18100,1.345,1.3503
2020-04-15,1.2,1.2,1.2,1.2,44500,1.345,1.336
2020-04-16,1.2,1.2,1.2,1.2,8000,1.34,1.323
2020-04-17,1.3,1.3,1.2,1.2,16100,1.335,1.3113
2020-04-20,1.2,1.2,1.2,1.2,0,1.325,1.3007
2020-04-21,1.2,1.2,1.2,1.2,0,1.325,1.2911
2020-04-22,1.2,1.2,1.2,1.2,0,1.32,1.2825
2020-04-23,1.2,1.2,1.2,1.2,200,1.31,1.2746
2020-04-24,1.2,1.2,1.2,1.2,0,1.3,1.2675
2020-04-27,1.2,1.3,1.2,1.3,2100,1.3,1.2706
2020-04-28,1.1,1.2,1.1,1.2,10200,1.29,1.2639
2020-04-29,1.2,1.3,1.2,1.3,108100,1.285,1.2673
2020-05-04,1.3,1.3,1.2,1.2,77600,1.265,1.2609
2020-05-05,1.2,1.2,1.2,1.2,3200,1.26,1.2551
2020-05-06,1.3,1.3,1.3,1.3,100,1.255,1.2594
2020-05-07,1.2,1.2,1.2,1.2,3500,1.245,1.2537
2020-05-08,1.2,1.2,1.2,1.2,10000,1.235,1.2486
2020-05-11,1.2,1.2,1.2,1.2,900,1.22,1.244
2020-05-12,1.2,1.2,1.2,1.2,23600,1.215,1.2398
2020-05-13,1.3,1.3,1.3,1.3,54600,1.22,1.2455
2020-05-14,1.4,1.4,1.4,1.4,105900,1.23,1.2602
2020-05-15,1.6,1.6,1.6,1.6,73800,1.25,1.2926
2020-05-18,1.8,1.8,1.8,1.8,122600,1.28,1.3409
2020-05-19,1.8,1.9,1.8,1.9,13300,1.315,1.3942
2020-05-20,1.6,1.6,1.6,1.6,1100,1.335,1.4138
2020-05-21,1.5,1.5,1.4,1.4,5400,1.345,1.4125
2020-05-22,1.6,1.6,1.6,1.6,100,1.365,1.4303
2020-05-25,1.5,1.5,1.4,1.4,5700,1.375,1.4274
2020-05-26,1.4,1.4,1.3,1.3,12700,1.38,1.4153
2020-05-27,1.4,1.4,1.4,1.4,800,1.385,1.4138
2020-05-28,1.5,1.6,1.3,1.5,3300,1.4,1.422
2020-05-29,1.5,1.7,1.5,1.6,4200,1.415,1.439
2020-06-01,1.7,1.7,1.7,1.7,400,1.44,1.4638
2020-06-02,1.6,1.6,1.6,1.6,500,1.46,1.4768
2020-06-03,1.5,1.5,1.4,1.4,4300,1.465,1.4695
2020-06-04,1.4,1.5,1.4,1.4,9300,1.475,1.4629
2020-06-05,1.4,1.6,1.4,1.5,23700,1.49,1.4664
2020-06-08,1.5,1.5,1.3,1.3,112000,1.495,1.4506
2020-06-09,1.4,1.4,1.4,1.4,5900,1.505,1.4458
2020-06-10,1.6,1.6,1.6,1.6,400,1.52,1.4604
2020-06-11,1.5,1.5,1.4,1.4,106000,1.52,1.4547
2020-06-12,1.4,1.4,1.4,1.4,2700,1.51,1.4495
2020-06-15,1.5,1.5,1.4,1.4,87400,1.49,1.4448
2020-06-16,1.4,1.4,1.4,1.4,30000,1.465,1.4405
2020-06-17,1.5,1.5,1.4,1.4,8900,1.455,1.4366
2020-06-18,1.4,1.4,1.4,1.4,0,1.455,1.4332
2020-06-19,1.4,1.4,1.4,1.4,0,1.445,1.43
2020-06-22,1.4,1.5,1.4,1.5,4700,1.45,1.4367
2020-06-23,1.4,1.4,1.4,1.4,3500,1.455,1.4332
2020-06-24,1.4,1.4,1.4,1.4,300,1.455,1.43
2020-06-25,1.4,1.4,1.4,1.4,0,1.45,1.4272
2020-06-26,1.3,1.3,1.3,1.3,700,1.435,1.415
2020-06-29,1.3,1.3,1.3,1.3,0,1.415,1.4041
2020-06-30,1.3,1.3,1.3,1.3,0,1.4,1.3942
2020-07-01,1.3,1.3,1.3,1.3,0,1.395,1.3852
2020-07-02,1.3,1.3,1.3,1.3,0,1.39,1.3771
2020-07-03,1.3,1.3,1.3,1.3,2000,1.38,1.3697
2020-07-06,1.3,1.3,1.3,1.3,0,1.38,1.3631
2020-07-07,1.4,1.4,1.3,1.3,2400,1.375,1.3571
2020-07-08,1.3,1.3,1.3,1.3,100,1.36,1.3517
2020-07-09,1.4,1.4,1.3,1.4,18100,1.36,1.3563
2020-07-10,1.4,1.4,1.4,1.4,500,1.36,1.3604
2020-07-13,1.5,1.5,1.5,1.5,100,1.365,1.3737
2020-07-14,1.5,1.5,1.5,1.5,0,1.37,1.3857
2020-07-15,1.5,1.5,1.5,1.5,0,1.375,1.3966
2020-07-16,1.5,1.5,1.5,1.5,0,1.38,1.4065
2020-07-17,1.3,1.3,1.3,1.3,100,1.375,1.3963
2020-07-20,1.3,1.3,1.3,1.3,71000,1.365,1.3872
2020-07-21,1.3,1.4,1.3,1.3,21100,1.36,1.3789
2020-07-22,1.3,1.4,1.3,1.4,300,1.36,1.3809
2020-07-23,1.3,1.3,1.3,1.3,500,1.355,1.3732
2020-07-24,1.2,1.2,1.2,1.2,12500,1.35,1.3567
2020-07-27,1.3,1.3,1.2,1.2,149300,1.345,1.3418
2020-07-28,1.3,1.3,1.3,1.3,400,1.345,1.3378
2020-07-29,1.2,1.2,1.2,1.2,11210,1.34,1.3247
2020-07-30,1.2,1.3,1.2,1.3,16400,1.34,1.3223
2020-07-31,1.3,1.3,1.3,1.3,0,1.34,1.3202
2020-08-03,1.2,1.2,1.2,1.2,100,1.335,1.3087
2020-08-04,1.3,1.3,1.3,1.3,19000,1.335,1.3079
2020-08-05,1.4,1.4,1.4,1.4,180200,1.34,1.3167
2020-08-06,1.6,1.6,1.6,1.6,267400,1.35,1.3437
2020-08-07,1.8,1.8,1.5,1.6,102910,1.36,1.3681
2020-08-10,1.7,1.7,1.5,1.5,10500,1.36,1.3806
2020-08-11,1.4,1.4,1.4,1.4,38200,1.355,1.3825
2020-08-12,1.4,1.4,1.4,1.4,3410,1.35,1.3841
2020-08-13,1.3,1.4,1.3,1.3,15400,1.34,1.3761
2020-08-14,1.3,1.3,1.2,1.3,22900,1.34,1.3689
2020-08-17,1.3,1.3,1.3,1.3,40700,1.34,1.3623
2020-08-18,1.4,1.4,1.4,1.4,86910,1.345,1.3659
2020-08-19,1.4,1.5,1.4,1.5,24200,1.35,1.3787
2020-08-20,1.5,1.5,1.3,1.3,9600,1.35,1.3712
2020-08-21,1.4,1.4,1.4,1.4,15100,1.36,1.3739
2020-08-24,1.5,1.5,1.4,1.4,34800,1.37,1.3764
2020-08-25,1.4,1.4,1.4,1.4,19100,1.375,1.3787
2020-08-26,1.4,1.4,1.4,1.4,52800,1.385,1.3807
2020-08-27,1.4,1.4,1.4,1.4,11300,1.39,1.3825
2020-08-28,1.4,1.4,1.4,1.4,16801,1.395,1.3842
2020-08-31,1.5,1.6,1.5,1.6,73500,1.415,1.4047
2020-09-01,1.7,1.7,1.6,1.6,29000,1.43,1.4233
2020-09-03,1.6,1.6,1.6,1.6,20000,1.44,1.4402
2020-09-04,1.5,1.5,1.5,1.5,26300,1.435,1.4459
2020-09-07,1.5,1.5,1.5,1.5,0,1.43,1.451
2020-09-08,1.5,1.5,1.5,1.5,0,1.43,1.4557
2020-09-09,1.6,1.6,1.6,1.6,1000,1.44,1.4694
2020-09-10,1.6,1.6,1.5,1.5,17300,1.445,1.4723
2020-09-11,1.4,1.4,1.4,1.4,100,1.45,1.4655
2020-09-14,1.4,1.4,1.4,1.4,14300,1.455,1.4592
2020-09-15,1.5,1.5,1.5,1.5,400,1.465,1.4631
2020-09-16,1.4,1.4,1.4,1.4,3500,1.465,1.4571
2020-09-17,1.4,1.4,1.4,1.4,210,1.46,1.4517
2020-09-18,1.4,1.5,1.4,1.5,700,1.47,1.4563
2020-09-21,1.5,1.5,1.4,1.4,31200,1.47,1.4509
