time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,12.0,12.0,12.0,12.0,0,,
2020-01-03,12.0,12.0,12.0,12.0,0,,
2020-01-06,12.0,12.0,12.0,12.0,0,,
2020-01-07,12.0,12.0,12.0,12.0,0,,
2020-01-08,12.0,12.0,12.0,12.0,0,,
2020-01-09,12.0,12.0,12.0,12.0,0,,
2020-01-10,12.0,12.0,12.0,12.0,0,,
2020-01-13,12.0,12.0,12.0,12.0,0,,
2020-01-14,12.0,12.0,12.0,12.0,0,,
2020-01-15,12.0,12.0,12.0,12.0,0,,
2020-01-16,10.0,10.0,10.0,10.0,77800,,
2020-01-17,10.0,10.0,10.0,10.0,0,,
2020-01-20,10.0,10.0,10.0,10.0,0,,
2020-01-21,10.0,10.0,10.0,10.0,0,,
2020-01-22,10.0,10.0,10.0,10.0,0,,
2020-01-30,10.0,10.0,10.0,10.0,0,,
2020-01-31,10.0,10.0,10.0,10.0,0,,
2020-02-03,10.0,10.0,10.0,10.0,0,,
2020-02-04,10.0,10.0,10.0,10.0,0,,
2020-02-05,10.0,10.0,10.0,10.0,0,11.0,10.7351
2020-02-06,10.0,10.0,10.0,10.0,0,10.9,10.6651
2020-02-07,11.5,11.5,11.5,11.5,100,10.875,10.7446
2020-02-10,11.5,11.5,11.5,11.5,0,10.85,10.8166
2020-02-11,11.5,11.5,11.5,11.5,0,10.825,10.8817
2020-02-12,11.5,11.5,11.5,11.5,0,10.8,10.9406
2020-02-13,11.5,11.5,11.5,11.5,0,10.775,10.9938
2020-02-14,11.5,11.5,11.5,11.5,6,10.75,11.042
2020-02-17,11.5,11.5,11.5,11.5,0,10.725,11.0857
2020-02-18,11.5,11.5,11.5,11.5,0,10.7,11.1251
2020-02-19,11.5,11.5,11.5,11.5,17,10.675,11.1608
2020-02-20,11.5,11.5,11.5,11.5,0,10.75,11.1931
2020-02-21,9.8,9.8,9.8,9.8,214006,10.74,11.0604
2020-02-24,9.8,9.8,9.8,9.8,0,10.73,10.9404
2020-02-25,9.8,9.8,9.8,9.8,0,10.72,10.8318
2020-02-26,9.8,9.8,9.8,9.8,0,10.71,10.7335
2020-02-27,9.8,9.8,9.8,9.8,0,10.7,10.6446
2020-02-28,9.8,9.8,9.8,9.8,0,10.69,10.5642
2020-03-02,9.8,9.8,9.8,9.8,0,10.68,10.4914
2020-03-03,9.8,9.8,9.8,9.8,0,10.67,10.4256
2020-03-04,9.8,9.8,9.8,9.8,0,10.66,10.366
2020-03-05,11.2,11.2,11.2,11.2,100,10.72,10.4454
