time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,20.27,20.27,20.27,20.27,100,,
2020-01-03,22.33,22.33,21.18,21.18,2500,,
2020-01-06,23.66,23.66,19.66,19.66,11000,,
2020-01-07,22.33,22.33,21.18,21.18,1800,,
2020-01-08,23.17,23.17,21.18,21.18,2400,,
2020-01-09,22.02,21.18,21.18,21.18,0,,
2020-01-10,22.02,21.18,21.18,21.18,0,,
2020-01-13,21.18,21.18,20.57,20.57,1800,,
2020-01-14,21.36,21.36,20.57,20.57,5600,,
2020-01-15,20.57,20.57,20.57,20.57,1000,,
2020-01-16,22.02,22.02,20.57,20.57,1900,,
2020-01-17,21.24,20.57,20.57,20.57,0,,
2020-01-20,20.57,20.57,20.39,20.57,3900,,
2020-01-21,20.57,20.57,20.27,20.57,1100,,
2020-01-22,20.15,20.15,19.66,19.97,19000,,
2020-01-30,19.97,21.78,19.97,21.78,3829,,
2020-01-31,21.42,21.42,19.97,19.97,4000,,
2020-02-03,18.88,20.57,18.76,20.51,4507,,
2020-02-04,20.81,21.12,20.57,21.12,3113,,
2020-02-05,22.87,22.87,22.87,22.87,800,20.802,20.8358
2020-02-06,21.18,21.18,20.57,20.57,7200,20.817,20.8105
2020-02-07,22.75,22.75,21.18,21.18,5800,20.817,20.8457
2020-02-10,21.42,21.42,21.42,21.42,1000,20.905,20.9004
2020-02-11,24.02,24.02,21.42,21.42,2100,20.917,20.9499
2020-02-12,21.42,21.78,21.18,21.18,3300,20.917,20.9718
2020-02-13,21.42,21.66,21.18,21.66,7705,20.941,21.0373
2020-02-14,21.42,21.42,21.42,21.42,500,20.953,21.0738
2020-02-17,22.69,22.69,22.69,22.69,1100,21.059,21.2277
2020-02-18,21.48,21.48,21.48,21.48,3400,21.1045,21.2517
2020-02-19,23.23,23.23,21.66,21.66,1711,21.159,21.2906
2020-02-20,22.51,21.66,21.66,21.66,0,21.2135,21.3258
2020-02-21,22.39,22.39,22.39,22.39,100,21.3045,21.4271
2020-02-24,19.06,22.33,19.06,21.78,1100,21.365,21.4607
2020-02-25,21.78,21.78,21.78,21.78,100,21.4255,21.4911
2020-02-26,21.18,22.02,21.18,22.02,1900,21.528,21.5415
2020-02-27,21.72,21.72,21.48,21.48,200,21.513,21.5357
2020-02-28,24.08,24.08,24.08,24.08,1800,21.7185,21.778
2020-03-02,21.18,21.18,21.18,21.18,1200,21.752,21.721
2020-03-03,21.18,21.18,21.18,21.18,0,21.755,21.6695
2020-03-04,22.63,22.63,21.18,21.18,2700,21.6705,21.6229
2020-03-05,22.08,21.18,21.18,21.18,0,21.701,21.5807
2020-03-06,21.18,21.18,20.99,20.99,700,21.6915,21.5244
2020-03-09,20.57,21.12,20.57,21.12,1100,21.6765,21.4859
2020-03-10,23.35,23.35,23.35,23.35,1006,21.773,21.6635
2020-03-11,21.18,21.18,21.18,21.18,1000,21.773,21.6174
2020-03-12,22.33,22.33,22.33,22.33,1000,21.8065,21.6853
2020-03-13,21.18,21.18,21.18,21.18,100,21.7945,21.6372
2020-03-16,21.9,21.96,21.18,21.18,1600,21.719,21.5936
2020-03-17,21.18,22.26,21.18,22.26,806,21.758,21.6571
2020-03-18,22.26,22.26,22.26,22.26,1100,21.788,21.7145
2020-03-19,22.93,22.93,20.57,20.57,4700,21.7335,21.6055
2020-03-20,20.99,20.57,20.57,20.57,0,21.6425,21.5069
2020-03-23,21.42,21.42,19.36,19.36,16300,21.5215,21.3024
2020-03-24,21.12,21.12,20.27,20.57,1600,21.461,21.2327
2020-03-25,20.57,20.57,20.57,20.57,1791,21.3885,21.1696
2020-03-26,21.9,21.96,20.51,20.57,3000,21.343,21.1125
2020-03-27,21.42,21.42,21.42,21.42,700,21.21,21.1417
2020-03-30,20.57,20.57,20.57,20.57,200,21.1795,21.0873
2020-03-31,20.27,20.57,20.27,20.57,3600,21.149,21.038
2020-04-01,22.2,22.2,21.18,21.18,1400,21.149,21.0515
2020-04-03,21.54,21.54,21.54,21.18,34,21.149,21.0638
2020-04-06,21.18,21.18,21.18,21.18,1900,21.1585,21.0748
2020-04-07,21.18,21.18,21.18,21.18,0,21.1615,21.0849
2020-04-08,21.18,21.18,20.99,21.05,400,21.0465,21.0815
2020-04-09,20.57,21.05,20.57,20.57,500,21.016,21.0328
2020-04-10,22.2,22.2,22.2,22.2,200,21.0095,21.144
2020-04-13,23.54,23.54,20.39,20.57,1300,20.979,21.0893
2020-04-14,21.12,21.18,21.05,21.05,300,20.9725,21.0856
2020-04-15,21.18,21.18,21.05,21.18,2400,20.9185,21.0946
2020-04-16,21.18,21.18,21.18,21.18,400,20.8645,21.1027
2020-04-17,21.18,21.3,21.18,21.3,600,20.901,21.1215
2020-04-20,22.39,24.2,22.39,22.99,5400,21.022,21.2994
2020-04-21,21.3,22.69,21.3,22.69,200,21.1885,21.4319
2020-04-22,21.3,22.45,21.3,22.39,5634,21.2795,21.5231
2020-04-23,22.39,22.39,22.39,22.39,600,21.3705,21.6057
2020-04-24,22.39,22.39,21.78,21.78,1000,21.431,21.6223
2020-04-27,22.26,22.33,22.26,22.26,3892,21.473,21.683
2020-04-28,22.26,22.26,22.26,22.26,0,21.5575,21.738
2020-04-29,22.99,22.99,22.99,22.99,100,21.6785,21.8572
2020-05-04,24.2,24.2,22.69,22.93,10600,21.766,21.9594
2020-05-05,22.99,22.99,22.99,22.99,100,21.8565,22.0575
2020-05-06,21.18,21.18,21.18,21.18,100,21.8565,21.974
2020-05-07,21.18,21.18,21.18,21.18,0,21.8565,21.8983
2020-05-08,21.18,21.18,21.18,21.18,1,21.863,21.8299
2020-05-11,21.18,21.18,21.18,21.18,0,21.8935,21.768
2020-05-12,21.18,21.18,21.18,21.18,0,21.8425,21.712
2020-05-13,23.29,23.29,22.69,22.75,1100,21.9515,21.8109
2020-05-14,22.75,22.75,22.75,22.75,1100,22.0365,21.9003
2020-05-15,21.18,21.18,21.18,21.18,100,22.0365,21.8317
2020-05-18,21.18,21.18,21.18,21.18,400,22.0365,21.7697
2020-05-19,21.3,21.3,21.18,21.18,600,22.0305,21.7135
2020-05-20,21.78,21.78,21.78,21.78,500,21.97,21.7198
2020-05-21,22.08,22.08,22.08,22.08,543,21.9395,21.7541
2020-05-22,21.78,22.08,21.78,22.08,500,21.924,21.7852
2020-05-25,21.78,22.39,21.78,22.39,1000,21.924,21.8428
2020-05-26,22.08,22.39,22.39,22.39,0,21.9545,21.8949
2020-05-27,22.39,22.39,22.39,22.39,500,21.961,21.942
2020-05-28,23.6,23.6,23.6,23.6,100,22.028,22.0999
2020-05-29,22.99,22.99,22.39,22.57,1800,22.007,22.1447
2020-06-01,22.51,22.51,22.39,22.39,600,21.98,22.1681
2020-06-02,22.99,22.99,22.69,22.69,300,21.965,22.2178
2020-06-03,22.81,22.69,22.69,22.69,0,22.0405,22.2628
2020-06-04,22.81,22.69,22.69,22.69,0,22.116,22.3034
2020-06-05,22.69,22.87,22.69,22.87,1200,22.2005,22.3574
2020-06-08,22.75,22.87,22.87,22.87,0,22.285,22.4062
2020-06-09,22.75,22.87,22.87,22.87,0,22.3695,22.4504
2020-06-10,22.75,22.87,22.87,22.87,0,22.3755,22.4904
2020-06-11,22.69,22.69,22.69,22.69,500,22.3725,22.5094
2020-06-12,22.69,22.69,22.69,22.69,0,22.448,22.5266
2020-06-15,21.78,21.78,21.78,21.78,500,22.478,22.4555
2020-06-16,21.78,21.78,21.78,21.78,300,22.508,22.3911
2020-06-17,21.78,21.78,21.18,21.18,1900,22.478,22.2758
2020-06-18,21.6,21.18,21.18,21.18,0,22.433,22.1714
2020-06-19,21.6,21.18,21.18,21.18,0,22.388,22.077
2020-06-22,22.26,22.26,21.78,21.78,400,22.3575,22.0487
2020-06-23,21.78,21.78,21.48,21.48,1200,22.312,21.9946
2020-06-24,21.78,21.78,21.78,21.78,1200,22.2815,21.9741
2020-06-25,21.78,21.78,21.78,21.78,0,22.1905,21.9556
2020-06-26,21.24,21.24,21.24,21.24,210,22.124,21.8875
2020-06-29,22.33,22.33,22.33,22.33,190,22.121,21.9296
2020-06-30,22.33,22.33,22.33,22.33,20,22.103,21.9678
2020-07-01,22.33,22.33,22.33,22.33,30,22.085,22.0023
2020-07-02,22.33,22.33,22.33,22.33,51,22.067,22.0335
2020-07-03,22.39,22.39,21.24,21.24,300,21.9855,21.9579
2020-07-06,22.02,21.24,21.24,21.24,0,21.904,21.8895
2020-07-07,22.08,22.08,22.08,22.08,500,21.8645,21.9077
2020-07-08,22.33,22.33,22.33,22.33,140,21.8375,21.9479
2020-07-09,22.33,22.33,22.33,22.33,0,21.8195,21.9843
2020-07-10,22.39,22.39,22.39,22.39,400,21.8045,22.0229
2020-07-13,22.39,22.39,22.39,22.39,400,21.835,22.0579
2020-07-14,21.24,21.24,21.24,21.24,1010,21.808,21.98
2020-07-15,21.24,21.24,21.24,21.24,31,21.811,21.9095
2020-07-16,21.24,21.24,21.24,21.24,0,21.814,21.8458
2020-07-17,22.99,22.99,22.39,22.39,800,21.8745,21.8976
2020-07-20,19.36,22.39,19.36,22.39,2500,21.905,21.9445
2020-07-21,22.6,22.6,22.29,22.6,1910,21.961,22.0069
2020-07-22,22.42,22.6,22.6,22.6,0,22.002,22.0634
2020-07-23,22.42,22.6,22.6,22.6,0,22.043,22.1145
2020-07-24,22.29,22.29,22.29,22.29,100,22.0955,22.1312
2020-07-27,21.98,22.6,21.98,22.29,950,22.0935,22.1463
2020-07-28,22.29,22.29,22.29,22.29,2100,22.0915,22.16
2020-07-29,22.29,22.29,22.29,22.29,300,22.0895,22.1724
2020-07-30,22.29,22.29,22.29,22.29,0,22.0875,22.1836
2020-07-31,22.29,22.29,22.29,22.29,200,22.14,22.1937
2020-08-03,22.29,22.29,22.29,22.29,0,22.1925,22.2029
2020-08-04,22.04,22.04,21.98,21.98,621,22.1875,22.1817
2020-08-05,21.98,21.98,21.98,21.98,0,22.17,22.1625
2020-08-06,22.6,22.6,22.6,22.6,300,22.1835,22.2041
2020-08-07,22.6,22.6,22.6,22.6,0,22.194,22.2418
2020-08-10,22.6,22.6,22.6,22.6,0,22.2045,22.2759
2020-08-11,22.6,22.6,22.6,22.6,0,22.2725,22.3068
2020-08-12,22.6,22.6,22.6,22.6,800,22.3405,22.3347
2020-08-13,21.67,22.29,21.67,22.29,1300,22.393,22.3305
2020-08-14,22.29,22.29,22.29,22.29,500,22.388,22.3266
2020-08-17,22.29,22.29,22.29,22.29,500,22.383,22.3231
2020-08-18,19.81,22.29,19.81,22.29,700,22.3675,22.32
2020-08-19,22.29,22.29,22.29,22.29,1201,22.352,22.3171
2020-08-20,22.29,22.29,22.29,22.29,700,22.3365,22.3145
2020-08-21,22.29,22.29,22.29,22.29,0,22.3365,22.3122
2020-08-24,19.88,19.88,19.88,19.88,500,22.216,22.0806
2020-08-25,19.88,19.88,19.88,19.88,60,22.0955,21.871
2020-08-26,22.29,22.29,22.29,22.29,100,22.0955,21.9109
2020-08-27,22.29,22.29,22.29,22.29,1,22.0955,21.947
2020-08-28,22.29,22.29,22.29,22.29,0,22.0955,21.9797
2020-08-31,22.6,22.6,22.6,22.6,800,22.111,22.0387
