time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,7.09,7.09,7.09,7.09,1000,,
2020-01-03,6.6,6.6,6.6,6.6,1000,,
2020-01-06,7.25,7.25,7.25,7.25,10000,,
2020-01-07,7.9,7.9,7.9,7.9,23800,,
2020-01-08,7.9,7.9,7.9,7.9,0,,
2020-01-09,8.63,8.63,8.63,8.63,900,,
2020-01-10,8.63,8.63,8.63,8.63,0,,
2020-01-13,8.63,8.63,8.63,8.63,0,,
2020-01-14,7.82,7.82,7.82,7.82,10000,,
2020-01-15,7.82,7.82,7.82,7.82,0,,
2020-01-16,8.55,8.55,8.55,8.55,100,,
2020-01-17,9.37,9.37,9.37,9.37,100,,
2020-01-20,9.37,9.37,9.37,9.37,0,,
2020-01-21,9.37,9.37,9.37,9.37,0,,
2020-01-22,10.18,10.26,10.18,10.26,10200,,
2020-01-30,10.26,10.26,10.26,10.26,0,,
2020-01-31,10.26,10.26,10.26,10.26,0,,
2020-02-03,10.26,10.26,10.26,10.26,0,,
2020-02-04,10.26,10.26,10.26,10.26,0,,
2020-02-05,10.26,10.26,9.29,9.29,11100,8.776,9.0063
2020-02-06,8.39,10.18,8.39,9.29,1600,8.886,9.0333
2020-02-07,9.29,9.29,9.29,9.29,0,9.0205,9.0578
2020-02-10,9.29,9.29,9.29,9.29,0,9.1225,9.0799
2020-02-11,9.29,9.29,9.29,9.29,0,9.192,9.0999
2020-02-12,9.29,9.29,9.29,9.29,0,9.2615,9.118
2020-02-13,8.39,8.39,8.39,8.39,58500,9.2495,9.0487
2020-02-14,8.39,8.39,8.39,8.39,0,9.2375,8.9859
2020-02-17,8.39,8.39,8.39,8.39,0,9.2255,8.9292
2020-02-18,8.39,8.39,8.39,8.39,0,9.254,8.8778
2020-02-19,8.39,8.39,8.39,8.39,0,9.2825,8.8314
2020-02-20,8.39,8.39,8.39,8.39,0,9.2745,8.7893
2020-02-21,8.39,8.39,8.39,8.39,0,9.2255,8.7513
2020-02-24,8.39,8.39,8.39,8.39,0,9.1765,8.7169
2020-02-25,8.39,8.39,8.39,8.39,0,9.1275,8.6858
2020-02-26,7.57,7.57,7.57,7.57,1000,8.993,8.5795
2020-02-27,7.57,7.57,7.57,7.57,0,8.8585,8.4834
2020-02-28,7.57,7.57,7.57,7.57,0,8.724,8.3964
2020-03-02,8.31,8.31,8.31,8.31,1000,8.6265,8.3881
2020-03-03,8.31,8.31,8.31,8.31,0,8.529,8.3807
2020-03-04,8.31,8.31,8.31,8.31,0,8.48,8.374
2020-03-05,9.12,9.12,9.12,9.12,102500,8.4715,8.445
2020-03-06,10.02,10.02,10.02,10.02,3000,8.508,8.595
2020-03-09,11.0,11.0,11.0,11.0,1000,8.5935,8.8241
2020-03-10,11.0,11.0,11.0,11.0,0,8.679,9.0313
2020-03-11,12.05,12.05,12.05,12.05,1000,8.817,9.3188
2020-03-12,13.19,13.19,13.19,13.19,6000,9.057,9.6875
2020-03-13,13.44,14.5,13.44,14.5,11400,9.3625,10.1458
2020-03-16,13.11,13.11,13.11,13.11,600,9.5985,10.4281
2020-03-17,11.81,11.81,11.81,11.81,1000,9.7695,10.5597
2020-03-18,11.81,11.81,11.81,11.81,0,9.9405,10.6788
2020-03-19,11.81,11.81,11.81,11.81,0,10.1115,10.7865
2020-03-20,11.81,11.81,11.81,11.81,8,10.2825,10.884
2020-03-23,11.81,11.81,11.81,11.81,0,10.4535,10.9722
2020-03-24,11.81,11.81,11.81,11.81,0,10.6245,11.052
2020-03-25,11.81,11.81,11.81,11.81,0,10.8365,11.1242
2020-03-26,11.81,11.81,11.81,11.81,0,11.0485,11.1895
2020-03-27,11.81,11.81,11.81,11.81,0,11.2605,11.2486
2020-03-30,11.81,11.81,11.81,11.81,0,11.4355,11.3021
2020-03-31,11.81,11.81,11.81,11.81,0,11.6105,11.3504
2020-04-01,11.81,11.81,11.81,11.81,0,11.7855,11.3942
2020-04-03,11.81,11.81,11.81,11.81,0,11.92,11.4338
2020-04-06,11.81,11.81,11.81,11.81,0,12.0095,11.4696
2020-04-07,11.81,11.81,11.81,11.81,0,12.05,11.502
