time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,6.5,6.5,6.5,6.5,138210,,
2020-01-03,5.86,6.5,5.86,5.86,115035,,
2020-01-06,5.86,6.4,5.86,6.4,911600,,
2020-01-07,6.68,7.04,6.59,6.86,405650,,
2020-01-08,6.68,6.68,6.22,6.22,362510,,
2020-01-09,6.13,6.59,5.86,6.31,122100,,
2020-01-10,6.31,6.59,5.76,6.22,229850,,
2020-01-13,6.13,6.22,5.67,6.13,60700,,
2020-01-14,6.13,6.68,5.58,5.95,488450,,
2020-01-15,5.95,6.04,5.4,5.4,209800,,
2020-01-16,5.31,5.4,4.94,5.21,61220,,
2020-01-17,5.12,5.12,4.76,5.03,24210,,
2020-01-20,5.03,5.21,4.76,5.03,479700,,
2020-01-21,5.03,5.03,4.85,5.03,20400,,
2020-01-22,5.03,5.12,4.94,5.12,54250,,
2020-01-30,5.03,5.12,4.85,5.03,15250,,
2020-01-31,5.03,5.03,4.85,4.85,46300,,
2020-02-03,4.39,4.85,4.39,4.85,44800,,
2020-02-04,4.85,5.31,4.85,5.31,332100,,
2020-02-05,5.58,5.67,5.31,5.31,141700,5.631,5.5175
2020-02-06,5.21,5.58,5.03,5.58,75310,5.585,5.5234
2020-02-07,5.58,5.76,5.58,5.76,127600,5.58,5.546
2020-02-10,5.76,5.76,5.58,5.76,76700,5.548,5.5664
2020-02-11,5.76,5.86,5.67,5.76,95630,5.493,5.5848
2020-02-12,5.76,6.31,5.76,6.31,734700,5.4975,5.6539
2020-02-13,6.59,6.86,6.31,6.77,653807,5.5205,5.7602
2020-02-14,6.77,6.86,6.4,6.68,193197,5.5435,5.8478
2020-02-17,6.4,7.23,6.4,7.14,324305,5.594,5.9708
2020-02-18,7.04,7.41,6.5,6.68,896966,5.6305,6.0384
2020-02-19,6.68,7.32,6.4,7.04,882280,5.7125,6.1338
2020-02-20,6.77,7.23,6.4,6.68,867500,5.786,6.1858
2020-02-21,6.77,6.77,6.4,6.68,43915,5.8685,6.2329
2020-02-24,6.4,6.68,6.31,6.59,324994,5.9465,6.2669
2020-02-25,6.4,6.4,5.95,6.04,902900,5.997,6.2453
2020-02-26,5.86,6.31,5.58,6.13,240022,6.0475,6.2343
2020-02-27,6.22,6.4,6.04,6.4,399954,6.116,6.2501
2020-02-28,6.22,6.5,6.13,6.31,221970,6.189,6.2558
2020-03-02,6.4,6.5,6.22,6.4,15100,6.2665,6.2695
2020-03-03,6.31,6.5,5.76,6.22,1285335,6.312,6.2648
2020-03-04,5.95,6.31,5.67,6.13,1126520,6.353,6.252
2020-03-05,6.13,6.22,5.67,6.13,82000,6.3805,6.2403
2020-03-06,5.86,5.86,5.58,5.58,466350,6.3715,6.1775
2020-03-09,5.03,5.49,5.03,5.03,206100,6.335,6.0682
2020-03-10,4.57,4.94,4.57,4.57,185500,6.2755,5.9255
2020-03-11,4.76,5.03,4.67,4.85,153980,6.2025,5.8231
2020-03-12,4.76,4.76,4.57,4.67,82700,6.0975,5.7132
2020-03-13,4.39,4.67,4.3,4.48,95486,5.9875,5.5958
2020-03-16,4.48,4.76,4.39,4.76,61600,5.8685,5.5162
2020-03-17,4.67,4.76,4.57,4.57,84700,5.763,5.4261
2020-03-18,4.57,4.67,4.57,4.57,68108,5.6395,5.3445
2020-03-19,4.48,4.67,4.39,4.39,60700,5.525,5.2536
2020-03-20,4.57,4.76,4.57,4.76,1044650,5.429,5.2066
2020-03-23,4.67,4.76,4.3,4.3,345000,5.3145,5.1203
2020-03-24,4.48,4.48,4.21,4.48,32700,5.2365,5.0593
2020-03-25,4.57,4.85,4.48,4.76,670600,5.168,5.0308
2020-03-26,4.67,4.67,4.39,4.57,53900,5.0765,4.9869
2020-03-27,4.57,4.57,4.21,4.21,76700,4.9715,4.9129
2020-03-30,4.12,4.12,3.84,3.84,154910,4.8435,4.8107
2020-03-31,3.66,4.21,3.66,4.03,458780,4.734,4.7364
2020-04-01,3.93,4.21,3.93,4.21,58160,4.638,4.6862
2020-04-03,4.12,4.57,4.03,4.39,518900,4.551,4.658
2020-04-06,4.39,4.67,4.39,4.48,62100,4.496,4.6411
2020-04-07,4.39,4.57,4.21,4.57,51250,4.473,4.6343
2020-04-08,4.39,4.94,4.39,4.94,600510,4.4915,4.6634
2020-04-09,4.94,5.31,4.94,5.03,75030,4.5005,4.6983
2020-04-10,4.94,4.94,4.76,4.85,42810,4.5095,4.7128
2020-04-13,4.94,5.03,4.48,4.94,45410,4.5325,4.7344
2020-04-14,4.76,5.4,4.67,5.4,1156160,4.5645,4.7978
2020-04-15,5.67,5.86,5.67,5.86,875500,4.629,4.899
2020-04-16,6.22,6.31,5.49,6.22,428610,4.7115,5.0248
2020-04-17,6.13,6.13,5.67,5.67,662490,4.7755,5.0862
2020-04-20,5.58,5.58,5.12,5.49,359280,4.812,5.1247
2020-04-21,5.31,5.49,4.94,4.94,133900,4.844,5.1071
2020-04-22,4.57,5.4,4.57,5.4,798807,4.89,5.135
2020-04-23,5.76,5.86,5.67,5.86,787390,4.945,5.204
2020-04-24,5.86,5.95,5.31,5.49,870460,4.991,5.2313
2020-04-27,5.49,5.95,5.4,5.95,165660,5.078,5.2997
2020-04-28,5.95,6.13,5.49,5.67,160620,5.1695,5.335
2020-04-29,5.67,5.86,5.49,5.76,268640,5.256,5.3755
2020-05-04,5.76,5.86,5.58,5.67,190410,5.329,5.4035
2020-05-05,5.58,5.76,5.58,5.58,66650,5.3885,5.4203
2020-05-06,5.67,5.76,5.58,5.67,206340,5.448,5.4441
2020-05-07,5.67,5.76,5.58,5.58,198100,5.4985,5.457
2020-05-08,5.58,5.86,5.58,5.67,192150,5.535,5.4773
2020-05-11,5.76,5.76,5.58,5.76,143660,5.5715,5.5042
2020-05-12,5.76,5.86,5.67,5.86,147000,5.622,5.5381
2020-05-13,5.86,6.4,5.86,6.4,515983,5.695,5.6202
2020-05-14,6.4,6.4,6.04,6.13,212640,5.7315,5.6688
2020-05-15,6.13,6.4,5.58,5.58,744400,5.7175,5.6603
2020-05-18,5.58,5.86,5.12,5.67,221310,5.69,5.6612
2020-05-19,5.76,5.76,5.49,5.49,248515,5.681,5.6449
2020-05-20,5.49,5.58,5.49,5.49,151900,5.681,5.6302
2020-05-21,5.49,5.67,5.49,5.58,166131,5.713,5.6254
2020-05-22,5.58,5.58,5.12,5.12,292300,5.699,5.5773
2020-05-25,5.31,5.49,5.21,5.31,246050,5.6715,5.5518
2020-05-26,5.31,5.31,5.21,5.21,114320,5.6575,5.5193
2020-05-27,5.21,5.21,5.12,5.12,143900,5.616,5.4812
2020-05-28,5.12,5.12,4.76,4.85,254329,5.575,5.4211
2020-05-29,4.85,5.31,4.67,5.21,189749,5.5475,5.401
2020-06-01,5.21,5.31,5.12,5.21,100425,5.5245,5.3828
2020-06-02,5.31,5.31,5.12,5.21,162599,5.506,5.3664
2020-06-03,5.21,5.21,4.94,5.03,127630,5.474,5.3343
2020-06-04,5.12,5.31,5.03,5.12,75500,5.451,5.3139
2020-06-05,5.21,5.21,5.12,5.12,89037,5.4235,5.2954
2020-06-08,5.12,5.58,5.12,5.58,366710,5.4145,5.3225
2020-06-09,5.58,5.67,5.49,5.49,183000,5.396,5.3385
2020-06-10,5.49,6.04,5.49,6.04,431337,5.378,5.4053
2020-06-11,6.59,6.59,5.58,5.58,340310,5.3505,5.4219
2020-06-12,5.49,5.49,5.03,5.49,154500,5.346,5.4284
2020-06-15,5.49,5.95,5.12,5.58,239000,5.3415,5.4429
2020-06-16,5.67,5.86,5.58,5.76,158520,5.355,5.4731
2020-06-17,5.76,5.95,5.67,5.76,139800,5.3685,5.5004
2020-06-18,5.76,5.76,5.58,5.67,41400,5.373,5.5165
2020-06-19,5.67,5.86,5.67,5.86,178610,5.41,5.5493
2020-06-22,5.86,6.31,5.86,6.22,449839,5.4555,5.6131
2020-06-23,6.31,6.77,6.04,6.5,406850,5.52,5.6976
2020-06-24,6.4,6.5,6.04,6.31,187300,5.5795,5.7559
2020-06-25,6.04,6.13,5.76,5.76,433390,5.625,5.7563
2020-06-26,5.76,5.86,5.58,5.58,193360,5.6435,5.7395
2020-06-29,5.58,5.58,5.03,5.03,203612,5.6345,5.6719
2020-06-30,5.12,5.4,5.03,5.4,166060,5.644,5.646
2020-07-01,5.21,5.49,5.21,5.49,43350,5.667,5.6312
2020-07-02,5.49,5.95,5.49,5.58,61540,5.69,5.6263
2020-07-03,5.58,5.67,5.49,5.49,69600,5.7085,5.6133
2020-07-06,5.49,5.67,5.49,5.58,46438,5.7085,5.6102
2020-07-07,5.58,5.58,5.49,5.49,90110,5.7085,5.5987
2020-07-08,5.49,5.49,5.4,5.4,75437,5.6765,5.5798
2020-07-09,5.4,5.49,5.31,5.31,45000,5.663,5.5541
2020-07-10,5.31,5.49,5.31,5.4,31838,5.6585,5.5394
2020-07-13,5.49,5.49,5.21,5.31,81700,5.645,5.5176
2020-07-14,5.4,5.4,5.21,5.21,87600,5.6175,5.4883
2020-07-15,5.31,5.4,5.21,5.21,46530,5.59,5.4618
2020-07-16,5.31,5.31,5.21,5.21,53750,5.567,5.4378
2020-07-17,5.31,5.31,5.12,5.12,94700,5.53,5.4075
2020-07-20,5.21,5.31,5.12,5.31,32120,5.4845,5.3982
2020-07-21,5.21,5.31,5.12,5.31,55360,5.425,5.3898
2020-07-22,5.31,5.49,5.31,5.4,93600,5.3795,5.3908
2020-07-23,5.4,5.49,5.31,5.4,55520,5.3615,5.3917
2020-07-24,5.4,5.4,5.12,5.12,96054,5.3385,5.3658
2020-07-27,4.85,4.94,4.67,4.67,104020,5.3205,5.2995
2020-07-28,4.67,5.03,4.67,4.94,46500,5.2975,5.2653
2020-07-29,4.76,4.85,4.48,4.57,96900,5.2515,5.1991
2020-07-30,4.76,4.85,4.76,4.76,18200,5.2105,5.1573
2020-07-31,4.67,4.85,4.57,4.85,34600,5.1785,5.128
2020-08-03,4.76,5.03,4.76,4.94,61700,5.1465,5.1101
2020-08-04,4.94,5.12,4.94,5.03,15403,5.1235,5.1025
2020-08-05,5.12,5.12,5.03,5.03,30432,5.105,5.0956
2020-08-06,5.03,5.03,4.94,5.03,42500,5.091,5.0893
2020-08-07,5.03,5.03,4.94,5.03,22300,5.0725,5.0837
2020-08-10,5.03,5.03,4.94,5.03,23800,5.0585,5.0786
2020-08-11,5.12,5.31,5.12,5.12,46800,5.054,5.0825
2020-08-12,5.21,5.58,5.21,5.58,154732,5.0725,5.1299
2020-08-13,5.58,5.76,5.58,5.67,97540,5.0955,5.1813
2020-08-14,5.49,5.58,5.21,5.21,21500,5.1,5.1841
2020-08-17,5.21,5.4,5.12,5.31,50422,5.1,5.1961
2020-08-18,5.21,5.4,5.21,5.31,35618,5.1,5.2069
2020-08-19,5.31,5.76,5.31,5.58,170012,5.109,5.2424
2020-08-20,5.58,5.58,5.21,5.49,70930,5.1135,5.266
2020-08-21,5.49,5.58,5.4,5.49,37750,5.132,5.2873
2020-08-24,5.49,5.58,5.4,5.58,127700,5.1775,5.3152
2020-08-25,5.58,5.76,5.58,5.76,136701,5.2185,5.3576
2020-08-26,5.67,5.67,5.49,5.58,149859,5.269,5.3788
2020-08-27,5.58,5.67,5.49,5.58,122300,5.31,5.3979
2020-08-28,5.67,6.13,5.67,6.13,826758,5.374,5.4676
2020-08-31,6.68,6.68,6.13,6.5,426808,5.452,5.566
2020-09-01,6.4,7.14,6.4,6.95,301010,5.548,5.6978
2020-09-03,6.95,7.32,6.5,6.95,387718,5.644,5.817
2020-09-04,6.59,7.59,6.5,7.59,684070,5.772,5.9859
2020-09-07,8.05,8.33,7.78,8.33,431620,5.937,6.2091
2020-09-08,8.78,9.15,7.5,8.51,483041,6.111,6.4283
2020-09-09,8.23,8.51,7.78,8.33,161560,6.2715,6.6094
2020-09-10,8.23,8.33,7.59,7.87,441919,6.386,6.7294
2020-09-11,7.87,7.96,7.23,7.23,190160,6.464,6.7771
2020-09-14,7.23,7.87,6.86,7.87,253283,6.597,6.8812
2020-09-15,8.23,8.51,7.59,7.59,286086,6.711,6.9487
2020-09-16,7.5,7.78,7.5,7.5,120500,6.8205,7.0012
2020-09-17,7.79,7.98,7.5,7.79,216053,6.931,7.0763
2020-09-18,7.79,8.07,7.69,8.07,131000,7.06,7.171
2020-09-21,8.17,8.74,8.17,8.74,596395,7.2225,7.3204
2020-09-22,8.64,8.74,7.98,8.64,233365,7.3755,7.4461
2020-09-23,8.83,8.83,8.45,8.55,226469,7.515,7.5512
2020-09-24,8.55,8.64,7.79,8.55,91330,7.6635,7.6463
2020-09-25,8.45,8.55,8.45,8.55,182000,7.812,7.7324
2020-09-28,8.64,8.93,8.55,8.64,187350,7.9375,7.8188
2020-09-29,8.74,8.74,8.26,8.26,227550,8.0255,7.8609
2020-09-30,8.26,8.45,8.26,8.45,81800,8.1005,7.917
2020-10-01,8.55,8.55,8.36,8.45,100350,8.1755,7.9677
2020-10-02,8.55,8.74,7.98,8.26,327100,8.209,7.9956
2020-10-05,8.36,8.64,8.36,8.55,208500,8.22,8.0484
