time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,4.61,4.61,4.61,4.61,0,,
2020-01-03,4.61,4.61,4.61,4.61,0,,
2020-01-06,4.61,4.61,4.61,4.61,0,,
2020-01-07,4.61,4.61,4.61,4.61,0,,
2020-01-08,4.61,4.61,4.61,4.61,0,,
2020-01-09,4.61,4.61,4.61,4.61,0,,
2020-01-10,3.93,4.61,3.93,4.61,2000,,
2020-01-13,3.99,4.61,4.61,4.61,0,,
2020-01-14,3.99,4.61,4.61,4.61,0,,
2020-01-15,3.99,4.61,4.61,4.61,0,,
2020-01-16,3.99,4.61,4.61,4.61,0,,
2020-01-17,3.99,4.61,4.61,4.61,0,,
2020-01-20,3.99,4.61,4.61,4.61,0,,
2020-01-21,3.99,4.61,4.61,4.61,0,,
2020-01-22,3.99,4.61,4.61,4.61,0,,
2020-01-30,3.99,4.61,4.61,4.61,0,,
2020-01-31,3.99,4.61,4.61,4.61,0,,
2020-02-03,3.99,4.61,4.61,4.61,0,,
2020-02-04,3.99,4.61,4.61,4.61,0,,
2020-02-05,3.99,4.61,4.61,4.61,0,4.61,4.61
2020-02-06,3.99,4.61,4.61,4.61,0,4.61,4.61
2020-02-07,3.99,4.61,4.61,4.61,0,4.61,4.61
2020-02-10,3.99,4.61,4.61,4.61,0,4.61,4.61
2020-02-11,3.99,4.61,4.61,4.61,0,4.61,4.61
2020-02-12,3.99,4.61,4.61,4.61,0,4.61,4.61
2020-02-13,4.46,4.46,4.46,4.46,300,4.6025,4.5957
2020-02-14,4.46,4.46,4.46,4.46,0,4.595,4.5828
2020-02-17,4.46,4.46,4.46,4.46,1000,4.5875,4.5711
2020-02-18,4.46,4.46,4.46,4.46,0,4.58,4.5605
2020-02-19,4.46,4.46,4.46,4.46,0,4.5725,4.5509
2020-02-20,4.19,4.19,4.19,4.19,100,4.5515,4.5166
2020-02-21,4.19,4.19,4.19,4.19,0,4.5305,4.4855
2020-02-24,4.19,4.19,4.19,4.19,0,4.5095,4.4573
2020-02-25,4.19,4.19,4.19,4.19,0,4.4885,4.4319
2020-02-26,4.19,4.19,4.19,4.19,0,4.4675,4.4088
2020-02-27,4.19,4.19,4.19,4.19,0,4.4465,4.388
