time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,21.29,21.29,21.29,21.29,0,,
2020-01-03,21.29,21.29,21.29,21.29,0,,
2020-01-06,21.29,21.29,21.29,21.29,0,,
2020-01-07,21.29,21.29,21.29,21.29,0,,
2020-01-08,21.29,21.29,21.29,21.29,0,,
2020-01-09,21.29,21.29,21.29,21.29,0,,
2020-01-10,21.29,21.29,21.29,21.29,0,,
2020-01-13,21.29,21.29,21.29,21.29,0,,
2020-01-14,18.08,18.08,18.08,18.08,100,,
2020-01-15,16.47,19.99,16.16,19.99,1000,,
2020-01-16,19.23,19.99,19.99,19.99,0,,
2020-01-17,19.23,19.99,19.99,19.99,0,,
2020-01-20,19.23,19.99,19.99,19.99,0,,
2020-01-21,19.23,19.99,19.99,19.99,0,,
2020-01-22,19.23,19.99,19.99,19.99,0,,
2020-01-30,19.23,19.99,19.99,19.99,0,,
2020-01-31,17.23,19.07,17.23,19.07,600,,
2020-02-03,18.54,19.07,19.07,19.07,0,,
2020-02-04,19.46,19.46,19.46,19.46,100,,
2020-02-05,19.46,19.46,19.46,19.46,0,20.2695,20.0879
2020-02-06,19.46,19.46,19.46,19.46,0,20.178,20.0281
2020-02-07,19.46,19.46,19.46,19.46,0,20.0865,19.974
2020-02-10,19.46,19.46,19.46,19.46,0,19.995,19.925
2020-02-11,19.46,19.46,19.46,19.46,0,19.9035,19.8808
2020-02-12,19.46,19.46,19.46,19.46,0,19.812,19.8407
2020-02-13,19.46,19.46,19.46,19.46,0,19.7205,19.8044
2020-02-14,19.46,19.46,19.46,19.46,0,19.629,19.7716
2020-02-17,19.46,19.46,19.46,19.46,0,19.5375,19.7419
2020-02-18,19.46,19.46,19.46,19.46,0,19.6065,19.7151
2020-02-19,19.46,19.46,19.46,19.46,0,19.58,19.6908
2020-02-20,19.46,19.46,19.46,19.46,0,19.5535,19.6688
2020-02-21,19.46,19.46,19.46,19.46,0,19.527,19.6489
2020-02-24,19.46,19.46,19.46,19.46,0,19.5005,19.6309
2020-02-25,19.46,19.46,19.46,19.46,0,19.474,19.6147
2020-02-26,19.46,19.46,19.46,19.46,0,19.4475,19.5999
2020-02-27,19.46,19.46,19.46,19.46,0,19.421,19.5866
2020-02-28,19.46,19.46,19.46,19.46,0,19.4405,19.5745
2020-03-02,16.54,16.54,16.54,16.54,1000,19.314,19.2855
2020-03-03,16.54,16.54,16.54,16.54,900,19.168,19.0241
2020-03-04,18.69,18.69,18.69,18.69,100,19.1295,18.9922
2020-03-05,18.69,18.69,18.69,18.69,0,19.091,18.9635
2020-03-06,18.69,18.69,18.69,18.69,0,19.0525,18.9374
2020-03-09,19.46,19.46,19.46,19.46,100,19.0525,18.9872
2020-03-10,16.54,16.54,16.54,16.54,400,18.9065,18.7541
2020-03-11,16.54,16.54,16.54,16.54,0,18.7605,18.5433
2020-03-12,14.4,14.4,14.4,14.4,100,18.5075,18.1487
2020-03-13,14.4,14.4,14.4,14.4,0,18.2545,17.7916
2020-03-16,14.4,14.4,14.4,14.4,0,18.0015,17.4686
2020-03-17,14.4,14.4,14.4,14.4,0,17.7485,17.1764
2020-03-18,13.25,13.25,13.25,13.25,100,17.438,16.8024
2020-03-19,13.25,13.25,13.25,13.25,0,17.1275,16.4641
2020-03-20,15.17,15.17,15.17,15.17,100,16.913,16.3409
2020-03-23,15.17,15.17,15.17,15.17,0,16.6985,16.2294
2020-03-24,15.17,15.17,15.17,15.17,0,16.484,16.1285
2020-03-25,13.79,13.79,13.79,13.79,100,16.2005,15.9057
2020-03-26,13.79,13.79,13.79,13.79,0,15.917,15.7042
2020-03-27,13.88,13.88,13.88,13.88,100,15.638,15.5305
2020-03-30,15.89,15.89,15.89,15.89,300,15.6055,15.5647
2020-03-31,17.67,17.67,17.67,17.67,100,15.662,15.7652
2020-04-01,17.67,17.67,17.67,17.67,0,15.611,15.9467
2020-04-03,15.09,15.09,15.09,15.09,150,15.431,15.8651
2020-04-06,13.96,13.96,13.96,13.96,100,15.1945,15.6836
2020-04-07,14.28,14.28,14.28,14.28,100,14.9355,15.55
2020-04-08,16.05,16.05,16.05,16.05,100,14.911,15.5976
2020-04-09,16.13,16.13,16.13,16.13,500,14.8905,15.6483
2020-04-10,14.28,14.28,14.28,14.28,100,14.8845,15.518
2020-04-13,14.36,16.38,14.36,16.38,2400,14.9835,15.6001
2020-04-14,15.0,15.0,15.0,16.38,20,15.0825,15.6743
2020-04-15,12.99,17.18,12.99,17.18,300,15.2215,15.8177
2020-04-16,17.67,17.67,16.94,16.94,1700,15.406,15.9246
2020-04-17,17.02,16.94,16.94,16.94,0,15.5905,16.0213
2020-04-20,15.57,15.57,15.57,15.57,130,15.6105,15.9783
2020-04-21,17.83,17.83,17.83,17.83,1159,15.7435,16.1547
2020-04-22,17.83,17.83,15.89,15.89,1700,15.7795,16.1295
2020-04-23,18.31,18.31,18.31,18.31,300,16.0055,16.3372
