time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,18.72,18.72,18.72,18.72,0,,
2020-01-03,18.72,18.72,18.72,18.72,0,,
2020-01-06,18.72,18.72,18.72,18.72,0,,
2020-01-07,18.72,18.72,18.72,18.72,0,,
2020-01-08,18.72,18.72,18.72,18.72,0,,
2020-01-09,18.72,18.72,18.72,18.72,0,,
2020-01-10,18.72,18.72,18.72,18.72,0,,
2020-01-13,18.72,18.72,18.72,18.72,0,,
2020-01-14,18.72,18.72,18.72,18.72,0,,
2020-01-15,15.95,15.95,15.95,15.95,100,,
2020-01-16,15.95,15.95,15.95,15.95,500,,
2020-01-17,15.95,15.95,15.95,15.95,0,,
2020-01-20,15.95,15.95,15.95,15.95,0,,
2020-01-21,15.95,15.95,15.95,15.95,0,,
2020-01-22,15.95,15.95,15.95,15.95,0,,
2020-01-30,13.63,13.63,13.63,13.63,100,,
2020-01-31,11.61,11.61,11.61,11.61,1200,,
2020-02-03,10.48,10.56,9.96,10.11,3400,,
2020-02-04,10.18,10.11,10.11,10.11,0,,
2020-02-05,9.73,9.73,9.73,9.73,500,15.9685,14.8661
2020-02-06,9.73,9.73,9.58,9.73,900,15.519,14.377
2020-02-07,9.73,9.73,9.73,9.73,0,15.0695,13.9344
2020-02-10,9.73,9.73,9.73,9.73,0,14.62,13.534
2020-02-11,9.73,9.73,9.73,9.73,0,14.1705,13.1717
2020-02-12,9.73,9.73,9.73,9.73,200,13.721,12.8439
2020-02-13,10.11,10.11,10.11,10.11,100,13.2905,12.5835
2020-02-14,10.11,10.11,10.11,10.11,0,12.86,12.348
2020-02-17,10.11,10.11,10.11,10.11,0,12.4295,12.1348
2020-02-18,9.73,9.73,9.73,9.73,1100,11.98,11.9058
2020-02-19,9.73,9.73,9.73,9.73,0,11.669,11.6986
2020-02-20,9.73,9.73,9.73,9.73,0,11.358,11.5111
2020-02-21,9.73,9.73,9.73,9.73,0,11.047,11.3415
2020-02-24,9.73,9.73,9.73,9.73,0,10.736,11.188
2020-02-25,9.73,9.73,9.73,9.73,0,10.425,11.0491
2020-02-26,9.73,9.73,9.73,9.73,0,10.114,10.9235
2020-02-27,9.73,9.73,9.73,9.73,0,9.919,10.8098
2020-02-28,9.73,9.73,9.73,9.73,0,9.825,10.707
2020-03-02,9.14,9.14,9.14,9.14,1000,9.7765,10.5578
2020-03-03,9.14,9.14,8.99,8.99,2600,9.7205,10.4084
2020-03-04,9.06,8.99,8.99,8.99,0,9.6835,10.2734
2020-03-05,9.06,8.99,8.99,8.99,0,9.6465,10.1511
2020-03-06,9.06,8.99,8.99,8.99,0,9.6095,10.0405
2020-03-09,9.06,8.99,8.99,8.99,0,9.5725,9.9405
2020-03-10,9.06,8.99,8.99,8.99,0,9.5355,9.85
2020-03-11,9.06,8.99,8.99,8.99,0,9.4985,9.7681
2020-03-12,9.06,8.99,8.99,8.99,0,9.4425,9.694
2020-03-13,9.06,8.99,8.99,8.99,0,9.3865,9.6269
2020-03-16,9.06,8.99,8.99,8.99,0,9.3305,9.5663
2020-03-17,9.06,8.99,8.99,8.99,0,9.2935,9.5114
2020-03-18,9.06,8.99,8.99,8.99,0,9.2565,9.4617
2020-03-19,9.06,8.99,8.99,8.99,0,9.2195,9.4168
2020-03-20,9.06,8.99,8.99,8.99,0,9.1825,9.3762
2020-03-23,9.06,8.99,8.99,8.99,0,9.1455,9.3394
2020-03-24,9.06,8.99,8.99,8.99,0,9.1085,9.3061
2020-03-25,10.33,10.33,10.33,10.33,100,9.1385,9.4036
2020-03-26,10.33,10.33,10.33,10.33,0,9.1685,9.4918
2020-03-27,10.33,10.33,10.33,10.33,0,9.1985,9.5717
2020-03-30,10.33,10.33,10.33,10.33,0,9.258,9.6439
2020-03-31,10.33,10.33,10.33,10.33,0,9.325,9.7092
2020-04-01,10.33,10.33,10.33,10.33,0,9.392,9.7684
2020-04-03,10.33,10.33,10.33,10.33,0,9.459,9.8218
2020-04-06,10.33,10.33,10.33,10.33,0,9.526,9.8702
2020-04-07,10.33,10.33,10.33,10.33,0,9.593,9.914
2020-04-08,10.33,10.33,10.33,10.33,0,9.66,9.9536
2020-04-09,10.33,10.33,10.33,10.33,0,9.727,9.9895
2020-04-10,10.33,10.33,10.33,10.33,0,9.794,10.0219
2020-04-13,10.33,10.33,10.33,10.33,0,9.861,10.0513
2020-04-14,10.33,10.33,10.33,10.33,0,9.928,10.0778
2020-04-15,11.83,11.83,11.61,11.61,700,10.059,10.2237
2020-04-16,11.98,11.98,11.98,11.98,2000,10.2085,10.391
