time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,7.71,8.65,7.71,7.71,1100,,
2020-01-03,7.71,8.65,7.71,7.71,1100,,
2020-01-06,7.71,8.65,7.71,7.71,1100,,
2020-01-07,7.91,7.91,7.91,7.91,10,,
2020-01-08,8.15,8.15,8.15,8.15,50,,
2020-01-09,8.15,8.15,7.71,7.71,850,,
2020-01-10,7.23,7.23,7.23,7.23,40,,
2020-01-13,7.26,7.69,7.26,7.69,70,,
2020-01-14,8.22,8.22,8.22,8.22,10,,
2020-01-15,8.73,8.73,8.22,8.22,230,,
2020-01-16,8.63,8.63,8.2,8.2,530,,
2020-01-17,7.96,7.96,7.96,7.96,10,,
2020-01-20,8.51,8.51,7.96,7.96,70,,
2020-01-21,7.96,7.96,7.96,7.96,0,,
2020-01-22,7.4,7.4,7.4,7.4,10,,
2020-01-30,7.91,7.91,6.92,6.92,1100,,
2020-01-31,6.89,7.38,6.89,7.38,1020,,
2020-02-03,6.89,7.86,6.89,6.99,1930,,
2020-02-04,7.45,7.45,7.45,7.45,100,,
2020-02-05,7.45,7.45,7.45,7.45,0,7.6965,7.6038
2020-02-06,7.14,7.71,7.14,7.71,1150,7.6965,7.6139
2020-02-07,7.71,7.71,7.71,7.71,0,7.6965,7.6231
2020-02-10,8.24,8.24,7.23,7.71,120,7.6965,7.6313
2020-02-11,7.71,7.71,7.71,7.71,0,7.6865,7.6388
2020-02-12,7.71,7.71,7.71,7.71,10,7.6645,7.6456
2020-02-13,7.23,7.23,7.23,7.23,5410,7.6405,7.606
2020-02-14,6.75,7.64,6.75,7.64,220,7.661,7.6093
2020-02-17,7.62,7.96,7.42,7.96,10510,7.6745,7.6427
2020-02-18,7.96,7.96,7.96,7.96,0,7.6615,7.6729
2020-02-19,7.4,8.1,7.4,7.4,180,7.6205,7.6469
2020-02-20,7.71,7.71,7.71,7.71,220,7.596,7.6529
2020-02-21,7.47,7.47,7.47,7.47,10,7.5715,7.6355
2020-02-24,7.96,7.96,7.96,7.96,40,7.5715,7.6664
2020-02-25,7.47,7.47,7.47,7.47,10,7.547,7.6477
2020-02-26,7.47,7.47,7.47,7.47,1330,7.5505,7.6308
2020-02-27,7.47,7.47,7.47,7.47,0,7.578,7.6155
2020-02-28,7.91,7.91,7.91,7.91,10,7.6045,7.6435
2020-03-02,7.91,8.17,7.91,8.17,530,7.6635,7.6937
2020-03-03,7.96,8.15,7.96,8.15,30,7.6985,7.7371
2020-03-04,8.68,8.68,7.76,8.05,150,7.7285,7.7669
2020-03-05,8.17,8.17,7.5,7.5,60,7.718,7.7415
2020-03-06,7.5,7.5,7.5,7.5,0,7.7075,7.7185
2020-03-09,8.0,8.0,7.23,7.69,10040,7.7065,7.7158
2020-03-10,7.23,7.28,7.23,7.28,70,7.685,7.6743
2020-03-11,6.99,6.99,6.99,6.99,70,7.649,7.6091
2020-03-12,6.75,7.23,6.75,7.04,5240,7.6395,7.5549
2020-03-13,6.75,7.09,6.75,7.09,3870,7.612,7.5106
2020-03-16,7.04,7.57,6.85,7.57,160,7.5925,7.5163
2020-03-17,7.09,7.23,7.09,7.23,15050,7.556,7.489
2020-03-18,6.8,7.04,6.8,7.04,150,7.538,7.4463
2020-03-19,6.65,7.28,6.65,7.28,2100,7.5165,7.4304
2020-03-20,6.85,7.28,6.85,7.28,4020,7.507,7.4161
2020-03-23,6.99,6.99,6.8,6.8,21920,7.449,7.3574
2020-03-24,6.36,6.36,6.36,6.36,10,7.3935,7.2624
2020-03-25,6.36,6.36,6.36,6.36,0,7.338,7.1765
2020-03-26,5.98,5.98,5.98,5.98,150,7.2635,7.0625
2020-03-27,5.98,5.98,5.98,5.98,0,7.167,6.9594
2020-03-30,6.36,6.36,6.27,6.27,1870,7.072,6.8938
2020-03-31,6.27,6.27,6.27,6.27,6910,6.978,6.8344
2020-04-01,6.46,6.46,6.36,6.36,11620,6.8935,6.7892
2020-04-03,6.03,6.03,6.03,6.03,50,6.82,6.7169
2020-04-06,5.79,5.79,5.79,5.79,960,6.7345,6.6286
2020-04-07,6.17,6.17,6.17,6.17,10,6.6585,6.5849
2020-04-08,6.56,6.56,6.56,6.56,10,6.6225,6.5826
2020-04-09,6.27,6.65,6.27,6.65,550,6.6055,6.589
2020-04-10,6.7,6.7,6.7,6.7,20,6.5885,6.5996
2020-04-13,6.75,6.75,6.75,6.75,10,6.5715,6.6139
2020-04-14,6.75,6.75,6.75,6.75,0,6.5305,6.6268
2020-04-15,7.21,7.21,6.75,7.21,2200,6.5295,6.6824
2020-04-16,6.99,6.99,6.73,6.73,30040,6.514,6.6869
2020-04-17,6.94,7.14,6.94,7.14,120,6.507,6.7301
2020-04-20,7.14,7.14,7.14,7.14,0,6.5,6.7691
2020-04-21,6.85,6.85,6.85,6.85,1050,6.5025,6.7768
2020-04-22,6.39,7.18,6.39,7.18,1930,6.5435,6.8152
2020-04-23,6.7,6.99,6.7,6.99,960,6.575,6.8319
2020-04-24,6.99,6.99,6.99,6.99,0,6.6255,6.8469
2020-04-27,6.51,7.04,6.51,7.04,20,6.6785,6.8653
2020-04-28,6.56,7.04,6.56,6.75,30,6.7025,6.8543
2020-04-29,6.75,6.75,6.75,6.75,0,6.7265,6.8444
2020-05-04,6.29,6.75,6.29,6.75,1010,6.746,6.8354
2020-05-05,6.29,6.75,6.29,6.75,30,6.782,6.8273
2020-05-06,6.75,6.75,6.75,6.75,0,6.83,6.8199
2020-05-07,6.75,7.14,6.75,7.14,1010,6.8785,6.8504
2020-05-08,6.65,7.14,6.65,6.99,60,6.9,6.8637
2020-05-11,6.99,6.99,6.99,6.99,0,6.917,6.8757
2020-05-12,6.99,7.23,6.99,7.23,20,6.9435,6.9095
2020-05-13,6.8,6.8,6.8,6.8,10,6.946,6.899
2020-05-14,6.8,6.8,6.8,6.8,0,6.9485,6.8896
2020-05-15,6.8,7.23,6.8,7.23,30,6.9495,6.922
2020-05-18,7.23,7.23,7.23,7.23,0,6.9745,6.9514
2020-05-19,7.23,7.23,7.23,7.23,0,6.979,6.9779
2020-05-20,7.23,7.23,7.23,7.23,0,6.9835,7.0019
2020-05-21,7.23,7.23,7.23,7.23,1000,7.0025,7.0236
2020-05-22,7.23,7.23,7.23,7.23,0,7.005,7.0433
2020-05-25,7.71,7.71,7.71,7.71,1200,7.041,7.1068
2020-05-26,7.71,7.71,7.71,7.71,1000,7.077,7.1642
2020-05-27,7.23,7.23,7.23,7.23,2600,7.0865,7.1705
2020-05-28,7.23,7.47,7.23,7.47,3290,7.1225,7.199
2020-05-29,7.47,7.47,7.47,7.47,0,7.1585,7.2248
2020-06-01,7.96,7.96,7.96,7.96,10,7.219,7.2948
2020-06-02,7.76,7.76,7.76,7.76,10,7.2695,7.3391
2020-06-03,7.76,7.76,7.76,7.76,0,7.32,7.3792
2020-06-04,8.15,8.29,7.76,7.76,630,7.351,7.4155
2020-06-05,7.76,7.76,7.76,7.76,0,7.3895,7.4483
2020-06-08,7.47,7.47,7.47,7.47,10,7.4135,7.4504
2020-06-09,6.99,7.71,6.99,7.71,110,7.4375,7.4751
2020-06-10,7.5,7.71,7.5,7.71,60,7.483,7.4975
2020-06-11,7.71,7.71,7.71,7.71,450,7.5285,7.5177
2020-06-12,7.71,7.71,7.71,7.71,0,7.5525,7.536
2020-06-15,7.71,8.2,7.71,8.2,1940,7.601,7.5993
2020-06-16,8.73,8.73,7.71,7.71,1010,7.625,7.6098
2020-06-17,8.24,8.24,8.2,8.2,4450,7.6735,7.666
2020-06-18,8.44,8.44,8.44,8.44,500,7.734,7.7397
2020-06-19,9.02,9.02,9.02,9.02,910,7.8235,7.8617
2020-06-22,9.64,9.64,8.39,9.64,180,7.92,8.031
2020-06-23,10.32,10.32,10.32,10.32,23040,8.0505,8.249
2020-06-24,11.02,11.02,10.8,11.02,9370,8.24,8.5129
2020-06-25,11.76,11.76,11.09,11.57,3230,8.445,8.8041
2020-06-26,11.57,11.57,11.57,11.57,100,8.65,9.0675
2020-06-29,10.85,11.28,10.78,10.78,22030,8.791,9.2306
2020-06-30,10.15,10.75,10.12,10.75,6580,8.9405,9.3753
2020-07-01,10.12,10.7,10.12,10.7,30,9.0875,9.5015
2020-07-02,10.0,10.66,10.0,10.32,1900,9.2155,9.5794
2020-07-03,10.61,10.78,9.69,10.12,2850,9.3335,9.6309
2020-07-06,10.8,10.8,10.17,10.22,1030,9.471,9.687
2020-07-07,10.9,10.92,10.22,10.22,6360,9.5965,9.7378
2020-07-08,10.9,10.92,10.61,10.92,6150,9.757,9.8504
2020-07-09,11.67,11.67,10.61,11.31,1040,9.937,9.9894
2020-07-10,11.31,11.33,11.23,11.23,40,10.113,10.1075
2020-07-13,11.81,11.81,10.85,10.85,110,10.2455,10.1782
2020-07-14,11.02,11.02,10.61,10.61,20,10.3905,10.2194
2020-07-15,11.19,11.19,10.75,10.75,530,10.518,10.2699
2020-07-16,10.61,10.61,10.61,10.61,1610,10.6265,10.3023
2020-07-17,10.61,11.33,10.61,10.7,240,10.7105,10.3402
2020-07-20,10.7,11.43,10.7,10.97,3370,10.777,10.4001
2020-07-21,10.99,11.09,10.61,11.09,2830,10.8155,10.4658
2020-07-22,11.81,11.81,10.66,11.19,630,10.824,10.5348
2020-07-23,11.23,11.23,10.61,10.61,8510,10.776,10.542
2020-07-24,10.75,10.99,10.51,10.99,9580,10.747,10.5846
2020-07-27,10.41,10.61,10.37,10.37,5980,10.7265,10.5642
2020-07-28,10.75,10.92,10.75,10.92,20,10.735,10.5981
2020-07-29,10.66,10.75,10.56,10.75,8270,10.7375,10.6126
2020-07-30,10.56,10.56,10.56,10.56,10,10.7495,10.6076
2020-07-31,10.7,10.9,10.66,10.66,1310,10.7765,10.6125
2020-08-03,10.75,10.8,10.66,10.66,2020,10.7985,10.6171
2020-08-04,9.93,11.38,9.93,11.38,22020,10.8565,10.6897
2020-08-05,10.66,12.17,10.66,12.17,8510,10.919,10.8307
2020-08-06,13.02,13.02,12.15,13.02,790,11.0045,11.0392
2020-08-07,13.89,13.91,13.69,13.69,980,11.1275,11.2917
2020-08-10,13.69,13.69,12.75,12.75,1680,11.2225,11.4306
2020-08-11,12.78,12.78,11.86,11.86,2730,11.285,11.4715
2020-08-12,11.86,12.68,11.04,11.09,540,11.302,11.4351
2020-08-13,11.86,11.86,11.57,11.86,5120,11.3645,11.4756
2020-08-14,12.54,12.54,11.57,11.57,7970,11.408,11.4846
2020-08-17,12.34,12.37,11.57,11.67,370,11.443,11.5022
2020-08-18,11.67,11.72,11.67,11.72,520,11.4745,11.523
2020-08-19,11.09,12.54,11.09,12.15,11700,11.5225,11.5827
2020-08-20,11.33,11.57,11.33,11.57,30,11.5705,11.5815
2020-08-21,11.57,11.57,11.57,11.57,0,11.5995,11.5804
2020-08-24,12.05,12.05,11.81,12.05,100,11.6835,11.6251
2020-08-25,12.29,12.54,12.29,12.54,140,11.7645,11.7122
2020-08-26,13.4,13.4,12.78,12.82,5260,11.868,11.8177
2020-08-27,13.72,13.72,13.5,13.5,15810,12.015,11.978
2020-08-28,14.27,14.27,13.5,13.64,5330,12.164,12.1363
2020-08-31,14.42,14.42,14.17,14.17,320,12.3395,12.3299
2020-09-01,13.79,13.79,13.5,13.5,50,12.4455,12.4414
2020-09-03,13.64,13.64,13.02,13.02,40,12.488,12.4965
2020-09-04,13.26,13.26,13.26,13.26,1000,12.5,12.5692
2020-09-07,13.07,13.07,12.82,12.82,3470,12.4565,12.5931
2020-09-08,13.69,13.69,13.02,13.02,490,12.47,12.6337
2020-09-09,13.02,13.02,13.02,13.02,28030,12.528,12.6705
2020-09-10,13.26,13.26,12.78,12.78,910,12.6125,12.681
2020-09-11,12.78,13.11,12.73,12.78,1600,12.6585,12.6904
2020-09-14,12.78,12.78,12.78,12.78,10,12.719,12.6989
2020-09-15,12.78,12.8,12.78,12.78,10850,12.7745,12.7066
2020-09-16,12.34,12.34,12.34,12.34,10,12.8055,12.6717
2020-09-17,13.11,13.11,13.11,13.11,50,12.8535,12.7135
2020-09-18,12.78,12.8,12.78,12.78,10000,12.914,12.7198
2020-09-21,12.8,12.8,12.61,12.61,55040,12.966,12.7093
2020-09-22,12.97,12.97,12.13,12.13,70,12.97,12.6542
2020-09-23,12.1,12.92,12.1,12.29,1530,12.9575,12.6195
2020-09-24,12.37,12.37,12.34,12.34,120,12.9335,12.5929
2020-09-25,12.29,13.02,12.29,12.32,2830,12.8745,12.5669
2020-09-28,12.54,12.54,12.54,12.54,370,12.8195,12.5643
2020-09-29,12.54,12.54,12.54,12.54,0,12.738,12.562
2020-09-30,12.54,12.54,12.34,12.34,4430,12.68,12.5409
2020-10-01,12.1,12.1,12.1,12.1,20,12.634,12.4989
2020-10-02,12.92,12.95,12.54,12.56,19990,12.599,12.5047
