time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,7.56,7.56,7.56,7.56,0,,
2020-01-03,7.56,7.56,7.56,7.56,0,,
2020-01-06,7.56,7.56,7.56,7.56,0,,
2020-01-07,7.56,7.56,7.56,7.56,0,,
2020-01-08,7.56,7.56,7.56,7.56,0,,
2020-01-09,7.56,7.82,7.82,7.82,0,,
2020-01-10,7.56,7.82,7.82,7.82,0,,
2020-01-13,7.56,7.82,7.82,7.82,0,,
2020-01-14,7.56,7.82,7.82,7.82,0,,
2020-01-15,7.56,7.82,7.82,7.82,0,,
2020-01-16,7.56,7.82,7.82,7.82,0,,
2020-01-17,7.56,7.82,7.82,7.82,0,,
2020-01-20,7.56,7.82,7.82,7.82,0,,
2020-01-21,7.56,7.82,7.82,7.82,0,,
2020-01-22,7.56,7.82,7.82,7.82,0,,
2020-01-30,7.56,7.82,7.82,7.82,0,,
2020-01-31,7.56,7.82,7.82,7.82,0,,
2020-02-03,7.56,7.82,7.82,7.82,0,,
2020-02-04,7.56,7.82,7.82,7.82,0,,
2020-02-05,7.56,7.82,7.82,7.82,0,7.755,7.7621
2020-02-06,7.56,7.82,7.82,7.82,0,7.768,7.7676
2020-02-07,7.56,7.82,7.82,7.82,0,7.781,7.7726
2020-02-10,7.56,7.82,7.82,7.82,0,7.794,7.7771
2020-02-11,7.56,7.82,7.82,7.82,0,7.807,7.7812
2020-02-12,7.56,7.82,7.82,7.82,0,7.82,7.7849
2020-02-13,7.56,7.82,7.82,7.82,0,7.82,7.7882
2020-02-14,7.56,7.82,7.82,7.82,0,7.82,7.7912
2020-02-17,7.56,7.82,7.82,7.82,0,7.82,7.794
2020-02-18,7.56,7.82,7.82,7.82,0,7.82,7.7965
2020-02-19,7.56,7.82,7.82,7.82,0,7.82,7.7987
2020-02-20,7.56,7.82,7.82,7.82,0,7.82,7.8007
2020-02-21,7.56,7.82,7.82,7.82,0,7.82,7.8026
2020-02-24,7.56,7.82,7.82,7.82,0,7.82,7.8042
2020-02-25,7.56,7.82,7.82,7.82,0,7.82,7.8057
2020-02-26,7.56,7.82,7.82,7.82,0,7.82,7.8071
2020-02-27,7.56,7.82,7.82,7.82,0,7.82,7.8083
2020-02-28,7.56,7.82,7.82,7.82,0,7.82,7.8094
2020-03-02,7.56,7.82,7.82,7.82,0,7.82,7.8104
2020-03-03,7.56,7.82,7.82,7.82,0,7.82,7.8113
2020-03-04,7.56,7.82,7.82,7.82,0,7.82,7.8122
2020-03-05,7.56,7.82,7.82,7.82,0,7.82,7.8129
2020-03-06,7.56,7.82,7.82,7.82,0,7.82,7.8136
2020-03-09,7.56,7.82,7.82,7.82,0,7.82,7.8142
2020-03-10,7.56,7.82,7.82,7.82,0,7.82,7.8148
2020-03-11,7.56,7.82,7.82,7.82,0,7.82,7.8153
2020-03-12,7.56,7.82,7.82,7.82,0,7.82,7.8157
2020-03-13,7.56,7.82,7.82,7.82,0,7.82,7.8161
2020-03-16,7.56,7.82,7.82,7.82,0,7.82,7.8165
2020-03-17,7.56,7.82,7.82,7.82,0,7.82,7.8168
2020-03-18,7.56,7.82,7.82,7.82,0,7.82,7.8171
2020-03-19,7.56,7.82,7.82,7.82,0,7.82,7.8174
2020-03-20,7.56,7.82,7.82,7.82,0,7.82,7.8176
2020-03-23,7.56,7.82,7.82,7.82,0,7.82,7.8179
2020-03-24,7.56,7.82,7.82,7.82,0,7.82,7.8181
2020-03-25,7.56,7.82,7.82,7.82,0,7.82,7.8183
2020-03-26,7.56,7.82,7.82,7.82,0,7.82,7.8184
2020-03-27,7.56,7.82,7.82,7.82,0,7.82,7.8186
2020-03-30,7.56,7.82,7.82,7.82,0,7.82,7.8187
2020-03-31,7.56,7.82,7.82,7.82,0,7.82,7.8188
2020-04-01,7.56,7.82,7.82,7.82,0,7.82,7.8189
2020-04-03,7.56,7.82,7.82,7.82,0,7.82,7.819
2020-04-06,7.56,7.82,7.82,7.82,0,7.82,7.8191
2020-04-07,7.56,7.82,7.82,7.82,0,7.82,7.8192
2020-04-08,7.56,7.82,7.82,7.82,0,7.82,7.8193
2020-04-09,7.56,7.82,7.82,7.82,0,7.82,7.8194
2020-04-10,7.56,7.82,7.82,7.82,0,7.82,7.8194
2020-04-13,7.56,7.82,7.82,7.82,0,7.82,7.8195
2020-04-14,7.56,7.82,7.82,7.82,0,7.82,7.8195
2020-04-15,7.56,7.82,7.82,7.82,0,7.82,7.8196
2020-04-16,7.56,7.82,7.82,7.82,0,7.82,7.8196
2020-04-17,7.56,7.82,7.82,7.82,0,7.82,7.8196
2020-04-20,7.56,7.82,7.82,7.82,0,7.82,7.8197
2020-04-21,7.56,7.82,7.82,7.82,0,7.82,7.8197
2020-04-22,7.56,7.82,7.82,7.82,0,7.82,7.8197
2020-04-23,7.56,7.82,7.82,7.82,0,7.82,7.8198
2020-04-24,7.56,7.82,7.82,7.82,0,7.82,7.8198
2020-04-27,7.56,7.82,7.82,7.82,0,7.82,7.8198
2020-04-28,7.56,7.82,7.82,7.82,0,7.82,7.8198
2020-04-29,7.56,7.82,7.82,7.82,0,7.82,7.8198
2020-05-04,7.56,7.82,7.82,7.82,0,7.82,7.8199
2020-05-05,7.56,7.82,7.82,7.82,0,7.82,7.8199
2020-05-06,7.56,7.82,7.82,7.82,0,7.82,7.8199
2020-05-07,7.56,7.82,7.82,7.82,0,7.82,7.8199
2020-05-08,7.56,7.82,7.82,7.82,0,7.82,7.8199
2020-05-11,7.56,7.82,7.82,7.82,0,7.82,7.8199
2020-05-12,7.56,7.82,7.82,7.82,0,7.82,7.8199
2020-05-13,7.56,7.82,7.82,7.82,0,7.82,7.8199
2020-05-14,7.56,7.82,7.82,7.82,0,7.82,7.8199
2020-05-15,7.56,7.82,7.82,7.82,0,7.82,7.8199
2020-05-18,7.56,7.82,7.82,7.82,0,7.82,7.8199
2020-05-19,7.56,7.82,7.82,7.82,0,7.82,7.82
2020-05-20,7.56,7.82,7.82,7.82,0,7.82,7.82
2020-05-21,7.56,7.82,7.82,7.82,0,7.82,7.82
2020-05-22,7.56,7.82,7.82,7.82,0,7.82,7.82
2020-05-25,7.56,7.82,7.82,7.82,0,7.82,7.82
2020-05-26,7.56,7.82,7.82,7.82,0,7.82,7.82
2020-05-27,7.56,7.82,7.82,7.82,0,7.82,7.82
2020-05-28,7.56,7.82,7.82,7.82,0,7.82,7.82
2020-05-29,7.56,7.82,7.82,7.82,0,7.82,7.82
2020-06-01,7.56,7.82,7.82,7.82,0,7.82,7.82
2020-06-02,7.56,8.1,8.1,8.1,0,7.834,7.8466
2020-06-03,7.56,8.1,8.1,8.1,0,7.848,7.8708
2020-06-04,7.56,8.1,8.1,8.1,0,7.862,7.8926
