time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,9.98,9.98,9.98,9.98,1000,,
2020-01-03,9.98,9.98,9.98,9.98,3300,,
2020-01-06,10.29,10.37,10.29,10.37,21500,,
2020-01-07,10.21,10.21,9.9,9.98,6200,,
2020-01-08,9.83,9.83,9.59,9.59,8800,,
2020-01-09,9.98,9.98,9.98,9.98,100,,
2020-01-10,10.14,10.14,9.59,9.59,1400,,
2020-01-13,9.9,9.98,9.9,9.98,27200,,
2020-01-14,9.9,9.9,9.75,9.83,1400,,
2020-01-15,9.67,9.67,9.36,9.36,1100,,
2020-01-16,9.59,9.59,9.44,9.44,2200,,
2020-01-17,9.36,9.36,8.89,9.36,4100,,
2020-01-20,8.73,9.2,8.58,8.58,5800,,
2020-01-21,8.66,8.97,8.58,8.97,1300,,
2020-01-22,9.2,9.28,8.81,8.81,2200,,
2020-01-30,9.9,9.9,8.89,8.89,12200,,
2020-01-31,8.5,8.66,8.42,8.42,14500,,
2020-02-03,7.25,7.25,7.17,7.17,14300,,
2020-02-04,7.17,7.41,6.94,7.1,9200,,
2020-02-05,7.1,7.1,6.94,6.94,6180,9.116,8.7717
2020-02-06,6.24,7.02,6.0,6.55,12200,8.9445,8.5601
2020-02-07,6.78,6.78,6.47,6.55,8600,8.773,8.3686
2020-02-10,6.63,6.63,6.24,6.24,7420,8.5665,8.1659
2020-02-11,6.24,6.86,6.24,6.71,9200,8.403,8.0273
2020-02-12,7.02,7.41,7.02,7.33,41221,8.29,7.9609
2020-02-13,6.78,6.78,6.47,6.71,3200,8.1265,7.8417
2020-02-14,6.55,7.02,6.55,6.78,7100,7.986,7.7406
2020-02-17,6.63,6.63,5.85,6.47,8700,7.8105,7.6196
2020-02-18,6.47,6.55,5.85,5.85,23700,7.6115,7.4511
2020-02-19,6.16,6.39,6.0,6.24,3140,7.4555,7.3357
2020-02-20,6.24,6.63,6.24,6.63,6900,7.315,7.2685
2020-02-21,6.63,6.63,6.39,6.47,1400,7.1705,7.1925
2020-02-24,6.32,6.32,6.0,6.0,3200,7.0415,7.0789
2020-02-25,6.16,6.39,5.93,6.24,24700,6.905,6.999
2020-02-26,6.24,6.24,6.08,6.08,2300,6.7685,6.9115
2020-02-27,6.08,6.32,6.0,6.24,8400,6.636,6.8475
2020-02-28,6.0,6.0,5.61,5.85,7800,6.5075,6.7525
2020-03-02,5.46,6.16,5.46,5.69,9200,6.4335,6.6513
2020-03-03,5.85,6.08,5.69,5.69,28800,6.363,6.5598
2020-03-04,5.93,6.32,5.93,6.32,11301,6.332,6.5369
2020-03-05,6.39,6.86,6.24,6.24,19849,6.3165,6.5087
2020-03-06,6.0,6.39,5.85,6.24,3300,6.301,6.4831
2020-03-09,5.46,5.46,5.15,5.15,16900,6.2465,6.3561
2020-03-10,4.68,5.38,4.68,5.38,3600,6.18,6.2632
2020-03-11,5.61,5.69,4.99,4.99,15300,6.063,6.1419
2020-03-12,4.76,4.76,4.6,4.6,5100,5.9575,5.9951
2020-03-13,3.98,4.6,3.98,4.05,18000,5.821,5.8098
2020-03-16,4.13,4.37,4.05,4.37,7200,5.716,5.6727
2020-03-17,4.37,4.52,4.37,4.52,323,5.6495,5.5629
2020-03-18,4.29,4.29,3.98,4.29,13700,5.552,5.4417
2020-03-19,4.68,4.68,4.05,4.37,6500,5.439,5.3396
2020-03-20,4.83,4.91,4.29,4.29,3800,5.33,5.2396
2020-03-23,4.05,4.05,4.05,4.05,5000,5.2325,5.1263
2020-03-24,4.05,4.29,4.05,4.29,6200,5.135,5.0467
2020-03-25,4.29,4.29,4.13,4.29,7200,5.0455,4.9746
2020-03-26,4.29,4.29,3.98,3.98,10300,4.9325,4.8799
2020-03-27,3.9,3.98,3.66,3.9,5200,4.835,4.7866
2020-03-30,4.13,4.13,3.28,3.28,8000,4.7145,4.6431
2020-03-31,3.28,3.28,3.28,3.28,100,4.594,4.5133
2020-04-01,3.28,3.74,2.89,3.74,13000,4.465,4.4396
2020-04-03,3.9,4.21,3.9,4.13,3400,4.3595,4.4101
2020-04-06,4.13,4.21,3.74,4.05,7100,4.25,4.3758
2020-04-07,3.74,4.21,3.74,4.05,9903,4.195,4.3448
2020-04-08,4.05,4.13,3.82,3.98,1900,4.125,4.3101
2020-04-09,4.29,4.29,3.43,3.74,2800,4.0625,4.2558
2020-04-10,4.05,4.05,3.82,3.82,4600,4.0235,4.2143
2020-04-13,4.37,4.37,3.82,4.21,11200,4.0315,4.2139
2020-04-14,4.13,4.21,4.21,4.21,0,4.0235,4.2135
2020-04-15,4.68,4.68,4.13,4.13,1600,4.004,4.2055
2020-04-16,3.9,3.98,3.74,3.98,3500,3.9885,4.1841
2020-04-17,3.82,4.05,3.66,3.66,20600,3.953,4.1342
2020-04-20,3.66,3.82,3.35,3.74,11200,3.9255,4.0966
2020-04-21,3.66,3.66,3.2,3.28,25800,3.887,4.0188
2020-04-22,3.35,3.74,3.35,3.74,8800,3.8595,3.9923
2020-04-23,3.74,4.05,3.74,4.05,9800,3.8475,3.9978
2020-04-24,4.05,4.05,3.59,3.59,14800,3.828,3.9589
2020-04-27,3.9,3.9,3.9,3.9,5700,3.828,3.9533
2020-04-28,3.74,3.74,3.74,3.74,410,3.851,3.933
2020-04-29,4.05,4.05,3.66,3.9,6750,3.882,3.9299
2020-05-04,3.9,3.9,3.74,3.9,6812,3.89,3.927
2020-05-05,3.82,3.82,3.82,3.82,600,3.8745,3.9168
2020-05-06,3.82,4.05,3.82,3.82,15700,3.863,3.9076
2020-05-07,3.9,3.98,3.82,3.82,18000,3.8515,3.8993
2020-05-08,4.05,4.05,3.74,3.82,11470,3.8435,3.8917
2020-05-11,3.98,3.98,3.82,3.9,4300,3.8515,3.8925
2020-05-12,3.82,4.13,3.74,3.82,5240,3.8515,3.8856
2020-05-13,3.82,3.9,3.74,3.9,8700,3.836,3.887
2020-05-14,3.98,4.37,3.98,4.37,22593,3.844,3.933
2020-05-15,4.37,4.91,4.37,4.91,11100,3.883,4.026
2020-05-18,5.61,5.61,5.61,5.61,14310,3.9645,4.1769
2020-05-19,6.39,6.39,4.91,5.69,63323,4.066,4.321
2020-05-20,5.3,5.54,5.22,5.22,16300,4.14,4.4066
2020-05-21,4.44,5.07,4.44,4.91,24500,4.2215,4.4545
2020-05-22,4.83,5.54,4.83,5.54,29900,4.3115,4.5579
2020-05-25,5.85,5.85,5.61,5.61,400,4.3895,4.6581
2020-05-26,5.46,5.46,4.99,5.07,11690,4.4635,4.6973
