time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,3.1,3.1,3.1,3.1,2100,,
2020-01-03,2.8,3.3,2.8,3.3,5100,,
2020-01-06,3.3,3.3,3.3,3.3,300,,
2020-01-07,3.0,3.2,3.0,3.0,9300,,
2020-01-08,2.8,3.2,2.7,3.1,8200,,
2020-01-09,3.2,3.2,3.2,3.2,1000,,
2020-01-10,3.2,3.2,3.2,3.2,0,,
2020-01-13,3.2,3.2,3.2,3.2,400,,
2020-01-14,3.0,3.0,3.0,3.0,2000,,
2020-01-15,3.2,3.2,2.7,3.0,7700,,
2020-01-16,3.2,3.2,3.2,3.2,200,,
2020-01-17,3.2,3.2,3.2,3.2,100,,
2020-01-20,3.0,3.2,3.0,3.2,1900,,
2020-01-21,3.2,3.2,3.1,3.1,1600,,
2020-01-22,3.3,3.4,3.3,3.4,610,,
2020-01-30,3.4,3.4,3.4,3.4,0,,
2020-01-31,3.4,3.4,3.4,3.4,0,,
2020-02-03,3.4,3.4,3.4,3.4,0,,
2020-02-04,3.4,3.4,3.4,3.4,200,,
2020-02-05,3.1,3.3,3.1,3.3,1800,3.22,3.2446
2020-02-06,3.1,3.3,3.0,3.3,4200,3.23,3.2499
2020-02-07,3.3,3.3,3.3,3.3,0,3.23,3.2547
2020-02-10,3.3,3.3,3.3,3.3,0,3.23,3.259
2020-02-11,3.3,3.3,3.3,3.3,0,3.245,3.2629
2020-02-12,3.3,3.3,3.3,3.3,0,3.255,3.2664
2020-02-13,3.0,3.0,3.0,3.0,950,3.245,3.2411
2020-02-14,2.8,3.0,2.7,3.0,44600,3.235,3.2181
2020-02-17,3.0,3.0,3.0,3.0,0,3.225,3.1973
2020-02-18,3.0,3.0,3.0,3.0,0,3.225,3.1785
2020-02-19,2.7,2.7,2.7,2.7,300,3.21,3.133
2020-02-20,2.7,2.9,2.7,2.9,6900,3.195,3.1108
2020-02-21,2.8,3.0,2.8,3.0,14310,3.185,3.1002
2020-02-24,2.8,3.0,2.7,3.0,15000,3.175,3.0907
2020-02-25,3.0,3.0,3.0,3.0,500,3.17,3.082
2020-02-26,3.0,3.0,3.0,3.0,80,3.15,3.0742
2020-02-27,2.9,2.9,2.9,2.9,200,3.125,3.0576
2020-02-28,3.0,3.0,3.0,3.0,1000,3.105,3.0521
2020-03-02,3.0,3.0,3.0,3.0,0,3.085,3.0472
2020-03-03,3.0,3.0,3.0,3.0,0,3.065,3.0427
