time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,3.58,3.58,3.58,3.58,0,,
2020-01-03,3.58,3.58,3.58,3.58,0,,
2020-01-06,3.58,3.58,3.58,3.58,0,,
2020-01-07,3.58,3.58,3.58,3.58,0,,
2020-01-08,3.58,3.58,3.58,3.58,0,,
2020-01-09,3.58,3.58,3.58,3.58,0,,
2020-01-10,3.58,3.58,3.58,3.58,0,,
2020-01-13,3.58,3.58,3.58,3.58,0,,
2020-01-14,3.58,3.58,3.58,3.58,0,,
2020-01-15,3.58,3.58,3.58,3.58,0,,
2020-01-16,3.58,3.58,3.58,3.58,0,,
2020-01-17,3.58,3.58,3.58,3.58,0,,
2020-01-20,3.58,3.58,3.58,3.58,0,,
2020-01-21,3.58,3.58,3.58,3.58,0,,
2020-01-22,3.58,3.58,3.58,3.58,0,,
2020-01-30,3.58,3.58,3.58,3.58,0,,
2020-01-31,3.58,3.58,3.58,3.58,0,,
2020-02-03,3.58,3.58,3.58,3.58,0,,
2020-02-04,3.58,3.58,3.58,3.58,0,,
2020-02-05,3.58,3.58,3.58,3.58,0,3.58,3.58
2020-02-06,3.58,3.58,3.58,3.58,0,3.58,3.58
2020-02-07,3.58,3.58,3.58,3.58,0,3.58,3.58
2020-02-10,3.58,3.58,3.58,3.58,0,3.58,3.58
2020-02-11,3.58,3.58,3.58,3.58,0,3.58,3.58
2020-02-12,3.58,3.58,3.58,3.58,0,3.58,3.58
2020-02-13,3.58,3.58,3.58,3.58,0,3.58,3.58
2020-02-14,3.58,3.58,3.58,3.58,0,3.58,3.58
2020-02-17,3.58,3.58,3.58,3.58,0,3.58,3.58
2020-02-18,3.58,3.58,3.58,3.58,0,3.58,3.58
2020-02-19,3.58,3.58,3.58,3.58,0,3.58,3.58
2020-02-20,3.58,3.58,3.58,3.58,0,3.58,3.58
2020-02-21,3.58,3.58,3.58,3.58,0,3.58,3.58
2020-02-24,3.58,3.58,3.58,3.58,0,3.58,3.58
2020-02-25,3.58,3.58,3.58,3.58,0,3.58,3.58
2020-02-26,3.58,3.58,3.58,3.58,0,3.58,3.58
2020-02-27,3.58,3.58,3.58,3.58,0,3.58,3.58
2020-02-28,3.58,3.58,3.58,3.58,0,3.58,3.58
2020-03-02,3.58,3.58,3.58,3.58,0,3.58,3.58
2020-03-03,3.58,3.58,3.58,3.58,0,3.58,3.58
2020-03-04,4.99,4.99,4.99,4.99,1500,3.6505,3.7143
2020-03-05,4.99,4.99,4.99,4.99,0,3.721,3.8358
2020-03-06,4.99,4.99,4.99,4.99,0,3.7915,3.9457
2020-03-09,4.99,4.99,4.99,4.99,0,3.862,4.0452
2020-03-10,4.99,4.99,4.99,4.99,0,3.9325,4.1351
2020-03-11,4.99,4.99,4.99,4.99,0,4.003,4.2166
2020-03-12,4.99,4.99,4.99,4.99,0,4.0735,4.2902
2020-03-13,4.99,4.99,4.99,4.99,0,4.144,4.3569
2020-03-16,4.99,4.99,4.99,4.99,0,4.2145,4.4172
2020-03-17,4.99,4.99,4.99,4.99,0,4.285,4.4717
2020-03-18,4.99,4.99,4.99,4.99,0,4.3555,4.5211
2020-03-19,4.99,4.99,4.99,4.99,0,4.426,4.5657
2020-03-20,4.99,4.99,4.99,4.99,0,4.4965,4.6061
2020-03-23,4.99,4.99,4.99,4.99,0,4.567,4.6427
2020-03-24,4.99,4.99,4.99,4.99,0,4.6375,4.6758
2020-03-25,4.99,4.99,4.99,4.99,0,4.708,4.7057
2020-03-26,4.99,4.99,4.99,4.99,0,4.7785,4.7328
2020-03-27,4.99,4.99,4.99,4.99,0,4.849,4.7573
2020-03-30,4.99,4.99,4.99,4.99,0,4.9195,4.7794
2020-03-31,4.99,4.99,4.99,4.99,0,4.99,4.7995
2020-04-01,5.69,5.69,5.69,5.69,2100,5.025,4.8843
2020-04-03,5.69,5.69,5.69,5.69,0,5.06,4.961
2020-04-06,5.69,5.69,5.69,5.69,0,5.095,5.0305
2020-04-07,5.69,5.69,5.69,5.69,0,5.13,5.0933
2020-04-08,5.69,5.69,5.69,5.69,0,5.165,5.1501
2020-04-09,5.69,5.69,5.69,5.69,0,5.2,5.2015
2020-04-10,5.69,5.69,5.69,5.69,0,5.235,5.248
2020-04-13,5.69,5.69,5.69,5.69,0,5.27,5.2901
2020-04-14,5.69,5.69,5.69,5.69,0,5.305,5.3282
2020-04-15,5.69,5.69,5.69,5.69,0,5.34,5.3627
2020-04-16,5.69,5.69,5.69,5.69,0,5.375,5.3938
2020-04-17,5.69,5.69,5.69,5.69,0,5.41,5.4221
2020-04-20,5.69,5.69,5.69,5.69,0,5.445,5.4476
2020-04-21,5.69,5.69,5.69,5.69,0,5.48,5.4707
2020-04-22,5.69,5.69,5.69,5.69,0,5.515,5.4916
2020-04-23,5.69,5.69,5.69,5.69,0,5.55,5.5105
2020-04-24,5.69,5.69,5.69,5.69,0,5.585,5.5276
2020-04-27,5.69,5.69,5.69,5.69,0,5.62,5.543
2020-04-28,5.69,5.69,5.69,5.69,0,5.655,5.557
2020-04-29,5.69,5.69,5.69,5.69,0,5.69,5.5697
2020-05-04,5.69,5.69,5.69,5.69,0,5.69,5.5811
2020-05-05,5.69,5.69,5.69,5.69,0,5.69,5.5915
2020-05-06,5.69,5.69,5.69,5.69,0,5.69,5.6009
2020-05-07,5.69,5.69,5.69,5.69,0,5.69,5.6094
2020-05-08,5.69,5.69,5.69,5.69,0,5.69,5.6171
2020-05-11,5.69,5.69,5.69,5.69,0,5.69,5.624
2020-05-12,5.69,5.69,5.69,5.69,0,5.69,5.6303
2020-05-13,5.69,5.69,5.69,5.69,0,5.69,5.636
2020-05-14,5.69,5.69,5.69,5.69,0,5.69,5.6411
2020-05-15,5.69,5.69,5.69,5.69,0,5.69,5.6458
2020-05-18,5.69,5.69,5.69,5.69,0,5.69,5.65
2020-05-19,5.69,5.69,5.69,5.69,0,5.69,5.6538
2020-05-20,5.69,5.69,5.69,5.69,0,5.69,5.6572
2020-05-21,5.69,5.69,5.69,5.69,0,5.69,5.6604
2020-05-22,5.69,5.69,5.69,5.69,0,5.69,5.6632
