time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,1.06,1.06,1.06,1.06,0,,
2020-01-03,1.06,1.06,1.06,1.06,0,,
2020-01-06,1.06,1.06,1.06,1.06,0,,
2020-01-07,1.06,1.06,1.06,1.06,0,,
2020-01-08,1.06,1.06,1.06,1.06,0,,
2020-01-09,1.06,1.06,1.06,1.06,0,,
2020-01-10,1.06,1.06,1.06,1.06,0,,
2020-01-13,1.06,1.06,1.06,1.06,0,,
2020-01-14,1.06,1.06,1.06,1.06,0,,
2020-01-15,1.06,1.06,1.06,1.06,0,,
2020-01-16,1.06,1.06,1.06,1.06,0,,
2020-01-17,1.06,1.06,1.06,1.06,0,,
2020-01-20,1.06,1.06,1.06,1.06,0,,
2020-01-21,1.06,1.06,1.06,1.06,0,,
2020-01-22,1.06,1.06,1.06,1.06,0,,
2020-01-30,1.06,1.06,1.06,1.06,0,,
2020-01-31,1.06,1.06,1.06,1.06,0,,
2020-02-03,1.06,1.06,1.06,1.06,0,,
2020-02-04,1.06,1.06,1.06,1.06,0,,
2020-02-05,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-02-06,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-02-07,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-02-10,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-02-11,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-02-12,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-02-13,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-02-14,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-02-17,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-02-18,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-02-19,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-02-20,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-02-21,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-02-24,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-02-25,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-02-26,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-02-27,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-02-28,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-03-02,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-03-03,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-03-04,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-03-05,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-03-06,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-03-09,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-03-10,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-03-11,1.06,1.06,1.06,1.06,0,1.06,1.06
2020-03-12,0.65,0.65,0.65,0.65,100,1.0395,1.021
2020-03-13,0.65,0.65,0.65,0.65,0,1.019,0.9856
2020-03-16,0.65,0.65,0.65,0.65,0,0.9985,0.9537
2020-03-17,0.65,0.65,0.65,0.65,0,0.978,0.9247
2020-03-18,0.65,0.65,0.65,0.65,0,0.9575,0.8986
2020-03-19,0.65,0.65,0.65,0.65,0,0.937,0.8749
2020-03-20,0.65,0.65,0.65,0.65,0,0.9165,0.8535
2020-03-23,0.65,0.98,0.98,0.98,0,0.9125,0.8655
2020-03-24,0.65,0.98,0.98,0.98,0,0.9085,0.8764
2020-03-25,0.65,0.98,0.98,0.98,0,0.9045,0.8863
2020-03-26,0.65,0.98,0.98,0.98,0,0.9005,0.8952
2020-03-27,0.65,0.98,0.98,0.98,0,0.8965,0.9033
2020-03-30,0.65,0.98,0.98,0.98,0,0.8925,0.9106
2020-03-31,0.65,0.98,0.98,0.98,0,0.8885,0.9172
2020-04-01,0.65,0.98,0.98,0.98,0,0.8845,0.9232
2020-04-03,0.65,0.98,0.98,0.98,0,0.8805,0.9286
2020-04-06,0.65,0.98,0.98,0.98,0,0.8765,0.9335
2020-04-07,0.65,0.98,0.98,0.98,0,0.8725,0.9379
2020-04-08,0.65,0.98,0.98,0.98,0,0.8685,0.9419
2020-04-09,0.65,0.98,0.98,0.98,0,0.8645,0.9456
2020-04-10,0.65,0.98,0.98,0.98,0,0.881,0.9488
2020-04-13,0.65,0.98,0.98,0.98,0,0.8975,0.9518
2020-04-14,0.65,0.98,0.98,0.98,0,0.914,0.9545
2020-04-15,0.65,0.98,0.98,0.98,0,0.9305,0.9569
2020-04-16,0.65,0.98,0.98,0.98,0,0.947,0.9591
2020-04-17,0.65,0.98,0.98,0.98,0,0.9635,0.9611
2020-04-20,0.65,0.98,0.98,0.98,0,0.98,0.9629
2020-04-21,0.65,0.98,0.98,0.98,0,0.98,0.9645
2020-04-22,0.65,0.98,0.98,0.98,0,0.98,0.966
2020-04-23,0.65,0.98,0.98,0.98,0,0.98,0.9673
2020-04-24,0.65,0.98,0.98,0.98,0,0.98,0.9685
