time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,3.65,3.65,3.65,3.65,0,,
2020-01-03,3.65,3.65,3.65,3.65,0,,
2020-01-06,3.65,3.65,3.65,3.65,0,,
2020-01-07,3.65,3.65,3.65,3.65,0,,
2020-01-08,3.65,3.65,3.65,3.65,0,,
2020-01-09,3.65,3.65,3.65,3.65,0,,
2020-01-10,3.65,3.65,3.65,3.65,0,,
2020-01-13,3.65,3.65,3.65,3.65,0,,
2020-01-14,3.65,3.65,3.65,3.65,0,,
2020-01-15,3.65,3.65,3.65,3.65,0,,
2020-01-16,3.65,3.65,3.65,3.65,0,,
2020-01-17,3.65,3.65,3.65,3.65,0,,
2020-01-20,3.65,3.65,3.65,3.65,0,,
2020-01-21,3.65,3.65,3.65,3.65,0,,
2020-01-22,3.65,3.65,3.65,3.65,0,,
2020-01-30,3.65,3.65,3.65,3.65,0,,
2020-01-31,3.65,3.65,3.65,3.65,0,,
2020-02-03,3.65,3.65,3.65,3.65,0,,
2020-02-04,3.65,3.65,3.65,3.65,0,,
2020-02-05,3.65,3.65,3.65,3.65,0,3.65,3.65
2020-02-06,3.65,3.65,3.65,3.65,0,3.65,3.65
2020-02-07,3.65,3.65,3.65,3.65,0,3.65,3.65
2020-02-10,3.65,3.65,3.65,3.65,0,3.65,3.65
2020-02-11,3.65,3.65,3.65,3.65,0,3.65,3.65
2020-02-12,3.65,3.65,3.65,3.65,0,3.65,3.65
2020-02-13,3.65,3.65,3.65,3.65,0,3.65,3.65
2020-02-14,3.65,3.65,3.65,3.65,0,3.65,3.65
2020-02-17,5.1,5.1,5.1,5.1,100,3.7225,3.7881
2020-02-18,4.41,4.41,4.41,4.41,100,3.7605,3.8473
2020-02-19,5.03,5.03,5.03,5.03,100,3.8295,3.96
2020-02-20,4.41,4.41,4.41,4.41,100,3.8675,4.0028
2020-02-21,5.03,5.03,5.03,5.03,100,3.9365,4.1006
2020-02-24,4.61,4.61,4.61,4.61,100,3.9845,4.1492
2020-02-25,4.61,4.61,4.61,4.61,0,4.0325,4.193
2020-02-26,4.61,4.61,4.61,4.61,0,4.0805,4.2328
2020-02-27,5.3,5.3,3.99,3.99,1600,4.0975,4.2096
2020-02-28,4.06,4.06,4.06,4.06,300,4.118,4.1954
2020-03-02,4.06,4.06,4.06,4.06,0,4.1385,4.1825
2020-03-03,4.06,4.06,4.06,4.06,0,4.159,4.1708
2020-03-04,4.06,4.06,4.06,4.06,0,4.1795,4.1603
2020-03-05,4.06,4.06,4.06,4.06,0,4.2,4.1507
2020-03-06,4.06,4.06,4.06,4.06,0,4.2205,4.1421
2020-03-09,4.27,4.61,4.2,4.61,2400,4.2685,4.1866
2020-03-10,4.27,4.61,4.61,4.61,0,4.3165,4.227
2020-03-11,4.27,4.61,4.61,4.61,0,4.3645,4.2634
2020-03-12,4.27,4.61,4.61,4.61,0,4.4125,4.2964
2020-03-13,4.27,4.61,4.61,4.61,0,4.4605,4.3263
2020-03-16,4.27,4.61,4.61,4.61,0,4.436,4.3533
2020-03-17,4.27,4.61,4.61,4.61,0,4.446,4.3778
2020-03-18,3.72,3.72,3.72,3.72,100,4.3805,4.3151
2020-03-19,4.27,4.27,4.27,4.27,3500,4.3735,4.3108
2020-03-20,4.89,4.89,4.89,4.89,100,4.3665,4.366
2020-03-23,4.27,5.58,4.27,5.58,300,4.415,4.4816
2020-03-24,5.51,5.51,5.51,5.51,710,4.46,4.5796
2020-03-25,5.51,5.51,5.51,5.51,150,4.505,4.6682
2020-03-26,5.51,5.51,5.51,5.51,0,4.581,4.7483
2020-03-27,4.82,4.82,4.68,4.68,400,4.612,4.7418
2020-03-30,4.06,5.1,4.06,4.13,2300,4.6155,4.6836
2020-03-31,4.61,4.68,4.13,4.13,3000,4.619,4.6308
2020-04-01,4.61,4.61,4.61,4.61,100,4.6465,4.6289
2020-04-03,3.99,3.99,3.99,3.99,100,4.643,4.568
2020-04-06,3.44,4.2,3.44,4.2,5100,4.65,4.533
2020-04-07,4.2,4.2,4.2,4.2,0,4.6295,4.5013
2020-04-08,4.2,4.2,4.2,4.2,0,4.609,4.4726
2020-04-09,4.13,4.13,4.13,4.13,7000,4.585,4.4399
2020-04-10,4.68,4.68,4.68,4.68,100,4.5885,4.4628
2020-04-13,4.2,4.48,4.2,4.48,600,4.582,4.4644
2020-04-14,4.2,4.48,4.2,4.48,750,4.5755,4.4659
2020-04-15,4.48,4.48,4.48,4.48,1000,4.569,4.4673
2020-04-16,4.48,4.48,4.48,4.48,600,4.607,4.4685
2020-04-17,4.2,4.54,4.2,4.54,2100,4.6205,4.4753
2020-04-20,4.61,4.75,4.61,4.75,1000,4.6135,4.5015
2020-04-21,4.89,4.89,4.89,4.89,100,4.579,4.5385
2020-04-22,4.41,4.82,4.41,4.82,350,4.5445,4.5653
2020-04-23,4.54,4.75,4.54,4.75,2500,4.5065,4.5829
2020-04-24,5.3,5.3,5.3,5.3,100,4.496,4.6512
2020-04-27,4.54,5.92,4.54,5.3,1100,4.527,4.713
2020-04-28,4.82,5.58,4.68,4.68,2200,4.5545,4.7098
2020-04-29,4.82,4.89,4.82,4.82,8500,4.589,4.7203
2020-05-04,5.44,5.44,4.96,4.96,200,4.6065,4.7431
2020-05-05,5.78,5.78,4.96,5.65,1300,4.6895,4.8295
2020-05-06,5.72,5.72,5.37,5.58,3400,4.7585,4.901
2020-05-07,5.85,5.85,5.85,5.85,100,4.841,4.9914
2020-05-08,5.85,5.85,5.85,5.85,100,4.9235,5.0731
2020-05-11,5.23,5.37,5.23,5.37,6000,4.9855,5.1014
2020-05-12,5.78,5.78,5.37,5.37,2100,5.02,5.127
2020-05-13,5.44,5.44,5.44,5.44,1000,5.068,5.1568
2020-05-14,6.06,6.06,5.16,5.85,6400,5.1365,5.2228
2020-05-15,5.51,5.51,5.51,5.51,200,5.188,5.2502
2020-05-18,6.13,6.13,6.13,6.13,100,5.2705,5.334
2020-05-19,6.13,6.13,6.13,6.13,0,5.35,5.4098
2020-05-20,6.13,6.13,6.13,6.13,0,5.419,5.4784
2020-05-21,5.85,6.82,5.85,6.82,3800,5.5155,5.6061
