time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,2.34,2.34,2.34,2.34,0,,
2020-01-03,2.18,2.34,2.18,2.32,2060,,
2020-01-06,2.16,2.35,2.16,2.31,9880,,
2020-01-07,2.15,2.15,2.15,2.15,610,,
2020-01-08,2.0,2.2,2.0,2.2,1600,,
2020-01-09,2.2,2.2,2.2,2.2,100,,
2020-01-10,2.2,2.2,2.2,2.2,0,,
2020-01-13,2.1,2.1,2.1,2.1,100,,
2020-01-14,2.1,2.1,2.1,2.1,0,,
2020-01-15,2.24,2.24,2.05,2.1,1410,,
2020-01-16,1.96,1.96,1.96,1.96,1000,,
2020-01-17,1.83,2.09,1.83,2.09,1130,,
2020-01-20,1.95,2.23,1.95,2.23,1010,,
2020-01-21,2.23,2.23,2.23,2.23,0,,
2020-01-22,2.18,2.18,2.14,2.14,5300,,
2020-01-30,2.0,2.0,2.0,2.0,500,,
2020-01-31,2.0,2.14,2.0,2.14,11600,,
2020-02-03,2.09,2.09,2.09,2.09,990,,
2020-02-04,2.09,2.09,2.09,2.09,0,,
2020-02-05,1.95,1.95,1.95,1.95,1380,2.147,2.1409
2020-02-06,1.83,2.08,1.82,2.08,2670,2.134,2.1351
2020-02-07,2.1,2.22,2.1,2.1,630,2.123,2.1317
2020-02-10,2.1,2.2,2.04,2.2,1120,2.1175,2.1382
2020-02-11,2.19,2.19,2.19,2.19,1430,2.1195,2.1432
2020-02-12,2.04,2.1,2.04,2.1,1200,2.1145,2.1391
2020-02-13,2.0,2.0,1.96,1.96,1000,2.1025,2.122
2020-02-14,1.84,1.96,1.84,1.96,360,2.0905,2.1066
2020-02-17,1.83,1.84,1.83,1.84,6010,2.0775,2.0812
2020-02-18,1.72,1.93,1.72,1.93,15260,2.069,2.0668
2020-02-19,1.8,2.0,1.8,2.0,11780,2.064,2.0604
2020-02-20,2.0,2.0,1.86,1.99,6700,2.0655,2.0537
2020-02-21,1.86,1.98,1.86,1.86,6680,2.054,2.0353
2020-02-24,1.86,1.86,1.73,1.85,2870,2.035,2.0176
2020-02-25,1.84,1.84,1.83,1.83,1350,2.015,1.9998
2020-02-26,1.71,1.75,1.71,1.73,2820,1.9945,1.9741
2020-02-27,1.85,1.85,1.83,1.85,13580,1.987,1.9623
2020-02-28,1.95,1.95,1.9,1.92,1400,1.976,1.9582
2020-03-02,1.81,2.0,1.81,2.0,1170,1.9715,1.9622
2020-03-03,1.9,1.9,1.86,1.86,5200,1.96,1.9525
2020-03-04,1.86,1.86,1.86,1.86,0,1.9555,1.9437
2020-03-05,1.85,1.99,1.85,1.95,6690,1.949,1.9443
2020-03-06,1.95,1.95,1.95,1.95,1010,1.9415,1.9448
2020-03-09,1.82,1.82,1.82,1.82,6790,1.9225,1.9329
2020-03-10,1.82,1.82,1.73,1.74,2320,1.9,1.9146
2020-03-11,1.75,1.76,1.75,1.76,4720,1.883,1.8998
2020-03-12,1.76,1.76,1.64,1.7,550,1.87,1.8808
2020-03-13,1.6,1.69,1.59,1.69,1710,1.8565,1.8626
2020-03-16,1.59,1.74,1.59,1.74,2480,1.8515,1.851
2020-03-17,1.86,1.86,1.86,1.86,1430,1.848,1.8518
2020-03-18,1.99,1.99,1.99,1.99,4150,1.8475,1.865
2020-03-19,1.99,1.99,1.86,1.86,3300,1.841,1.8645
2020-03-20,1.86,1.86,1.86,1.86,1110,1.841,1.8641
2020-03-23,1.73,1.98,1.73,1.98,290,1.8475,1.8751
2020-03-24,1.98,1.98,1.98,1.98,0,1.855,1.8851
