time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,17.08,17.08,17.08,17.08,50,,
2020-01-03,17.08,17.08,17.08,17.08,10,,
2020-01-06,17.08,17.08,17.08,17.08,10,,
2020-01-07,18.25,18.25,18.25,18.25,1000,,
2020-01-08,18.25,18.25,18.25,18.25,0,,
2020-01-09,17.86,17.86,17.86,17.86,60,,
2020-01-10,17.86,17.86,17.86,17.86,0,,
2020-01-13,17.86,17.86,17.86,17.86,0,,
2020-01-14,17.86,17.86,17.86,17.86,0,,
2020-01-15,17.86,17.86,17.86,17.86,0,,
2020-01-16,17.86,17.86,17.86,17.86,0,,
2020-01-17,17.86,17.86,17.86,17.86,0,,
2020-01-20,17.86,17.86,17.86,17.86,0,,
2020-01-21,19.1,19.1,19.1,19.1,10,,
2020-01-22,20.35,20.35,20.27,20.35,1030,,
2020-01-30,18.99,18.99,18.99,18.99,10,,
2020-01-31,18.99,18.99,18.99,18.99,10,,
2020-02-03,18.99,18.99,18.99,18.99,0,,
2020-02-04,18.99,18.99,18.99,18.99,0,,
2020-02-05,18.99,18.99,18.99,18.99,0,18.251,18.3869
2020-02-06,18.99,18.99,18.99,18.99,0,18.3465,18.4444
2020-02-07,18.99,18.99,18.99,18.99,0,18.442,18.4963
2020-02-10,18.99,18.99,18.99,18.99,0,18.5375,18.5434
2020-02-11,19.41,20.31,19.41,20.31,30,18.6405,18.7116
2020-02-12,21.7,21.7,21.35,21.35,10150,18.7955,18.9629
2020-02-13,21.74,21.74,21.74,21.74,30,18.9895,19.2274
2020-02-14,21.82,21.82,21.82,21.82,200,19.1875,19.4743
2020-02-17,21.74,21.74,21.74,21.74,50,19.3815,19.6901
2020-02-18,21.74,21.74,21.74,21.74,0,19.5755,19.8853
2020-02-19,21.74,21.74,21.74,21.74,0,19.7695,20.0619
2020-02-20,21.74,21.74,21.74,21.74,0,19.9635,20.2218
2020-02-21,21.74,21.74,21.74,21.74,0,20.1575,20.3663
2020-02-24,23.26,23.26,23.22,23.26,10190,20.4275,20.6419
2020-02-25,21.67,21.67,21.67,21.67,10,20.556,20.7398
2020-02-26,20.19,20.19,20.19,20.19,100,20.548,20.6875
2020-02-27,20.19,20.19,20.19,20.19,0,20.608,20.6401
2020-02-28,21.43,21.43,21.43,21.43,500,20.73,20.7153
2020-03-02,21.43,21.43,21.43,21.43,0,20.852,20.7834
2020-03-03,21.43,21.43,21.43,21.43,0,20.974,20.845
2020-03-04,21.43,21.43,21.43,21.43,0,21.096,20.9007
2020-03-05,21.43,21.43,21.43,21.43,0,21.218,20.9511
2020-03-06,20.03,20.03,20.03,20.03,100,21.27,20.8634
2020-03-09,20.03,20.03,20.03,20.03,0,21.322,20.784
2020-03-10,20.03,20.03,20.03,20.03,0,21.308,20.7122
2020-03-11,21.43,21.43,21.43,21.43,100,21.312,20.7806
2020-03-12,21.43,21.43,21.43,21.43,0,21.2965,20.8424
2020-03-13,22.13,22.13,22.13,22.13,50,21.312,20.965
2020-03-16,22.13,22.68,22.13,22.68,1510,21.359,21.1284
2020-03-17,24.23,24.23,24.07,24.07,90,21.4755,21.4085
2020-03-18,24.07,24.07,24.07,24.07,0,21.592,21.662
2020-03-19,22.4,22.4,22.4,22.4,10,21.625,21.7323
2020-03-20,22.4,22.4,22.4,22.4,0,21.658,21.7959
2020-03-23,22.4,22.4,22.4,22.4,0,21.615,21.8534
2020-03-24,22.4,22.4,22.4,22.4,0,21.6515,21.9055
2020-03-25,22.4,22.4,22.4,22.4,0,21.762,21.9526
2020-03-26,22.4,22.4,22.4,22.4,0,21.8725,21.9952
2020-03-27,22.4,22.4,22.4,22.4,0,21.921,22.0337
2020-03-30,20.85,20.85,20.85,20.85,10,21.892,21.921
2020-03-31,19.41,20.85,19.41,20.85,1550,21.863,21.819
2020-04-01,20.85,20.85,20.85,20.85,0,21.834,21.7267
2020-04-03,20.85,20.85,20.85,20.85,0,21.805,21.6432
2020-04-06,20.85,20.85,20.85,20.85,0,21.846,21.5677
2020-04-07,19.8,19.8,19.8,19.8,1000,21.8345,21.3993
2020-04-08,19.8,19.8,19.8,19.8,0,21.823,21.247
2020-04-09,19.8,19.8,19.8,19.8,0,21.7415,21.1092
2020-04-10,20.89,20.89,20.89,20.89,40,21.7145,21.0883
2020-04-13,20.89,20.89,20.89,20.89,30,21.6525,21.0694
2020-04-14,19.61,19.61,19.61,19.61,10,21.499,20.9304
2020-04-15,19.61,19.61,19.61,19.61,0,21.276,20.8047
2020-04-16,20.97,20.97,20.97,20.97,10,21.121,20.8204
2020-04-17,20.97,20.97,20.97,20.97,0,21.0495,20.8347
2020-04-20,20.97,20.97,20.97,20.97,0,20.978,20.8476
2020-04-21,21.35,21.35,20.97,20.97,1060,20.9065,20.8592
2020-04-22,22.4,22.4,21.74,21.74,120,20.8735,20.9431
2020-04-23,21.74,21.74,21.74,21.74,0,20.8405,21.019
2020-04-24,21.74,21.74,21.74,21.74,0,20.8075,21.0877
2020-04-27,21.74,21.74,21.74,21.74,0,20.7745,21.1498
2020-04-28,21.74,21.74,21.74,21.74,0,20.819,21.206
2020-04-29,21.74,21.74,21.74,21.74,0,20.8635,21.2569
2020-05-04,21.74,21.74,21.74,21.74,0,20.908,21.3029
2020-05-05,21.74,21.74,21.74,21.74,0,20.9525,21.3445
2020-05-06,21.74,21.74,21.74,21.74,0,20.997,21.3822
2020-05-07,20.58,20.58,20.58,20.58,130,21.036,21.3058
2020-05-08,19.41,21.35,19.41,21.35,230,21.1135,21.31
2020-05-11,20.23,21.35,20.23,20.62,50,21.1545,21.2443
2020-05-12,20.62,20.62,20.62,20.62,0,21.141,21.1848
2020-05-13,21.35,21.35,20.19,20.19,20,21.106,21.0901
2020-05-14,20.97,20.97,20.19,20.19,30,21.135,21.0044
2020-05-15,20.19,20.19,20.19,20.19,0,21.164,20.9268
2020-05-18,21.32,21.32,21.32,21.32,30,21.1815,20.9642
2020-05-19,21.32,21.32,21.32,21.32,0,21.199,20.9981
2020-05-20,21.32,21.32,21.32,21.32,0,21.2165,21.0288
2020-05-21,21.32,21.32,21.32,21.32,0,21.234,21.0565
2020-05-22,21.32,21.32,21.32,21.32,0,21.213,21.0816
2020-05-25,20.97,20.97,20.97,20.97,5880,21.1745,21.071
2020-05-26,20.97,21.35,20.97,21.35,1570,21.155,21.0976
2020-05-27,19.88,19.88,19.88,19.88,100,21.062,20.9816
2020-05-28,20.19,20.19,20.19,20.19,10,20.9845,20.9062
2020-05-29,20.19,20.19,20.19,20.19,6000,20.907,20.838
2020-06-01,20.19,20.19,20.19,20.19,5000,20.8295,20.7763
2020-06-02,20.19,20.19,20.19,20.19,10000,20.752,20.7204
2020-06-03,20.19,20.19,18.79,20.19,20030,20.6745,20.6699
2020-06-04,18.79,21.59,18.79,19.41,580,20.616,20.5499
2020-06-05,20.58,20.58,20.58,20.58,10,20.5775,20.5528
2020-06-08,20.58,20.58,20.58,20.58,0,20.5755,20.5554
2020-06-09,20.58,20.58,20.58,20.58,0,20.5735,20.5577
2020-06-10,20.58,20.58,20.58,20.58,0,20.593,20.5599
2020-06-11,20.58,20.58,20.58,20.58,0,20.6125,20.5618
2020-06-12,19.14,19.14,19.14,19.14,10,20.56,20.4264
2020-06-15,19.14,19.14,19.14,19.14,500,20.451,20.3039
2020-06-16,19.14,19.14,19.14,19.14,50,20.342,20.193
2020-06-17,19.14,19.14,19.14,19.14,0,20.233,20.0927
