time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,16.38,16.61,16.33,16.38,27230,,
2020-01-03,16.61,16.61,16.33,16.33,13000,,
2020-01-06,16.38,17.11,16.29,16.42,11490,,
2020-01-07,16.65,16.65,16.33,16.42,8250,,
2020-01-08,16.42,16.42,15.97,16.33,8140,,
2020-01-09,16.2,16.42,15.97,15.97,41880,,
2020-01-10,16.24,16.24,15.97,15.97,8760,,
2020-01-13,15.97,15.97,15.74,15.9,10070,,
2020-01-14,15.74,15.97,15.33,15.78,30450,,
2020-01-15,15.28,15.92,15.28,15.88,7700,,
2020-01-16,15.83,15.88,15.56,15.78,17820,,
2020-01-17,15.78,15.78,15.56,15.74,18780,,
2020-01-20,15.74,15.74,15.37,15.74,31990,,
2020-01-21,15.51,15.74,15.33,15.33,29790,,
2020-01-22,15.33,15.69,15.33,15.69,18030,,
2020-01-30,15.69,15.69,15.05,15.24,28690,,
2020-01-31,15.24,15.24,14.6,14.6,20330,,
2020-02-03,13.59,14.14,13.59,13.64,27210,,
2020-02-04,14.14,14.14,13.71,14.07,4350,,
2020-02-05,13.55,13.91,13.55,13.71,38860,15.546,15.2683
2020-02-06,13.71,14.6,13.71,14.14,50040,15.434,15.1609
2020-02-07,14.6,14.6,14.14,14.23,17340,15.329,15.0722
2020-02-10,14.14,14.23,13.82,14.01,18570,15.2085,14.971
2020-02-11,14.01,14.01,13.69,13.96,42100,15.0855,14.8748
2020-02-12,13.96,13.96,13.5,13.87,75170,14.9625,14.7791
2020-02-13,13.23,13.82,13.23,13.69,82490,14.8485,14.6753
2020-02-14,13.69,14.51,13.59,14.51,140120,14.7755,14.6596
2020-02-17,14.51,14.58,14.14,14.37,27360,14.699,14.632
2020-02-18,14.42,14.51,14.37,14.46,14000,14.633,14.6156
2020-02-19,14.46,15.42,14.46,14.64,39460,14.571,14.618
2020-02-20,15.28,15.28,14.78,15.05,19920,14.5345,14.6591
2020-02-21,14.83,15.24,14.6,15.05,14440,14.5,14.6963
2020-02-24,14.01,14.69,14.01,14.01,42840,14.4135,14.631
2020-02-25,14.01,14.28,13.69,14.01,19990,14.3475,14.5718
2020-02-26,13.91,13.91,13.59,13.69,47810,14.2475,14.4878
2020-02-27,14.1,14.1,13.69,14.01,11320,14.186,14.4423
