time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,13.81,13.81,13.81,13.81,100,,
2020-01-03,12.86,12.86,12.86,12.86,600,,
2020-01-06,12.86,12.86,12.86,12.86,500,,
2020-01-07,12.86,12.86,12.86,12.86,0,,
2020-01-08,12.86,12.86,12.86,12.86,0,,
2020-01-09,12.86,12.86,12.86,12.86,0,,
2020-01-10,12.86,12.86,12.86,12.86,0,,
2020-01-13,12.86,12.86,12.86,12.86,0,,
2020-01-14,12.86,12.86,12.86,12.86,0,,
2020-01-15,12.86,12.86,12.86,12.86,100,,
2020-01-16,12.86,12.86,12.86,12.86,0,,
2020-01-17,12.86,12.86,12.86,12.86,100,,
2020-01-20,12.52,12.52,12.52,12.52,100,,
2020-01-21,12.86,12.86,12.86,12.86,1000,,
2020-01-22,13.2,13.2,12.86,12.86,600,,
2020-01-30,13.0,12.86,12.86,12.86,0,,
2020-01-31,13.0,12.86,12.86,12.86,0,,
2020-02-03,14.15,14.15,13.88,13.88,200,,
2020-02-04,14.01,13.88,13.88,13.88,0,,
2020-02-05,15.77,15.77,13.54,13.54,600,13.0265,13.218
2020-02-06,15.03,15.03,13.81,13.81,400,13.0265,13.2744
2020-02-07,14.15,14.15,13.88,13.88,1300,13.0775,13.332
2020-02-10,16.18,16.18,14.22,14.22,300,13.1455,13.4166
2020-02-11,17.13,17.13,13.88,13.88,400,13.1965,13.4607
2020-02-12,14.69,13.88,13.88,13.88,0,13.2475,13.5007
2020-02-13,13.81,13.81,13.54,13.54,1500,13.2815,13.5044
2020-02-14,13.61,13.61,13.54,13.54,1000,13.3155,13.5078
2020-02-17,13.54,13.54,13.54,13.54,1000,13.3495,13.5109
2020-02-18,13.54,13.54,13.54,13.54,0,13.3835,13.5136
2020-02-19,14.15,14.15,13.54,13.88,1000,13.4345,13.5485
2020-02-20,13.81,13.81,13.54,13.54,210,13.4685,13.5477
2020-02-21,14.15,14.15,14.15,14.15,100,13.533,13.6051
2020-02-24,14.15,14.15,14.15,14.15,0,13.6145,13.657
2020-02-25,14.15,14.15,14.15,14.15,0,13.679,13.7039
2020-02-26,14.15,14.15,14.15,14.15,0,13.7435,13.7464
2020-02-27,14.15,14.15,14.15,14.15,0,13.808,13.7849
2020-02-28,14.15,14.15,14.15,14.15,0,13.8725,13.8196
2020-03-02,14.15,14.15,14.15,14.15,0,13.886,13.8511
2020-03-03,14.15,14.15,14.15,14.15,100,13.8995,13.8796
2020-03-04,14.15,14.15,14.15,14.15,0,13.93,13.9053
2020-03-05,14.15,14.15,14.15,14.15,0,13.947,13.9286
2020-03-06,13.54,13.54,13.54,13.54,1610,13.93,13.8916
2020-03-09,13.54,13.54,13.4,13.4,800,13.889,13.8448
2020-03-10,13.47,13.4,13.4,13.4,0,13.865,13.8024
2020-03-11,13.2,13.2,12.86,12.86,400,13.814,13.7127
2020-03-12,12.86,12.86,12.86,12.86,300,13.78,13.6315
2020-03-13,12.19,13.2,12.19,13.2,3000,13.763,13.5904
2020-03-16,13.2,13.2,13.2,13.2,0,13.746,13.5532
2020-03-17,13.54,13.54,13.54,13.54,200,13.746,13.5519
2020-03-18,13.54,13.54,13.54,13.54,900,13.729,13.5508
2020-03-19,13.54,13.54,13.54,13.54,0,13.729,13.5498
2020-03-20,13.54,13.54,13.54,13.54,0,13.6985,13.5488
2020-03-23,13.54,13.54,13.2,13.2,1500,13.651,13.5156
2020-03-24,13.4,13.4,13.34,13.34,900,13.6105,13.4989
2020-03-25,13.34,13.34,13.34,13.34,1800,13.57,13.4838
2020-03-26,13.07,13.07,13.07,13.07,500,13.516,13.4444
2020-03-27,13.07,13.07,13.07,13.07,0,13.462,13.4087
2020-03-30,12.19,12.19,12.19,12.19,200,13.364,13.2926
2020-03-31,12.19,12.19,12.19,12.19,200,13.266,13.1876
2020-04-01,12.19,12.19,12.19,12.19,0,13.168,13.0926
2020-04-03,12.19,12.19,12.19,12.19,0,13.07,13.0066
2020-04-06,12.19,12.19,12.19,12.19,100,13.0025,12.9289
2020-04-07,12.86,12.86,12.86,12.86,100,12.9755,12.9223
2020-04-08,12.86,12.86,12.86,12.86,0,12.9485,12.9164
2020-04-09,12.86,12.86,12.86,12.86,0,12.9485,12.911
2020-04-10,12.86,12.86,12.86,12.86,10,12.9485,12.9062
2020-04-13,12.05,12.86,12.05,12.86,200,12.9315,12.9018
2020-04-14,12.46,12.86,12.86,12.86,0,12.9145,12.8978
2020-04-15,13.2,13.2,13.2,13.2,600,12.8975,12.9266
2020-04-16,12.86,13.07,12.86,13.07,1300,12.874,12.9402
2020-04-17,13.54,13.54,13.54,13.54,100,12.874,12.9973
2020-04-20,12.86,13.54,12.86,13.54,200,12.874,13.049
2020-04-21,14.83,14.83,13.2,13.2,600,12.874,13.0634
2020-04-22,14.83,14.83,13.2,13.2,1210,12.867,13.0764
2020-04-23,12.86,12.86,12.86,12.86,500,12.843,13.0558
2020-04-24,12.86,12.86,12.86,12.86,0,12.8325,13.0372
2020-04-27,12.93,12.93,12.86,12.86,700,12.822,13.0203
2020-04-28,13.2,13.2,13.2,13.2,100,12.8725,13.0374
2020-04-29,13.2,13.2,13.2,13.2,1000,12.923,13.0529
2020-05-04,13.2,13.54,13.2,13.54,6800,12.9905,13.0993
2020-05-05,13.2,13.4,13.2,13.4,2200,13.051,13.1279
2020-05-06,13.4,13.54,13.4,13.4,2100,13.1115,13.1538
2020-05-07,13.4,13.4,13.4,13.4,2100,13.1385,13.1773
2020-05-08,13.4,15.37,13.4,13.54,2100,13.1725,13.2118
2020-05-11,13.61,14.89,13.61,13.61,2800,13.21,13.2497
2020-05-12,14.76,14.76,14.76,14.76,100,13.305,13.3936
2020-05-13,14.76,14.76,14.76,14.76,0,13.4,13.5237
2020-05-14,14.76,14.76,14.76,14.76,0,13.495,13.6415
2020-05-15,13.2,13.2,13.2,13.2,500,13.495,13.5994
2020-05-18,13.2,13.2,13.2,13.2,1200,13.5015,13.5614
2020-05-19,13.2,13.2,13.2,13.2,0,13.4845,13.527
2020-05-20,13.2,13.2,13.2,13.2,2000,13.4675,13.4958
2020-05-21,13.2,13.4,13.2,13.4,1600,13.4775,13.4867
2020-05-22,13.2,13.2,13.2,13.2,1610,13.4775,13.4594
2020-05-25,13.2,13.54,13.2,13.54,11000,13.5115,13.4671
2020-05-26,13.54,13.54,13.54,13.54,0,13.5455,13.474
2020-05-27,13.4,13.4,13.4,13.4,100,13.5725,13.467
2020-05-28,13.54,13.54,13.47,13.47,700,13.586,13.4673
2020-05-29,13.47,13.47,13.47,13.47,1400,13.5995,13.4675
2020-06-01,13.47,13.47,13.47,13.47,0,13.596,13.4677
2020-06-02,13.47,13.47,13.47,13.47,0,13.5995,13.468
2020-06-03,13.2,13.2,13.2,13.2,1100,13.5895,13.4424
2020-06-04,13.2,13.2,13.2,13.2,100,13.5795,13.4194
2020-06-05,13.2,13.27,13.2,13.2,1160,13.5625,13.3985
2020-06-08,13.2,13.2,13.2,13.2,300,13.542,13.3796
2020-06-09,13.2,13.2,13.2,13.2,0,13.464,13.3625
2020-06-10,12.93,12.93,12.86,12.86,760,13.369,13.3146
2020-06-11,12.86,12.86,12.86,12.86,900,13.274,13.2713
2020-06-12,12.86,12.86,12.86,12.86,200,13.257,13.2321
2020-06-15,12.86,12.86,12.86,12.86,0,13.24,13.1967
2020-06-16,12.86,12.86,12.86,12.86,500,13.223,13.1646
2020-06-17,12.86,12.86,12.86,12.86,0,13.206,13.1356
2020-06-18,12.86,12.86,12.86,12.86,0,13.179,13.1094
2020-06-19,12.86,12.86,12.52,12.52,1100,13.145,13.0532
2020-06-22,12.8,12.86,12.8,12.86,1500,13.111,13.0348
2020-06-23,12.8,12.86,12.86,12.86,0,13.077,13.0182
2020-06-24,12.66,12.66,12.19,12.19,1000,13.0165,12.9393
2020-06-25,12.46,12.19,12.19,12.19,0,12.9525,12.8679
2020-06-26,12.19,12.19,11.31,11.31,3500,12.8445,12.7196
2020-06-29,11.17,12.66,10.15,10.15,6300,12.6785,12.4748
2020-06-30,11.78,11.85,11.78,11.85,600,12.5975,12.4153
2020-07-01,12.46,12.52,12.46,12.52,1100,12.5635,12.4253
2020-07-02,14.35,14.35,12.8,12.8,200,12.5435,12.461
2020-07-03,12.59,12.59,12.52,12.52,500,12.5095,12.4666
2020-07-06,12.59,12.52,12.52,12.52,0,12.4755,12.4717
2020-07-07,14.35,14.35,14.35,14.35,100,12.533,12.6506
2020-07-08,14.35,14.35,14.35,14.35,0,12.6075,12.8124
2020-07-09,12.32,12.52,12.32,12.52,200,12.5905,12.7846
2020-07-10,11.92,11.92,11.92,11.92,600,12.5435,12.7022
2020-07-13,11.92,11.92,11.92,11.92,600,12.4965,12.6277
2020-07-14,13.68,13.68,13.68,13.68,100,12.5375,12.728
2020-07-15,13.68,13.68,13.68,13.68,0,12.5785,12.8186
2020-07-16,12.19,12.19,12.19,12.19,400,12.545,12.7588
2020-07-17,12.25,12.32,12.05,12.05,3200,12.5215,12.6913
2020-07-20,12.12,12.12,10.9,10.9,2200,12.4235,12.5207
2020-07-21,12.12,12.12,12.12,12.12,200,12.3865,12.4825
2020-07-22,12.12,12.12,12.12,12.12,0,12.383,12.448
2020-07-23,11.64,11.64,11.51,11.51,400,12.349,12.3586
2020-07-24,11.58,11.51,11.51,11.51,0,12.359,12.2778
2020-07-27,13.27,13.27,12.86,12.86,500,12.4945,12.3333
2020-07-28,12.93,12.86,12.86,12.86,0,12.545,12.3834
2020-07-29,12.93,12.86,12.86,12.86,0,12.562,12.4288
2020-07-30,12.93,12.86,12.86,12.86,0,12.565,12.4699
2020-07-31,12.93,12.86,12.86,12.86,0,12.582,12.507
2020-08-03,12.52,12.52,12.52,12.52,300,12.582,12.5083
2020-08-04,12.52,12.52,12.52,12.52,0,12.4905,12.5094
2020-08-05,12.52,12.52,12.52,12.52,0,12.399,12.5104
2020-08-06,12.52,12.52,12.52,12.52,0,12.399,12.5113
2020-08-07,12.52,12.52,12.52,12.52,50,12.429,12.5121
2020-08-10,12.52,12.52,12.52,12.52,0,12.459,12.5129
2020-08-11,12.66,12.66,12.66,12.66,200,12.408,12.5269
2020-08-12,12.66,12.66,12.66,12.66,0,12.357,12.5396
2020-08-13,12.73,12.8,12.73,12.8,200,12.3875,12.5644
2020-08-14,12.8,12.8,12.8,12.8,0,12.425,12.5868
2020-08-17,12.8,12.8,12.59,12.73,900,12.5165,12.6005
2020-08-18,12.66,12.66,12.66,12.66,300,12.5435,12.6061
2020-08-19,12.66,12.66,12.66,12.66,0,12.5705,12.6113
2020-08-20,12.32,12.32,12.32,12.32,600,12.611,12.5835
2020-08-21,12.32,12.32,12.32,12.32,0,12.6515,12.5584
2020-08-24,12.32,12.32,12.32,12.32,0,12.6245,12.5357
2020-08-25,12.32,12.32,12.32,12.32,2,12.5975,12.5152
2020-08-26,12.52,12.73,12.52,12.73,300,12.591,12.5356
2020-08-27,12.66,12.73,12.73,12.73,0,12.5845,12.5541
2020-08-28,12.46,12.46,12.46,12.46,400,12.5645,12.5452
2020-08-31,12.46,12.46,12.46,12.46,0,12.5615,12.5371
2020-09-01,12.73,12.73,12.73,12.73,100,12.572,12.5554
2020-09-03,12.73,12.73,12.73,12.73,200,12.5825,12.5721
2020-09-04,12.73,12.73,12.73,12.73,0,12.593,12.5871
2020-09-07,12.73,12.73,12.73,12.73,0,12.6035,12.6007
2020-09-08,12.73,12.73,12.73,12.73,0,12.614,12.613
2020-09-09,12.73,12.73,12.73,12.73,740,12.6175,12.6242
2020-09-10,12.73,13.07,12.73,13.07,1700,12.638,12.6666
2020-09-11,13.07,13.47,13.07,13.47,1100,12.6715,12.7431
2020-09-14,13.2,13.54,13.2,13.54,2808,12.7085,12.819
