time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,6.61,6.63,6.58,6.58,180760,,
2020-01-03,6.61,6.71,6.53,6.69,298420,,
2020-01-06,6.66,6.69,6.59,6.61,190230,,
2020-01-07,6.61,6.66,6.58,6.63,257100,,
2020-01-08,6.58,6.63,6.55,6.58,189580,,
2020-01-09,6.59,6.66,6.53,6.62,271100,,
2020-01-10,6.62,6.63,6.59,6.63,157200,,
2020-01-13,6.62,6.63,6.57,6.63,164320,,
2020-01-14,6.61,6.66,6.55,6.58,224560,,
2020-01-15,6.58,6.63,6.53,6.61,247050,,
2020-01-16,6.61,6.66,6.53,6.55,166480,,
2020-01-17,6.51,6.55,6.42,6.45,135760,,
2020-01-20,6.42,6.42,6.37,6.39,180810,,
2020-01-21,6.39,6.39,6.31,6.37,207350,,
2020-01-22,6.37,6.45,6.34,6.45,277150,,
2020-01-30,6.39,6.45,6.31,6.34,175790,,
2020-01-31,6.37,6.42,6.29,6.29,213400,,
2020-02-03,6.23,6.29,6.04,6.26,189600,,
2020-02-04,6.23,6.26,6.18,6.2,167610,,
2020-02-05,6.15,6.2,6.1,6.15,296320,6.4805,6.4193
2020-02-06,6.15,6.16,6.07,6.1,162500,6.4565,6.3889
2020-02-07,6.1,6.15,6.06,6.08,146510,6.426,6.3595
2020-02-10,6.1,6.1,6.04,6.08,139860,6.3995,6.3329
2020-02-11,6.08,6.12,6.04,6.07,206680,6.3715,6.3078
2020-02-12,6.07,6.1,6.03,6.1,219050,6.3475,6.2881
2020-02-13,6.07,6.1,6.02,6.08,199400,6.3205,6.2682
2020-02-14,6.04,6.08,6.03,6.07,154810,6.2925,6.2494
2020-02-17,6.04,6.04,6.0,6.02,162740,6.262,6.2275
2020-02-18,6.02,6.03,5.98,6.02,178170,6.234,6.2077
2020-02-19,6.02,6.04,5.99,5.99,269080,6.203,6.187
2020-02-20,6.02,6.02,5.98,6.02,184260,6.1765,6.1711
2020-02-21,5.99,6.0,5.96,6.0,176190,6.154,6.1548
2020-02-24,5.98,6.0,5.96,5.96,191160,6.1325,6.1363
2020-02-25,5.95,6.02,5.94,6.02,298930,6.115,6.1252
2020-02-26,5.96,5.99,5.94,5.96,185610,6.0905,6.1095
2020-02-27,5.96,5.99,5.92,5.99,183420,6.073,6.0981
2020-02-28,5.99,6.1,5.96,6.07,401730,6.062,6.0954
2020-03-02,6.04,6.04,5.94,6.02,107030,6.05,6.0882
2020-03-03,6.02,6.08,5.98,6.06,199240,6.043,6.0855
2020-03-04,6.04,6.06,5.99,6.03,188680,6.037,6.0802
2020-03-05,6.02,6.03,5.96,5.99,252710,6.0315,6.0716
2020-03-06,5.99,6.02,5.92,5.96,201710,6.0255,6.061
2020-03-09,5.88,5.94,5.67,5.75,131290,6.009,6.0314
2020-03-10,5.7,5.78,5.67,5.78,171960,5.9945,6.0075
2020-03-11,5.78,5.8,5.64,5.67,158210,5.973,5.9753
2020-03-12,5.62,5.62,5.28,5.56,217840,5.947,5.9358
2020-03-13,5.28,5.35,5.18,5.18,109730,5.9025,5.8638
2020-03-16,5.03,5.03,4.81,4.81,130,5.842,5.7634
2020-03-17,4.48,4.48,4.48,4.48,7240,5.765,5.6412
2020-03-18,4.17,4.17,4.17,4.17,41040,5.674,5.5011
2020-03-19,3.89,4.28,3.89,4.28,10570,5.587,5.3848
