time,open,high,low,close,volume,SMA_20,EMA_20
2021-04-26,11.37,11.37,6.85,8.38,106000,,
2021-04-27,7.91,7.91,7.65,7.65,5000,,
2021-04-28,8.78,8.78,7.98,7.98,19200,,
2021-04-29,8.25,8.25,7.12,7.58,84700,,
2021-05-04,7.25,7.25,6.38,6.38,15700,,
2021-05-05,5.99,7.32,5.99,6.65,19700,,
2021-05-06,7.18,7.18,6.32,6.52,50800,,
2021-05-07,6.45,6.52,6.32,6.38,24000,,
2021-05-10,6.38,6.72,6.38,6.65,52401,,
2021-05-11,6.65,6.92,6.58,6.85,42800,,
2021-05-12,6.72,7.12,6.65,7.12,70100,,
2021-05-13,7.32,7.85,7.32,7.85,182800,,
2021-05-14,7.85,7.91,7.38,7.45,52532,,
2021-05-17,7.45,7.45,7.12,7.12,66800,,
2021-05-18,7.12,7.32,6.85,7.18,24000,,
2021-05-19,6.98,7.18,6.92,7.18,72400,,
2021-05-20,7.18,7.18,6.98,6.98,49800,,
2021-05-21,6.92,6.98,6.92,6.98,61800,,
2021-05-24,7.12,7.25,6.92,7.12,56011,,
2021-05-25,7.12,7.18,6.92,6.92,148742,7.146,7.2667
2021-05-26,6.98,7.05,6.92,6.98,41600,7.076,7.2394
2021-05-27,6.98,7.05,6.78,6.92,127900,7.0395,7.209
2021-05-28,6.85,7.05,6.85,6.92,91700,6.9865,7.1815
2021-05-31,6.98,7.05,6.78,6.85,95082,6.95,7.1499
2021-06-01,6.92,7.05,6.85,6.98,88300,6.98,7.1337
2021-06-02,6.98,7.85,6.98,7.85,687299,7.04,7.2019
2021-06-03,7.98,8.25,7.78,7.91,356494,7.1095,7.2694
2021-06-04,7.91,7.98,7.71,7.85,297000,7.183,7.3247
2021-06-07,7.78,8.18,7.58,8.11,672710,7.256,7.3995
2021-06-08,8.18,8.51,8.18,8.31,588000,7.329,7.4862
2021-06-09,8.46,8.82,7.72,7.94,309400,7.37,7.5294
2021-06-10,7.94,8.46,7.87,8.31,350600,7.393,7.6037
2021-06-11,8.31,8.31,7.94,8.09,181814,7.425,7.6501
2021-06-14,8.09,8.16,7.79,7.94,242300,7.466,7.6777
2021-06-15,7.87,7.87,7.5,7.72,207300,7.493,7.6817
2021-06-16,7.57,7.72,7.5,7.5,133210,7.509,7.6644
2021-06-17,7.5,7.65,7.35,7.65,239000,7.5425,7.663
2021-06-18,7.65,7.94,7.43,7.79,129600,7.583,7.6751
2021-06-21,7.79,8.24,7.79,8.16,345100,7.635,7.7213
2021-06-22,8.24,8.38,7.94,8.01,229300,7.6895,7.7488
2021-06-23,8.01,8.09,7.79,7.87,95927,7.734,7.7603
2021-06-24,7.94,7.94,7.79,7.87,85100,7.7815,7.7708
2021-06-25,7.94,8.24,7.87,8.16,222224,7.8435,7.8078
2021-06-28,8.16,9.04,8.16,8.97,844960,7.9495,7.9185
2021-06-29,8.97,9.93,8.9,9.93,614104,8.097,8.1101
2021-06-30,10.29,10.66,9.56,9.93,477394,8.201,8.2834
2021-07-01,10.0,10.0,8.75,8.82,492978,8.2465,8.3345
2021-07-02,8.75,9.04,8.46,8.97,208283,8.3025,8.395
2021-07-05,8.97,9.04,8.38,8.53,215100,8.3235,8.4079
2021-07-06,8.38,8.6,7.94,8.09,257300,8.3125,8.3776
2021-07-07,8.09,8.09,7.13,7.65,232800,8.298,8.3083
2021-07-08,7.57,8.53,7.57,8.16,108274,8.2905,8.2942
2021-07-09,8.24,8.24,7.79,8.01,127700,8.2865,8.2671
2021-07-12,7.87,7.87,7.35,7.72,252000,8.2755,8.215
