time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,18.59,19.08,17.94,18.92,616790,,
2020-01-03,18.75,18.75,18.22,18.59,429140,,
2020-01-06,18.43,18.59,17.78,18.35,355170,,
2020-01-07,18.18,18.18,17.53,17.69,353620,,
2020-01-08,17.61,17.86,17.04,17.86,389040,,
2020-01-09,17.61,17.69,16.96,17.69,308350,,
2020-01-10,17.53,17.53,17.12,17.37,310490,,
2020-01-13,17.2,17.86,17.12,17.61,457870,,
2020-01-14,17.45,17.53,17.04,17.45,316060,,
2020-01-15,17.37,17.45,16.88,17.45,385490,,
2020-01-16,17.29,17.33,16.96,17.29,410700,,
2020-01-17,17.2,17.37,16.88,17.25,303570,,
2020-01-20,17.04,17.86,16.8,17.86,368980,,
2020-01-21,17.69,17.9,17.29,17.86,319720,,
2020-01-22,17.69,18.67,17.45,18.67,325270,,
2020-01-30,18.51,18.67,18.26,18.43,331440,,
2020-01-31,18.26,18.43,17.69,17.69,381800,,
2020-02-03,17.45,17.45,16.88,17.12,328380,,
2020-02-04,16.06,17.78,16.06,17.12,14620,,
2020-02-05,16.35,17.08,15.94,15.94,90400,17.7105,17.7025
2020-02-06,15.94,16.96,14.84,16.96,100340,17.6125,17.6318
2020-02-07,16.88,17.53,16.47,17.29,55640,17.5475,17.5993
2020-02-10,16.63,18.1,16.39,18.1,259400,17.535,17.6469
2020-02-11,17.61,17.94,17.04,17.94,112570,17.5475,17.6749
2020-02-12,17.69,17.86,17.45,17.86,204080,17.5475,17.6925
2020-02-13,17.94,18.02,17.69,18.02,143370,17.564,17.7237
2020-02-14,18.02,18.18,17.69,18.18,277010,17.6045,17.7671
2020-02-17,18.18,18.35,17.45,18.22,75150,17.635,17.8103
2020-02-18,17.65,18.75,17.65,18.47,109240,17.686,17.8731
2020-02-19,18.51,18.51,17.94,17.94,52150,17.7105,17.8795
2020-02-20,17.94,18.26,17.86,18.1,68210,17.751,17.9005
2020-02-21,18.1,18.35,17.78,18.35,75930,17.806,17.9433
2020-02-24,18.67,18.67,17.53,18.1,48260,17.818,17.9582
2020-02-25,18.1,18.1,17.9,18.1,91800,17.83,17.9717
2020-02-26,18.18,18.26,18.02,18.02,40700,17.7975,17.9763
2020-02-27,17.94,18.02,17.94,18.02,178120,17.777,17.9805
2020-02-28,17.53,18.02,17.53,17.94,113280,17.7895,17.9766
2020-03-02,17.9,17.98,17.9,17.94,112880,17.8305,17.9731
2020-03-03,17.2,17.9,16.88,17.86,122320,17.8675,17.9624
2020-03-04,17.86,17.94,17.82,17.86,155550,17.9635,17.9526
2020-03-05,17.86,17.86,17.82,17.86,110520,18.0085,17.9438
2020-03-06,17.78,17.94,17.69,17.94,133570,18.041,17.9434
2020-03-09,17.78,17.9,16.96,17.9,112080,18.031,17.9393
2020-03-10,17.9,17.94,17.86,17.9,106150,18.029,17.9355
2020-03-11,17.9,17.9,17.78,17.82,114150,18.027,17.9245
2020-03-12,17.78,17.78,17.04,17.53,218400,18.0025,17.887
2020-03-13,16.47,17.12,16.31,17.12,37640,17.9495,17.8139
2020-03-16,17.37,17.86,16.39,17.73,483680,17.925,17.8059
2020-03-17,16.59,17.78,16.59,17.78,282830,17.8905,17.8035
2020-03-18,16.72,17.78,16.72,17.78,27130,17.8825,17.8012
2020-03-19,17.69,17.69,17.12,17.69,129310,17.862,17.7906
2020-03-20,17.53,17.69,16.72,17.69,148030,17.829,17.7811
2020-03-23,17.69,17.86,16.47,17.53,133310,17.8005,17.7571
2020-03-24,16.43,17.53,16.43,17.37,12130,17.764,17.7203
2020-03-25,17.37,17.94,17.12,17.73,32480,17.7495,17.7212
2020-03-26,17.37,17.73,17.37,17.53,24440,17.725,17.703
2020-03-27,17.2,17.49,16.31,17.49,16370,17.7025,17.6827
2020-03-30,17.45,17.49,16.39,17.12,19660,17.6615,17.6291
2020-03-31,17.37,17.37,16.14,17.29,12740,17.633,17.5968
2020-04-01,17.12,17.53,16.1,17.49,53470,17.6145,17.5866
2020-04-03,17.37,17.41,16.27,17.37,26060,17.59,17.566
2020-04-06,17.2,17.37,16.19,17.37,729110,17.5615,17.5473
2020-04-07,17.08,17.29,16.8,17.2,1004990,17.5265,17.5143
2020-04-08,17.2,17.2,16.02,16.02,214760,17.4325,17.372
2020-04-09,16.02,16.39,15.08,16.23,28750,17.353,17.2632
2020-04-10,16.14,16.14,15.49,15.66,62180,17.2595,17.1105
2020-04-13,15.57,16.63,14.68,15.74,22220,17.1905,16.98
2020-04-14,15.25,15.66,14.92,15.57,52980,17.0825,16.8457
2020-04-15,15.49,15.82,15.45,15.57,47450,16.972,16.7242
2020-04-16,15.57,16.47,15.41,16.06,45210,16.886,16.6609
2020-04-17,15.9,16.06,15.9,15.9,553730,16.7965,16.5885
2020-04-20,15.9,16.14,15.49,15.9,100690,16.707,16.5229
2020-04-21,15.9,16.06,15.57,15.82,841820,16.6215,16.456
2020-04-22,15.82,15.82,15.49,15.74,24820,16.54,16.3878
2020-04-23,15.74,15.94,15.49,15.74,27490,16.4405,16.3261
2020-04-24,15.74,15.82,15.57,15.74,91910,16.351,16.2703
2020-04-27,15.57,15.74,15.17,15.49,58640,16.251,16.196
2020-04-28,15.49,15.61,15.41,15.49,11500,16.1695,16.1287
2020-04-29,15.49,15.49,15.21,15.49,63940,16.0795,16.0679
2020-05-04,15.41,15.61,14.6,15.49,33350,15.9795,16.0129
2020-05-05,15.49,15.61,15.41,15.49,521260,15.8855,15.9631
2020-05-06,15.66,16.55,15.66,16.06,753550,15.82,15.9723
2020-05-07,16.06,17.16,16.02,16.1,588410,15.765,15.9845
2020-05-08,16.14,16.72,16.06,16.14,209320,15.771,15.9993
2020-05-11,15.66,16.06,15.41,15.49,412560,15.734,15.9508
2020-05-12,15.49,16.55,15.49,16.55,926280,15.7785,16.0078
2020-05-13,16.31,17.04,16.19,16.31,633450,15.807,16.0366
2020-05-14,16.06,16.06,15.74,15.86,567940,15.8215,16.0198
2020-05-15,15.86,15.98,15.49,15.9,942140,15.838,16.0084
2020-05-18,15.74,15.86,15.49,15.49,937090,15.8095,15.959
2020-05-19,15.74,15.82,15.37,15.49,590530,15.789,15.9143
2020-05-20,15.49,15.49,15.33,15.49,511990,15.7685,15.8739
2020-05-21,15.41,15.49,15.29,15.41,589720,15.748,15.8297
2020-05-22,15.29,16.14,15.0,15.49,1922650,15.7355,15.7974
2020-05-25,15.74,15.82,15.41,15.45,411060,15.721,15.7643
2020-05-26,15.41,15.49,15.33,15.37,847650,15.7025,15.7268
2020-05-27,15.45,15.74,15.25,15.53,1008230,15.7045,15.708
2020-05-28,15.49,15.53,15.25,15.41,344770,15.7005,15.6796
2020-05-29,15.41,15.45,15.08,15.33,394500,15.6925,15.6463
2020-06-01,15.29,15.41,15.08,15.33,1864500,15.6845,15.6162
2020-06-02,15.9,15.9,15.49,15.49,1406540,15.6845,15.6042
2020-06-03,15.49,15.98,15.49,15.82,1655810,15.6725,15.6247
2020-06-04,15.82,15.98,15.74,15.82,1025910,15.6585,15.6433
2020-06-05,15.82,15.86,15.57,15.66,749920,15.6345,15.6449
2020-06-08,15.66,15.86,15.66,15.66,1625000,15.643,15.6464
2020-06-09,15.74,16.72,15.66,16.27,1791800,15.629,15.7058
2020-06-10,16.23,16.27,15.98,16.19,1117090,15.623,15.7519
2020-06-11,16.14,16.47,15.49,15.49,1670770,15.6045,15.7269
2020-06-12,15.17,15.37,14.92,15.33,935530,15.576,15.6891
2020-06-15,15.33,15.53,14.76,14.76,1040650,15.5395,15.6006
2020-06-16,15.0,15.25,14.92,15.25,807650,15.5275,15.5672
2020-06-17,15.25,15.61,15.13,15.41,822740,15.5235,15.5523
2020-06-18,15.5,15.58,15.24,15.5,433290,15.528,15.5473
2020-06-19,15.32,15.5,14.98,15.06,734040,15.5065,15.5009
2020-06-22,15.02,15.41,14.98,15.02,308190,15.485,15.4551
2020-06-23,15.15,15.24,14.67,14.8,531830,15.4565,15.3927
2020-06-24,14.71,15.02,14.32,14.37,868470,15.3985,15.2953
2020-06-25,14.02,14.28,13.58,13.93,513310,15.3245,15.1653
2020-06-26,14.15,14.37,13.32,13.5,718390,15.233,15.0067
2020-06-29,13.1,13.15,12.58,12.58,649360,15.0955,14.7756
2020-06-30,12.58,13.02,12.06,12.62,711410,14.952,14.5703
2020-07-01,12.36,13.32,12.36,13.19,1349470,14.8205,14.4388
2020-07-02,13.15,13.36,12.71,12.71,299450,14.665,14.2742
2020-07-03,12.71,12.97,12.67,12.8,159940,14.522,14.1338
2020-07-06,13.02,13.02,12.62,12.8,396710,14.379,14.0067
2020-07-07,12.8,12.93,12.45,12.71,442740,14.201,13.8832
2020-07-08,12.71,12.71,12.49,12.71,150250,14.027,13.7715
2020-07-09,12.58,13.15,12.58,13.02,796430,13.9035,13.6999
2020-07-10,12.97,13.02,12.76,12.97,340820,13.7855,13.6304
2020-07-13,13.02,13.06,12.8,12.93,249260,13.694,13.5637
2020-07-14,12.8,12.93,12.58,12.76,559800,13.5695,13.4872
2020-07-15,12.89,12.89,12.58,12.8,678100,13.439,13.4217
2020-07-16,12.84,12.84,12.71,12.8,367760,13.304,13.3625
2020-07-17,12.76,12.84,12.62,12.62,334890,13.182,13.2918
2020-07-20,12.71,12.71,12.28,12.28,565110,13.045,13.1954
2020-07-21,12.45,12.45,12.02,12.36,477890,12.923,13.1159
2020-07-22,12.36,12.36,12.06,12.28,230340,12.8185,13.0363
2020-07-23,12.28,12.28,11.84,11.84,507850,12.714,12.9223
2020-07-24,11.84,12.45,11.06,11.84,899570,12.631,12.8193
2020-07-27,11.06,11.62,11.01,11.01,461620,12.5525,12.6469
2020-07-28,11.01,11.36,10.93,11.23,337530,12.483,12.512
2020-07-29,11.14,11.14,10.45,10.45,544040,12.346,12.3156
2020-07-30,10.45,10.62,10.06,10.19,270770,12.22,12.1132
2020-07-31,10.19,10.19,9.49,9.66,976920,12.063,11.8795
2020-08-03,9.58,10.32,9.58,10.32,546960,11.939,11.731
2020-08-04,10.84,10.84,10.58,10.67,955480,11.837,11.63
2020-08-05,10.62,10.75,10.45,10.71,635530,11.737,11.5423
2020-08-06,10.62,10.62,10.4,10.49,477340,11.6105,11.4421
2020-08-07,10.62,10.88,10.45,10.8,806790,11.502,11.381
2020-08-10,11.14,11.54,10.97,11.54,629030,11.4325,11.3961
2020-08-11,12.19,12.19,11.58,11.58,1287410,11.3735,11.4136
2020-08-12,11.58,11.67,11.19,11.41,873180,11.304,11.4133
2020-08-13,11.41,11.58,11.28,11.41,883550,11.2345,11.413
2020-08-14,11.58,11.93,11.32,11.71,1168410,11.189,11.4413
2020-08-17,11.67,11.71,11.49,11.67,585230,11.1585,11.463
2020-08-18,11.88,11.88,11.62,11.67,560020,11.124,11.4828
2020-08-19,11.67,11.71,11.32,11.32,550890,11.076,11.4673
2020-08-20,11.41,11.58,11.14,11.14,405600,11.041,11.4361
2020-08-21,11.32,11.32,11.1,11.23,415890,11.0105,11.4165
2020-08-24,11.41,11.49,11.36,11.36,368120,11.028,11.4111
2020-08-25,11.49,11.54,11.36,11.36,819400,11.0345,11.4062
2020-08-26,11.41,11.49,11.32,11.45,382770,11.0845,11.4104
2020-08-27,11.41,12.23,11.41,12.23,1076430,11.1865,11.4884
2020-08-28,12.62,12.93,12.36,12.45,1638980,11.326,11.58
2020-08-31,12.41,12.58,12.1,12.28,1735600,11.424,11.6467
2020-09-01,12.06,12.32,12.02,12.19,1201630,11.5,11.6984
2020-09-03,12.45,12.54,12.06,12.1,1002680,11.5695,11.7367
2020-09-04,11.93,12.02,11.84,12.02,554930,11.646,11.7637
2020-09-07,12.02,12.49,11.88,12.19,1197630,11.7155,11.8043
2020-09-08,12.32,12.67,12.28,12.49,669430,11.763,11.8696
2020-09-09,12.28,12.58,12.23,12.58,957790,11.813,11.9372
2020-09-10,12.62,12.93,12.62,12.76,644270,11.8805,12.0156
2020-09-11,12.76,12.93,12.71,12.76,460810,11.948,12.0865
