time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,4.2,4.4,4.0,4.2,3530,,
2020-01-03,4.3,4.3,3.8,4.0,19100,,
2020-01-06,4.2,4.2,3.6,3.6,9200,,
2020-01-07,3.4,3.9,3.4,3.9,12189,,
2020-01-08,3.9,3.9,3.6,3.9,300,,
2020-01-09,3.9,3.9,3.9,3.9,100,,
2020-01-10,3.9,4.0,3.8,4.0,3200,,
2020-01-13,4.0,4.0,4.0,4.0,1700,,
2020-01-14,4.0,4.1,4.0,4.0,12810,,
2020-01-15,4.0,4.0,3.7,3.7,13300,,
2020-01-16,3.9,3.9,3.5,3.9,5400,,
2020-01-17,3.6,3.8,3.6,3.8,2100,,
2020-01-20,3.8,3.8,3.8,3.8,200,,
2020-01-21,3.8,4.1,3.6,3.8,22060,,
2020-01-22,3.9,3.9,3.7,3.9,3300,,
2020-01-30,3.9,3.9,3.6,3.9,3902,,
2020-01-31,3.9,3.9,3.6,3.9,5900,,
2020-02-03,3.6,3.7,3.6,3.7,11650,,
2020-02-04,3.7,3.7,3.7,3.7,3600,,
2020-02-05,3.7,3.7,3.7,3.7,0,3.865,3.8767
2020-02-06,3.4,3.4,3.4,3.4,13803,3.825,3.8313
2020-02-07,3.2,3.5,3.1,3.5,3800,3.8,3.7997
2020-02-10,3.4,3.4,3.4,3.4,200,3.79,3.7617
2020-02-11,3.4,3.5,3.3,3.5,6700,3.77,3.7367
2020-02-12,3.5,3.6,3.5,3.5,3800,3.75,3.7142
2020-02-13,3.6,3.7,3.6,3.6,5727,3.735,3.7033
2020-02-14,3.6,3.6,3.6,3.6,2504,3.715,3.6935
2020-02-17,3.6,3.7,3.3,3.7,18200,3.7,3.6941
2020-02-18,3.7,3.9,3.5,3.7,10400,3.685,3.6947
2020-02-19,3.6,3.6,3.6,3.6,700,3.68,3.6856
2020-02-20,3.8,3.8,3.3,3.6,12100,3.665,3.6775
2020-02-21,3.5,3.5,3.5,3.5,904,3.65,3.6606
2020-02-24,3.5,3.5,3.5,3.5,200,3.635,3.6453
2020-02-25,3.5,3.6,3.5,3.6,800,3.625,3.641
2020-02-26,3.5,3.5,3.5,3.5,3085,3.605,3.6276
2020-02-27,3.4,3.8,3.4,3.7,45200,3.595,3.6345
2020-02-28,3.5,3.5,3.5,3.5,3000,3.575,3.6216
2020-03-02,3.6,3.6,3.6,3.6,100,3.57,3.6196
