time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,5.24,5.24,5.24,5.24,0,,
2020-01-03,5.31,5.31,5.31,5.31,300,,
2020-01-06,5.31,5.31,5.31,5.31,0,,
2020-01-07,5.82,5.82,5.82,5.82,100,,
2020-01-08,5.24,5.24,5.24,5.24,1000,,
2020-01-09,4.72,4.72,4.72,4.72,300,,
2020-01-10,5.18,5.18,4.72,4.72,10200,,
2020-01-13,4.72,4.72,4.72,4.72,100,,
2020-01-14,4.72,4.72,4.72,4.72,0,,
2020-01-15,4.72,4.72,4.72,4.72,0,,
2020-01-16,4.72,4.72,4.72,4.72,0,,
2020-01-17,4.72,4.72,4.72,4.72,0,,
2020-01-20,4.72,4.72,4.72,4.72,0,,
2020-01-21,4.72,4.72,4.72,4.72,0,,
2020-01-22,4.72,4.72,4.72,4.72,0,,
2020-01-30,4.4,5.18,4.4,5.18,3100,,
2020-01-31,5.18,5.18,5.18,5.18,0,,
2020-02-03,5.18,5.18,5.18,5.18,0,,
2020-02-04,5.18,5.18,5.18,5.18,0,,
2020-02-05,5.18,5.18,5.18,5.18,0,5.001,5.0304
2020-02-06,5.18,5.18,5.18,5.18,0,4.998,5.0447
2020-02-07,5.18,5.18,5.18,5.18,0,4.9915,5.0576
2020-02-10,5.18,5.18,5.18,5.18,0,4.985,5.0692
2020-02-11,5.18,5.18,5.18,5.18,0,4.953,5.0798
2020-02-12,5.18,5.18,5.18,5.18,0,4.95,5.0893
2020-02-13,5.18,5.18,5.18,5.18,0,4.973,5.098
2020-02-14,5.18,5.18,5.18,5.18,0,4.996,5.1058
2020-02-17,5.18,5.18,5.18,5.18,0,5.019,5.1128
2020-02-18,5.18,5.18,5.18,5.18,10300,5.042,5.1192
2020-02-19,5.18,5.18,4.85,4.85,30150,5.0485,5.0936
2020-02-20,5.05,5.05,5.05,5.05,1000,5.065,5.0894
2020-02-21,5.11,5.11,5.11,5.11,2000,5.0845,5.0914
2020-02-24,5.11,5.18,5.11,5.18,7500,5.1075,5.0998
2020-02-25,5.24,5.24,5.24,5.24,2000,5.1335,5.1132
2020-02-26,5.24,5.24,5.24,5.24,1200,5.1595,5.1253
2020-02-27,5.24,5.24,5.24,5.24,3000,5.1625,5.1362
2020-02-28,5.24,5.24,5.24,5.24,3000,5.1655,5.1461
2020-03-02,5.24,5.24,5.24,5.24,5400,5.1685,5.155
2020-03-03,5.24,5.24,5.24,5.24,2000,5.1715,5.1631
2020-03-04,5.24,5.24,5.24,5.24,3100,5.1745,5.1704
2020-03-05,5.31,5.31,5.31,5.31,9400,5.181,5.1837
2020-03-06,5.31,5.31,5.31,5.31,5000,5.1875,5.1958
2020-03-09,5.31,5.31,5.31,5.31,39600,5.194,5.2066
2020-03-10,5.31,5.31,5.31,5.31,3500,5.2005,5.2165
2020-03-11,4.85,5.31,4.85,5.31,3600,5.207,5.2254
2020-03-12,5.31,5.31,5.31,5.31,0,5.2135,5.2334
2020-03-13,5.18,5.18,5.18,5.18,800,5.2135,5.2284
2020-03-16,5.37,5.37,5.37,5.37,6500,5.223,5.2418
2020-03-17,5.37,5.44,5.37,5.44,3000,5.236,5.2607
2020-03-18,5.5,5.5,5.5,5.5,3500,5.2685,5.2835
2020-03-19,5.57,5.57,5.57,5.57,10000,5.2945,5.3108
2020-03-20,5.5,5.57,5.5,5.57,6500,5.3175,5.3355
2020-03-23,5.57,5.57,5.57,5.57,5500,5.337,5.3578
2020-03-24,5.63,5.63,5.63,5.63,100,5.3565,5.3837
2020-03-25,5.63,5.63,5.63,5.63,1600,5.376,5.4072
2020-03-26,5.95,5.95,5.95,5.95,100,5.4115,5.4589
2020-03-27,5.5,5.5,5.5,5.5,2500,5.4245,5.4628
2020-03-30,5.57,5.76,5.57,5.69,6600,5.447,5.4844
2020-03-31,5.69,5.76,5.69,5.76,4700,5.473,5.5107
2020-04-01,5.76,5.82,5.76,5.82,5600,5.502,5.5401
2020-04-03,5.82,5.89,5.82,5.89,6600,5.531,5.5735
2020-04-06,5.89,5.89,5.89,5.89,5000,5.56,5.6036
2020-04-07,5.37,6.41,5.37,5.89,2500,5.589,5.6309
2020-04-08,5.95,6.02,5.95,6.02,1700,5.6245,5.6679
2020-04-09,6.02,6.02,6.02,6.02,0,5.66,5.7015
2020-04-10,5.44,6.15,5.44,6.15,2800,5.702,5.7442
2020-04-13,6.15,6.15,6.15,6.15,3000,5.7505,5.7828
2020-04-14,6.15,6.15,6.15,6.15,19900,5.7895,5.8178
2020-04-15,6.15,6.15,6.15,6.15,0,5.825,5.8494
2020-04-16,5.57,6.15,5.57,6.15,8000,5.8575,5.8781
2020-04-17,6.28,6.28,6.15,6.15,4500,5.8865,5.904
2020-04-20,6.21,6.21,6.21,6.21,3000,5.9185,5.9331
2020-04-21,6.21,6.28,6.21,6.21,2040,5.9505,5.9595
2020-04-22,6.21,6.21,6.21,6.21,2100,5.9795,5.9833
2020-04-23,6.21,6.21,6.21,6.21,0,6.0085,6.0049
2020-04-24,6.47,6.47,6.28,6.28,300,6.025,6.0311
2020-04-27,6.28,6.28,6.28,6.28,0,6.064,6.0548
2020-04-28,6.28,6.28,6.28,6.28,0,6.0935,6.0763
2020-04-29,6.28,6.28,6.28,6.28,0,6.1195,6.0957
2020-05-04,6.28,6.28,6.28,6.28,0,6.1425,6.1132
2020-05-05,6.28,6.28,6.28,6.28,0,6.162,6.1291
2020-05-06,6.28,6.28,6.28,6.28,2900,6.1815,6.1435
2020-05-07,5.82,6.28,5.82,6.28,240,6.201,6.1565
2020-05-08,6.28,6.28,6.28,6.28,0,6.214,6.1682
2020-05-11,6.28,6.28,6.28,6.28,0,6.227,6.1789
2020-05-12,6.21,6.21,6.21,6.21,400,6.23,6.1819
2020-05-13,6.21,6.21,6.21,6.21,0,6.233,6.1845
2020-05-14,6.21,6.21,6.21,6.21,0,6.236,6.187
2020-05-15,6.21,6.21,6.21,6.21,0,6.239,6.1892
2020-05-18,6.21,6.21,6.21,6.21,0,6.242,6.1911
2020-05-19,6.21,6.21,6.21,6.21,0,6.245,6.1929
2020-05-20,6.21,6.21,6.21,6.21,0,6.245,6.1946
2020-05-21,6.21,6.21,6.21,6.21,0,6.245,6.196
2020-05-22,6.21,6.21,6.21,6.21,1603,6.245,6.1974
2020-05-25,6.21,6.21,6.21,6.21,51300,6.245,6.1986
2020-05-26,6.21,6.21,6.21,6.21,0,6.2415,6.1997
2020-05-27,6.21,6.21,6.21,6.21,0,6.238,6.2006
2020-05-28,6.21,6.21,6.21,6.21,0,6.2345,6.2015
2020-05-29,6.21,6.21,6.21,6.21,0,6.231,6.2023
2020-06-01,6.21,6.21,6.21,6.21,1895,6.2275,6.2031
2020-06-02,6.21,6.21,6.21,6.21,0,6.224,6.2037
2020-06-03,5.89,5.89,5.89,5.89,10140,6.2045,6.1738
2020-06-04,6.21,6.21,6.21,6.21,3800,6.201,6.1773
2020-06-05,6.21,6.21,6.21,6.21,75,6.1975,6.1804
2020-06-08,6.21,6.21,6.21,6.21,5100,6.194,6.1832
2020-06-09,6.21,6.21,6.21,6.21,16852,6.194,6.1858
2020-06-10,6.21,6.21,6.21,6.21,171,6.194,6.1881
2020-06-11,6.21,6.21,6.21,6.21,11,6.194,6.1902
2020-06-12,6.21,6.21,6.21,6.21,0,6.194,6.1921
2020-06-15,6.21,6.21,6.21,6.21,0,6.194,6.1938
2020-06-16,6.21,6.21,6.21,6.21,0,6.194,6.1953
2020-06-17,6.21,6.21,6.21,6.21,0,6.194,6.1967
2020-06-18,6.21,6.21,6.21,6.21,0,6.194,6.198
2020-06-19,6.21,6.21,6.21,6.21,0,6.194,6.1991
2020-06-22,6.21,6.21,6.21,6.21,0,6.194,6.2002
2020-06-23,6.21,6.21,6.21,6.21,0,6.194,6.2011
2020-06-24,6.79,6.79,6.02,6.02,200,6.1845,6.1838
2020-06-25,6.02,6.02,6.02,6.02,0,6.175,6.1682
2020-06-26,5.82,5.82,5.82,5.82,2332,6.1555,6.1351
2020-06-29,5.82,5.82,5.82,5.82,0,6.136,6.1051
2020-06-30,5.82,5.82,5.82,5.82,1749,6.1165,6.0779
2020-07-01,5.82,5.82,5.82,5.82,0,6.113,6.0534
2020-07-02,5.82,5.82,5.82,5.82,0,6.0935,6.0311
2020-07-03,5.82,5.82,5.82,5.82,0,6.074,6.011
2020-07-06,5.82,5.82,5.82,5.82,0,6.0545,5.9928
2020-07-07,5.82,5.82,5.82,5.82,0,6.035,5.9764
2020-07-08,5.82,5.82,5.82,5.82,0,6.0155,5.9615
2020-07-09,5.44,5.44,5.44,5.44,100,5.977,5.9118
2020-07-10,5.89,5.89,5.82,5.82,8467,5.9575,5.9031
2020-07-13,5.82,5.82,5.82,5.82,0,5.938,5.8952
2020-07-14,5.82,5.82,5.82,5.82,1312,5.9185,5.888
2020-07-15,5.89,5.89,5.89,5.89,2200,5.9025,5.8882
2020-07-16,5.89,5.89,5.89,5.89,0,5.8865,5.8884
2020-07-17,5.89,5.89,5.89,5.89,0,5.8705,5.8885
2020-07-20,6.47,6.47,6.47,6.47,100,5.8835,5.9439
2020-07-21,7.12,7.12,7.12,7.12,100,5.929,6.0559
2020-07-22,6.41,6.41,6.41,6.41,100,5.9485,6.0896
2020-07-23,6.41,6.41,6.41,6.41,0,5.968,6.1201
2020-07-24,6.99,6.99,6.99,6.99,161,6.0265,6.203
2020-07-27,6.99,6.99,6.99,6.99,0,6.085,6.2779
2020-07-28,6.99,6.99,6.99,6.99,0,6.1435,6.3458
2020-07-29,6.99,6.99,6.99,6.99,0,6.202,6.4071
2020-07-30,6.99,6.99,6.99,6.99,0,6.2605,6.4626
2020-07-31,6.99,6.99,6.99,6.99,0,6.319,6.5129
2020-08-03,7.64,7.64,7.64,7.64,100,6.41,6.6202
2020-08-04,7.64,7.64,7.64,7.64,0,6.501,6.7173
2020-08-05,7.64,7.64,7.64,7.64,0,6.592,6.8052
2020-08-06,8.35,8.35,8.35,8.35,100,6.7375,6.9523
2020-08-07,8.35,8.35,8.35,8.35,0,6.864,7.0854
2020-08-10,8.35,8.35,8.35,8.35,0,6.9905,7.2059
2020-08-11,8.35,8.35,8.35,8.35,0,7.117,7.3148
2020-08-12,8.35,8.35,8.35,8.35,0,7.24,7.4134
2020-08-13,8.35,8.35,8.35,8.35,0,7.363,7.5026
2020-08-14,9.12,9.12,9.12,9.12,100,7.5245,7.6567
2020-08-17,9.12,9.12,9.12,9.12,0,7.657,7.796
2020-08-18,9.12,9.12,9.12,9.12,0,7.757,7.9221
2020-08-19,9.12,9.12,9.12,9.12,0,7.8925,8.0362
2020-08-20,9.12,9.12,9.12,9.12,0,8.028,8.1394
2020-08-21,9.12,9.12,9.12,9.12,0,8.1345,8.2328
2020-08-24,9.12,9.12,9.12,9.12,0,8.241,8.3173
2020-08-25,9.12,9.12,9.12,9.12,1,8.3475,8.3937
2020-08-26,10.03,10.03,8.22,8.22,200,8.409,8.3772
2020-08-27,8.22,8.22,8.22,8.22,0,8.4705,8.3622
2020-08-28,8.22,8.22,8.22,8.22,0,8.532,8.3487
2020-08-31,8.22,8.22,8.22,8.22,0,8.561,8.3364
2020-09-01,8.22,8.22,8.22,8.22,0,8.59,8.3253
2020-09-03,8.22,8.22,8.22,8.22,0,8.619,8.3153
2020-09-04,8.22,8.22,8.22,8.22,0,8.6125,8.3062
2020-09-07,8.22,8.22,8.22,8.22,10,8.606,8.298
2020-09-08,8.22,8.22,8.22,8.22,10,8.5995,8.2906
2020-09-09,7.44,7.44,7.44,7.44,200,8.554,8.2096
2020-09-10,7.44,7.44,7.44,7.44,0,8.5085,8.1363
2020-09-11,7.51,7.51,7.51,7.51,300,8.4665,8.0766
2020-09-14,7.57,7.64,7.44,7.64,559,8.3925,8.0351
2020-09-15,7.64,7.64,7.64,7.64,0,8.3185,7.9974
2020-09-16,7.64,7.64,7.64,7.64,0,8.2445,7.9634
2020-09-17,8.34,8.34,8.34,8.34,19,8.2055,7.9993
2020-09-18,8.34,8.34,8.34,8.34,0,8.1665,8.0317
2020-09-21,8.34,8.34,8.34,8.34,0,8.1275,8.0611
2020-09-22,8.34,8.34,8.34,8.34,0,8.0885,8.0876
2020-09-23,8.34,8.34,8.34,8.34,0,8.0495,8.1117
2020-09-24,8.34,8.34,8.34,8.34,0,8.0555,8.1334
2020-09-25,8.34,8.34,8.34,8.34,0,8.0615,8.1531
2020-09-28,8.34,8.34,8.34,8.34,0,8.0675,8.1709
2020-09-29,8.34,8.34,8.34,8.34,0,8.0735,8.187
2020-09-30,8.34,8.34,8.34,8.34,0,8.0795,8.2016
2020-10-01,8.34,8.34,8.34,8.34,0,8.0855,8.2148
2020-10-02,8.34,8.34,8.34,8.34,0,8.0915,8.2267
2020-10-05,8.34,8.34,8.34,8.34,0,8.0975,8.2375
2020-10-06,8.34,8.34,8.34,8.34,0,8.1035,8.2472
2020-10-07,8.34,8.34,8.34,8.34,0,8.1485,8.2561
2020-10-08,8.34,8.34,8.34,8.34,0,8.1935,8.2641
2020-10-09,8.34,8.34,8.34,8.34,0,8.235,8.2713
2020-10-12,8.34,8.34,8.34,8.34,0,8.27,8.2778
2020-10-13,8.34,8.34,8.34,8.34,0,8.305,8.2838
2020-10-14,8.34,8.34,8.34,8.34,0,8.34,8.2891
2020-10-15,8.34,8.34,8.34,8.34,0,8.34,8.294
2020-10-16,8.34,8.34,8.34,8.34,0,8.34,8.2983
2020-10-19,8.34,8.34,8.34,8.34,0,8.34,8.3023
2020-10-20,8.34,8.34,8.34,8.34,0,8.34,8.3059
2020-10-21,8.34,8.34,8.34,8.34,0,8.34,8.3092
2020-10-22,8.34,8.34,8.34,8.34,0,8.34,8.3121
2020-10-23,8.34,8.34,8.34,8.34,0,8.34,8.3147
2020-10-26,8.34,8.34,8.34,8.34,0,8.34,8.3172
2020-10-27,8.34,8.34,8.34,8.34,0,8.34,8.3193
2020-10-28,8.34,8.34,8.34,8.34,0,8.34,8.3213
2020-10-29,8.34,8.34,8.34,8.34,0,8.34,8.3231
2020-10-30,8.34,8.34,8.34,8.34,0,8.34,8.3247
2020-11-02,8.34,8.34,8.34,8.34,0,8.34,8.3261
2020-11-03,8.34,8.34,8.34,8.34,0,8.34,8.3275
2020-11-04,8.34,8.34,8.34,8.34,0,8.34,8.3287
2020-11-05,8.34,8.34,8.34,8.34,0,8.34,8.3297
2020-11-06,8.34,8.34,8.34,8.34,0,8.34,8.3307
2020-11-09,8.34,8.34,8.34,8.34,0,8.34,8.3316
2020-11-10,7.07,7.07,7.07,7.07,200,8.2765,8.2114
2020-11-11,7.07,7.07,7.07,7.07,0,8.213,8.1027
