time,open,high,low,close,volume,SMA_20,EMA_20
2024-01-08,20.87,20.87,20.87,20.87,0,,
2024-01-09,20.87,20.87,20.87,20.87,0,,
2024-01-10,20.87,20.87,20.87,20.87,0,,
2024-01-11,20.87,20.87,20.87,20.87,0,,
2024-01-12,20.87,20.87,20.87,20.87,0,,
2024-01-15,20.87,20.87,20.87,20.87,0,,
2024-01-16,20.87,20.87,20.87,20.87,0,,
2024-01-17,29.22,29.22,29.22,29.22,100,,
2024-01-18,33.59,33.59,33.59,33.59,100,,
2024-01-19,38.62,38.62,38.62,38.62,100,,
2024-01-22,44.4,44.4,44.4,44.4,100,,
2024-01-23,51.05,51.05,51.05,51.05,100,,
2024-01-24,58.64,58.64,58.64,58.64,100,,
2024-01-25,67.36,67.36,67.36,67.36,106,,
2024-01-26,77.42,77.42,77.42,77.42,184,,
2024-01-29,89.0,89.0,89.0,89.0,108,,
2024-01-30,102.28,102.28,102.28,102.28,100,,
2024-01-31,102.28,102.28,102.28,102.28,3,,
2024-02-01,102.28,102.28,102.28,102.28,1,,
2024-02-02,102.28,102.28,102.28,102.28,6,52.2255,63.0192
2024-02-05,102.28,102.28,102.28,102.28,0,56.296,66.7583
2024-02-06,102.28,102.28,102.28,102.28,0,60.3665,70.1414
2024-02-07,87.0,87.0,87.0,87.0,125,63.673,71.7469
2024-02-15,87.0,87.0,87.0,87.0,9,66.9795,73.1996
2024-02-16,74.01,74.01,74.01,74.01,203,69.6365,73.2768
2024-02-19,62.91,62.91,62.91,62.91,100,71.7385,72.2895
2024-02-20,53.51,53.51,53.51,53.51,609,73.3705,70.501
2024-02-21,46.02,53.51,46.02,53.51,241,74.585,68.8828
2024-02-22,42.79,42.79,42.6,42.6,401,75.0355,66.3796
2024-02-23,47.44,49.05,47.44,49.05,607,75.557,64.7292
2024-02-26,54.84,54.84,54.84,54.84,200,76.079,63.7874
2024-02-27,61.48,61.58,61.48,61.58,201,76.6055,63.5771
2024-02-28,61.58,61.58,61.58,61.58,100,76.7525,63.3869
2024-02-29,54.84,54.84,52.37,52.37,2600,76.003,62.3377
2024-03-01,53.13,53.13,48.48,48.48,400,74.556,61.0179
2024-03-04,51.99,51.99,51.99,51.99,3,72.7055,60.1581
2024-03-05,51.99,52.18,50.48,50.48,1812,70.1155,59.2364
2024-03-06,51.52,51.52,51.52,51.52,0,67.5775,58.5015
2024-03-07,44.4,44.4,44.4,44.4,100,64.6835,57.1585
2024-03-08,50.19,50.19,50.19,50.19,100,62.079,56.4948
2024-03-11,49.34,49.34,47.53,47.53,600,59.3415,55.641
2024-03-12,46.59,46.59,46.49,46.49,300,56.552,54.7695
2024-03-13,46.59,46.59,46.59,46.59,0,54.5315,53.9905
2024-03-14,39.66,39.66,39.66,39.66,200,52.1645,52.6257
2024-03-15,39.66,39.66,39.66,39.66,0,50.447,51.3909
2024-03-18,39.66,39.66,39.66,39.66,0,49.2845,50.2736
2024-03-19,45.54,45.54,45.54,45.54,400,48.886,49.8228
2024-03-20,45.54,45.54,45.54,45.54,0,48.4875,49.4149
2024-03-21,39.94,39.94,39.85,39.85,200,48.35,48.504
2024-03-22,39.94,39.94,39.94,39.94,0,47.8945,47.6884
2024-03-25,39.94,39.94,39.94,39.94,0,47.1495,46.9504
2024-03-26,39.94,39.94,39.94,39.94,0,46.0675,46.2828
2024-03-27,39.94,39.94,39.94,39.94,0,44.9855,45.6787
2024-03-28,39.94,39.94,39.94,39.94,8,44.364,45.1322
2024-03-29,40.8,40.8,40.8,40.8,500,43.98,44.7196
2024-04-01,40.8,40.8,40.8,40.8,100,43.4205,44.3463
2024-04-02,40.8,40.8,40.8,40.8,0,42.9365,44.0085
2024-04-03,40.8,40.8,40.8,40.8,5,42.4005,43.703
2024-04-04,40.8,40.8,40.8,40.8,3,42.2205,43.4265
2024-04-05,40.8,40.8,40.8,40.8,0,41.751,43.1763
2024-04-08,41.94,41.94,41.94,41.94,100,41.4715,43.0586
2024-04-09,41.94,41.94,41.94,41.94,0,41.244,42.9521
2024-04-10,41.94,41.94,41.94,41.94,0,41.0115,42.8557
2024-04-11,41.94,41.94,41.94,41.94,0,41.1255,42.7685
2024-04-12,41.94,41.94,41.94,41.94,0,41.2395,42.6896
2024-04-15,41.94,41.94,41.94,41.94,0,41.3535,42.6182
2024-04-16,41.94,41.94,41.94,41.94,26,41.1735,42.5536
2024-04-17,41.94,41.94,41.94,41.94,0,40.9935,42.4952
2024-04-19,41.94,41.94,41.94,41.94,0,41.098,42.4423
2024-04-22,41.94,41.94,41.94,41.94,3,41.198,42.3944
2024-04-23,41.94,41.94,41.94,41.94,0,41.298,42.3512
2024-04-24,47.63,47.63,47.63,47.63,220,41.6825,42.8539
2024-04-25,47.63,47.63,47.63,47.63,0,42.067,43.3088
2024-04-26,47.63,47.63,47.63,47.63,0,42.4515,43.7203
2024-05-02,47.63,47.63,47.63,47.63,0,42.793,44.0927
2024-05-03,47.63,47.63,47.63,47.63,0,43.1345,44.4296
2024-05-06,47.63,47.63,47.63,47.63,0,43.476,44.7344
2024-05-07,47.35,47.35,47.35,47.35,100,43.8035,44.9835
2024-05-08,47.35,47.35,47.35,47.35,0,44.131,45.2089
2024-05-09,47.35,47.35,47.35,47.35,300,44.4585,45.4128
2024-05-10,47.35,47.35,47.35,47.35,0,44.729,45.5973
2024-05-13,47.35,47.35,47.35,47.35,0,44.9995,45.7642
2024-05-14,47.35,47.35,47.35,47.35,0,45.27,45.9152
2024-05-15,47.35,47.35,47.35,47.35,0,45.5405,46.0519
2024-05-16,47.35,47.35,47.35,47.35,0,45.811,46.1755
2024-05-17,47.35,47.35,47.35,47.35,0,46.0815,46.2874
2024-05-20,47.35,47.35,47.35,47.35,0,46.352,46.3886
2024-05-21,47.35,47.35,47.35,47.35,0,46.6225,46.4801
2024-05-22,40.42,40.42,40.32,40.32,200,46.5415,45.8935
2024-05-23,34.92,34.92,34.92,34.92,200,46.1905,44.8484
2024-05-24,34.92,34.92,34.92,34.92,0,45.8395,43.9028
2024-05-27,34.92,34.92,34.92,34.92,0,45.204,43.0473
2024-05-28,34.92,34.92,34.92,34.92,0,44.5685,42.2733
2024-05-29,34.92,34.92,34.92,34.92,0,43.933,41.573
2024-05-30,34.92,34.92,34.92,34.92,0,43.2975,40.9393
2024-05-31,34.92,34.92,34.92,34.92,0,42.662,40.3661
2024-06-03,34.92,34.92,34.92,34.92,4,42.0265,39.8474
2024-06-04,34.92,34.92,34.92,34.92,0,41.405,39.3781
2024-06-05,34.92,34.92,34.92,34.92,0,40.7835,38.9535
2024-06-06,33.21,33.21,33.21,33.21,103,40.0765,38.4065
2024-06-07,33.21,33.21,33.21,33.21,0,39.3695,37.9116
2024-06-10,33.21,33.21,33.21,33.21,0,38.6625,37.4639
2024-06-11,33.21,33.21,33.21,33.21,0,37.9555,37.0587
2024-06-12,33.21,33.21,33.21,33.21,0,37.2485,36.6922
2024-06-13,33.21,35.11,33.21,35.11,600,36.6365,36.5415
2024-06-14,34.82,34.82,34.82,34.82,0,36.01,36.3775
2024-06-17,34.82,34.82,34.82,34.82,0,35.3835,36.2292
2024-06-18,36.05,36.05,36.05,36.05,700,34.8185,36.2121
2024-06-19,36.05,36.05,36.05,36.05,0,34.605,36.1967
2024-06-20,36.05,36.05,36.05,36.05,0,34.6615,36.1827
2024-06-21,36.05,36.05,36.05,36.05,0,34.718,36.1701
2024-06-24,36.05,36.05,36.05,36.05,0,34.7745,36.1586
2024-06-25,36.05,36.05,36.05,36.05,0,34.831,36.1483
2024-06-26,36.05,36.05,36.05,36.05,0,34.8875,36.1389
2024-06-27,36.05,36.05,36.05,36.05,0,34.944,36.1305
2024-06-28,36.05,36.05,36.05,36.05,0,35.0005,36.1228
2024-07-01,36.05,36.05,36.05,36.05,0,35.057,36.1159
2024-07-02,36.05,36.05,36.05,36.05,0,35.1135,36.1096
2024-07-03,36.05,36.05,36.05,36.05,0,35.17,36.1039
2024-07-04,36.05,36.05,36.05,36.05,0,35.312,36.0988
2024-07-05,36.05,36.05,36.05,36.05,0,35.454,36.0941
2024-07-08,36.05,36.05,36.05,36.05,0,35.596,36.0899
2024-07-09,36.05,36.05,36.05,36.05,0,35.738,36.0861
2024-07-10,36.05,36.05,36.05,36.05,0,35.88,36.0827
2024-07-11,36.05,36.05,36.05,36.05,0,35.927,36.0796
2024-07-12,36.05,36.05,36.05,36.05,0,35.9885,36.0768
2024-07-15,36.05,36.05,36.05,36.05,2,36.05,36.0742
2024-07-16,36.05,36.05,36.05,36.05,0,36.05,36.0719
2024-07-17,36.05,36.05,36.05,36.05,0,36.05,36.0698
2024-07-18,36.05,36.05,36.05,36.05,0,36.05,36.0679
2024-07-19,36.05,36.05,36.05,36.05,0,36.05,36.0662
2024-07-22,36.05,36.05,36.05,36.05,0,36.05,36.0647
2024-07-23,36.05,36.05,36.05,36.05,0,36.05,36.0633
2024-07-24,36.05,36.05,36.05,36.05,0,36.05,36.062
2024-07-25,36.05,36.05,36.05,36.05,0,36.05,36.0609
2024-07-26,36.05,36.05,36.05,36.05,0,36.05,36.0598
2024-07-29,36.05,36.05,36.05,36.05,0,36.05,36.0589
2024-07-30,36.05,36.05,36.05,36.05,0,36.05,36.0581
2024-07-31,36.05,36.05,36.05,36.05,0,36.05,36.0573
2024-08-01,36.05,36.05,36.05,36.05,0,36.05,36.0566
2024-08-02,36.05,36.05,36.05,36.05,0,36.05,36.056
2024-08-05,36.53,36.53,36.53,36.53,100,36.074,36.1011
2024-08-06,36.53,36.53,36.53,36.53,0,36.098,36.142
2024-08-07,36.53,36.53,36.53,36.53,0,36.122,36.1789
2024-08-08,36.53,36.53,36.53,36.53,0,36.146,36.2124
2024-08-09,37.0,37.0,37.0,37.0,100,36.1935,36.2874
2024-08-12,37.1,37.1,37.1,37.1,100,36.246,36.3648
2024-08-13,37.1,37.1,37.1,37.1,0,36.2985,36.4348
2024-08-14,37.1,37.1,37.1,37.1,0,36.351,36.4981
2024-08-15,37.1,37.1,37.1,37.1,0,36.4035,36.5555
2024-08-16,37.1,37.1,37.1,37.1,0,36.456,36.6073
2024-08-19,42.5,42.5,42.5,42.5,200,36.7785,37.1685
2024-08-20,42.5,42.5,42.5,42.5,0,37.101,37.6763
2024-08-21,42.5,42.5,42.5,42.5,0,37.4235,38.1357
2024-08-22,42.5,42.5,42.5,42.5,0,37.746,38.5513
2024-08-23,42.5,42.5,42.5,42.5,0,38.0685,38.9274
2024-08-28,42.5,42.5,42.5,42.5,1000,38.391,39.2676
