time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,5.18,5.18,5.18,5.18,0,,
2020-01-03,5.18,5.18,5.18,5.18,0,,
2020-01-06,5.18,5.18,5.18,5.18,0,,
2020-01-07,5.18,5.18,5.18,5.18,0,,
2020-01-08,5.18,5.18,5.18,5.18,28000,,
2020-01-09,5.18,5.18,5.18,5.18,0,,
2020-01-10,5.18,5.18,5.18,5.18,0,,
2020-01-13,5.18,5.18,5.18,5.18,0,,
2020-01-14,5.18,5.18,5.18,5.18,0,,
2020-01-15,5.18,5.18,5.18,5.18,0,,
2020-01-16,5.18,5.18,5.18,5.18,0,,
2020-01-17,5.18,5.18,5.18,5.18,0,,
2020-01-20,5.18,5.18,5.18,5.18,0,,
2020-01-21,5.18,5.18,5.18,5.18,0,,
2020-01-22,5.18,5.18,5.18,5.18,0,,
2020-01-30,5.18,5.18,5.18,5.18,0,,
2020-01-31,5.18,5.18,5.18,5.18,0,,
2020-02-03,5.18,5.18,5.18,5.18,0,,
2020-02-04,5.18,5.18,5.18,5.18,0,,
2020-02-05,5.18,5.18,5.18,5.18,0,5.18,5.18
2020-02-06,5.18,5.18,5.18,5.18,0,5.18,5.18
2020-02-07,5.18,5.18,5.18,5.18,0,5.18,5.18
2020-02-10,5.18,5.18,5.18,5.18,0,5.18,5.18
2020-02-11,5.18,5.18,5.18,5.18,0,5.18,5.18
2020-02-12,5.18,5.18,5.18,5.18,0,5.18,5.18
2020-02-13,5.18,5.18,5.18,5.18,20000,5.18,5.18
2020-02-14,5.18,5.18,5.18,5.18,0,5.18,5.18
2020-02-17,5.18,5.18,5.18,5.18,0,5.18,5.18
2020-02-18,5.18,5.18,5.18,5.18,0,5.18,5.18
2020-02-19,5.18,5.18,5.18,5.18,0,5.18,5.18
2020-02-20,5.18,5.18,5.18,5.18,0,5.18,5.18
2020-02-21,5.18,5.18,5.18,5.18,0,5.18,5.18
2020-02-24,5.18,5.18,5.18,5.18,10,5.18,5.18
2020-02-25,5.18,5.18,5.18,5.18,0,5.18,5.18
2020-02-26,5.18,5.18,5.18,5.18,0,5.18,5.18
2020-02-27,5.18,5.18,5.18,5.18,0,5.18,5.18
2020-02-28,5.18,5.18,5.18,5.18,0,5.18,5.18
