time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,8.01,8.01,8.01,8.01,500,,
2020-01-03,8.01,8.01,8.01,8.01,0,,
2020-01-06,8.01,8.01,8.01,8.01,0,,
2020-01-07,8.01,8.01,8.01,8.01,0,,
2020-01-08,8.01,8.01,8.01,8.01,500,,
2020-01-09,8.01,8.01,8.01,8.01,0,,
2020-01-10,8.01,8.01,8.01,8.01,0,,
2020-01-13,8.01,8.01,8.01,8.01,121,,
2020-01-14,8.01,8.01,8.01,8.01,0,,
2020-01-15,7.54,7.54,7.54,7.54,100,,
2020-01-16,7.54,7.54,7.54,7.54,1900,,
2020-01-17,7.4,7.54,7.4,7.54,2900,,
2020-01-20,7.54,7.54,7.54,7.54,5900,,
2020-01-21,7.54,7.54,7.54,7.54,75,,
2020-01-22,7.54,7.54,7.54,7.54,0,,
2020-01-30,7.54,7.54,7.54,7.54,0,,
2020-01-31,7.27,7.27,7.27,7.27,110,,
2020-02-03,7.27,7.27,7.27,7.27,2011,,
2020-02-04,7.27,7.27,7.27,7.27,0,,
2020-02-05,7.27,7.27,7.27,7.27,0,7.6975,7.6072
2020-02-06,7.27,7.27,7.27,7.27,0,7.6605,7.5751
2020-02-07,7.74,7.74,7.74,7.74,9910,7.647,7.5908
2020-02-10,7.74,7.74,7.74,7.74,100,7.6335,7.605
2020-02-11,7.74,7.74,7.74,7.74,100,7.62,7.6179
2020-02-12,7.54,7.54,7.54,7.54,10000,7.5965,7.6105
2020-02-13,7.54,7.54,7.47,7.47,9300,7.5695,7.5971
2020-02-14,7.47,7.47,7.4,7.4,322,7.539,7.5783
2020-02-17,7.4,7.4,7.4,7.4,0,7.5085,7.5613
2020-02-18,7.4,7.4,7.4,7.4,0,7.478,7.546
2020-02-19,7.4,7.4,7.4,7.4,0,7.471,7.5321
2020-02-20,7.4,7.4,7.4,7.4,0,7.464,7.5195
2020-02-21,7.4,7.4,7.4,7.4,500,7.457,7.5081
2020-02-24,6.86,6.86,6.86,6.86,300,7.423,7.4464
2020-02-25,6.86,6.86,6.86,6.86,910,7.389,7.3905
2020-02-26,6.86,6.86,6.86,6.86,0,7.355,7.34
2020-02-27,6.86,6.86,6.86,6.86,0,7.321,7.2943
2020-02-28,7.07,7.07,7.07,7.07,300,7.311,7.2729
2020-03-02,7.07,7.07,7.07,7.07,0,7.301,7.2536
2020-03-03,7.07,7.07,7.07,7.07,0,7.291,7.2361
2020-03-04,7.07,7.07,7.07,7.07,200,7.281,7.2203
2020-03-05,7.07,7.07,6.53,6.53,5100,7.244,7.1546
2020-03-06,7.13,7.13,7.13,7.13,1000,7.2135,7.1522
2020-03-09,7.13,7.13,7.13,7.13,47850,7.183,7.1501
2020-03-10,6.53,7.13,6.46,7.13,26808,7.1525,7.1482
2020-03-11,6.93,6.93,6.93,6.93,330000,7.122,7.1274
2020-03-12,6.6,6.6,6.26,6.26,21500,7.0615,7.0448
2020-03-13,6.06,6.06,6.06,6.06,1010,6.9945,6.951
2020-03-16,6.06,6.06,6.06,6.06,0,6.9275,6.8661
2020-03-17,6.06,6.66,6.06,6.66,2900,6.8905,6.8465
2020-03-18,6.66,6.66,6.66,6.66,0,6.8535,6.8288
2020-03-19,7.2,7.27,7.2,7.27,14100,6.847,6.8708
2020-03-20,7.27,7.27,7.27,7.27,0,6.8405,6.9088
2020-03-23,7.27,7.27,6.73,6.73,2500,6.834,6.8918
2020-03-24,6.73,6.73,6.73,6.73,0,6.8275,6.8764
2020-03-25,6.73,6.73,6.73,6.73,0,6.821,6.8624
2020-03-26,6.73,6.73,6.73,6.73,6900,6.8145,6.8498
2020-03-27,6.73,6.73,6.73,6.73,600,6.7975,6.8384
2020-03-30,6.73,6.73,6.73,6.73,400,6.7805,6.8281
2020-03-31,6.73,6.73,6.73,6.73,8000,6.7635,6.8187
2020-04-01,6.12,6.12,6.12,6.12,1900,6.716,6.7522
2020-04-03,6.73,6.73,6.73,6.73,600,6.726,6.7501
2020-04-06,7.27,7.27,7.2,7.2,200,6.7295,6.7929
2020-04-07,7.13,7.13,6.73,6.73,6205,6.7095,6.7869
2020-04-08,6.73,6.73,6.73,6.73,0,6.6895,6.7815
2020-04-09,7.13,7.2,7.13,7.13,2300,6.6995,6.8147
2020-04-10,7.0,7.0,6.73,6.73,5040,6.723,6.8066
2020-04-13,6.53,6.73,6.53,6.73,2200,6.7565,6.7993
2020-04-14,6.86,6.86,6.86,6.86,2000,6.7965,6.8051
2020-04-15,6.86,7.07,6.73,7.07,10300,6.817,6.8303
2020-04-16,7.07,7.2,7.07,7.2,300,6.844,6.8655
2020-04-17,7.27,7.27,7.07,7.13,1420,6.837,6.8907
2020-04-20,7.13,7.4,6.6,7.4,8000,6.8435,6.9392
2020-04-21,7.07,7.4,7.07,7.07,1800,6.8605,6.9517
2020-04-22,6.8,6.8,6.8,6.8,100,6.864,6.9372
2020-04-23,6.73,6.8,6.73,6.8,700,6.8675,6.9242
2020-04-24,6.73,6.73,6.73,6.73,100,6.8675,6.9057
2020-04-27,6.53,6.93,6.53,6.93,1100,6.8775,6.908
2020-04-28,6.93,6.93,6.93,6.93,4000,6.8875,6.9101
2020-04-29,7.07,7.07,7.07,7.07,100,6.9045,6.9253
2020-05-04,7.07,7.2,7.07,7.2,2500,6.9585,6.9515
2020-05-05,7.2,7.2,7.2,7.2,0,6.982,6.9751
2020-05-06,6.73,7.2,6.73,7.2,616,6.982,6.9966
2020-05-07,7.2,7.2,7.2,7.2,5,7.0055,7.0159
2020-05-08,7.13,7.13,7.13,7.13,300,7.0255,7.0268
2020-05-11,7.13,7.13,7.13,7.13,2800,7.0255,7.0366
2020-05-12,7.0,7.2,7.0,7.2,2800,7.049,7.0522
2020-05-13,7.13,7.34,7.0,7.34,5100,7.0795,7.0796
2020-05-14,7.0,7.27,7.0,7.27,1200,7.1,7.0977
2020-05-15,7.0,7.0,6.86,6.86,4435,7.0895,7.0751
2020-05-18,6.86,6.86,6.86,6.86,0,7.0725,7.0546
2020-05-19,7.27,7.27,7.27,7.27,100,7.0795,7.0751
2020-05-20,7.27,7.27,7.27,7.27,200,7.073,7.0937
2020-05-21,7.27,7.27,7.27,7.27,0,7.083,7.1105
2020-05-22,7.0,7.07,6.93,7.07,2500,7.0965,7.1066
2020-05-25,7.4,7.4,6.86,7.07,5800,7.11,7.1031
2020-05-26,6.86,7.4,6.86,6.93,5800,7.12,7.0866
2020-05-27,7.4,7.4,7.0,7.0,800,7.1235,7.0784
2020-05-28,7.0,7.2,7.0,7.2,400,7.137,7.09
2020-05-29,7.2,7.2,7.2,7.2,0,7.1435,7.1005
2020-06-01,7.34,7.47,7.34,7.47,4500,7.157,7.1356
2020-06-02,7.74,7.74,7.27,7.27,5500,7.1605,7.1484
2020-06-03,7.27,7.27,7.27,7.27,0,7.164,7.16
2020-06-04,7.4,7.4,7.4,7.4,300,7.174,7.1829
2020-06-05,7.67,7.67,7.67,7.67,115,7.201,7.2293
2020-06-08,7.34,7.4,7.07,7.07,16400,7.198,7.2141
2020-06-09,7.07,7.07,7.07,7.07,0,7.1915,7.2004
2020-06-10,7.07,7.07,7.07,7.07,0,7.178,7.188
2020-06-11,7.07,7.07,7.07,7.07,7000,7.168,7.1767
2020-06-12,7.07,7.34,7.0,7.34,15200,7.192,7.1923
2020-06-15,7.34,7.34,7.0,7.0,5534,7.199,7.174
2020-06-16,7.34,7.4,7.34,7.4,11000,7.2055,7.1955
