time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,4.89,6.13,6.13,6.13,0,,
2020-01-03,4.89,6.13,6.13,6.13,0,,
2020-01-06,4.89,6.13,6.13,6.13,0,,
2020-01-07,4.89,6.13,6.13,6.13,0,,
2020-01-08,4.89,6.13,6.13,6.13,0,,
2020-01-09,4.89,6.13,6.13,6.13,0,,
2020-01-10,4.89,6.13,6.13,6.13,0,,
2020-01-13,4.89,6.13,6.13,6.13,0,,
2020-01-14,4.89,6.13,6.13,6.13,0,,
2020-01-15,4.89,6.13,6.13,6.13,0,,
2020-01-16,4.89,6.13,6.13,6.13,0,,
2020-01-17,4.89,6.13,6.13,6.13,0,,
2020-01-20,4.89,6.13,6.13,6.13,0,,
2020-01-21,4.89,6.13,6.13,6.13,0,,
2020-01-22,4.89,6.13,6.13,6.13,0,,
2020-01-30,4.89,6.13,6.13,6.13,0,,
2020-01-31,4.89,6.13,6.13,6.13,0,,
2020-02-03,4.89,6.13,6.13,6.13,0,,
2020-02-04,4.89,6.13,6.13,6.13,0,,
2020-02-05,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-02-06,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-02-07,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-02-10,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-02-11,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-02-12,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-02-13,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-02-14,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-02-17,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-02-18,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-02-19,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-02-20,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-02-21,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-02-24,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-02-25,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-02-26,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-02-27,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-02-28,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-03-02,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-03-03,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-03-04,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-03-05,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-03-06,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-03-09,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-03-10,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-03-11,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-03-12,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-03-13,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-03-16,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-03-17,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-03-18,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-03-19,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-03-20,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-03-23,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-03-24,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-03-25,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-03-26,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-03-27,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-03-30,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-03-31,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-04-01,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-04-03,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-04-06,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-04-07,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-04-08,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-04-09,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-04-10,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-04-13,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-04-14,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-04-15,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-04-16,4.89,6.13,6.13,6.13,0,6.13,6.13
2020-04-17,4.89,6.48,6.48,6.48,0,6.1475,6.1633
2020-04-20,4.89,6.48,6.48,6.48,0,6.165,6.1935
2020-04-21,4.89,6.48,6.48,6.48,0,6.1825,6.2208
2020-04-22,4.89,6.48,6.48,6.48,0,6.2,6.2455
2020-04-23,4.89,6.48,6.48,6.48,0,6.2175,6.2678
2020-04-24,4.89,6.48,6.48,6.48,0,6.235,6.288
2020-04-27,4.89,6.48,6.48,6.48,0,6.2525,6.3063
2020-04-28,4.89,6.48,6.48,6.48,0,6.27,6.3228
2020-04-29,4.89,6.48,6.48,6.48,0,6.2875,6.3378
2020-05-04,4.89,6.48,6.48,6.48,0,6.305,6.3513
2020-05-05,4.89,6.48,6.48,6.48,0,6.3225,6.3636
2020-05-06,4.89,6.48,6.48,6.48,0,6.34,6.3747
2020-05-07,4.89,6.48,6.48,6.48,0,6.3575,6.3847
2020-05-08,4.89,6.48,6.48,6.48,0,6.375,6.3938
2020-05-11,4.89,6.48,6.48,6.48,0,6.3925,6.402
2020-05-12,4.89,6.48,6.48,6.48,0,6.41,6.4094
2020-05-13,4.89,6.48,6.48,6.48,0,6.4275,6.4162
2020-05-14,4.89,6.48,6.48,6.48,0,6.445,6.4222
2020-05-15,4.89,6.48,6.48,6.48,0,6.4625,6.4277
2020-05-18,4.89,6.48,6.48,6.48,0,6.48,6.4327
2020-05-19,4.89,6.48,6.48,6.48,0,6.48,6.4372
2020-05-20,4.89,6.48,6.48,6.48,0,6.48,6.4413
2020-05-21,4.89,6.48,6.48,6.48,0,6.48,6.445
2020-05-22,4.89,6.48,6.48,6.48,0,6.48,6.4483
2020-05-25,4.89,6.48,6.48,6.48,0,6.48,6.4513
2020-05-26,4.89,6.48,6.48,6.48,0,6.48,6.4541
2020-05-27,4.89,6.48,6.48,6.48,0,6.48,6.4565
2020-05-28,4.89,6.48,6.48,6.48,0,6.48,6.4588
2020-05-29,4.89,6.48,6.48,6.48,0,6.48,6.4608
2020-06-01,4.89,6.48,6.48,6.48,0,6.48,6.4626
2020-06-02,4.89,6.48,6.48,6.48,0,6.48,6.4643
2020-06-03,4.89,6.48,6.48,6.48,0,6.48,6.4658
2020-06-04,4.89,6.48,6.48,6.48,0,6.48,6.4671
2020-06-05,4.89,6.48,6.48,6.48,0,6.48,6.4684
2020-06-08,4.89,6.48,6.48,6.48,0,6.48,6.4695
2020-06-09,4.89,6.48,6.48,6.48,0,6.48,6.4705
2020-06-10,4.89,6.48,6.48,6.48,0,6.48,6.4714
2020-06-11,4.89,6.48,6.48,6.48,0,6.48,6.4722
2020-06-12,4.89,6.48,6.48,6.48,0,6.48,6.4729
2020-06-15,4.89,6.48,6.48,6.48,0,6.48,6.4736
2020-06-16,4.89,6.48,6.48,6.48,0,6.48,6.4742
2020-06-17,4.89,6.48,6.48,6.48,0,6.48,6.4748
2020-06-18,4.89,6.48,6.48,6.48,0,6.48,6.4753
2020-06-19,4.89,6.48,6.48,6.48,0,6.48,6.4757
2020-06-22,4.89,6.48,6.48,6.48,0,6.48,6.4761
2020-06-23,4.89,6.48,6.48,6.48,0,6.48,6.4765
2020-06-24,4.89,6.48,6.48,6.48,0,6.48,6.4768
2020-06-25,4.89,6.48,6.48,6.48,0,6.48,6.4771
2020-06-26,4.89,6.48,6.48,6.48,0,6.48,6.4774
2020-06-29,4.89,6.48,6.48,6.48,0,6.48,6.4777
2020-06-30,4.89,6.48,6.48,6.48,0,6.48,6.4779
2020-07-01,4.89,6.48,6.48,6.48,0,6.48,6.4781
2020-07-02,4.89,4.89,4.89,4.89,3000,6.4005,6.3268
2020-07-03,4.89,4.89,4.89,4.89,0,6.321,6.19
2020-07-06,4.89,4.89,4.89,4.89,0,6.2415,6.0662
2020-07-07,4.89,4.89,4.89,4.89,0,6.162,5.9542
2020-07-08,4.89,4.89,4.89,4.89,0,6.0825,5.8528
2020-07-09,4.89,4.89,4.89,4.89,0,6.003,5.7611
2020-07-10,4.89,4.89,4.89,4.89,0,5.9235,5.6782
2020-07-13,4.89,4.89,4.89,4.89,0,5.844,5.6031
2020-07-14,4.89,4.89,4.89,4.89,0,5.7645,5.5352
2020-07-15,4.89,4.89,4.89,4.89,0,5.685,5.4737
2020-07-16,4.89,4.89,4.89,4.89,0,5.6055,5.4181
2020-07-17,4.89,4.89,4.89,4.89,0,5.526,5.3678
2020-07-20,4.89,4.89,4.89,4.89,0,5.4465,5.3223
2020-07-21,4.89,4.89,4.89,4.89,0,5.367,5.2812
2020-07-22,4.89,4.89,4.89,4.89,0,5.2875,5.2439
2020-07-23,4.89,4.89,4.89,4.89,0,5.208,5.2102
2020-07-24,4.89,4.89,4.89,4.89,0,5.1285,5.1797
2020-07-27,4.89,4.89,4.89,4.89,0,5.049,5.1521
2020-07-28,4.89,4.89,4.89,4.89,0,4.9695,5.1272
2020-07-29,4.89,4.89,4.89,4.89,0,4.89,5.1046
2020-07-30,4.89,4.89,4.89,4.89,0,4.89,5.0841
2020-07-31,4.89,4.89,4.89,4.89,0,4.89,5.0656
2020-08-03,4.89,4.89,4.89,4.89,0,4.89,5.0489
2020-08-04,4.89,4.89,4.89,4.89,0,4.89,5.0338
2020-08-05,4.89,4.89,4.89,4.89,0,4.89,5.0201
