time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,5.62,5.87,5.87,5.87,0,,
2020-01-03,5.02,5.02,5.02,5.02,1200,,
2020-01-06,5.02,5.02,5.02,5.02,0,,
2020-01-07,5.02,5.02,5.02,5.02,0,,
2020-01-08,5.02,5.02,5.02,5.02,0,,
2020-01-09,5.02,5.02,5.02,5.02,0,,
2020-01-10,5.02,5.02,5.02,5.02,0,,
2020-01-13,5.02,5.02,5.02,5.02,0,,
2020-01-14,5.02,5.02,5.02,5.02,0,,
2020-01-15,5.02,5.02,5.02,5.02,0,,
2020-01-16,5.02,5.02,5.02,5.02,0,,
2020-01-17,5.02,5.02,5.02,5.02,0,,
2020-01-20,5.02,5.02,5.02,5.02,0,,
2020-01-21,4.85,4.85,4.85,4.85,100,,
2020-01-22,4.59,5.45,4.51,5.45,5000,,
2020-01-30,5.11,5.45,5.45,5.45,0,,
2020-01-31,5.11,5.45,5.45,5.45,0,,
2020-02-03,5.11,5.45,5.45,5.45,0,,
2020-02-04,5.11,5.45,5.45,5.45,0,,
2020-02-05,5.11,5.45,5.45,5.45,0,5.183,5.3322
2020-02-06,5.11,5.45,5.45,5.45,0,5.162,5.3434
2020-02-07,5.11,5.45,5.45,5.45,0,5.1835,5.3536
2020-02-10,5.11,5.45,5.45,5.45,0,5.205,5.3627
2020-02-11,5.11,5.45,5.45,5.45,0,5.2265,5.371
2020-02-12,5.11,5.45,5.45,5.45,0,5.248,5.3786
2020-02-13,5.11,5.11,5.11,5.11,100,5.2525,5.353
2020-02-14,5.11,5.11,5.11,5.11,0,5.257,5.3298
2020-02-17,5.11,5.11,5.11,5.11,0,5.2615,5.3089
2020-02-18,5.11,5.11,5.11,5.11,0,5.266,5.29
2020-02-19,5.28,5.28,5.28,5.28,100,5.279,5.289
2020-02-20,5.28,5.28,5.28,5.28,0,5.292,5.2882
2020-02-21,5.28,5.28,5.28,5.28,0,5.305,5.2874
2020-02-24,5.28,6.04,5.28,5.53,4800,5.3305,5.3105
2020-02-25,6.38,6.38,5.28,5.28,18510,5.352,5.3076
2020-02-26,5.36,5.36,5.02,5.02,5300,5.3305,5.2802
2020-02-27,5.11,5.02,5.02,5.02,0,5.309,5.2554
2020-02-28,5.36,5.36,5.36,5.36,100,5.3045,5.2654
2020-03-02,5.28,5.36,5.28,5.36,4800,5.3,5.2744
2020-03-03,5.36,5.36,5.36,5.36,0,5.2955,5.2825
2020-03-04,5.36,5.36,5.36,5.36,5200,5.291,5.2899
2020-03-05,5.02,5.02,4.68,4.68,300,5.2525,5.2318
2020-03-06,5.36,5.53,5.36,5.53,3610,5.2565,5.2602
2020-03-09,4.85,4.85,4.85,4.85,2000,5.2265,5.2212
2020-03-10,4.85,4.85,4.85,4.85,0,5.1965,5.1858
2020-03-11,4.85,4.85,4.85,4.85,2000,5.1665,5.1538
2020-03-12,4.93,4.93,4.93,4.93,2900,5.1575,5.1325
2020-03-13,4.85,4.85,4.85,4.85,4200,5.1445,5.1056
2020-03-16,4.93,4.93,4.85,4.85,1000,5.1315,5.0813
2020-03-17,4.93,4.93,4.93,4.93,2100,5.1225,5.0669
2020-03-18,4.93,4.93,4.85,4.85,600,5.101,5.0462
2020-03-19,4.85,4.85,4.68,4.68,1700,5.071,5.0113
2020-03-20,4.76,4.76,4.76,4.76,100,5.045,4.9874
2020-03-23,4.76,4.76,4.76,4.76,200,5.0065,4.9657
2020-03-24,4.76,4.76,4.76,4.76,2000,4.9805,4.9461
2020-03-25,4.42,4.93,4.42,4.93,3100,4.976,4.9446
2020-03-26,4.68,4.93,4.68,4.93,4000,4.9715,4.9432
2020-03-27,4.42,4.93,4.42,4.93,3100,4.95,4.942
2020-03-30,4.51,5.02,4.51,5.02,2213,4.933,4.9494
2020-03-31,4.59,5.7,4.59,5.7,16100,4.95,5.0209
2020-04-01,5.11,5.11,5.11,5.11,1700,4.9375,5.0294
2020-04-03,5.28,5.28,4.85,4.85,2600,4.946,5.0123
2020-04-06,4.85,5.11,4.85,5.11,4500,4.925,5.0216
2020-04-07,5.02,5.11,5.11,5.11,0,4.938,5.03
2020-04-08,4.85,4.85,4.85,4.85,100,4.938,5.0129
2020-04-09,4.85,4.85,4.85,4.85,0,4.938,4.9974
2020-04-10,5.28,5.28,5.19,5.19,1900,4.951,5.0157
2020-04-13,5.96,5.96,5.02,5.02,300,4.9595,5.0161
2020-04-14,4.93,4.93,4.93,4.93,300,4.9635,5.0079
2020-04-15,5.28,5.28,5.28,5.28,2520,4.981,5.0338
2020-04-16,5.28,5.28,5.11,5.11,2630,4.994,5.0411
2020-04-17,5.19,5.19,5.02,5.02,3700,5.011,5.0391
2020-04-20,5.02,5.02,4.93,4.93,7000,5.0195,5.0287
2020-04-21,4.93,4.93,4.93,4.93,3300,5.028,5.0193
2020-04-22,5.11,5.11,4.76,4.76,9100,5.028,4.9946
2020-04-23,4.85,4.85,4.85,4.85,10000,5.024,4.9808
2020-04-24,4.85,4.85,4.85,4.85,7200,5.02,4.9684
2020-04-27,4.85,4.85,4.85,4.85,1690,5.016,4.9571
2020-04-28,4.85,4.85,4.85,4.85,0,5.0075,4.9469
2020-04-29,4.85,4.85,4.85,4.85,8539,4.965,4.9377
2020-05-04,4.85,4.85,4.85,4.85,900,4.952,4.9293
2020-05-05,4.85,4.85,4.85,4.85,0,4.952,4.9218
2020-05-06,4.85,4.85,4.76,4.76,10300,4.9345,4.9064
2020-05-07,4.85,4.76,4.76,4.76,0,4.917,4.8924
2020-05-08,4.85,4.76,4.76,4.76,0,4.9125,4.8798
2020-05-11,5.02,5.02,5.02,5.02,1000,4.921,4.8932
2020-05-12,5.02,5.02,5.02,5.02,0,4.9125,4.9052
2020-05-13,4.93,4.93,4.93,4.93,3100,4.908,4.9076
2020-05-14,4.93,4.93,4.93,4.93,3000,4.908,4.9097
2020-05-15,4.93,4.93,4.93,4.93,0,4.8905,4.9117
2020-05-18,4.85,5.11,4.85,5.11,2000,4.8905,4.9305
2020-05-19,4.85,4.85,4.85,4.85,5500,4.882,4.9229
2020-05-20,4.85,4.85,4.85,4.85,10,4.878,4.9159
2020-05-21,4.85,4.85,4.85,4.85,2000,4.874,4.9097
2020-05-22,4.85,4.85,4.85,4.85,5000,4.8785,4.904
2020-05-25,4.85,4.85,4.85,4.85,10,4.8785,4.8988
2020-05-26,5.02,5.02,5.02,5.02,3000,4.887,4.9104
2020-05-27,4.93,4.93,4.85,4.85,12500,4.887,4.9046
2020-05-28,5.02,5.11,5.02,5.11,2000,4.9,4.9242
2020-05-29,5.11,5.11,5.11,5.11,164,4.913,4.9419
2020-06-01,5.11,5.11,5.11,5.11,700,4.926,4.9579
2020-06-02,5.02,5.02,5.02,5.02,4000,4.9345,4.9638
2020-06-03,5.02,5.02,5.02,5.02,20,4.9475,4.9692
2020-06-04,5.02,5.02,5.02,5.02,1000,4.9605,4.974
2020-06-05,5.02,5.02,5.02,5.02,0,4.9735,4.9784
2020-06-08,5.02,5.02,5.02,5.02,0,4.9735,4.9823
2020-06-09,5.02,5.02,5.02,5.02,6640,4.9735,4.9859
2020-06-10,5.02,5.02,5.02,5.02,1300,4.978,4.9892
2020-06-11,4.85,5.02,4.85,5.02,4920,4.9825,4.9921
2020-06-12,4.85,5.02,5.02,5.02,0,4.987,4.9948
2020-06-15,4.85,5.02,5.02,5.02,0,4.9825,4.9972
2020-06-16,4.85,4.85,4.76,4.76,4100,4.978,4.9746
2020-06-17,4.76,4.76,4.76,4.76,0,4.9735,4.9541
