time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,15.1,15.1,15.1,15.1,0,,
2020-01-03,15.1,15.1,15.1,15.1,0,,
2020-01-06,15.1,15.1,15.1,15.1,0,,
2020-01-07,15.1,15.1,15.1,15.1,0,,
2020-01-08,15.1,15.1,15.1,15.1,0,,
2020-01-09,15.1,15.1,15.1,15.1,0,,
2020-01-10,15.1,15.1,15.1,15.1,0,,
2020-01-13,15.1,15.1,15.1,15.1,0,,
2020-01-14,15.1,15.1,15.1,15.1,0,,
2020-01-15,15.1,15.1,15.1,15.1,0,,
2020-01-16,15.1,15.1,15.1,15.1,0,,
2020-01-17,15.1,15.1,15.1,15.1,0,,
2020-01-20,15.1,15.1,15.1,15.1,0,,
2020-01-21,15.1,15.1,15.1,15.1,0,,
2020-01-22,15.1,15.1,15.1,15.1,0,,
2020-01-30,15.1,15.1,15.1,15.1,0,,
2020-01-31,16.48,16.48,16.48,16.48,100,,
2020-02-03,16.48,16.48,16.48,16.48,0,,
2020-02-04,16.48,16.48,16.48,16.48,0,,
2020-02-05,16.48,16.48,16.48,16.48,0,15.376,15.5553
2020-02-06,16.48,16.48,16.48,16.48,0,15.445,15.6433
2020-02-07,16.48,16.48,16.48,16.48,0,15.514,15.723
2020-02-10,16.48,16.48,16.48,16.48,0,15.583,15.7951
2020-02-11,16.48,16.48,16.48,16.48,0,15.652,15.8603
2020-02-12,16.48,16.48,16.48,16.48,0,15.721,15.9194
2020-02-13,16.48,16.48,16.48,16.48,0,15.79,15.9727
2020-02-14,16.48,16.48,16.48,16.48,0,15.859,16.0211
2020-02-17,14.01,14.01,14.01,14.01,200,15.8045,15.8295
2020-02-18,14.01,14.01,14.01,14.01,0,15.75,15.6562
2020-02-19,14.01,14.01,14.01,14.01,0,15.6955,15.4995
2020-02-20,14.01,14.01,14.01,14.01,0,15.641,15.3576
2020-02-21,12.63,12.63,12.63,12.63,2900,15.5175,15.0978
2020-02-24,14.5,14.5,14.5,14.5,2100,15.4875,15.0409
2020-02-25,14.5,14.5,14.5,14.5,0,15.4575,14.9894
2020-02-26,16.48,16.48,16.48,16.48,100,15.5265,15.1313
2020-02-27,16.48,16.48,16.48,16.48,0,15.5955,15.2598
2020-02-28,16.48,16.48,16.48,16.48,100,15.5955,15.376
2020-03-02,16.48,16.48,16.48,16.48,0,15.5955,15.4811
2020-03-03,16.48,16.48,16.48,16.48,0,15.5955,15.5763
2020-03-04,16.48,16.48,16.48,16.48,0,15.5955,15.6623
2020-03-05,14.01,14.01,14.01,14.01,100,15.472,15.505
2020-03-06,14.01,14.01,14.01,14.01,0,15.3485,15.3626
2020-03-09,14.01,14.01,14.01,14.01,0,15.225,15.2338
2020-03-10,11.92,11.92,11.92,11.92,100,14.997,14.9182
2020-03-11,13.68,13.68,13.68,13.68,1800,14.857,14.8003
2020-03-12,15.65,15.65,15.65,15.65,200,14.8155,14.8812
2020-03-13,15.65,15.65,15.65,15.65,0,14.774,14.9544
2020-03-16,15.65,15.65,15.65,15.65,0,14.856,15.0207
2020-03-17,15.65,15.65,15.65,15.65,0,14.938,15.0806
2020-03-18,15.65,15.65,15.65,15.65,0,15.02,15.1348
2020-03-19,16.42,16.42,16.42,16.42,100,15.1405,15.2572
2020-03-20,18.62,18.62,18.62,18.62,100,15.44,15.5775
2020-03-23,18.62,18.62,18.62,18.62,0,15.646,15.8672
2020-03-24,18.62,18.62,18.62,18.62,0,15.852,16.1294
2020-03-25,18.62,18.62,18.62,18.62,0,15.959,16.3666
2020-03-26,18.62,18.62,18.62,18.62,0,16.066,16.5812
2020-03-27,15.87,15.87,15.87,15.87,900,16.0355,16.5135
2020-03-30,13.51,13.51,13.51,13.51,400,15.887,16.2274
2020-03-31,13.51,13.51,13.51,13.51,0,15.7385,15.9686
2020-04-01,13.51,13.51,13.51,13.51,0,15.59,15.7345
2020-04-03,13.51,13.51,13.51,13.51,500,15.565,15.5226
2020-04-06,11.59,11.7,11.59,11.7,300,15.4495,15.1586
2020-04-07,11.64,11.7,11.7,11.7,0,15.334,14.8292
2020-04-08,11.64,11.7,11.7,11.7,0,15.323,14.5312
2020-04-09,13.29,13.29,13.29,13.29,100,15.3035,14.413
2020-04-10,12.25,12.25,12.25,12.25,400,15.1335,14.207
2020-04-13,14.06,14.06,14.06,14.06,100,15.054,14.193
2020-04-14,16.15,16.15,16.15,16.15,100,15.079,14.3793
2020-04-15,16.15,16.15,16.15,16.15,0,15.104,14.548
2020-04-16,16.15,16.15,16.15,16.15,0,15.129,14.7006
2020-04-17,16.15,16.15,16.15,16.15,0,15.1155,14.8386
2020-04-20,16.48,16.48,16.48,16.48,500,15.0085,14.9949
2020-04-21,16.48,16.48,16.48,16.48,0,14.9015,15.1364
2020-04-22,18.89,18.89,18.89,18.89,100,14.915,15.4938
2020-04-23,18.89,18.89,18.89,18.89,0,14.9285,15.8173
2020-04-24,18.89,18.89,18.89,18.89,0,14.942,16.1099
2020-04-27,18.89,18.89,18.89,18.89,0,15.093,16.3747
2020-04-28,16.09,16.09,16.09,16.09,200,15.222,16.3476
2020-04-29,13.79,13.79,13.79,13.79,100,15.236,16.104
2020-05-04,13.79,13.79,13.79,13.79,0,15.25,15.8836
2020-05-05,13.79,13.79,13.79,13.79,0,15.264,15.6842
2020-05-06,12.25,12.25,12.25,12.25,100,15.2915,15.3572
2020-05-07,12.25,12.25,12.25,12.25,0,15.319,15.0612
2020-05-08,12.14,12.14,12.14,12.14,100,15.341,14.783
2020-05-11,12.14,12.14,12.14,12.14,0,15.2835,14.5313
2020-05-12,12.14,12.14,12.14,12.14,0,15.278,14.3036
2020-05-13,10.33,10.33,10.33,10.33,100,15.0915,13.9251
2020-05-14,10.33,10.33,10.33,10.33,0,14.8005,13.5827
2020-05-15,10.33,10.33,10.33,10.33,0,14.5095,13.273
2020-05-18,10.33,10.33,10.33,10.33,0,14.2185,12.9927
2020-05-19,10.33,10.33,10.33,10.33,0,13.9275,12.7391
2020-05-20,10.33,10.33,10.33,10.33,0,13.62,12.5096
2020-05-21,10.33,10.33,10.33,10.33,0,13.3125,12.3021
2020-05-22,10.33,10.33,10.33,10.33,0,12.8845,12.1142
2020-05-25,10.33,10.33,10.33,10.33,0,12.4565,11.9443
2020-05-26,10.33,10.33,10.33,10.33,0,12.0285,11.7906
2020-05-27,10.33,10.33,10.33,10.33,0,11.6005,11.6515
2020-05-28,10.33,10.33,10.33,10.33,0,11.3125,11.5256
2020-05-29,10.33,10.33,10.33,10.33,0,11.1395,11.4117
2020-06-01,10.33,10.33,10.33,10.33,0,10.9665,11.3087
2020-06-02,10.33,10.33,10.33,10.33,0,10.7935,11.2155
2020-06-03,10.33,10.33,10.33,10.33,0,10.6975,11.1312
2020-06-04,10.33,10.33,10.33,10.33,0,10.6015,11.0549
2020-06-05,10.33,10.33,10.33,10.33,0,10.511,10.9858
2020-06-08,10.33,10.33,10.33,10.33,0,10.4205,10.9234
2020-06-09,10.33,10.33,10.33,10.33,0,10.33,10.8669
2020-06-10,10.33,10.33,10.33,10.33,0,10.33,10.8157
2020-06-11,10.33,10.33,10.33,10.33,0,10.33,10.7695
2020-06-12,10.33,10.33,10.33,10.33,0,10.33,10.7276
2020-06-15,10.33,10.33,10.33,10.33,0,10.33,10.6898
2020-06-16,10.33,10.33,10.33,10.33,0,10.33,10.6555
2020-06-17,10.33,10.33,10.33,10.33,0,10.33,10.6245
2020-06-18,10.33,10.33,10.33,10.33,0,10.33,10.5964
2020-06-19,10.33,10.33,10.33,10.33,0,10.33,10.5711
2020-06-22,10.38,10.38,10.38,10.38,100,10.3325,10.5529
2020-06-23,10.38,10.38,10.38,10.38,0,10.335,10.5364
2020-06-24,10.38,10.38,10.38,10.38,0,10.3375,10.5215
2020-06-25,10.38,10.38,10.38,10.38,0,10.34,10.508
2020-06-26,10.38,10.38,10.38,10.38,0,10.3425,10.4958
2020-06-29,10.38,10.38,10.38,10.38,0,10.345,10.4848
2020-06-30,11.92,11.92,8.84,8.84,200,10.2705,10.3282
2020-07-01,10.38,8.84,8.84,8.84,0,10.196,10.1864
2020-07-02,10.38,8.84,8.84,8.84,0,10.1215,10.0582
2020-07-03,10.38,8.84,8.84,8.84,0,10.047,9.9422
2020-07-06,10.38,8.84,8.84,8.84,0,9.9725,9.8372
2020-07-07,11.92,11.92,11.92,11.92,300,10.052,10.0356
2020-07-08,13.68,13.68,13.68,13.68,100,10.2195,10.3827
2020-07-09,15.65,15.65,15.65,15.65,100,10.4855,10.8843
2020-07-10,17.85,17.85,17.85,17.85,100,10.8615,11.5477
2020-07-13,15.21,15.21,15.21,15.21,200,11.1055,11.8965
2020-07-14,15.21,15.21,15.21,15.21,0,11.3495,12.2121
2020-07-15,15.21,15.21,15.21,15.21,0,11.5935,12.4976
2020-07-16,16.97,16.97,16.97,16.97,100,11.9255,12.9235
2020-07-17,18.56,18.56,18.56,18.56,100,12.337,13.4603
2020-07-20,18.56,18.56,18.56,18.56,0,12.746,13.946
2020-07-21,18.56,18.56,18.56,18.56,0,13.155,14.3854
2020-07-22,18.56,18.56,18.56,18.56,0,13.564,14.783
2020-07-23,15.82,15.82,15.82,15.82,400,13.836,14.8818
2020-07-24,15.82,15.82,15.82,15.82,0,14.108,14.9711
2020-07-27,15.82,15.82,15.82,15.82,0,14.38,15.052
2020-07-28,15.82,15.82,15.82,15.82,0,14.729,15.1251
2020-07-29,15.82,15.82,15.82,15.82,0,15.078,15.1913
2020-07-30,15.82,15.82,15.82,15.82,0,15.427,15.2512
2020-07-31,15.82,15.82,15.82,15.82,0,15.776,15.3054
2020-08-03,15.82,15.82,15.82,15.82,200,16.125,15.3544
2020-08-04,15.82,15.82,15.82,15.82,0,16.32,15.3987
2020-08-05,15.82,15.82,15.82,15.82,0,16.427,15.4388
2020-08-06,15.82,15.82,15.82,15.82,0,16.4355,15.4751
2020-08-07,15.82,15.82,15.82,15.82,0,16.334,15.508
2020-08-10,15.82,15.82,15.82,15.82,0,16.3645,15.5377
2020-08-11,15.82,15.82,15.82,15.82,0,16.395,15.5646
2020-08-12,15.82,15.82,15.82,15.82,0,16.4255,15.5889
2020-08-13,15.82,15.82,15.82,15.82,0,16.368,15.6109
2020-08-14,15.82,15.82,15.82,15.82,0,16.231,15.6308
2020-08-17,15.82,15.82,15.82,15.82,0,16.094,15.6488
2020-08-18,15.82,15.82,15.82,15.82,0,15.957,15.6651
2020-08-19,15.82,15.82,15.82,15.82,0,15.82,15.6799
2020-08-20,15.82,15.82,15.82,15.82,0,15.82,15.6932
2020-08-21,15.82,15.82,15.82,15.82,0,15.82,15.7053
2020-08-24,15.82,15.82,15.82,15.82,0,15.82,15.7162
2020-08-25,15.82,15.82,15.82,15.82,0,15.82,15.7261
2020-08-26,15.82,15.82,15.82,15.82,0,15.82,15.7351
2020-08-27,15.82,15.82,15.82,15.82,0,15.82,15.7431
2020-08-28,15.82,15.82,15.82,15.82,0,15.82,15.7505
2020-08-31,15.82,15.82,15.82,15.82,0,15.82,15.7571
2020-09-01,15.82,15.82,15.82,15.82,0,15.82,15.7631
2020-09-03,15.82,15.82,15.82,15.82,0,15.82,15.7685
2020-09-04,15.82,15.82,15.82,15.82,0,15.82,15.7734
2020-09-07,13.73,13.73,13.73,13.73,500,15.7155,15.5788
2020-09-08,12.19,12.19,12.19,12.19,800,15.534,15.2561
2020-09-09,12.19,12.19,12.19,12.19,0,15.3525,14.964
2020-09-10,12.19,12.95,12.95,12.95,0,15.209,14.7722
2020-09-11,12.19,12.95,12.95,12.95,0,15.0655,14.5987
2020-09-14,12.19,12.95,12.95,12.95,0,14.922,14.4417
2020-09-15,12.19,12.95,12.95,12.95,0,14.7785,14.2996
2020-09-16,14.0,14.0,14.0,14.0,100,14.6875,14.2711
2020-09-17,14.0,14.0,14.0,14.0,0,14.5965,14.2453
2020-09-18,16.1,16.1,16.1,16.1,100,14.6105,14.4219
2020-09-21,16.1,16.1,16.1,16.1,0,14.6245,14.5817
2020-09-22,16.1,16.1,16.1,16.1,0,14.6385,14.7263
2020-09-23,16.1,16.1,16.1,16.1,0,14.6525,14.8571
2020-09-24,16.1,16.1,16.1,16.1,0,14.6665,14.9755
2020-09-25,16.1,16.1,16.1,16.1,0,14.6805,15.0826
2020-09-28,16.1,16.1,16.1,16.1,0,14.6945,15.1795
2020-09-29,16.1,16.1,16.1,16.1,0,14.7085,15.2672
2020-09-30,16.1,16.1,16.1,16.1,0,14.7225,15.3465
2020-10-01,16.1,16.1,16.1,16.1,0,14.7365,15.4182
2020-10-02,16.1,16.1,16.1,16.1,0,14.7505,15.4832
2020-10-05,16.1,16.1,16.1,16.1,0,14.869,15.5419
2020-10-06,16.1,16.1,16.1,16.1,0,15.0645,15.5951
2020-10-07,16.1,16.1,16.1,16.1,0,15.26,15.6432
2020-10-08,16.1,16.1,16.1,16.1,0,15.4175,15.6867
2020-10-09,16.1,16.1,16.1,16.1,0,15.575,15.726
2020-10-12,16.1,16.1,16.1,16.1,0,15.7325,15.7616
2020-10-13,16.1,16.1,16.1,16.1,0,15.89,15.7939
2020-10-14,16.1,16.1,16.1,16.1,0,15.995,15.823
