time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,6.02,6.02,6.02,6.02,0,,
2020-01-03,6.02,6.02,6.02,6.02,0,,
2020-01-06,6.02,6.02,6.02,6.02,0,,
2020-01-07,6.02,6.02,6.02,6.02,0,,
2020-01-08,6.02,6.02,6.02,6.02,0,,
2020-01-09,6.02,6.02,6.02,6.02,0,,
2020-01-10,6.02,6.02,6.02,6.02,0,,
2020-01-13,5.72,5.72,5.72,5.72,200,,
2020-01-14,5.72,5.72,5.72,5.72,0,,
2020-01-15,5.72,5.72,5.72,5.72,0,,
2020-01-16,5.72,5.72,5.72,5.72,0,,
2020-01-17,5.72,5.72,5.72,5.72,0,,
2020-01-20,5.31,5.31,5.31,5.31,3500,,
2020-01-21,4.9,4.9,4.9,4.9,2000,,
2020-01-22,4.9,4.9,4.9,4.9,0,,
2020-01-30,4.9,4.9,4.9,4.9,0,,
2020-01-31,5.51,5.6,5.51,5.6,600,,
2020-02-03,5.47,5.49,5.47,5.49,2700,,
2020-02-04,5.33,5.47,5.33,5.47,1110,,
2020-02-05,5.45,5.47,5.47,5.47,0,5.639,5.568
2020-02-06,5.45,5.47,5.47,5.47,0,5.6115,5.5587
2020-02-07,5.45,5.47,5.47,5.47,0,5.584,5.5502
2020-02-10,5.45,5.47,5.47,5.47,0,5.5565,5.5426
2020-02-11,5.21,5.21,5.21,5.21,900,5.516,5.5109
2020-02-12,5.21,5.21,5.21,5.21,0,5.4755,5.4823
2020-02-13,5.21,5.21,5.21,5.21,0,5.435,5.4563
2020-02-14,5.21,5.21,5.21,5.21,0,5.3945,5.4329
2020-02-17,5.21,5.21,5.21,5.21,1000,5.369,5.4116
2020-02-18,5.21,5.21,5.21,5.21,0,5.3435,5.3924
2020-02-19,5.21,5.21,5.21,5.21,0,5.318,5.3751
2020-02-20,5.31,5.31,5.31,5.31,500,5.2975,5.3689
2020-02-21,5.31,5.31,5.31,5.31,0,5.277,5.3633
2020-02-24,5.31,5.31,5.31,5.31,200,5.277,5.3582
2020-02-25,5.31,5.31,5.31,5.31,2700,5.2975,5.3536
2020-02-26,5.31,5.31,5.31,5.31,100,5.318,5.3494
