time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,6.96,6.96,6.96,6.96,0,,
2020-01-03,6.96,6.96,6.96,6.96,0,,
2020-01-06,6.96,6.96,6.96,6.96,0,,
2020-01-07,6.96,6.96,6.96,6.96,0,,
2020-01-08,6.96,6.96,6.96,6.96,0,,
2020-01-09,6.96,6.96,6.96,6.96,0,,
2020-01-10,6.96,6.96,6.96,6.96,0,,
2020-01-13,6.96,6.96,6.96,6.96,200,,
2020-01-14,6.96,6.96,6.96,6.96,0,,
2020-01-15,6.96,6.96,6.96,6.96,0,,
2020-01-16,6.96,6.96,6.96,6.96,0,,
2020-01-17,6.96,6.96,6.96,6.96,0,,
2020-01-20,6.96,6.96,6.96,6.96,0,,
2020-01-21,6.96,6.96,6.96,6.96,0,,
2020-01-22,6.96,6.96,6.96,6.96,0,,
2020-01-30,6.96,6.96,6.96,6.96,0,,
2020-01-31,6.96,6.96,6.96,6.96,10,,
2020-02-03,6.96,6.96,6.96,6.96,0,,
2020-02-04,6.96,6.96,6.96,6.96,0,,
2020-02-05,6.96,6.96,6.96,6.96,0,6.96,6.96
2020-02-06,6.96,6.96,6.96,6.96,0,6.96,6.96
2020-02-07,6.96,6.96,6.96,6.96,0,6.96,6.96
2020-02-10,6.96,6.96,6.96,6.96,0,6.96,6.96
2020-02-11,6.96,6.96,6.96,6.96,26,6.96,6.96
2020-02-12,6.96,6.96,6.96,6.96,0,6.96,6.96
2020-02-13,6.96,6.96,6.96,6.96,0,6.96,6.96
2020-02-14,6.96,6.96,6.96,6.96,0,6.96,6.96
2020-02-17,6.96,6.96,6.96,6.96,0,6.96,6.96
2020-02-18,6.96,6.96,6.96,6.96,0,6.96,6.96
2020-02-19,7.95,7.95,7.95,7.95,100,7.0095,7.0543
2020-02-20,7.95,7.95,7.95,7.95,0,7.059,7.1396
2020-02-21,7.95,7.95,7.95,7.95,0,7.1085,7.2168
2020-02-24,7.95,7.95,7.95,7.95,0,7.158,7.2866
2020-02-25,7.95,7.95,7.95,7.95,0,7.2075,7.3498
2020-02-26,7.95,7.95,7.95,7.95,0,7.257,7.4069
2020-02-27,7.95,7.95,7.95,7.95,0,7.3065,7.4587
2020-02-28,7.95,7.95,7.95,7.95,0,7.356,7.5055
2020-03-02,7.95,7.95,7.95,7.95,0,7.4055,7.5478
2020-03-03,6.96,6.96,6.96,6.96,100,7.4055,7.4918
2020-03-04,6.96,6.96,6.96,6.96,0,7.4055,7.4412
2020-03-05,6.96,6.96,6.96,6.96,0,7.4055,7.3953
2020-03-06,6.96,6.96,6.96,6.96,0,7.4055,7.3539
2020-03-09,6.96,6.96,6.96,6.96,0,7.4055,7.3164
2020-03-10,6.96,6.96,6.96,6.96,0,7.4055,7.2824
2020-03-11,6.96,6.96,6.96,6.96,0,7.4055,7.2517
2020-03-12,6.96,6.96,6.96,6.96,0,7.4055,7.2239
2020-03-13,6.96,6.96,6.96,6.96,0,7.4055,7.1988
2020-03-16,7.95,7.95,7.95,7.95,100,7.455,7.2703
2020-03-17,7.95,7.95,7.95,7.95,0,7.5045,7.3351
2020-03-18,7.95,7.95,7.95,7.95,0,7.5045,7.3936
2020-03-19,7.95,7.95,7.95,7.95,0,7.5045,7.4466
2020-03-20,7.95,7.95,7.95,7.95,0,7.5045,7.4946
2020-03-23,7.95,7.95,7.95,7.95,0,7.5045,7.5379
2020-03-24,7.95,7.95,7.95,7.95,0,7.5045,7.5772
2020-03-25,7.95,7.95,7.95,7.95,0,7.5045,7.6127
2020-03-26,6.83,6.83,6.83,6.83,100,7.4485,7.5381
2020-03-27,7.82,7.82,6.83,6.83,200,7.3925,7.4707
2020-03-30,6.96,6.96,6.96,6.96,100,7.343,7.4221
2020-03-31,6.96,6.96,6.96,6.96,0,7.343,7.3781
2020-04-01,6.96,6.96,6.96,6.96,0,7.343,7.3382
2020-04-03,6.96,6.96,6.96,6.96,0,7.343,7.3022
2020-04-06,6.96,6.96,6.96,6.96,100,7.343,7.2696
2020-04-07,6.96,6.96,6.96,6.96,0,7.343,7.2401
2020-04-08,6.96,6.96,6.96,6.96,0,7.343,7.2135
2020-04-09,6.96,6.96,6.96,6.96,0,7.343,7.1893
2020-04-10,7.95,7.95,6.69,6.69,200,7.3295,7.1418
2020-04-13,7.36,6.69,6.69,6.69,0,7.316,7.0987
2020-04-14,7.36,6.69,6.69,6.69,0,7.253,7.0598
2020-04-15,7.36,6.69,6.69,6.69,0,7.19,7.0246
2020-04-16,7.36,6.69,6.69,6.69,0,7.127,6.9927
2020-04-17,6.89,6.89,6.89,6.89,100,7.074,6.9829
2020-04-20,6.89,6.89,6.89,6.89,0,7.021,6.9741
2020-04-21,6.89,6.89,6.89,6.89,0,6.968,6.9661
2020-04-22,6.89,6.89,6.89,6.89,0,6.915,6.9588
2020-04-23,6.89,6.89,6.89,6.89,0,6.862,6.9523
2020-04-24,6.89,6.89,6.89,6.89,0,6.865,6.9463
2020-04-27,6.89,6.89,6.89,6.89,0,6.868,6.941
2020-04-28,6.89,6.89,6.89,6.89,0,6.8645,6.9361
2020-04-29,6.89,6.89,6.89,6.89,0,6.861,6.9317
2020-05-04,6.89,6.89,6.89,6.89,0,6.8575,6.9278
2020-05-05,6.89,6.89,6.89,6.89,0,6.854,6.9242
2020-05-06,7.62,7.62,7.62,7.62,2100,6.887,6.9904
2020-05-07,7.62,7.62,7.62,7.62,0,6.92,7.0504
2020-05-08,7.62,7.62,7.62,7.62,0,6.953,7.1046
2020-05-11,7.62,7.62,7.62,7.62,0,6.986,7.1537
2020-05-12,7.62,7.62,7.62,7.62,0,7.0325,7.1981
2020-05-13,6.96,6.96,6.96,6.96,100,7.046,7.1755
2020-05-14,6.96,6.96,6.96,6.96,0,7.0595,7.1549
2020-05-15,6.96,6.96,6.96,6.96,0,7.073,7.1364
2020-05-18,6.96,6.96,6.96,6.96,0,7.0865,7.1196
2020-05-19,6.96,6.96,6.96,6.96,0,7.09,7.1044
2020-05-20,6.96,6.96,6.96,6.96,0,7.0935,7.0906
2020-05-21,6.96,6.96,6.96,6.96,0,7.097,7.0782
2020-05-22,6.96,6.96,6.96,6.96,0,7.1005,7.0669
2020-05-25,6.96,6.96,6.96,6.96,0,7.104,7.0567
2020-05-26,6.96,6.96,6.96,6.96,0,7.1075,7.0475
2020-05-27,6.96,6.96,6.96,6.96,0,7.111,7.0392
2020-05-28,6.96,6.96,6.96,6.96,0,7.1145,7.0317
2020-05-29,6.96,6.96,6.96,6.96,0,7.118,7.0248
2020-06-01,6.96,6.96,6.96,6.96,0,7.1215,7.0187
2020-06-02,6.96,6.96,6.96,6.96,0,7.125,7.0131
2020-06-03,6.96,6.96,6.96,6.96,0,7.092,7.008
2020-06-04,6.96,6.96,6.96,6.96,0,7.059,7.0034
2020-06-05,6.96,6.96,6.96,6.96,0,7.026,6.9993
2020-06-08,6.96,6.96,6.96,6.96,0,6.993,6.9956
2020-06-09,6.96,6.96,6.96,6.96,0,6.96,6.9922
2020-06-10,6.96,6.96,6.96,6.96,0,6.96,6.9891
2020-06-11,6.96,6.96,6.96,6.96,0,6.96,6.9863
2020-06-12,6.96,6.96,6.96,6.96,0,6.96,6.9838
2020-06-15,6.96,6.96,6.96,6.96,0,6.96,6.9816
2020-06-16,6.96,6.96,6.96,6.96,0,6.96,6.9795
2020-06-17,6.96,6.96,6.96,6.96,0,6.96,6.9776
2020-06-18,6.96,6.96,6.96,6.96,0,6.96,6.976
2020-06-19,6.96,6.96,6.96,6.96,0,6.96,6.9744
2020-06-22,6.96,6.96,6.96,6.96,0,6.96,6.9731
2020-06-23,6.96,6.96,6.96,6.96,0,6.96,6.9718
2020-06-24,6.96,6.96,6.96,6.96,0,6.96,6.9707
2020-06-25,6.96,6.96,6.96,6.96,0,6.96,6.9697
2020-06-26,6.96,6.96,6.96,6.96,0,6.96,6.9688
2020-06-29,6.96,6.96,6.96,6.96,0,6.96,6.9679
2020-06-30,6.96,6.96,6.96,6.96,0,6.96,6.9672
2020-07-01,6.96,6.96,6.96,6.96,0,6.96,6.9665
2020-07-02,6.96,6.96,6.96,6.96,0,6.96,6.9659
2020-07-03,6.96,6.96,6.96,6.96,0,6.96,6.9653
2020-07-06,6.96,6.96,6.96,6.96,0,6.96,6.9648
2020-07-07,6.96,6.96,6.96,6.96,0,6.96,6.9643
2020-07-08,6.96,6.96,6.96,6.96,0,6.96,6.9639
2020-07-09,6.96,6.96,6.96,6.96,0,6.96,6.9636
2020-07-10,6.96,6.96,6.96,6.96,0,6.96,6.9632
2020-07-13,6.96,6.96,6.96,6.96,0,6.96,6.9629
2020-07-14,6.96,6.96,6.96,6.96,0,6.96,6.9626
2020-07-15,6.96,6.96,6.96,6.96,0,6.96,6.9624
2020-07-16,6.96,6.96,6.96,6.96,0,6.96,6.9622
2020-07-17,6.96,7.77,7.77,7.77,0,7.0005,7.0391
2020-07-20,6.96,7.77,7.77,7.77,0,7.041,7.1087
2020-07-21,6.96,6.96,6.96,6.96,0,7.041,7.0945
2020-07-22,6.96,7.77,7.77,7.77,0,7.0815,7.1589
2020-07-23,6.96,7.77,7.77,7.77,0,7.122,7.2171
2020-07-24,7.99,7.99,7.99,7.99,100,7.1735,7.2907
2020-07-27,7.99,7.99,7.99,7.99,0,7.225,7.3573
2020-07-28,9.18,9.18,9.18,9.18,100,7.336,7.5309
2020-07-29,10.51,10.51,10.51,10.51,100,7.5135,7.8146
2020-07-30,8.96,8.96,8.96,8.96,100,7.6135,7.9237
2020-07-31,7.77,7.77,7.77,7.77,100,7.654,7.9091
2020-08-03,7.77,7.77,7.77,7.77,0,7.6945,7.8958
2020-08-04,7.77,7.77,7.77,7.77,0,7.735,7.8838
2020-08-05,7.77,7.77,7.77,7.77,0,7.7755,7.873
2020-08-06,7.77,7.77,7.77,7.77,0,7.816,7.8632
2020-08-07,7.77,7.77,7.77,7.77,0,7.8565,7.8543
2020-08-10,8.88,8.88,7.85,7.85,200,7.901,7.8539
2020-08-11,7.55,7.55,7.55,7.55,100,7.9305,7.825
2020-08-12,7.55,7.55,7.55,7.55,0,7.96,7.7988
2020-08-13,7.55,7.55,7.55,7.55,0,7.9895,7.7751
2020-08-14,8.66,8.66,8.66,8.66,100,8.034,7.8594
2020-08-17,9.92,9.92,8.81,8.81,200,8.086,7.9499
2020-08-18,8.96,8.96,8.96,8.96,100,8.186,8.0461
2020-08-19,8.96,8.96,8.96,8.96,0,8.2455,8.1331
2020-08-20,8.96,8.96,8.96,8.96,0,8.305,8.2119
2020-08-21,8.96,8.96,8.96,8.96,5,8.3535,8.2831
2020-08-24,8.96,8.96,8.96,8.96,0,8.402,8.3476
2020-08-25,7.77,7.77,7.77,7.77,100,8.3315,8.2926
2020-08-26,7.77,7.77,7.77,7.77,1,8.1945,8.2428
2020-08-27,7.77,7.77,7.77,7.77,0,8.135,8.1978
2020-08-28,7.77,7.77,7.77,7.77,0,8.135,8.157
2020-08-31,6.66,6.66,6.66,6.66,1200,8.0795,8.0145
2020-09-01,6.66,6.66,6.66,6.66,0,8.024,7.8855
2020-09-03,6.66,6.66,6.66,6.66,0,7.9685,7.7688
2020-09-04,6.66,6.66,6.66,6.66,0,7.913,7.6632
2020-09-07,6.66,6.66,6.66,6.66,0,7.8575,7.5676
2020-09-08,6.66,6.66,6.66,6.66,0,7.798,7.4812
2020-09-09,6.66,6.66,6.66,6.66,0,7.7535,7.403
2020-09-10,6.66,6.66,6.66,6.66,0,7.709,7.3322
2020-09-11,6.66,6.66,6.66,6.66,0,7.6645,7.2682
2020-09-14,6.66,6.66,6.66,6.66,0,7.5645,7.2103
2020-09-15,6.66,6.66,6.66,6.66,0,7.457,7.1579
2020-09-16,6.66,6.66,6.66,6.66,0,7.342,7.1104
2020-09-17,6.66,6.66,6.66,6.66,0,7.227,7.0675
2020-09-18,6.66,6.66,6.66,6.66,0,7.112,7.0287
2020-09-21,6.66,6.66,6.66,6.66,0,6.997,6.9936
2020-09-22,6.66,6.66,6.66,6.66,0,6.882,6.9618
2020-09-23,6.66,6.66,6.66,6.66,0,6.8265,6.9331
2020-09-24,6.66,6.66,6.66,6.66,0,6.771,6.9071
2020-09-25,6.66,6.66,6.66,6.66,0,6.7155,6.8836
2020-09-28,7.62,7.62,7.62,7.62,100,6.708,6.9537
2020-09-29,7.62,7.62,7.62,7.62,0,6.756,7.0172
2020-09-30,7.62,7.62,7.62,7.62,0,6.804,7.0746
2020-10-01,7.62,7.62,7.62,7.62,0,6.852,7.1265
2020-10-02,7.62,7.62,7.62,7.62,0,6.9,7.1735
2020-10-05,7.62,7.62,7.62,7.62,0,6.948,7.216
2020-10-06,7.62,7.62,7.62,7.62,0,6.996,7.2545
2020-10-07,7.62,7.62,7.62,7.62,0,7.044,7.2893
2020-10-08,7.62,7.62,7.62,7.62,0,7.092,7.3208
2020-10-09,7.62,7.62,7.62,7.62,0,7.14,7.3493
2020-10-12,7.62,7.62,7.62,7.62,0,7.188,7.3751
2020-10-13,7.62,7.62,7.62,7.62,0,7.236,7.3984
2020-10-14,7.62,7.62,7.62,7.62,0,7.284,7.4195
2020-10-15,7.62,7.62,7.62,7.62,0,7.332,7.4386
2020-10-16,7.62,7.62,7.62,7.62,0,7.38,7.4559
2020-10-19,7.62,7.62,7.62,7.62,0,7.428,7.4715
2020-10-20,7.62,7.62,7.62,7.62,0,7.476,7.4857
2020-10-21,7.62,7.62,7.62,7.62,0,7.524,7.4984
2020-10-22,7.62,7.62,7.62,7.62,0,7.572,7.51
2020-10-23,7.62,7.62,7.62,7.62,0,7.62,7.5205
2020-10-26,7.62,7.62,7.62,7.62,0,7.62,7.53
2020-10-27,7.62,7.62,7.62,7.62,0,7.62,7.5385
2020-10-28,7.62,7.62,7.62,7.62,0,7.62,7.5463
2020-10-29,7.62,7.62,7.62,7.62,0,7.62,7.5533
2020-10-30,7.62,7.62,7.62,7.62,0,7.62,7.5597
2020-11-02,7.62,7.62,7.62,7.62,0,7.62,7.5654
2020-11-03,7.62,7.62,7.62,7.62,0,7.62,7.5706
2020-11-04,7.62,7.62,7.62,7.62,0,7.62,7.5753
2020-11-05,7.62,7.62,7.62,7.62,0,7.62,7.5796
2020-11-06,7.62,7.62,7.62,7.62,0,7.62,7.5834
2020-11-09,7.62,7.62,7.62,7.62,0,7.62,7.5869
2020-11-10,7.62,7.62,7.62,7.62,0,7.62,7.5901
2020-11-11,7.62,7.62,7.62,7.62,0,7.62,7.5929
2020-11-12,7.62,7.62,7.62,7.62,0,7.62,7.5955
2020-11-13,7.62,7.62,7.62,7.62,0,7.62,7.5978
2020-11-16,7.62,7.62,7.62,7.62,0,7.62,7.5999
2020-11-17,7.62,7.62,7.62,7.62,0,7.62,7.6018
2020-11-18,7.62,7.62,7.62,7.62,0,7.62,7.6036
2020-11-19,7.62,7.62,7.62,7.62,0,7.62,7.6051
2020-11-20,7.62,7.62,7.62,7.62,0,7.62,7.6066
2020-11-23,7.4,7.4,7.4,7.4,500,7.609,7.5869
2020-11-24,7.4,7.4,7.4,7.4,0,7.598,7.5691
2020-11-25,7.4,7.4,7.4,7.4,100,7.587,7.553
2020-11-26,7.4,7.4,7.4,7.4,0,7.576,7.5384
2020-11-27,7.4,7.4,7.4,7.4,0,7.565,7.5252
2020-11-30,7.4,7.4,7.4,7.4,0,7.554,7.5133
2020-12-01,7.4,7.4,7.4,7.4,0,7.543,7.5025
2020-12-02,7.4,7.4,7.4,7.4,0,7.532,7.4927
2020-12-03,7.4,7.4,7.4,7.4,0,7.521,7.4839
2020-12-04,7.4,7.4,7.4,7.4,0,7.51,7.4759
2020-12-07,7.4,7.4,7.4,7.4,0,7.499,7.4687
2020-12-08,7.4,7.4,7.4,7.4,0,7.488,7.4622
2020-12-09,7.4,7.4,7.4,7.4,0,7.477,7.4562
2020-12-10,7.4,7.4,7.4,7.4,0,7.466,7.4509
2020-12-11,7.4,7.4,7.4,7.4,0,7.455,7.446
2020-12-14,7.4,7.4,7.4,7.4,0,7.444,7.4416
2020-12-15,7.4,7.4,7.4,7.4,0,7.433,7.4377
2020-12-16,7.4,7.4,7.4,7.4,0,7.422,7.4341
2020-12-17,7.4,7.4,7.4,7.4,0,7.411,7.4308
2020-12-18,7.4,7.4,7.4,7.4,0,7.4,7.4279
2020-12-21,7.4,7.4,7.4,7.4,0,7.4,7.4252
2020-12-22,7.4,7.4,7.4,7.4,0,7.4,7.4228
2020-12-23,7.4,7.4,7.4,7.4,0,7.4,7.4207
2020-12-24,7.4,7.4,7.4,7.4,0,7.4,7.4187
2020-12-25,7.4,7.4,7.4,7.4,0,7.4,7.4169
2020-12-28,7.4,7.4,7.4,7.4,0,7.4,7.4153
2020-12-29,7.4,7.4,7.4,7.4,0,7.4,7.4139
2020-12-30,7.4,7.4,7.4,7.4,3500,7.4,7.4125
2020-12-31,7.4,7.4,7.4,7.4,0,7.4,7.4113
2021-01-04,7.4,7.4,7.4,7.4,0,7.4,7.4103
2021-01-05,7.4,7.4,7.4,7.4,0,7.4,7.4093
2021-01-06,7.4,7.4,7.4,7.4,0,7.4,7.4084
2021-01-07,7.4,7.4,7.4,7.4,0,7.4,7.4076
2021-01-08,7.4,7.4,7.4,7.4,0,7.4,7.4069
2021-01-11,7.4,7.4,7.4,7.4,0,7.4,7.4062
2021-01-12,7.4,7.4,7.4,7.4,0,7.4,7.4056
2021-01-13,7.4,7.4,7.4,7.4,0,7.4,7.4051
2021-01-14,7.4,7.4,7.4,7.4,0,7.4,7.4046
2021-01-15,7.4,7.4,7.4,7.4,0,7.4,7.4042
2021-01-18,7.4,7.4,7.4,7.4,0,7.4,7.4038
2021-01-19,7.4,7.4,7.4,7.4,0,7.4,7.4034
2021-01-20,7.4,7.4,7.4,7.4,0,7.4,7.4031
2021-01-21,7.4,7.4,7.4,7.4,0,7.4,7.4028
2021-01-22,7.4,7.4,7.4,7.4,0,7.4,7.4025
2021-01-25,7.4,7.4,7.4,7.4,0,7.4,7.4023
2021-01-26,7.4,7.4,7.4,7.4,0,7.4,7.4021
2021-01-27,7.4,7.4,7.4,7.4,0,7.4,7.4019
2021-01-28,7.4,7.4,7.4,7.4,0,7.4,7.4017
2021-01-29,7.4,7.4,7.4,7.4,0,7.4,7.4015
2021-02-01,7.4,7.4,7.4,7.4,0,7.4,7.4014
2021-02-02,7.4,7.4,7.4,7.4,0,7.4,7.4013
2021-02-03,7.4,7.4,7.4,7.4,0,7.4,7.4011
2021-02-04,7.4,7.4,7.4,7.4,0,7.4,7.401
2021-02-05,7.4,7.4,7.4,7.4,0,7.4,7.4009
