time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,43.38,43.38,43.38,43.38,0,,
2020-01-03,43.38,43.38,43.38,43.38,0,,
2020-01-06,43.38,43.38,43.38,43.38,0,,
2020-01-07,36.91,36.91,36.91,36.91,100,,
2020-01-08,36.91,36.91,36.91,36.91,0,,
2020-01-09,36.91,36.91,36.91,36.91,0,,
2020-01-10,36.91,36.91,36.91,36.91,0,,
2020-01-13,36.91,36.91,36.91,36.91,0,,
2020-01-14,36.91,36.91,36.91,36.91,0,,
2020-01-15,36.91,36.91,36.91,36.91,0,,
2020-01-16,36.91,36.91,36.91,36.91,0,,
2020-01-17,36.91,36.91,36.91,36.91,0,,
2020-01-20,36.91,36.91,36.91,36.91,0,,
2020-01-21,36.91,36.91,36.91,36.91,0,,
2020-01-22,36.91,36.91,36.91,36.91,0,,
2020-01-30,36.91,36.91,36.91,36.91,0,,
2020-01-31,36.91,36.91,36.91,36.91,0,,
2020-02-03,36.91,36.91,36.91,36.91,0,,
2020-02-04,36.91,36.91,36.91,36.91,0,,
2020-02-05,36.91,36.91,36.91,36.91,0,37.8805,38.0903
2020-02-06,36.91,36.91,36.91,36.91,0,37.557,37.9779
2020-02-07,36.91,36.91,36.91,36.91,0,37.2335,37.8762
2020-02-10,36.91,36.91,36.91,36.91,0,36.91,37.7842
2020-02-11,36.91,36.91,36.91,36.91,0,36.91,37.7009
2020-02-12,36.91,36.91,36.91,36.91,0,36.91,37.6256
2020-02-13,36.91,36.91,36.91,36.91,0,36.91,37.5574
2020-02-14,36.91,36.91,36.91,36.91,0,36.91,37.4958
2020-02-17,36.91,36.91,36.91,36.91,0,36.91,37.44
2020-02-18,31.9,31.9,31.9,31.9,100,36.6595,36.9124
2020-02-19,31.9,31.9,31.9,31.9,0,36.409,36.435
2020-02-20,31.9,31.9,31.9,31.9,0,36.1585,36.0031
2020-02-21,31.9,31.9,31.9,31.9,0,35.908,35.6123
2020-02-24,29.17,29.17,29.17,29.17,100,35.521,34.9988
2020-02-25,29.17,29.17,29.17,29.17,0,35.134,34.4436
2020-02-26,29.17,29.17,29.17,29.17,0,34.747,33.9414
2020-02-27,29.17,29.17,29.17,29.17,0,34.36,33.487
2020-02-28,29.17,29.17,29.17,29.17,0,33.973,33.0758
2020-03-02,29.17,29.17,29.17,29.17,0,33.586,32.7039
2020-03-03,29.17,29.17,29.17,29.17,0,33.199,32.3673
2020-03-04,29.17,29.17,29.17,29.17,0,32.812,32.0628
2020-03-05,29.17,29.17,29.17,29.17,0,32.425,31.7873
2020-03-06,27.34,27.34,27.34,27.34,100,31.9465,31.3637
2020-03-09,27.34,27.34,27.34,27.34,0,31.468,30.9805
2020-03-10,23.24,23.24,23.24,23.24,102,30.7845,30.2433
2020-03-11,23.24,23.24,23.24,23.24,0,30.101,29.5763
2020-03-12,23.24,23.24,23.24,23.24,0,29.4175,28.9729
2020-03-13,23.24,23.24,23.24,23.24,0,28.734,28.4269
2020-03-16,23.24,23.24,23.24,23.24,0,28.0505,27.9329
2020-03-17,23.24,23.24,23.24,23.24,0,27.6175,27.486
2020-03-18,22.79,22.79,22.79,22.79,100,27.162,27.0387
2020-03-19,22.79,22.79,22.79,22.79,0,26.7065,26.6341
2020-03-20,22.79,22.79,22.79,22.79,0,26.251,26.268
2020-03-23,20.05,20.05,19.6,19.6,200,25.7725,25.6329
2020-03-24,16.95,16.95,16.95,16.95,200,25.1615,24.806
2020-03-25,19.41,19.41,19.41,19.41,100,24.6735,24.2921
2020-03-26,19.41,19.41,19.41,19.41,0,24.1855,23.8271
2020-03-27,19.41,19.41,19.41,19.41,0,23.6975,23.4064
2020-03-30,19.41,19.41,19.41,19.41,0,23.2095,23.0258
2020-03-31,19.41,19.41,19.41,19.41,0,22.7215,22.6815
2020-04-01,19.41,19.41,19.41,19.41,0,22.2335,22.3699
2020-04-03,19.41,19.41,19.41,19.41,0,21.7455,22.088
2020-04-06,19.41,19.41,19.41,19.41,0,21.349,21.833
2020-04-07,19.41,19.41,19.41,19.41,0,20.9525,21.6022
2020-04-08,19.41,19.41,19.41,19.41,0,20.761,21.3934
2020-04-09,19.41,19.41,19.41,19.41,0,20.5695,21.2045
2020-04-10,19.41,19.41,19.41,19.41,0,20.378,21.0336
2020-04-13,19.14,19.14,16.59,19.14,900,20.173,20.8533
2020-04-14,17.41,19.14,19.14,19.14,0,19.968,20.6901
2020-04-15,17.41,19.14,19.14,19.14,0,19.763,20.5425
2020-04-16,17.41,19.14,19.14,19.14,0,19.5805,20.4089
2020-04-17,17.32,19.96,17.32,19.96,200,19.439,20.3662
2020-04-20,19.14,19.14,19.14,19.14,400,19.2565,20.2494
2020-04-21,19.14,19.14,19.14,19.14,0,19.2335,20.1437
2020-04-22,19.14,19.14,19.14,19.14,0,19.343,20.0481
2020-04-23,19.05,19.05,19.05,19.05,100,19.325,19.9531
2020-04-24,19.05,19.05,19.05,19.05,0,19.307,19.8671
2020-04-27,19.05,19.05,19.05,19.05,0,19.289,19.7892
2020-04-28,19.05,19.05,19.05,19.05,0,19.271,19.7188
2020-04-29,19.05,19.05,19.05,19.05,0,19.253,19.6551
2020-05-04,18.23,18.23,18.23,18.23,100,19.194,19.5194
2020-05-05,18.23,18.23,18.23,18.23,0,19.135,19.3966
2020-05-06,18.23,18.23,18.23,18.23,0,19.076,19.2855
2020-05-07,18.23,18.23,18.23,18.23,0,19.017,19.185
2020-05-08,18.23,18.23,18.23,18.23,0,18.958,19.094
2020-05-11,18.23,18.23,18.23,18.23,0,18.899,19.0117
2020-05-12,18.23,18.23,18.23,18.23,0,18.84,18.9373
2020-05-13,18.23,18.23,18.23,18.23,0,18.7945,18.8699
2020-05-14,18.23,18.23,18.23,18.23,0,18.749,18.809
2020-05-15,18.23,18.23,18.23,18.23,0,18.7035,18.7538
2020-05-18,18.23,18.23,18.23,18.23,0,18.658,18.704
2020-05-19,18.23,18.23,18.23,18.23,100,18.5715,18.6588
2020-05-20,20.96,20.96,20.96,20.96,100,18.6625,18.878
2020-05-21,20.96,20.96,20.96,20.96,0,18.7535,19.0763
2020-05-22,20.96,20.96,20.96,20.96,0,18.8445,19.2557
2020-05-25,20.96,20.96,20.96,20.96,0,18.94,19.418
2020-05-26,20.96,20.96,20.96,20.96,0,19.0355,19.5648
2020-05-27,20.96,20.96,20.96,20.96,0,19.131,19.6977
2020-05-28,20.96,20.96,20.96,20.96,0,19.2265,19.8179
2020-05-29,20.96,21.42,20.96,21.42,10400,19.345,19.9705
2020-06-01,21.24,21.42,21.42,21.42,0,19.5045,20.1086
2020-06-02,21.24,21.42,21.42,21.42,0,19.664,20.2335
2020-06-03,21.24,21.42,21.42,21.42,0,19.8235,20.3465
2020-06-04,21.24,21.42,21.42,21.42,0,19.983,20.4487
2020-06-05,21.24,21.42,21.42,21.42,0,20.1425,20.5412
2020-06-08,21.24,21.42,21.42,21.42,0,20.302,20.6249
2020-06-09,21.24,21.42,21.42,21.42,0,20.4615,20.7006
2020-06-10,21.24,21.42,21.42,21.42,0,20.621,20.7691
2020-06-11,21.24,21.42,21.42,21.42,0,20.7805,20.8311
2020-06-12,21.24,21.42,21.42,21.42,0,20.94,20.8872
2020-06-15,21.24,21.42,21.42,21.42,0,21.0995,20.9379
2020-06-16,21.24,21.42,21.42,21.42,0,21.259,20.9839
2020-06-17,21.24,21.42,21.42,21.42,0,21.282,21.0254
2020-06-18,21.24,21.42,21.42,21.42,0,21.305,21.063
2020-06-19,21.24,21.42,21.42,21.42,0,21.328,21.097
2020-06-22,21.24,21.42,21.42,21.42,0,21.351,21.1277
2020-06-23,21.24,21.42,21.42,21.42,0,21.374,21.1556
2020-06-24,21.24,21.42,21.42,21.42,0,21.397,21.1808
2020-06-25,21.24,21.42,21.42,21.42,0,21.42,21.2035
2020-06-26,21.24,21.42,21.42,21.42,0,21.42,21.2242
2020-06-29,21.24,21.24,21.24,21.24,1033,21.411,21.2257
2020-06-30,21.24,21.24,21.24,21.24,0,21.402,21.227
2020-07-01,21.24,21.24,21.24,21.24,0,21.393,21.2283
2020-07-02,21.24,21.24,21.24,21.24,0,21.384,21.2294
2020-07-03,21.24,21.24,21.24,21.24,0,21.375,21.2304
2020-07-06,21.24,21.24,21.24,21.24,0,21.366,21.2313
2020-07-07,21.24,21.24,21.24,21.24,0,21.357,21.2321
2020-07-08,21.24,21.24,21.24,21.24,0,21.348,21.2329
2020-07-09,24.34,24.34,21.87,24.34,21000,21.494,21.5288
2020-07-10,23.97,24.15,23.97,23.97,3700,21.6215,21.7613
2020-07-13,24.06,24.06,24.06,24.06,120,21.7535,21.9802
2020-07-14,24.06,24.06,24.06,24.06,13,21.8855,22.1783
2020-07-15,24.06,24.06,24.06,24.06,0,22.0175,22.3575
2020-07-16,24.06,24.06,24.06,24.06,0,22.1495,22.5196
2020-07-17,24.06,24.06,24.06,24.06,0,22.2815,22.6663
2020-07-20,24.06,24.06,24.06,24.06,0,22.4135,22.7991
2020-07-21,24.06,24.06,24.06,24.06,0,22.5455,22.9192
2020-07-22,24.06,24.06,24.06,24.06,0,22.6775,23.0278
2020-07-23,24.06,24.06,24.06,24.06,0,22.8095,23.1261
2020-07-24,24.06,24.06,24.06,24.06,0,22.9415,23.2151
2020-07-27,24.06,24.06,24.06,24.06,0,23.0825,23.2955
2020-07-28,24.06,24.06,24.06,24.06,0,23.2235,23.3683
2020-07-29,24.06,24.06,24.06,24.06,0,23.3645,23.4342
2020-07-30,24.06,24.06,24.06,24.06,0,23.5055,23.4938
2020-07-31,24.06,24.06,24.06,24.06,0,23.6465,23.5477
2020-08-03,24.06,24.06,24.06,24.06,0,23.7875,23.5965
2020-08-04,24.06,24.06,24.06,24.06,0,23.9285,23.6407
2020-08-05,24.06,24.06,24.06,24.06,0,24.0695,23.6806
2020-08-06,24.06,24.06,24.06,24.06,0,24.0555,23.7167
2020-08-07,24.06,24.06,24.06,24.06,0,24.06,23.7494
2020-08-10,24.97,24.97,24.97,24.97,1000,24.1055,23.8657
2020-08-11,24.97,24.97,24.97,24.97,0,24.151,23.9708
2020-08-12,24.97,24.97,24.97,24.97,600,24.1965,24.066
2020-08-13,21.24,21.24,21.24,21.24,100,24.0555,23.7969
2020-08-14,20.05,24.34,20.05,24.34,200,24.0695,23.8486
2020-08-17,18.96,18.96,18.96,18.96,200,23.8145,23.383
2020-08-18,18.96,18.96,18.96,18.96,0,23.5595,22.9618
2020-08-19,18.96,18.96,18.96,18.96,0,23.3045,22.5806
2020-08-20,18.96,18.96,18.96,18.96,0,23.0495,22.2358
2020-08-21,20.96,20.96,20.96,20.96,5000,22.8945,22.1143
2020-08-24,24.06,24.06,24.06,24.06,100,22.8945,22.2996
2020-08-25,24.06,24.06,24.06,24.06,0,22.8945,22.4673
2020-08-26,24.06,24.06,24.06,24.06,0,22.8945,22.619
2020-08-27,24.06,24.06,24.06,24.06,0,22.8945,22.7562
2020-08-28,24.06,24.06,24.06,24.06,0,22.8945,22.8804
2020-08-31,24.06,24.06,24.06,24.06,0,22.8945,22.9927
2020-09-01,24.06,24.06,24.06,24.06,300,22.8945,23.0944
2020-09-03,24.06,24.06,24.06,24.06,0,22.8945,23.1863
2020-09-04,24.06,24.06,24.06,24.06,0,22.8945,23.2695
2020-09-07,24.06,24.06,24.06,24.06,0,22.8945,23.3448
2020-09-08,24.06,24.06,24.06,24.06,0,22.849,23.4129
2020-09-09,24.06,24.06,24.06,24.06,0,22.8035,23.4746
2020-09-10,24.06,24.06,24.06,24.06,0,22.758,23.5303
2020-09-11,24.06,24.06,24.06,24.06,0,22.899,23.5808
2020-09-14,24.06,25.11,25.11,25.11,0,22.9375,23.7264
2020-09-15,24.06,25.11,25.11,25.11,0,23.245,23.8582
2020-09-16,24.06,25.11,25.11,25.11,0,23.5525,23.9774
2020-09-17,24.06,25.11,25.11,25.11,0,23.86,24.0853
2020-09-18,24.06,25.11,25.11,25.11,0,24.1675,24.1829
2020-09-21,24.06,24.06,24.06,24.06,5000,24.3225,24.1712
2020-09-22,24.25,24.25,24.25,24.25,600,24.332,24.1787
2020-09-23,24.25,24.25,24.25,24.25,0,24.3415,24.1855
2020-09-24,24.25,24.25,24.25,24.25,0,24.351,24.1916
2020-09-25,24.25,24.25,24.25,24.25,0,24.3605,24.1972
2020-09-28,24.25,24.25,24.25,24.25,0,24.37,24.2022
2020-09-29,24.25,24.25,24.25,24.25,0,24.3795,24.2068
2020-09-30,24.25,24.25,24.25,24.25,0,24.389,24.2109
2020-10-01,24.25,24.25,24.25,24.25,0,24.3985,24.2146
2020-10-02,24.25,24.25,24.25,24.25,0,24.408,24.218
2020-10-05,24.25,24.25,24.25,24.25,0,24.4175,24.221
2020-10-06,24.44,24.44,24.44,24.44,400,24.4365,24.2419
2020-10-07,28.06,28.06,28.06,28.06,100,24.6365,24.6055
2020-10-08,28.06,28.06,28.06,28.06,0,24.8365,24.9345
2020-10-09,24.25,24.25,24.25,24.25,3500,24.846,24.8693
2020-10-12,24.25,24.25,24.25,24.25,0,24.803,24.8103
2020-10-13,24.25,24.25,24.25,24.25,0,24.76,24.757
2020-10-14,24.25,24.25,24.25,24.25,0,24.717,24.7087
2020-10-15,24.25,24.25,24.25,24.25,0,24.674,24.665
2020-10-16,24.25,24.25,24.25,24.25,0,24.631,24.6255
2020-10-19,24.25,24.25,24.25,24.25,0,24.6405,24.5897
2020-10-20,24.25,24.25,24.25,24.25,0,24.6405,24.5574
2020-10-21,24.25,24.25,24.25,24.25,0,24.6405,24.5281
2020-10-22,24.25,24.25,24.25,24.25,0,24.6405,24.5016
2020-10-23,24.25,24.25,24.25,24.25,0,24.6405,24.4776
2020-10-26,24.25,24.25,24.25,24.25,0,24.6405,24.456
2020-10-27,24.25,24.25,24.25,24.25,0,24.6405,24.4363
2020-10-28,24.25,24.25,24.25,24.25,0,24.6405,24.4186
2020-10-29,24.25,24.25,24.25,24.25,0,24.6405,24.4025
2020-10-30,24.25,24.25,24.25,24.25,0,24.6405,24.388
2020-11-02,24.25,24.25,24.25,24.25,0,24.6405,24.3749
2020-11-03,24.25,24.25,24.25,24.25,0,24.631,24.363
2020-11-04,24.25,24.25,24.25,24.25,0,24.4405,24.3522
2020-11-05,24.25,24.25,24.25,24.25,0,24.25,24.3425
2020-11-06,24.25,24.25,24.25,24.25,0,24.25,24.3337
2020-11-09,24.25,24.25,24.25,24.25,0,24.25,24.3257
2020-11-10,24.25,24.25,24.25,24.25,0,24.25,24.3185
2020-11-11,24.25,24.25,24.25,24.25,0,24.25,24.312
2020-11-12,24.25,24.25,24.25,24.25,0,24.25,24.3061
2020-11-13,24.25,24.25,24.25,24.25,0,24.25,24.3007
2020-11-16,24.25,24.25,24.25,24.25,0,24.25,24.2959
2020-11-17,24.25,24.25,24.25,24.25,0,24.25,24.2915
2020-11-18,24.25,24.25,24.25,24.25,0,24.25,24.2876
2020-11-19,24.25,24.25,24.25,24.25,0,24.25,24.284
2020-11-20,33.19,33.19,33.19,33.19,200,24.697,25.1322
2020-11-23,33.19,33.19,33.19,33.19,0,25.144,25.8996
2020-11-24,33.19,33.19,33.19,33.19,0,25.591,26.5939
2020-11-25,33.19,33.19,33.19,33.19,0,26.038,27.2221
2020-11-26,33.19,33.19,33.19,33.19,0,26.485,27.7905
2020-11-27,33.19,33.19,33.19,33.19,0,26.932,28.3047
2020-11-30,33.19,33.19,33.19,33.19,0,27.379,28.77
2020-12-01,28.25,28.25,28.25,28.25,100,27.579,28.7205
2020-12-02,24.06,24.06,24.06,24.06,100,27.5695,28.2766
2020-12-03,24.06,24.06,24.06,24.06,0,27.56,27.875
2020-12-04,24.06,24.06,24.06,24.06,100,27.5505,27.5117
2020-12-07,24.06,24.06,24.06,24.06,0,27.541,27.183
2020-12-08,24.06,24.06,24.06,24.06,0,27.5315,26.8855
2020-12-09,24.06,24.06,24.06,24.06,0,27.522,26.6164
2020-12-10,24.06,24.06,24.06,24.06,0,27.5125,26.373
2020-12-11,24.06,24.06,24.06,24.06,0,27.503,26.1527
2020-12-14,24.06,24.06,24.06,24.06,0,27.4935,25.9534
2020-12-15,24.06,24.06,24.06,24.06,0,27.484,25.7731
2020-12-16,24.73,24.73,24.73,24.73,1000,27.508,25.6737
2020-12-17,24.73,24.73,24.73,24.73,0,27.532,25.5838
2020-12-18,24.25,24.25,24.25,24.25,300,27.085,25.4568
2020-12-21,24.25,24.25,24.25,24.25,0,26.638,25.3419
2020-12-22,24.25,24.25,24.25,24.25,0,26.191,25.2379
2020-12-23,24.25,24.25,24.25,24.25,0,25.744,25.1438
2020-12-24,26.63,26.63,26.63,26.63,300,25.416,25.2853
2020-12-25,26.63,26.63,26.63,26.63,0,25.088,25.4134
2020-12-28,26.63,26.63,26.63,26.63,0,24.76,25.5293
2020-12-29,26.63,26.63,26.63,26.63,0,24.679,25.6341
2020-12-30,26.63,26.63,26.63,26.63,0,24.8075,25.729
2020-12-31,22.64,22.64,22.64,22.64,10000,24.7365,25.4348
2021-01-04,22.64,22.64,22.64,22.64,0,24.6655,25.1686
2021-01-05,22.64,22.64,22.64,22.64,0,24.5945,24.9278
2021-01-06,25.68,25.97,25.68,25.97,11400,24.69,25.027
2021-01-07,25.2,25.68,25.2,25.68,13500,24.771,25.0892
2021-01-08,25.68,25.68,25.68,25.68,2200,24.852,25.1455
2021-01-11,25.68,25.68,25.68,25.68,0,24.933,25.1964
2021-01-12,25.68,25.68,25.68,25.68,50800,25.014,25.2425
2021-01-13,24.73,24.73,24.73,24.73,1000,25.0475,25.1936
2021-01-14,24.73,24.73,24.73,24.73,0,25.0475,25.1495
2021-01-15,24.73,24.73,24.73,24.73,0,25.0475,25.1095
2021-01-18,25.68,25.87,25.68,25.87,3500,25.1285,25.182
2021-01-19,29.67,29.67,29.67,29.67,100,25.3995,25.6094
2021-01-20,29.67,29.67,29.67,29.67,0,25.6705,25.9961
2021-01-21,29.67,29.67,29.67,29.67,0,25.9415,26.346
2021-01-22,29.67,29.67,29.67,29.67,0,26.0935,26.6626
2021-01-25,29.67,29.67,29.67,29.67,0,26.2455,26.949
2021-01-26,26.63,26.63,26.63,26.63,100,26.2455,26.9186
2021-01-27,26.63,26.63,26.63,26.63,0,26.2455,26.8911
2021-01-28,26.63,26.63,26.63,26.63,0,26.2455,26.8663
2021-01-29,26.63,26.63,26.63,26.63,0,26.445,26.8438
2021-02-01,26.63,26.63,26.63,26.63,1500,26.6445,26.8234
2021-02-02,26.63,26.63,26.63,26.63,1,26.844,26.805
2021-02-03,26.63,26.63,26.63,26.63,0,26.877,26.7883
2021-02-04,26.63,26.63,26.63,26.63,0,26.9245,26.7732
2021-02-05,26.63,26.63,26.63,26.63,0,26.972,26.7596
2021-02-08,26.63,26.63,26.63,26.63,0,27.0195,26.7473
2021-02-09,26.63,26.63,26.63,26.63,0,27.067,26.7361
2021-02-17,24.73,24.73,24.73,24.73,500,27.067,26.545
2021-02-18,25.2,25.2,25.2,25.2,500,27.0905,26.4169
2021-02-19,25.2,25.2,25.2,25.2,0,27.114,26.301
2021-02-22,25.2,25.68,25.2,25.68,2200,27.1045,26.2419
2021-02-23,26.16,26.16,26.16,26.16,100,26.929,26.2341
2021-02-24,26.16,26.16,26.16,26.16,0,26.7535,26.227
2021-02-25,26.16,26.16,26.16,26.16,0,26.578,26.2207
2021-02-26,26.16,26.16,26.16,26.16,0,26.4025,26.2149
2021-03-01,26.16,26.16,26.16,26.16,0,26.227,26.2096
2021-03-02,26.16,26.16,26.16,26.16,0,26.2035,26.2049
2021-03-03,26.16,26.16,26.16,26.16,0,26.18,26.2006
2021-03-04,26.16,26.16,26.16,26.16,3000,26.1565,26.1968
2021-03-05,26.16,26.16,26.16,26.16,1000,26.133,26.1933
2021-03-08,26.16,26.16,26.16,26.16,0,26.1095,26.1901
2021-03-09,26.16,26.16,26.16,26.16,0,26.086,26.1872
2021-03-10,26.16,26.16,26.16,26.16,0,26.0625,26.1846
2021-03-11,26.16,26.16,26.16,26.16,0,26.039,26.1823
2021-03-12,26.16,26.16,26.16,26.16,0,26.0155,26.1802
2021-03-15,26.63,26.63,26.63,26.63,2000,26.0155,26.223
2021-03-16,26.63,26.63,26.63,26.63,200,26.0155,26.2618
2021-03-17,26.63,26.63,26.63,26.63,0,26.1105,26.2968
2021-03-18,29.96,29.96,29.96,29.96,100,26.3485,26.6457
2021-03-19,29.96,29.96,29.96,29.96,0,26.5865,26.9614
