time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,7.75,7.75,7.75,7.75,100,,
2020-01-03,7.75,7.75,7.75,7.75,0,,
2020-01-06,7.08,7.08,7.08,7.08,100,,
2020-01-07,7.08,7.67,7.08,7.67,1500,,
2020-01-08,7.08,7.08,7.08,7.08,1500,,
2020-01-09,6.42,6.42,6.42,6.42,100,,
2020-01-10,6.0,6.0,6.0,6.0,100,,
2020-01-13,6.0,6.0,6.0,6.0,0,,
2020-01-14,6.0,6.0,6.0,6.0,0,,
2020-01-15,6.0,6.0,6.0,6.0,70,,
2020-01-16,6.0,6.0,6.0,6.0,0,,
2020-01-17,6.58,6.58,6.58,6.58,230,,
2020-01-20,7.08,7.08,7.08,7.08,100,,
2020-01-21,7.08,7.08,7.08,7.08,0,,
2020-01-22,7.08,7.08,7.08,7.08,0,,
2020-01-30,7.58,7.58,7.58,7.58,107,,
2020-01-31,6.83,8.33,6.83,8.33,2320,,
2020-02-03,7.5,9.17,7.5,9.17,9200,,
2020-02-04,10.0,10.08,10.0,10.08,3307,,
2020-02-05,11.08,11.08,11.08,11.08,3900,7.3905,7.9148
2020-02-06,12.17,12.17,12.08,12.17,21420,7.6115,8.32
2020-02-07,13.33,13.33,13.33,13.33,3200,7.8905,8.7972
2020-02-10,14.67,14.67,13.0,13.0,54284,8.1865,9.1974
2020-02-11,13.08,13.08,11.75,11.83,15100,8.3945,9.4482
2020-02-12,13.0,13.0,12.5,13.0,35267,8.6905,9.7864
2020-02-13,13.0,14.0,13.0,13.75,30860,9.057,10.1639
2020-02-14,13.92,13.92,12.42,12.42,16000,9.378,10.3788
2020-02-17,12.42,12.75,12.17,12.42,11200,9.699,10.5732
2020-02-18,12.42,12.5,11.25,11.33,17000,9.9655,10.6453
2020-02-19,10.83,11.42,10.83,11.33,5210,10.232,10.7105
2020-02-20,10.33,10.58,10.25,10.25,41900,10.4445,10.6666
2020-02-21,10.0,10.58,10.0,10.25,11000,10.628,10.6269
2020-02-24,10.42,11.25,10.42,11.25,31000,10.8365,10.6863
2020-02-25,11.67,12.33,11.25,12.33,37600,11.099,10.8428
2020-02-26,13.17,13.5,12.5,13.5,79843,11.42,11.0959
2020-02-27,13.5,13.5,13.08,13.33,25700,11.7075,11.3087
2020-02-28,12.92,13.75,12.58,13.33,48411,11.9575,11.5012
2020-03-02,13.75,14.17,13.42,13.5,30310,12.174,11.6915
2020-03-03,13.75,13.75,12.33,12.92,5624,12.316,11.8085
2020-03-04,12.17,12.92,11.67,12.25,29500,12.3745,11.8506
2020-03-05,12.08,13.33,11.75,12.58,50311,12.395,11.92
2020-03-06,13.67,13.67,12.92,13.33,4200,12.395,12.0543
2020-03-09,14.17,14.67,13.75,14.08,58250,12.449,12.2472
2020-03-10,14.17,14.67,13.75,14.0,38915,12.5575,12.4142
2020-03-11,14.0,14.0,12.75,12.75,25100,12.545,12.4462
2020-03-12,12.58,13.58,12.33,13.17,20700,12.516,12.5151
2020-03-13,14.17,14.17,11.92,12.5,24100,12.52,12.5137
2020-03-16,12.5,13.42,12.5,13.17,11500,12.5575,12.5762
2020-03-17,13.17,13.17,12.33,12.75,14715,12.6285,12.5927
2020-03-18,12.83,12.83,12.33,12.83,14600,12.7035,12.6153
2020-03-19,11.75,12.67,11.75,12.67,8000,12.8245,12.6205
2020-03-20,13.75,13.75,12.17,12.25,7000,12.9245,12.5852
2020-03-23,12.17,12.17,11.75,11.75,33300,12.9495,12.5057
2020-03-24,12.83,12.83,11.75,12.33,8500,12.9495,12.489
2020-03-25,12.83,12.83,12.33,12.75,2900,12.912,12.5138
2020-03-26,12.75,14.0,12.5,14.0,137225,12.9455,12.6554
2020-03-27,13.33,15.33,13.33,15.33,68458,13.0455,12.9101
2020-03-30,16.83,16.83,16.83,16.83,4940,13.212,13.2834
2020-03-31,18.5,18.5,18.5,18.5,2269,13.491,13.7802
2020-04-01,20.33,20.33,18.58,20.33,115578,13.895,14.404
2020-04-03,22.33,22.33,20.33,22.33,99020,14.3825,15.1589
2020-04-06,22.92,24.5,22.92,24.5,61910,14.941,16.0485
2020-04-07,26.58,26.58,22.08,22.08,96678,15.341,16.6229
2020-04-08,22.08,23.33,19.92,21.92,31643,15.737,17.1274
2020-04-09,22.33,22.33,20.42,20.42,28809,16.1205,17.441
2020-04-10,19.92,22.42,19.17,21.67,70511,16.5455,17.8438
2020-04-13,22.17,22.92,21.33,21.92,21900,17.0165,18.232
2020-04-14,20.08,21.92,20.08,21.25,17208,17.4205,18.5194
2020-04-15,20.0,21.67,20.0,20.83,18492,17.8245,18.7395
2020-04-16,20.08,22.92,18.75,20.83,68810,18.2245,18.9386
2020-04-17,21.25,21.5,20.08,20.83,10900,18.6325,19.1187
2020-04-20,21.5,21.5,19.58,20.5,23579,19.045,19.2502
2020-04-21,20.83,22.5,20.5,22.5,79247,19.5825,19.5597
2020-04-22,23.0,24.75,23.0,24.75,14389,20.2035,20.0541
2020-04-23,27.17,27.17,27.17,27.17,14815,20.9245,20.7318
2020-04-24,29.75,29.83,24.58,25.58,98199,21.5035,21.1935
2020-04-27,28.08,28.08,25.83,27.92,37293,22.133,21.8341
2020-04-28,28.17,30.67,28.17,30.58,120729,22.8205,22.6671
2020-04-29,31.0,31.0,27.58,28.5,58541,23.3205,23.2226
2020-05-04,28.5,29.58,26.75,27.42,56520,23.675,23.6223
2020-05-05,26.67,28.5,25.58,28.33,41535,23.975,24.0707
2020-05-06,27.5,27.5,26.75,27.42,22616,24.121,24.3897
2020-05-07,26.0,27.42,26.0,27.17,9031,24.3755,24.6545
2020-05-08,27.0,28.5,26.67,26.75,12970,24.617,24.854
2020-05-11,27.08,27.08,25.0,26.75,42712,24.9335,25.0346
2020-05-12,27.0,27.0,25.83,26.5,16915,25.175,25.1742
2020-05-13,25.42,27.08,25.42,26.08,14230,25.383,25.2604
2020-05-14,26.25,27.0,25.83,26.83,28190,25.662,25.4099
2020-05-15,26.83,26.83,25.75,25.75,15106,25.908,25.4423
2020-05-18,26.58,28.25,26.58,28.25,36829,26.279,25.7097
2020-05-19,28.33,29.08,26.5,26.92,18730,26.5835,25.825
2020-05-20,27.92,29.58,26.25,29.58,74126,27.0375,26.1826
2020-05-21,29.58,30.83,28.33,30.0,21165,27.4125,26.5462
2020-05-22,30.0,30.0,28.83,29.17,10831,27.6335,26.796
2020-05-25,29.08,30.0,29.0,29.0,28307,27.725,27.0059
2020-05-26,28.33,29.58,28.08,29.17,20056,27.9045,27.212
2020-05-27,28.33,29.0,28.33,28.33,18311,27.925,27.3185
2020-05-28,28.33,29.08,28.33,28.5,6340,27.821,27.431
2020-05-29,28.75,28.75,27.92,27.92,15020,27.792,27.4776
2020-06-01,28.08,29.0,28.08,28.75,10922,27.8585,27.5988
2020-06-02,28.33,28.33,27.92,28.08,8654,27.846,27.6446
2020-06-03,27.83,29.17,27.83,29.17,21114,27.9335,27.7899
2020-06-04,28.58,29.17,28.58,29.17,13710,28.0335,27.9213
2020-06-05,29.17,29.17,28.67,28.75,19150,28.1335,28.0003
2020-06-08,28.75,31.58,28.75,30.08,21549,28.3,28.1983
2020-06-09,30.17,30.17,29.33,30.0,13855,28.475,28.3699
2020-06-10,29.17,29.58,29.0,29.58,5083,28.65,28.4852
2020-06-11,29.17,29.5,28.75,29.5,12232,28.7835,28.5818
2020-06-12,28.33,29.17,28.33,29.17,5350,28.9545,28.6378
2020-06-15,28.75,28.75,28.33,28.33,8635,28.9585,28.6085
2020-06-16,28.33,28.75,28.25,28.33,11200,29.029,28.582
2020-06-17,29.17,30.42,28.33,30.42,18960,29.071,28.757
2020-06-18,30.42,33.42,30.42,33.42,74000,29.242,29.2011
2020-06-19,33.42,36.25,32.17,35.83,29247,29.575,29.8324
2020-06-22,35.83,36.0,35.08,35.75,15410,29.9125,30.396
2020-06-23,35.0,35.0,32.92,32.92,42961,30.1,30.6364
2020-06-24,33.42,35.0,32.92,33.33,17040,30.35,30.8929
2020-06-25,31.67,35.83,31.67,35.58,10076,30.704,31.3393
2020-06-26,35.83,37.5,33.75,34.17,16366,31.0165,31.6089
2020-06-29,31.67,35.67,31.67,33.5,27051,31.254,31.789
2020-06-30,32.5,33.92,32.08,32.92,10250,31.496,31.8967
2020-07-01,32.75,33.17,32.08,32.25,19275,31.65,31.9304
2020-07-02,32.17,32.33,30.25,32.0,31529,31.7915,31.937
2020-07-03,31.25,31.83,30.83,31.83,14817,31.9455,31.9268
2020-07-06,31.83,32.08,31.67,32.0,3100,32.0415,31.9338
2020-07-07,32.0,32.17,31.5,31.83,10100,32.133,31.9239
2020-07-08,31.83,31.83,29.92,30.0,27272,32.154,31.7407
2020-07-09,30.0,31.67,29.58,31.67,12216,32.2625,31.7339
2020-07-10,31.58,31.67,31.17,31.17,3500,32.3625,31.6802
2020-07-13,31.33,31.33,30.83,30.83,3710,32.4875,31.5993
2020-07-14,30.83,32.0,30.83,31.58,8110,32.65,31.5974
2020-07-15,32.08,32.08,31.0,31.0,13000,32.679,31.5405
2020-07-16,31.58,31.75,30.58,31.5,3300,32.583,31.5367
2020-07-17,31.83,32.08,31.08,32.08,18413,32.3955,31.5884
2020-07-20,33.33,33.33,31.67,32.5,4012,32.233,31.6752
2020-07-21,33.75,35.75,33.33,35.42,71896,32.358,32.0319
2020-07-22,35.75,35.75,31.92,32.42,90409,32.3125,32.0688
2020-07-23,34.17,34.17,31.67,33.08,17460,32.1875,32.1651
2020-07-24,33.08,36.33,31.42,34.5,111567,32.204,32.3875
2020-07-27,35.0,37.92,35.0,37.92,129619,32.425,32.9144
2020-07-28,41.66,41.66,41.5,41.66,29013,32.862,33.7473
2020-07-29,45.83,45.83,45.0,45.83,213390,33.541,34.8981
2020-07-30,48.33,50.41,47.91,50.41,52765,34.4615,36.3754
2020-07-31,55.41,55.41,55.0,55.41,32270,35.6405,38.1882
