time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,19.05,19.05,19.05,19.05,102,,
2020-01-03,19.6,19.6,19.6,19.6,200,,
2020-01-06,19.6,19.6,19.6,19.6,0,,
2020-01-07,20.4,20.43,19.6,19.6,300,,
2020-01-08,19.6,20.43,19.6,20.43,650,,
2020-01-09,20.43,20.43,20.43,20.43,2500,,
2020-01-10,20.43,20.7,20.43,20.7,4500,,
2020-01-13,19.6,19.6,19.6,19.6,212,,
2020-01-14,20.57,20.7,20.57,20.7,2000,,
2020-01-15,20.57,20.7,20.57,20.7,9510,,
2020-01-16,20.7,20.7,20.7,20.7,100,,
2020-01-17,21.53,21.53,20.7,20.7,6012,,
2020-01-20,20.7,20.7,20.7,20.7,10,,
2020-01-21,20.7,20.7,20.43,20.43,5900,,
2020-01-22,20.43,20.7,20.43,20.7,14600,,
2020-01-30,20.7,20.7,20.7,20.7,0,,
2020-01-31,20.7,20.7,20.7,20.7,0,,
2020-02-03,20.43,20.43,20.43,20.43,124,,
2020-02-04,20.7,20.7,19.6,19.6,1121,,
2020-02-05,19.6,19.6,19.6,19.6,300,20.2335,20.1178
2020-02-06,19.6,19.6,19.6,19.6,0,20.261,20.0685
2020-02-07,20.68,20.68,20.68,20.68,127,20.315,20.1267
2020-02-10,20.68,20.68,20.68,20.68,0,20.369,20.1794
2020-02-11,20.68,20.68,20.68,20.68,0,20.423,20.2271
2020-02-12,20.68,20.68,20.68,20.68,0,20.4355,20.2702
2020-02-13,20.68,20.68,20.68,20.68,0,20.448,20.3092
2020-02-14,20.65,20.65,20.65,20.65,243,20.4455,20.3417
2020-02-17,20.65,20.65,20.65,20.65,10,20.498,20.3711
2020-02-18,20.62,20.62,20.62,20.62,110,20.494,20.3948
2020-02-19,20.43,20.68,20.43,20.68,3600,20.493,20.4219
2020-02-20,20.68,20.68,20.68,20.68,0,20.492,20.4465
2020-02-21,19.32,19.41,19.32,19.32,1602,20.423,20.3392
2020-02-24,19.46,19.46,19.46,19.46,110,20.361,20.2555
2020-02-25,19.6,19.6,19.6,19.6,1900,20.3195,20.1931
2020-02-26,19.46,19.46,19.46,19.46,510,20.2575,20.1232
2020-02-27,19.46,19.46,19.46,19.46,0,20.1955,20.0601
2020-02-28,20.04,20.04,20.04,20.04,100,20.1625,20.0582
2020-03-02,20.04,20.04,19.6,19.6,16400,20.121,20.0145
2020-03-03,19.6,19.6,19.6,19.6,7100,20.121,19.9751
2020-03-04,19.6,19.6,19.6,19.6,110,20.121,19.9393
2020-03-05,19.38,19.38,19.38,19.38,100,20.11,19.8861
2020-03-06,19.6,19.6,19.6,19.6,10100,20.056,19.8588
2020-03-09,19.38,19.38,19.32,19.32,1340,19.988,19.8075
2020-03-10,19.05,19.05,19.05,19.05,4351,19.9065,19.7354
2020-03-11,19.05,19.05,18.91,18.91,3400,19.818,19.6568
2020-03-12,18.08,18.11,18.08,18.08,800,19.688,19.5066
2020-03-13,17.94,17.94,17.92,17.92,4345,19.5515,19.3555
2020-03-16,17.94,18.0,17.94,17.94,5010,19.416,19.2207
2020-03-17,17.94,17.94,17.94,17.94,20,19.282,19.0987
2020-03-18,17.94,17.94,17.94,17.94,0,19.145,18.9884
2020-03-19,18.22,18.63,18.22,18.49,2610,19.0355,18.9409
2020-03-20,18.49,18.49,18.49,18.49,16000,18.994,18.8979
2020-03-23,17.67,17.67,17.67,17.67,800,18.9045,18.781
2020-03-24,17.39,17.39,17.11,17.11,5190,18.78,18.6219
2020-03-25,17.94,17.94,17.94,17.94,574,18.704,18.5569
2020-03-26,17.94,17.97,17.94,17.94,6100,18.628,18.4982
2020-03-27,17.94,17.94,17.11,17.11,230,18.4815,18.366
2020-03-30,17.11,17.39,16.84,17.39,18409,18.371,18.273
2020-03-31,17.39,17.39,17.39,17.39,185,18.2605,18.1889
2020-04-01,17.39,17.39,17.39,17.39,0,18.15,18.1128
2020-04-03,17.39,17.39,17.39,17.39,3500,18.0505,18.044
2020-04-06,17.39,19.05,17.39,19.05,1377,18.023,18.1398
2020-04-07,19.05,19.05,19.05,19.05,0,18.0095,18.2265
2020-04-08,17.67,17.67,17.67,17.67,4746,17.9405,18.1735
2020-04-09,17.67,17.67,17.67,17.67,0,17.8785,18.1255
2020-04-10,17.39,17.39,16.81,16.81,500,17.815,18.0002
2020-04-13,16.81,16.81,16.81,16.81,0,17.7595,17.8869
2020-04-14,17.53,17.67,17.53,17.67,700,17.746,17.8662
2020-04-15,17.67,17.67,17.67,17.67,0,17.7325,17.8475
2020-04-16,17.8,17.8,17.67,17.67,1301,17.719,17.8306
2020-04-17,17.94,17.94,17.94,17.94,800,17.6915,17.8411
2020-04-20,17.94,17.94,17.94,17.94,5300,17.664,17.8505
2020-04-21,17.94,17.94,17.94,17.94,1111,17.6775,17.859
2020-04-22,17.94,17.94,17.94,17.94,410,17.719,17.8667
2020-04-23,18.0,18.0,18.0,18.0,250,17.722,17.8794
2020-04-24,17.94,17.94,17.94,17.94,210,17.722,17.8852
2020-04-27,18.49,18.49,18.22,18.22,1211,17.7775,17.9171
2020-04-28,18.22,18.22,18.0,18.0,1790,17.808,17.925
2020-04-29,18.08,18.08,18.08,18.08,100,17.8425,17.9397
2020-05-04,18.08,18.08,18.08,18.08,400,17.877,17.9531
2020-05-05,18.08,18.08,18.08,18.08,30,17.9115,17.9652
2020-05-06,18.49,19.05,18.49,19.05,1700,17.9115,18.0685
2020-05-07,18.99,19.05,18.99,19.05,3000,17.9115,18.162
2020-05-08,18.49,18.49,18.49,18.49,102,17.9525,18.1932
2020-05-11,18.77,19.3,18.77,19.3,3270,18.034,18.2986
2020-05-12,19.07,19.18,19.07,19.18,210,18.1525,18.3826
2020-05-13,19.05,19.18,18.96,19.18,3100,18.271,18.4585
2020-05-14,19.18,19.96,19.18,19.96,2311,18.3855,18.6015
2020-05-15,19.96,20.57,19.96,20.57,5610,18.5305,18.789
2020-05-18,20.57,20.57,20.57,20.57,515,18.6755,18.9586
2020-05-19,21.23,21.23,20.57,20.7,1841,18.8135,19.1244
2020-05-20,20.7,20.7,20.7,20.7,2000,18.9515,19.2745
2020-05-21,20.76,22.77,20.76,22.75,63896,19.192,19.6055
2020-05-22,23.05,25.01,23.05,23.55,20630,19.4725,19.9812
2020-05-25,23.74,23.88,22.91,22.91,15810,19.718,20.2601
2020-05-26,22.91,22.91,22.64,22.77,13012,19.9595,20.4991
2020-05-27,21.95,22.69,21.95,22.36,11120,20.1665,20.6764
2020-05-28,22.5,22.5,22.36,22.36,4620,20.3845,20.8367
2020-05-29,22.36,23.46,22.36,23.05,5047,20.633,21.0475
2020-06-01,23.46,23.68,22.77,23.3,15650,20.894,21.262
2020-06-02,22.91,23.05,22.88,22.91,21300,21.1355,21.419
2020-06-03,23.51,23.51,21.61,22.31,6080,21.2985,21.5038
2020-06-04,22.31,22.31,21.92,21.95,4440,21.4435,21.5463
2020-06-05,21.7,21.7,20.8,21.4,10190,21.589,21.5324
2020-06-08,21.4,21.4,20.5,20.83,13260,21.6655,21.4655
2020-06-09,21.1,21.1,20.86,21.07,2854,21.76,21.4278
2020-06-10,21.07,21.07,20.2,20.2,18875,21.811,21.3109
2020-06-11,20.5,20.5,19.87,19.87,13830,21.8065,21.1737
2020-06-12,19.65,19.65,19.65,19.65,3675,21.7605,21.0286
2020-06-15,19.65,20.2,19.65,20.2,2042,21.742,20.9496
2020-06-16,20.2,20.2,20.17,20.17,752,21.7155,20.8754
2020-06-17,20.2,20.2,19.9,20.17,6375,21.689,20.8082
2020-06-18,19.84,20.5,19.84,20.5,12200,21.5765,20.7789
2020-06-19,20.65,20.65,20.5,20.65,3300,21.4315,20.7666
2020-06-22,20.65,20.71,20.35,20.65,4930,21.3185,20.7555
2020-06-23,21.1,21.1,20.5,20.5,1100,21.205,20.7312
2020-06-24,20.5,20.5,20.5,20.5,300,21.112,20.7091
2020-06-25,20.41,20.5,20.29,20.5,1312,21.019,20.6892
2020-06-26,20.5,20.5,20.5,20.5,60,20.8915,20.6712
2020-06-29,19.9,19.9,19.59,19.9,3950,20.7215,20.5978
2020-06-30,19.87,20.35,19.87,20.35,11550,20.5935,20.5742
2020-07-01,20.5,20.65,20.5,20.5,6500,20.503,20.5671
2020-07-02,20.47,20.5,20.47,20.5,760,20.4305,20.5607
2020-07-03,20.5,21.4,20.5,21.4,1100,20.4305,20.6406
2020-07-06,20.95,21.4,20.5,21.4,4459,20.459,20.713
2020-07-07,21.4,21.4,20.8,21.4,3200,20.4755,20.7784
2020-07-08,21.1,21.7,21.1,21.4,5220,20.5355,20.8376
2020-07-09,21.4,21.7,21.4,21.7,2920,20.627,20.9197
2020-07-10,21.7,21.7,21.7,21.7,10,20.7295,20.994
2020-07-13,21.7,21.86,20.95,20.95,2200,20.767,20.9898
2020-07-14,21.4,21.4,21.4,21.4,500,20.8285,21.0289
2020-07-15,21.1,21.1,21.1,21.1,200,20.875,21.0357
2020-07-16,21.1,21.1,21.1,21.1,20,20.905,21.0418
2020-07-17,21.37,21.37,21.1,21.1,2760,20.9275,21.0473
2020-07-20,21.1,21.25,21.1,21.1,10137,20.95,21.0524
2020-07-21,21.25,21.25,21.25,21.25,1500,20.9875,21.0712
2020-07-22,20.5,21.1,19.59,21.1,3048,21.0175,21.0739
2020-07-23,21.1,21.1,21.1,21.1,500,21.0475,21.0764
2020-07-24,21.1,21.1,20.5,21.1,2325,21.0775,21.0787
2020-07-27,21.07,21.1,19.9,20.2,4800,21.0925,20.995
2020-07-28,20.5,20.5,20.35,20.35,240,21.0925,20.9335
2020-07-29,20.35,21.25,20.35,21.25,240,21.13,20.9637
2020-07-30,20.5,20.83,20.5,20.83,1142,21.1465,20.951
2020-07-31,20.86,20.86,20.83,20.83,4400,21.118,20.9394
2020-08-03,20.83,20.83,20.83,20.83,0,21.0895,20.929
2020-08-04,20.95,21.1,20.95,21.1,1310,21.0745,20.9453
2020-08-05,21.13,21.55,21.13,21.55,5200,21.082,21.0029
2020-08-06,21.55,21.98,21.55,21.92,2076,21.093,21.0902
2020-08-07,21.92,21.92,21.92,21.92,10,21.104,21.1693
2020-08-10,21.92,21.92,21.67,21.67,200,21.14,21.2169
2020-08-11,20.83,21.1,20.83,21.07,730,21.1235,21.203
2020-08-12,21.4,21.4,21.1,21.1,200,21.1235,21.1931
2020-08-13,21.1,21.1,21.1,21.1,0,21.1235,21.1843
2020-08-14,21.4,21.86,21.4,21.4,2390,21.1385,21.2048
2020-08-17,21.4,21.43,21.4,21.43,630,21.155,21.2263
2020-08-18,21.4,21.7,21.4,21.55,1100,21.17,21.2571
2020-08-19,21.55,21.55,21.55,21.55,420,21.1925,21.285
2020-08-20,21.55,21.55,21.55,21.55,35,21.215,21.3102
2020-08-21,21.25,21.55,21.25,21.55,550,21.2375,21.3331
2020-08-24,21.67,21.86,21.67,21.86,3750,21.3205,21.3833
2020-08-25,22.01,22.01,21.4,21.7,1331,21.388,21.4134
2020-08-26,21.7,21.7,21.7,21.7,10,21.4105,21.4407
2020-08-27,21.7,22.01,21.55,22.01,2331,21.4695,21.4949
2020-08-28,22.01,22.13,22.01,22.13,3500,21.5345,21.5554
2020-08-31,21.92,22.16,21.92,22.16,3450,21.601,21.613
2020-09-01,22.31,22.31,22.31,22.31,3179,21.6615,21.6794
2020-09-03,22.31,22.46,22.31,22.31,4045,21.6995,21.7394
2020-09-04,22.46,22.61,22.31,22.61,6150,21.734,21.8223
2020-09-07,22.61,22.61,22.61,22.61,400,21.7685,21.8974
2020-09-08,22.04,22.04,22.04,22.04,100,21.787,21.9109
2020-09-09,22.04,22.04,22.04,22.04,215,21.8355,21.9232
2020-09-10,22.04,22.04,22.04,22.04,11608,21.8825,21.9344
2020-09-11,22.07,22.07,22.07,22.07,100,21.931,21.9473
2020-09-14,22.07,22.07,22.07,22.07,0,21.9645,21.959
2020-09-15,22.31,22.31,22.07,22.16,2592,22.001,21.9781
2020-09-16,22.16,22.16,22.16,22.16,0,22.0315,21.9954
2020-09-17,22.16,22.58,22.16,22.58,8000,22.083,22.0511
2020-09-18,22.58,22.61,22.58,22.61,502,22.136,22.1043
2020-09-21,22.58,22.61,22.58,22.58,1405,22.1875,22.1496
2020-09-22,22.58,22.61,22.58,22.61,3900,22.225,22.1935
2020-09-23,22.91,22.91,22.61,22.61,500,22.2705,22.2331
2020-09-24,22.61,22.76,22.61,22.61,12500,22.316,22.269
2020-09-25,22.91,22.91,22.67,22.67,3138,22.349,22.3072
2020-09-28,22.7,22.91,22.67,22.91,8700,22.388,22.3646
2020-09-29,22.91,23.57,22.91,23.57,6000,22.4585,22.4794
2020-09-30,23.15,23.15,23.15,23.15,2205,22.5005,22.5433
2020-10-01,23.21,23.63,23.21,23.51,4150,22.5605,22.6354
2020-10-02,23.66,25.02,23.66,25.02,12260,22.681,22.8625
2020-10-05,25.05,25.08,25.02,25.02,2800,22.8015,23.0679
2020-10-06,25.02,25.23,25.02,25.23,13200,22.961,23.2739
2020-10-07,22.73,23.51,22.73,23.51,200,23.0345,23.2963
2020-10-08,23.51,23.51,23.51,23.51,0,23.108,23.3167
2020-10-09,22.04,25.29,22.04,25.02,300,23.2555,23.4789
2020-10-12,22.52,23.24,22.52,23.24,200,23.314,23.4562
2020-10-13,24.42,24.42,23.81,24.12,700,23.412,23.5194
2020-10-14,23.81,23.81,23.81,23.81,1200,23.4945,23.5471
2020-10-15,21.43,23.81,21.43,23.81,600,23.556,23.5721
2020-10-16,24.9,24.9,24.9,24.9,100,23.6705,23.6986
2020-10-19,23.36,24.9,23.36,24.84,7400,23.7835,23.8073
2020-10-20,24.84,24.87,24.42,24.42,14400,23.874,23.8656
2020-10-21,24.42,24.42,23.21,23.24,8100,23.9055,23.806
2020-10-22,24.57,24.57,24.57,24.57,5000,24.0035,23.8788
2020-10-23,24.87,24.87,24.57,24.57,2100,24.0985,23.9446
2020-10-26,24.87,25.02,24.72,24.72,2300,24.189,24.0185
2020-10-27,22.64,24.57,22.64,24.57,400,24.239,24.071
2020-10-28,24.6,24.6,24.57,24.57,5300,24.31,24.1185
2020-10-29,24.42,24.42,24.42,24.42,500,24.3555,24.1472
2020-10-30,24.09,25.02,24.09,24.72,7400,24.3405,24.2018
2020-11-02,24.72,24.87,24.72,24.78,400,24.3285,24.2569
2020-11-03,25.02,25.02,25.02,25.02,2300,24.318,24.3295
2020-11-04,25.17,25.17,24.75,24.75,400,24.38,24.3696
2020-11-05,24.75,24.75,24.72,24.72,2100,24.4405,24.403
2020-11-06,24.72,24.72,23.21,23.21,1700,24.35,24.2893
2020-11-09,23.81,23.81,23.81,23.81,500,24.3785,24.2437
2020-11-10,24.12,25.02,24.12,25.02,400,24.4235,24.3176
2020-11-11,22.94,25.32,22.94,25.32,7300,24.499,24.4131
2020-11-12,25.32,25.62,25.32,25.62,14100,24.5895,24.528
2020-11-13,25.62,25.93,25.32,25.32,1600,24.6105,24.6035
2020-11-16,25.29,25.29,25.29,25.29,200,24.633,24.6688
2020-11-17,25.29,25.29,25.29,25.29,0,24.6765,24.728
2020-11-18,25.29,25.29,25.29,25.29,0,24.779,24.7815
2020-11-19,23.85,23.85,23.85,23.85,100,24.743,24.6928
2020-11-20,23.85,23.85,23.85,23.85,0,24.707,24.6125
2020-11-23,24.12,24.72,24.12,24.72,1400,24.707,24.6228
2020-11-24,24.72,24.72,24.72,24.72,1100,24.7145,24.632
2020-11-25,24.72,24.72,24.72,24.72,1600,24.722,24.6404
2020-11-26,24.72,25.02,24.72,24.75,9200,24.7385,24.6508
2020-11-27,25.02,25.02,25.02,25.02,3700,24.7535,24.686
2020-11-30,25.02,25.02,25.02,25.02,2000,24.7655,24.7178
2020-12-01,25.02,25.02,25.02,25.02,0,24.7655,24.7466
2020-12-02,24.57,24.57,24.57,24.57,100,24.7565,24.7298
2020-12-03,24.57,24.57,24.57,24.57,100,24.749,24.7146
2020-12-04,24.72,24.72,24.57,24.6,2600,24.8185,24.7036
2020-12-07,24.66,24.72,24.6,24.72,2300,24.864,24.7052
2020-12-08,24.99,24.99,24.72,24.72,2200,24.849,24.7066
2020-12-09,24.99,24.99,24.72,24.87,5400,24.8265,24.7222
2020-12-10,24.99,24.99,24.99,24.99,100,24.795,24.7477
2020-12-11,24.87,25.02,24.87,25.02,1263,24.78,24.7736
2020-12-14,25.08,25.47,25.08,25.47,2800,24.789,24.8399
2020-12-15,25.5,25.93,25.5,25.93,3700,24.821,24.9438
2020-12-16,25.65,25.71,25.62,25.62,1345,24.8375,25.0082
2020-12-17,25.62,25.62,25.62,25.62,200,24.926,25.0664
2020-12-18,25.62,25.62,25.62,25.62,50,25.0145,25.1192
2020-12-21,25.93,25.93,25.93,25.93,110,25.075,25.1964
2020-12-22,24.72,24.72,24.72,24.72,103,25.075,25.151
2020-12-23,25.02,25.02,25.02,25.02,150,25.09,25.1385
2020-12-24,25.62,25.93,25.62,25.93,6100,25.149,25.2139
2020-12-25,25.93,25.93,25.93,25.93,0,25.1945,25.2821
2020-12-28,23.33,25.38,23.33,25.38,536,25.2125,25.2914
2020-12-29,25.38,25.38,25.38,25.38,115,25.2305,25.2999
2020-12-30,25.77,26.2,25.77,26.17,10788,25.3105,25.3827
2020-12-31,23.57,26.17,23.57,26.17,790,25.3905,25.4577
2021-01-04,26.17,26.23,26.17,26.17,1425,25.469,25.5255
2021-01-05,26.23,26.23,26.23,26.23,330,25.5445,25.5926
2021-01-06,23.6,26.23,23.6,26.23,910,25.62,25.6533
2021-01-07,26.38,26.38,26.23,26.38,1000,25.6955,25.7225
2021-01-08,26.08,27.13,25.93,27.13,8400,25.8025,25.8566
2021-01-11,26.53,26.68,26.53,26.68,300,25.8855,25.935
2021-01-12,26.68,26.68,26.68,26.68,2800,25.946,26.006
2021-01-13,26.68,26.68,26.53,26.53,4701,25.976,26.0559
2021-01-14,26.53,26.53,25.32,25.32,12840,25.961,25.9858
2021-01-15,26.53,26.83,26.53,26.83,20000,26.0215,26.0662
2021-01-18,26.56,26.86,26.56,26.86,5885,26.0835,26.1418
2021-01-19,26.89,27.13,26.62,27.13,18805,26.1435,26.2359
2021-01-20,27.13,27.85,27.13,27.85,3601,26.3,26.3896
2021-01-21,26.98,28.04,26.98,28.04,1939,26.451,26.5468
2021-01-22,29.54,29.54,29.54,29.54,2033,26.6315,26.8319
2021-01-25,29.54,32.5,29.54,31.05,2250,26.8875,27.2336
2021-01-26,31.35,32.53,31.35,31.65,1223,27.201,27.6542
2021-01-27,30.45,30.45,29.81,29.81,300,27.4225,27.8595
2021-01-28,27.13,28.34,26.86,28.34,3810,27.531,27.9053
2021-01-29,29.81,29.81,29.81,29.81,130,27.713,28.0867
2021-02-01,29.84,30.75,29.84,29.84,1500,27.8965,28.2537
2021-02-02,30.15,30.15,29.84,29.84,1180,28.077,28.4047
2021-02-03,29.75,29.87,29.75,29.87,600,28.259,28.5443
2021-02-04,28.46,28.46,28.46,28.46,100,28.363,28.5363
2021-02-05,28.49,29.84,28.49,29.84,400,28.4985,28.6604
2021-02-08,29.81,30.15,29.81,30.15,2110,28.672,28.8023
2021-02-09,29.87,30.15,29.87,30.02,310,28.839,28.9183
2021-02-17,29.0,30.02,29.0,30.02,1360,29.0135,29.0232
2021-02-18,29.99,30.45,29.99,30.42,4035,29.2685,29.1562
2021-02-19,30.72,31.35,30.72,31.35,1510,29.4945,29.3652
2021-02-22,31.65,32.56,31.65,31.65,1240,29.734,29.5828
2021-02-23,31.95,33.07,31.95,33.07,2700,30.031,29.9149
2021-02-24,32.56,32.71,32.56,32.71,1659,30.274,30.1811
2021-02-25,32.68,33.43,32.68,33.16,2631,30.53,30.4648
2021-02-26,34.06,34.06,33.76,33.76,1700,30.741,30.7786
2021-03-01,33.76,34.67,33.76,33.82,608,30.8795,31.0683
2021-03-02,33.82,34.67,33.76,34.67,1700,31.0305,31.4113
2021-03-03,34.37,34.37,34.37,34.37,1015,31.2585,31.6931
2021-03-04,34.46,34.67,34.43,34.67,1200,31.575,31.9766
2021-03-05,34.37,34.43,34.37,34.43,420,31.806,32.2102
2021-03-08,35.24,37.23,35.24,36.17,1050,32.1225,32.5874
2021-03-09,37.32,39.79,37.32,39.79,28078,32.62,33.2733
2021-03-10,41.6,43.77,41.6,43.77,35395,33.315,34.273
2021-03-11,44.62,48.14,44.62,44.62,24949,34.123,35.2584
2021-03-12,44.62,44.62,41.3,42.17,17500,34.7395,35.9167
2021-03-15,42.81,43.38,41.45,42.17,15585,35.3405,36.5122
2021-03-16,42.2,42.51,41.6,42.2,6801,35.9495,37.0539
2021-03-17,42.51,42.51,42.14,42.35,8530,36.566,37.5583
2021-03-18,41.78,42.2,41.69,42.02,10600,37.146,37.9832
2021-03-19,42.2,42.2,41.66,41.66,6010,37.6615,38.3334
2021-03-22,41.69,43.41,41.69,42.99,10131,38.2285,38.7769
2021-03-23,42.99,43.29,42.81,43.11,12200,38.7305,39.1896
2021-03-24,43.53,43.53,42.87,43.11,18942,39.2505,39.5629
2021-03-25,43.11,43.26,42.81,43.26,14910,39.7555,39.915
2021-03-26,45.33,45.33,43.06,43.86,6950,40.2605,40.2908
2021-03-29,42.81,43.26,42.49,42.78,6300,40.7085,40.5278
2021-03-30,41.63,42.23,41.18,41.21,8605,41.0355,40.5928
2021-03-31,41.21,41.21,37.99,41.18,7200,41.376,40.6487
2021-04-01,38.95,40.86,38.95,40.7,3631,41.6775,40.6536
2021-04-02,40.38,41.5,39.59,40.73,3500,41.9925,40.6609
2021-04-05,40.22,40.7,40.06,40.22,3508,42.195,40.6189
2021-04-06,40.22,40.22,40.03,40.03,1900,42.207,40.5628
2021-04-07,40.03,40.22,39.27,39.71,1681,42.004,40.4816
2021-04-08,39.74,39.74,39.74,39.74,1710,41.76,40.411
2021-04-09,39.78,40.86,39.74,39.74,12711,41.6385,40.3471
2021-04-12,39.74,39.9,39.68,39.71,2000,41.5155,40.2864
2021-04-13,39.71,39.71,38.63,38.63,2000,41.337,40.1286
2021-04-14,38.63,39.9,38.24,38.28,5065,41.1335,39.9526
2021-04-15,38.31,38.37,38.31,38.37,1112,40.951,39.8019
2021-04-16,38.31,38.31,37.7,38.31,1900,40.7835,39.6598
2021-04-19,38.31,38.31,37.35,37.67,4907,40.5175,39.4703
2021-04-20,38.31,38.31,37.73,37.73,1600,40.2485,39.3045
2021-04-22,37.73,37.73,37.35,37.35,4410,39.9605,39.1184
2021-04-23,37.51,37.51,35.91,36.07,2001,39.601,38.8281
2021-04-26,36.07,37.32,36.07,36.39,3200,39.2275,38.5959
2021-04-27,36.39,36.39,36.07,36.39,2300,38.908,38.3858
2021-04-28,36.39,37.35,36.07,37.35,1320,38.715,38.2871
2021-04-29,36.71,36.71,36.71,36.71,1000,38.4915,38.1369
2021-05-04,36.74,36.74,36.39,36.39,3800,38.276,37.9706
2021-05-05,32.75,37.35,32.75,37.32,2747,38.1055,37.9086
2021-05-06,36.71,37.03,36.71,37.03,3108,37.946,37.8249
2021-05-07,36.71,36.87,36.71,36.71,2200,37.78,37.7187
2021-05-10,33.04,37.67,33.04,35.28,5600,37.5585,37.4865
2021-05-11,35.44,35.44,35.44,35.44,265,37.3435,37.2916
2021-05-12,35.75,35.88,35.75,35.88,500,37.1505,37.1571
2021-05-13,36.07,36.71,36.07,36.71,1133,37.0005,37.1146
2021-05-14,36.71,36.71,36.11,36.71,6400,36.9045,37.076
2021-05-17,36.71,36.71,36.42,36.71,4223,36.826,37.0412
2021-05-18,36.71,36.71,36.71,36.71,2100,36.743,37.0096
2021-05-19,33.23,36.71,33.23,36.71,2303,36.663,36.9811
2021-05-20,36.71,36.71,36.39,36.71,10300,36.615,36.9553
2021-05-21,36.71,37.03,36.71,37.03,18510,36.58,36.9624
2021-05-24,36.71,38.31,36.71,38.28,413,36.6265,37.0879
2021-05-25,37.99,38.31,37.99,37.99,700,36.7225,37.1738
2021-05-26,37.99,37.99,37.51,37.67,1310,36.7865,37.2211
2021-05-27,33.9,36.71,33.9,36.71,2400,36.8025,37.1724
2021-05-28,36.71,36.71,36.55,36.55,2032,36.7625,37.1131
2021-05-31,36.55,36.58,36.23,36.23,4300,36.7385,37.029
2021-06-01,36.39,36.39,36.14,36.27,3700,36.7325,36.9567
2021-06-02,36.27,36.27,36.27,36.27,100,36.68,36.8913
2021-06-03,36.27,36.27,36.07,36.11,1010,36.634,36.8169
2021-06-04,36.11,38.31,36.11,38.31,9080,36.714,36.9591
2021-06-07,38.63,39.27,38.44,38.47,4154,36.8735,37.103
2021-06-08,38.31,38.31,37.99,37.99,4300,37.001,37.1875
2021-06-09,36.71,38.31,36.71,38.31,700,37.1225,37.2944
2021-06-10,37.35,37.38,37.35,37.35,1302,37.1545,37.2997
2021-06-11,37.51,37.51,37.03,37.35,500,37.1865,37.3045
2021-06-14,36.78,36.78,36.78,36.78,100,37.19,37.2545
2021-06-15,36.81,36.9,36.55,36.55,4400,37.182,37.1874
2021-06-16,37.25,37.25,35.31,36.11,900,37.152,37.0848
2021-06-17,36.39,37.57,36.39,37.57,337,37.195,37.131
2021-06-18,37.61,37.61,37.61,37.61,100,37.224,37.1766
2021-06-21,37.03,37.03,37.03,37.03,443,37.1615,37.1627
2021-06-22,36.71,37.03,36.71,37.03,800,37.1135,37.15
2021-06-23,37.03,37.03,37.03,37.03,1601,37.0815,37.1386
2021-06-24,36.71,36.74,36.71,36.71,1213,37.0815,37.0978
2021-06-25,36.71,36.87,36.55,36.87,1402,37.0975,37.0761
2021-06-28,36.87,37.19,36.87,37.19,300,37.1455,37.0869
2021-06-29,36.71,37.13,36.71,37.13,1930,37.1885,37.091
2021-06-30,37.19,37.67,37.13,37.67,1600,37.2585,37.1462
2021-07-01,37.51,38.31,37.51,38.31,1131,37.3685,37.257
2021-07-02,38.31,39.27,38.15,39.27,10200,37.4165,37.4487
2021-07-05,38.53,38.53,38.31,38.47,800,37.4165,37.546
2021-07-06,38.31,38.31,38.02,38.02,710,37.418,37.5911
2021-07-07,37.03,39.27,37.03,39.27,6510,37.466,37.751
2021-07-08,39.3,39.43,35.34,39.43,2740,37.57,37.9109
2021-07-09,39.43,39.43,39.43,39.43,57,37.674,38.0556
2021-07-12,38.31,38.31,37.99,38.31,8300,37.7505,38.0798
