time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,2.41,2.49,2.33,2.33,60600,,
2020-01-03,2.41,2.49,2.41,2.49,55500,,
2020-01-06,2.41,2.49,2.33,2.41,42300,,
2020-01-07,2.41,2.41,2.33,2.41,91500,,
2020-01-08,2.41,2.41,2.33,2.33,76700,,
2020-01-09,2.33,2.41,2.33,2.41,93000,,
2020-01-10,2.41,2.41,2.25,2.33,24200,,
2020-01-13,2.33,2.33,2.25,2.33,56500,,
2020-01-14,2.33,2.33,2.25,2.25,45100,,
2020-01-15,2.33,2.33,2.17,2.17,245800,,
2020-01-16,2.17,2.25,2.1,2.17,42600,,
2020-01-17,2.25,2.33,2.17,2.33,72400,,
2020-01-20,2.25,2.33,2.25,2.25,23900,,
2020-01-21,2.25,2.41,2.25,2.41,158100,,
2020-01-22,2.33,2.41,2.25,2.41,4900,,
2020-01-30,2.41,2.41,2.33,2.33,68000,,
2020-01-31,2.33,2.41,2.25,2.25,76000,,
2020-02-03,2.25,2.33,2.17,2.25,34200,,
2020-02-04,2.25,2.33,2.25,2.33,8100,,
2020-02-05,2.33,2.33,2.25,2.33,13900,2.326,2.3161
2020-02-06,2.33,2.33,2.25,2.33,66400,2.326,2.3175
2020-02-07,2.25,2.33,2.25,2.33,33000,2.318,2.3186
2020-02-10,2.33,2.49,2.33,2.41,97100,2.318,2.3273
2020-02-11,2.41,2.64,2.41,2.49,279900,2.322,2.3428
2020-02-12,2.49,2.49,2.49,2.49,200,2.33,2.3569
2020-02-13,2.56,2.72,2.33,2.41,57600,2.33,2.3619
2020-02-14,2.41,2.56,2.41,2.49,90100,2.338,2.3741
2020-02-17,2.49,2.49,2.41,2.49,2700,2.346,2.3851
2020-02-18,2.41,2.49,2.41,2.49,41000,2.358,2.3951
2020-02-19,2.49,2.49,2.49,2.49,65100,2.374,2.4042
2020-02-20,2.49,2.49,2.41,2.49,500,2.39,2.4123
2020-02-21,2.49,2.56,2.41,2.56,38700,2.4015,2.4264
2020-02-24,2.49,2.56,2.41,2.56,298600,2.417,2.4391
2020-02-25,2.49,2.49,2.41,2.49,21400,2.421,2.444
2020-02-26,2.41,2.41,2.41,2.41,6800,2.421,2.4407
2020-02-27,2.41,2.41,2.33,2.41,2800,2.425,2.4378
2020-02-28,2.41,2.41,2.33,2.41,24700,2.433,2.4352
2020-03-02,2.33,2.41,2.33,2.41,5800,2.441,2.4328
2020-03-03,2.33,2.49,2.33,2.49,46000,2.449,2.4382
2020-03-04,2.41,2.49,2.41,2.49,40100,2.457,2.4431
2020-03-05,2.49,2.49,2.41,2.49,600,2.465,2.4476
2020-03-06,2.41,2.41,2.33,2.41,156000,2.469,2.444
2020-03-09,2.41,2.41,2.17,2.25,77200,2.461,2.4255
2020-03-10,2.33,2.41,2.25,2.33,70800,2.453,2.4164
2020-03-11,2.33,2.33,2.25,2.25,107700,2.441,2.4006
2020-03-12,2.25,2.33,2.17,2.33,242900,2.437,2.3939
2020-03-13,2.25,2.33,2.17,2.33,132600,2.429,2.3878
2020-03-16,2.33,2.33,2.33,2.33,5100,2.421,2.3823
2020-03-17,2.25,2.25,2.17,2.17,20400,2.405,2.3621
2020-03-18,2.33,2.33,2.33,2.33,55800,2.397,2.359
2020-03-19,2.33,2.41,2.33,2.33,6700,2.389,2.3563
2020-03-20,2.33,2.33,2.25,2.25,14800,2.3735,2.3461
2020-03-23,2.25,2.25,2.1,2.17,73800,2.354,2.3294
2020-03-24,2.17,2.33,2.17,2.33,9600,2.346,2.3294
2020-03-25,2.25,2.33,2.1,2.33,176700,2.342,2.3295
2020-03-26,2.25,2.25,2.17,2.17,11800,2.33,2.3143
2020-03-27,2.33,2.33,2.1,2.17,9100,2.318,2.3005
2020-03-30,2.17,2.17,2.02,2.02,58400,2.2985,2.2738
2020-03-31,2.02,2.1,1.94,2.1,148200,2.279,2.2573
2020-04-01,2.17,2.17,2.17,2.17,16700,2.263,2.249
2020-04-03,2.17,2.25,2.17,2.17,9100,2.247,2.2414
2020-04-06,2.17,2.17,2.17,2.17,16300,2.235,2.2346
2020-04-07,2.17,2.25,2.17,2.17,31600,2.231,2.2285
2020-04-08,2.25,2.25,2.17,2.25,32500,2.227,2.2305
2020-04-09,2.25,2.25,2.25,2.25,29500,2.227,2.2324
2020-04-10,2.25,2.25,2.25,2.25,14500,2.223,2.2341
2020-04-13,2.25,2.33,2.17,2.33,7100,2.223,2.2432
2020-04-14,2.25,2.33,2.25,2.33,5500,2.223,2.2515
2020-04-15,2.25,2.33,2.25,2.33,48000,2.231,2.2589
2020-04-16,2.25,2.33,2.25,2.33,85600,2.231,2.2657
2020-04-17,2.25,2.25,2.25,2.25,1300,2.227,2.2642
2020-04-20,2.25,2.25,2.25,2.25,11900,2.227,2.2629
2020-04-21,2.25,2.33,2.25,2.25,38700,2.231,2.2616
2020-04-22,2.25,2.25,2.25,2.25,24000,2.227,2.2605
2020-04-23,2.25,2.33,2.25,2.33,34100,2.227,2.2671
2020-04-24,2.33,2.33,2.25,2.25,1600,2.231,2.2655
2020-04-27,2.33,2.33,2.33,2.33,1700,2.239,2.2717
2020-04-28,2.25,2.33,2.25,2.33,6500,2.2545,2.2772
2020-04-29,2.25,2.25,2.25,2.25,3600,2.262,2.2746
2020-05-04,2.25,2.33,2.25,2.33,66800,2.27,2.2799
2020-05-05,2.33,2.33,2.25,2.33,8700,2.278,2.2847
2020-05-06,2.25,2.25,2.25,2.25,4100,2.282,2.2814
2020-05-07,2.33,2.41,2.33,2.33,42200,2.29,2.286
2020-05-08,2.33,2.33,2.25,2.33,8100,2.294,2.2902
2020-05-11,2.33,2.41,2.33,2.33,40600,2.298,2.294
2020-05-12,2.33,2.41,2.33,2.41,39200,2.306,2.305
2020-05-13,2.41,2.49,2.25,2.49,31900,2.314,2.3226
2020-05-14,2.41,2.41,2.33,2.41,23700,2.318,2.331
2020-05-15,2.41,2.49,2.41,2.49,112300,2.326,2.3461
2020-05-18,2.56,2.56,2.41,2.49,17600,2.334,2.3598
2020-05-19,2.49,2.49,2.49,2.49,12300,2.346,2.3722
2020-05-20,2.41,2.41,2.41,2.41,48600,2.354,2.3758
2020-05-21,2.49,2.56,2.49,2.56,31200,2.3695,2.3934
2020-05-22,2.49,2.72,2.49,2.56,68300,2.385,2.4092
2020-05-25,2.56,2.56,2.49,2.56,63400,2.3965,2.4236
2020-05-26,2.56,2.56,2.49,2.56,53300,2.412,2.4366
2020-05-27,2.49,2.56,2.49,2.56,31900,2.4235,2.4483
2020-05-28,2.49,2.56,2.49,2.56,11900,2.435,2.459
2020-05-29,2.56,2.64,2.56,2.56,91900,2.4505,2.4686
2020-06-01,2.56,2.8,2.56,2.8,142900,2.474,2.5002
2020-06-02,2.8,2.87,2.72,2.72,61000,2.4935,2.5211
