time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,4.36,4.4,4.32,4.36,61600,,
2020-01-03,4.4,4.48,4.32,4.32,71100,,
2020-01-06,4.32,4.36,4.19,4.27,59516,,
2020-01-07,4.27,4.32,4.23,4.32,48400,,
2020-01-08,4.27,4.27,4.07,4.11,125830,,
2020-01-09,4.15,4.4,4.15,4.36,86600,,
2020-01-10,4.36,4.36,4.23,4.23,62300,,
2020-01-13,4.23,4.27,4.15,4.15,19900,,
2020-01-14,4.15,4.27,4.11,4.11,32800,,
2020-01-15,4.11,4.15,4.07,4.11,34800,,
2020-01-16,4.11,4.27,4.07,4.11,80210,,
2020-01-17,4.11,4.19,4.11,4.11,39600,,
2020-01-20,4.11,4.15,4.07,4.07,62500,,
2020-01-21,4.07,4.15,4.03,4.11,87190,,
2020-01-22,4.11,4.19,4.03,4.19,86800,,
2020-01-30,4.19,4.19,4.03,4.07,42441,,
2020-01-31,4.07,4.07,3.95,4.07,127300,,
2020-02-03,4.07,4.15,3.66,3.75,101800,,
2020-02-04,3.79,3.95,3.7,3.79,81205,,
2020-02-05,3.87,3.95,3.79,3.91,30734,4.126,4.0902
2020-02-06,3.95,4.07,3.95,4.03,57502,4.1095,4.0845
2020-02-07,4.07,4.07,3.95,4.03,26900,4.095,4.0793
2020-02-10,4.03,4.03,3.99,3.99,19400,4.081,4.0708
2020-02-11,3.91,4.03,3.91,4.03,39600,4.0665,4.0669
2020-02-12,3.95,4.11,3.95,4.11,41300,4.0665,4.071
2020-02-13,4.07,4.15,4.03,4.07,51500,4.052,4.0709
2020-02-14,4.11,4.11,3.99,4.07,19300,4.044,4.0708
2020-02-17,4.07,4.11,3.95,3.99,47300,4.036,4.0631
2020-02-18,4.11,4.11,3.95,4.03,34950,4.032,4.06
2020-02-19,3.99,4.4,3.95,4.4,164200,4.0465,4.0924
2020-02-20,4.44,4.8,4.44,4.64,106410,4.073,4.1445
2020-02-21,4.68,4.76,4.44,4.48,73390,4.0915,4.1765
2020-02-24,4.44,4.44,4.07,4.23,138900,4.0995,4.1816
2020-02-25,4.19,4.48,4.15,4.48,75428,4.118,4.21
2020-02-26,4.44,4.48,4.19,4.4,53900,4.1285,4.2281
2020-02-27,4.4,4.8,4.36,4.8,244770,4.165,4.2826
2020-02-28,4.89,5.21,4.72,5.05,241594,4.214,4.3556
2020-03-02,5.13,5.13,4.93,5.09,83500,4.281,4.4256
2020-03-03,5.09,5.21,4.93,5.21,141108,4.352,4.5003
2020-03-04,5.13,5.17,5.01,5.05,144820,4.409,4.5526
2020-03-05,5.05,5.33,5.01,5.21,73640,4.468,4.6152
2020-03-06,5.09,5.09,5.01,5.09,56210,4.521,4.6605
2020-03-09,4.89,4.89,4.6,4.6,117400,4.5515,4.6547
2020-03-10,4.19,4.6,4.15,4.4,167000,4.57,4.6304
2020-03-11,4.52,4.6,4.27,4.44,142120,4.5865,4.6123
2020-03-12,4.27,4.4,4.03,4.07,269365,4.5865,4.5607
2020-03-13,4.07,4.07,3.66,3.83,184775,4.5745,4.4911
2020-03-16,3.95,3.99,3.83,3.91,67000,4.5705,4.4357
2020-03-17,3.83,4.19,3.79,4.19,30558,4.5785,4.4123
2020-03-18,4.07,4.27,4.07,4.19,47035,4.568,4.3912
2020-03-19,4.07,4.07,3.79,4.07,47800,4.5395,4.3606
2020-03-20,4.07,4.11,3.99,4.07,55100,4.519,4.3329
2020-03-23,3.99,3.99,3.66,3.66,132811,4.4905,4.2688
2020-03-24,3.7,3.83,3.7,3.79,47010,4.456,4.2232
2020-03-25,3.87,4.11,3.79,4.03,96300,4.4375,4.2048
2020-03-26,3.99,4.03,3.83,3.83,52000,4.389,4.1691
2020-03-27,3.87,3.91,3.79,3.83,74300,4.328,4.1368
2020-03-30,3.79,3.87,3.75,3.79,50900,4.263,4.1038
2020-03-31,3.91,3.91,3.79,3.87,60640,4.196,4.0815
2020-04-01,3.87,3.99,3.87,3.99,30518,4.143,4.0728
2020-04-03,3.99,4.11,3.99,4.11,26963,4.088,4.0763
2020-04-06,4.11,4.23,4.07,4.23,64750,4.045,4.091
2020-04-07,4.27,4.32,4.07,4.23,57100,4.0265,4.1042
2020-04-08,4.15,4.15,4.07,4.11,106800,4.012,4.1048
2020-04-09,4.11,4.27,4.07,4.19,66120,3.9995,4.1129
2020-04-10,4.23,4.23,4.15,4.19,32681,4.0055,4.1202
2020-04-13,4.19,4.32,4.15,4.27,79100,4.0275,4.1345
2020-04-14,4.32,4.32,4.15,4.32,20781,4.048,4.1522
2020-04-15,4.32,4.4,4.23,4.27,56911,4.052,4.1634
2020-04-16,4.27,4.32,4.23,4.32,41340,4.0585,4.1783
2020-04-17,4.32,4.72,4.32,4.72,218818,4.091,4.2299
2020-04-20,4.97,5.13,4.89,4.93,136382,4.134,4.2966
2020-04-21,4.84,4.84,4.52,4.6,98740,4.181,4.3255
2020-04-22,4.56,4.68,4.48,4.68,76300,4.2255,4.3592
2020-04-23,4.8,5.05,4.76,4.84,107490,4.266,4.405
2020-04-24,4.8,4.93,4.76,4.93,106700,4.321,4.455
2020-04-27,4.97,5.17,4.93,5.17,168860,4.388,4.5231
2020-04-28,5.17,5.17,5.01,5.09,70338,4.453,4.5771
2020-04-29,4.97,4.97,4.6,4.6,364125,4.4895,4.5793
2020-05-04,4.23,4.68,4.15,4.56,85204,4.518,4.5774
2020-05-05,4.56,4.76,4.56,4.68,40830,4.5465,4.5872
2020-05-06,4.68,4.8,4.64,4.8,157815,4.575,4.6075
2020-05-07,4.8,5.05,4.8,5.01,221507,4.614,4.6458
2020-05-08,5.01,5.09,4.93,5.01,103840,4.659,4.6805
2020-05-11,5.01,5.01,4.84,4.89,53000,4.694,4.7005
2020-05-12,4.89,4.97,4.8,4.93,58163,4.731,4.7223
2020-05-13,4.93,4.97,4.89,4.89,50151,4.762,4.7383
2020-05-14,4.89,4.93,4.84,4.89,49710,4.7905,4.7527
2020-05-15,4.89,5.01,4.8,4.84,64260,4.819,4.761
2020-05-18,4.84,5.09,4.84,5.09,139260,4.8575,4.7924
2020-05-19,5.13,5.13,4.93,5.01,135260,4.872,4.8131
2020-05-20,5.01,5.05,4.97,5.01,48395,4.876,4.8319
2020-05-21,5.01,5.05,4.97,4.97,47300,4.8945,4.845
2020-05-22,5.05,5.05,4.89,4.93,81360,4.907,4.8531
2020-05-25,4.93,5.33,4.93,5.25,191978,4.9275,4.8909
2020-05-26,5.33,5.33,5.13,5.25,51735,4.9435,4.9251
2020-05-27,5.29,5.29,5.01,5.01,41980,4.9355,4.9332
2020-05-28,4.89,5.13,4.64,5.05,176949,4.9335,4.9443
2020-05-29,5.05,5.05,4.97,5.05,37800,4.956,4.9544
2020-06-01,5.01,5.13,5.01,5.13,78630,4.9845,4.9711
2020-06-02,5.13,5.13,4.89,4.89,91366,4.995,4.9634
2020-06-03,4.89,4.93,4.8,4.89,63625,4.9995,4.9564
2020-06-04,4.93,5.13,4.93,4.93,51970,4.9955,4.9539
2020-06-05,4.93,5.09,4.93,5.09,46051,4.9995,4.9668
2020-06-08,5.05,5.13,4.97,5.05,100660,5.0075,4.9748
2020-06-09,5.05,5.05,4.97,5.05,49535,5.0135,4.9819
2020-06-10,5.01,5.09,4.93,5.09,91900,5.0235,4.9922
2020-06-11,5.05,5.09,4.76,4.76,116508,5.017,4.9701
2020-06-12,4.68,4.76,4.56,4.76,147711,5.013,4.9501
2020-06-15,4.76,4.84,4.56,4.56,73115,4.9865,4.9129
2020-06-16,4.64,4.72,4.6,4.68,23960,4.97,4.8908
2020-06-17,4.68,4.68,4.68,4.68,38802,4.9535,4.8707
2020-06-18,4.68,4.68,4.6,4.68,37900,4.939,4.8525
2020-06-19,4.72,4.76,4.72,4.76,77905,4.9305,4.8437
2020-06-22,4.76,4.8,4.76,4.76,24700,4.906,4.8357
2020-06-23,4.76,4.76,4.68,4.68,44400,4.8775,4.8209
2020-06-24,4.68,4.8,4.64,4.64,59400,4.859,4.8037
2020-06-25,4.6,4.68,4.6,4.68,10000,4.8405,4.7919
2020-06-26,4.68,4.68,4.64,4.64,7000,4.82,4.7774
2020-06-29,4.64,4.68,4.6,4.6,67000,4.7935,4.7605
2020-06-30,4.68,4.97,4.68,4.8,177100,4.789,4.7643
2020-07-01,4.8,5.01,4.8,5.01,194100,4.795,4.7877
2020-07-02,5.01,5.37,4.97,5.13,107620,4.805,4.8203
2020-07-03,5.13,5.25,5.13,5.17,161850,4.809,4.8536
2020-07-06,5.17,5.21,5.13,5.17,89241,4.815,4.8837
2020-07-07,5.21,5.33,5.17,5.21,166710,4.823,4.9148
