time,open,high,low,close,volume,SMA_20,EMA_20
2020-12-31,15.6,15.6,15.6,15.6,3000,,
2021-01-04,17.9,17.9,17.9,17.9,2000,,
2021-01-05,20.5,20.5,20.5,20.5,3000,,
2021-01-06,23.5,23.5,23.5,23.5,100,,
2021-01-07,20.0,27.0,20.0,27.0,200,,
2021-01-08,23.5,27.0,27.0,27.0,0,,
2021-01-11,23.5,27.0,27.0,27.0,0,,
2021-01-12,23.5,27.0,27.0,27.0,0,,
2021-01-13,23.5,27.0,27.0,27.0,0,,
2021-01-14,23.5,27.0,27.0,27.0,0,,
2021-01-15,23.5,27.0,27.0,27.0,0,,
2021-01-18,23.5,27.0,27.0,27.0,0,,
2021-01-19,23.5,27.0,27.0,27.0,0,,
2021-01-20,23.5,23.5,23.5,23.5,100,,
2021-01-21,23.5,23.5,23.5,23.5,0,,
2021-01-22,23.5,23.5,23.5,23.5,0,,
2021-01-25,23.5,23.5,23.5,23.5,0,,
2021-01-26,23.5,23.5,23.5,23.5,0,,
2021-01-27,21.0,21.0,21.0,21.0,100,,
2021-01-28,21.0,21.0,21.0,21.0,0,24.0,22.758
2021-01-29,21.0,21.0,21.0,21.0,0,24.27,22.5905
2021-02-01,21.0,21.0,21.0,21.0,0,24.425,22.4391
2021-02-02,21.0,21.0,21.0,21.0,0,24.45,22.302
2021-02-03,21.0,21.0,21.0,21.0,0,24.325,22.178
2021-02-04,21.0,21.0,21.0,21.0,0,24.025,22.0658
2021-02-05,21.0,21.0,21.0,21.0,0,23.725,21.9643
2021-02-08,21.0,21.0,21.0,21.0,0,23.425,21.8725
2021-02-09,21.0,21.0,21.0,21.0,0,23.125,21.7894
2021-02-17,21.0,21.0,21.0,21.0,0,22.825,21.7142
2021-02-18,21.0,21.0,21.0,21.0,0,22.525,21.6462
2021-02-19,21.0,21.0,21.0,21.0,0,22.225,21.5846
2021-02-22,21.0,21.0,21.0,21.0,0,21.925,21.529
2021-02-23,21.0,21.0,21.0,21.0,0,21.625,21.4786
2021-02-24,21.0,21.0,21.0,21.0,2,21.5,21.433
2021-02-25,21.0,21.0,21.0,21.0,12,21.375,21.3918
2021-02-26,21.0,21.0,21.0,21.0,0,21.25,21.3545
2021-03-01,21.0,21.0,21.0,21.0,1,21.125,21.3207
2021-03-02,21.0,21.0,21.0,21.0,100,21.0,21.2902
2021-03-03,21.0,21.0,21.0,21.0,0,21.0,21.2625
2021-03-04,24.1,24.1,24.1,24.1,100,21.155,21.5328
2021-03-05,24.1,24.1,24.1,24.1,0,21.31,21.7773
2021-03-08,24.1,24.1,24.1,24.1,0,21.465,21.9985
2021-03-09,24.1,24.1,24.1,24.1,0,21.62,22.1986
2021-03-10,27.5,27.5,27.5,27.5,100,21.945,22.7035
2021-03-11,27.5,27.5,27.5,27.5,0,22.27,23.1603
2021-03-12,23.4,27.5,23.4,27.5,200,22.595,23.5736
2021-03-15,25.5,27.5,27.5,27.5,0,22.92,23.9476
2021-03-16,25.5,27.5,27.5,27.5,0,23.245,24.2859
2021-03-17,25.5,25.5,25.5,27.5,30,23.57,24.592
2021-03-18,25.5,27.5,27.5,27.5,0,23.895,24.8689
2021-03-19,25.5,27.5,27.5,27.5,0,24.22,25.1195
2021-03-22,25.5,25.5,25.5,27.5,20,24.545,25.3462
2021-03-23,25.5,27.5,27.5,27.5,0,24.87,25.5514
2021-03-24,25.5,27.5,27.5,27.5,0,25.195,25.7369
2021-03-25,25.5,27.5,27.5,27.5,0,25.52,25.9049
2021-03-26,27.5,27.5,27.5,27.5,1935,25.845,26.0568
2021-03-29,24.0,24.0,24.0,24.0,2000,25.995,25.8609
2021-03-30,20.4,24.0,20.4,24.0,1100,26.145,25.6837
