time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,5.14,5.14,5.14,5.14,0,,
2020-01-03,5.91,5.91,5.91,5.91,100,,
2020-01-06,5.91,5.91,5.91,5.91,0,,
2020-01-07,5.91,5.91,5.91,5.91,0,,
2020-01-08,6.14,6.14,6.14,6.14,200,,
2020-01-09,6.14,6.14,6.14,6.14,0,,
2020-01-10,6.14,6.14,6.14,6.14,0,,
2020-01-13,6.14,6.14,5.29,5.29,200,,
2020-01-14,5.76,5.29,5.29,5.29,0,,
2020-01-15,5.76,5.29,5.29,5.29,0,,
2020-01-16,5.76,5.29,5.29,5.29,0,,
2020-01-17,5.76,5.29,5.29,5.29,0,,
2020-01-20,5.76,5.29,5.29,5.29,0,,
2020-01-21,5.76,5.29,5.29,5.29,0,,
2020-01-22,5.76,5.29,5.29,5.29,0,,
2020-01-30,5.76,5.29,5.29,5.29,0,,
2020-01-31,5.76,5.29,5.29,5.29,0,,
2020-02-03,5.76,5.29,5.29,5.29,0,,
2020-02-04,5.76,5.29,5.29,5.29,0,,
2020-02-05,5.76,5.29,5.29,5.29,0,5.503,5.36
2020-02-06,5.76,5.29,5.29,5.29,0,5.5105,5.3534
2020-02-07,5.76,5.29,5.29,5.29,0,5.4795,5.3473
2020-02-10,5.76,5.29,5.29,5.29,0,5.4485,5.3419
2020-02-11,5.29,5.29,5.29,5.29,100,5.4175,5.3369
2020-02-12,5.29,5.29,5.29,5.29,0,5.375,5.3325
2020-02-13,5.29,5.29,5.29,5.29,0,5.3325,5.3284
2020-02-14,5.29,5.29,5.29,5.29,0,5.29,5.3248
2020-02-17,5.29,5.29,5.29,5.29,0,5.29,5.3215
2020-02-18,5.29,5.29,5.29,5.29,0,5.29,5.3185
2020-02-19,5.29,5.29,5.29,5.29,0,5.29,5.3157
2020-02-20,5.29,5.29,5.29,5.29,0,5.29,5.3133
2020-02-21,5.29,5.29,5.29,5.29,0,5.29,5.3111
2020-02-24,5.29,5.29,5.29,5.29,0,5.29,5.3091
2020-02-25,5.29,5.29,5.29,5.29,0,5.29,5.3073
2020-02-26,5.29,5.29,5.29,5.29,0,5.29,5.3056
2020-02-27,5.29,5.29,5.29,5.29,0,5.29,5.3041
2020-02-28,5.29,5.29,5.29,5.29,0,5.29,5.3028
2020-03-02,5.29,5.29,5.29,5.29,0,5.29,5.3016
2020-03-03,5.29,5.29,5.29,5.29,0,5.29,5.3005
2020-03-04,5.29,5.29,5.29,5.29,0,5.29,5.2995
2020-03-05,6.06,6.06,6.06,6.06,100,5.3285,5.3719
2020-03-06,6.06,6.06,6.06,6.06,0,5.367,5.4374
2020-03-09,6.06,6.06,6.06,6.06,0,5.4055,5.4967
2020-03-10,6.06,6.06,6.06,6.06,0,5.444,5.5504
2020-03-11,6.06,6.06,6.06,6.06,0,5.4825,5.5989
2020-03-12,6.06,6.06,6.06,6.06,0,5.521,5.6428
2020-03-13,6.06,6.06,6.06,6.06,0,5.5595,5.6825
2020-03-16,5.22,5.22,5.22,5.22,100,5.556,5.6385
2020-03-17,5.22,5.22,5.22,5.22,0,5.5525,5.5986
2020-03-18,5.22,5.22,5.22,5.22,0,5.549,5.5626
2020-03-19,5.22,5.22,5.22,5.22,0,5.5455,5.53
2020-03-20,5.22,5.22,5.22,5.22,0,5.542,5.5004
2020-03-23,5.22,5.22,5.22,5.22,0,5.5385,5.4737
2020-03-24,5.22,5.22,5.22,5.22,0,5.535,5.4496
2020-03-25,4.45,4.45,4.45,4.45,48537,5.493,5.3544
2020-03-26,3.84,5.06,3.84,5.06,400,5.4815,5.3263
2020-03-27,4.76,5.06,5.06,5.06,0,5.47,5.301
2020-03-30,4.76,5.06,5.06,5.06,0,5.4585,5.278
2020-03-31,4.76,5.06,5.06,5.06,0,5.447,5.2573
2020-04-01,4.07,4.07,4.07,4.07,100,5.386,5.1442
2020-04-03,3.53,3.53,3.53,3.53,100,5.2595,4.9904
2020-04-06,3.07,3.07,3.07,3.07,100,5.11,4.8075
2020-04-07,3.07,3.07,3.07,3.07,0,4.9605,4.6421
2020-04-08,3.07,3.07,3.07,3.07,0,4.811,4.4923
2020-04-09,3.07,3.07,3.07,3.07,0,4.6615,4.3569
2020-04-10,3.07,3.07,3.07,3.07,0,4.512,4.2343
2020-04-13,3.53,3.53,3.53,3.53,400,4.3855,4.1672
2020-04-14,3.53,3.53,3.53,3.53,0,4.301,4.1066
2020-04-15,3.53,3.53,3.53,3.53,0,4.2165,4.0516
2020-04-16,3.53,3.53,3.53,3.53,0,4.132,4.002
2020-04-17,3.53,3.53,3.53,3.53,0,4.0475,3.957
2020-04-20,3.53,3.53,3.53,3.53,0,3.963,3.9163
2020-04-21,3.53,3.53,3.53,3.53,0,3.8785,3.8796
2020-04-22,3.53,3.53,3.53,3.53,0,3.794,3.8463
2020-04-23,3.53,3.53,3.53,3.53,0,3.748,3.8161
2020-04-24,3.53,3.53,3.53,3.53,0,3.6715,3.7889
2020-04-27,3.53,3.53,3.53,3.53,0,3.595,3.7642
2020-04-28,3.99,3.99,3.99,3.99,100,3.5415,3.7857
2020-04-29,4.53,4.53,4.53,4.53,100,3.515,3.8566
