time,open,high,low,close,volume,SMA_20,EMA_20
2022-07-19,17.73,17.73,13.94,15.15,578600,,
2022-07-20,15.15,15.23,14.92,15.15,240931,,
2022-07-21,15.15,15.15,14.01,14.47,188500,,
2022-07-22,13.79,13.94,13.26,13.56,153400,,
2022-07-25,13.33,13.64,12.42,12.8,253800,,
2022-07-26,12.65,12.88,12.5,12.88,143700,,
2022-07-27,12.58,13.79,12.58,13.11,112855,,
2022-07-28,13.18,13.48,13.18,13.41,291200,,
2022-07-29,13.41,13.94,13.26,13.94,316300,,
2022-08-01,14.01,14.24,13.86,14.17,356516,,
2022-08-02,14.17,14.47,13.71,14.39,542236,,
2022-08-03,13.79,14.39,13.79,14.09,273900,,
2022-08-04,14.01,14.39,13.94,14.17,370700,,
2022-08-05,13.86,14.24,13.71,13.86,239800,,
2022-08-08,14.01,14.24,13.64,13.79,187502,,
2022-08-09,13.79,13.86,13.56,13.79,151000,,
2022-08-10,13.64,13.71,13.56,13.56,190100,,
2022-08-11,13.64,13.86,13.33,13.48,173000,,
2022-08-12,13.48,13.71,13.33,13.64,168508,,
2022-08-15,13.71,13.94,13.48,13.64,134900,13.8525,13.9591
2022-08-16,13.56,13.79,13.41,13.64,165200,13.777,13.9287
2022-08-17,13.56,13.71,13.41,13.56,140900,13.6975,13.8936
2022-08-18,13.48,13.64,13.41,13.48,169900,13.648,13.8542
2022-08-19,13.56,13.64,13.33,13.48,212501,13.644,13.8186
2022-08-22,13.41,13.56,13.26,13.26,218700,13.667,13.7654
2022-08-23,13.03,13.48,12.88,13.26,197600,13.686,13.7172
2022-08-24,13.26,13.48,13.11,13.33,218600,13.697,13.6804
2022-08-25,13.33,13.56,13.11,13.33,181800,13.693,13.647
2022-08-26,13.33,14.09,13.03,13.86,544100,13.689,13.6673
2022-08-29,13.64,14.01,13.56,13.79,800700,13.67,13.679
2022-08-30,13.79,13.94,13.48,13.71,565300,13.636,13.6819
2022-08-31,13.71,13.86,13.64,13.64,463709,13.6135,13.6779
2022-09-05,13.56,13.86,13.48,13.64,150100,13.587,13.6743
2022-09-06,13.56,13.86,13.56,13.71,241400,13.5795,13.6777
2022-09-07,13.71,13.79,13.48,13.64,197300,13.572,13.6741
2022-09-08,13.48,13.79,13.48,13.56,176700,13.5605,13.6633
2022-09-09,13.48,13.71,13.26,13.56,190400,13.5605,13.6534
2022-09-12,13.56,13.71,13.33,13.56,156300,13.5645,13.6445
2022-09-13,13.41,13.64,13.41,13.56,177700,13.5605,13.6365
2022-09-14,13.41,13.56,13.26,13.48,147800,13.5525,13.6216
2022-09-15,13.41,13.56,13.33,13.41,127500,13.541,13.6014
2022-09-16,13.33,13.41,13.18,13.26,114100,13.526,13.5689
2022-09-19,13.41,13.41,13.03,13.18,182000,13.511,13.5319
2022-09-20,13.26,13.33,13.03,13.33,150612,13.5035,13.5126
2022-09-21,13.26,13.41,13.18,13.33,153700,13.507,13.4952
2022-09-22,13.26,13.71,13.26,13.48,297400,13.518,13.4938
2022-09-23,13.41,13.64,12.8,12.8,420400,13.4915,13.4277
2022-09-26,12.88,13.26,12.65,12.73,199207,13.4615,13.3613
2022-09-27,12.65,13.11,12.5,12.65,239165,13.401,13.2935
2022-09-28,12.65,12.88,12.5,12.73,193100,13.348,13.2399
2022-09-29,12.73,12.88,12.42,12.5,205700,13.2875,13.1694
2022-09-30,12.5,12.8,11.89,12.42,196900,13.2265,13.098
2022-10-03,12.42,12.42,11.97,12.2,150500,13.1545,13.0125
2022-10-04,12.12,12.58,12.05,12.12,223800,13.075,12.9275
2022-10-05,12.12,12.5,11.97,12.2,155800,13.003,12.8582
2022-10-06,12.12,12.27,12.05,12.05,69400,12.9275,12.7812
2022-10-07,11.97,12.05,10.91,10.91,203000,12.795,12.603
2022-10-10,10.98,11.44,9.85,10.91,146600,12.6625,12.4418
