time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,8.7,8.87,8.45,8.62,140412,,
2020-01-03,8.79,8.79,8.54,8.62,49000,,
2020-01-06,8.54,8.54,8.21,8.29,150000,,
2020-01-07,8.37,8.45,8.29,8.29,53012,,
2020-01-08,8.29,8.29,8.12,8.12,26870,,
2020-01-09,8.29,8.29,8.21,8.29,30300,,
2020-01-10,8.21,8.29,8.04,8.29,56700,,
2020-01-13,8.21,8.21,7.96,8.21,33600,,
2020-01-14,8.04,8.12,7.96,8.12,13400,,
2020-01-15,8.12,8.12,8.04,8.12,20340,,
2020-01-16,8.04,8.54,8.04,8.21,19300,,
2020-01-17,8.45,8.45,8.21,8.21,2640,,
2020-01-20,8.29,8.29,8.12,8.29,22600,,
2020-01-21,8.21,8.54,8.21,8.54,28900,,
2020-01-22,8.37,8.54,8.29,8.45,10500,,
2020-01-30,8.45,9.61,8.37,9.61,183200,,
2020-01-31,9.78,10.53,9.78,10.53,277840,,
2020-02-03,11.93,12.1,11.6,11.93,978941,,
2020-02-04,11.93,12.85,10.53,10.69,387560,,
2020-02-05,9.53,10.94,9.53,10.03,172320,8.873,9.2416
2020-02-06,9.78,9.86,9.37,9.86,247585,8.935,9.3005
2020-02-07,9.78,10.44,9.7,10.28,118779,9.018,9.3937
2020-02-10,10.28,11.44,10.28,10.94,334594,9.1505,9.541
2020-02-11,11.19,11.19,10.53,10.61,153527,9.2665,9.6428
2020-02-12,10.77,10.77,10.44,10.61,148006,9.391,9.7349
2020-02-13,10.77,10.77,10.28,10.53,150120,9.503,9.8106
2020-02-14,10.36,10.53,10.11,10.11,158910,9.594,9.8392
2020-02-17,10.11,10.28,10.03,10.11,102257,9.689,9.865
2020-02-18,10.11,10.69,10.11,10.61,197410,9.8135,9.9359
2020-02-19,10.61,11.11,10.61,10.61,217100,9.938,10.0001
2020-02-20,10.61,10.61,10.19,10.36,123180,10.0455,10.0344
2020-02-21,10.36,10.44,10.19,10.36,95400,10.153,10.0654
2020-02-24,10.44,11.35,10.44,10.94,809110,10.2855,10.1487
2020-02-25,11.19,11.19,10.69,10.86,185690,10.4015,10.2164
2020-02-26,10.77,11.02,10.69,10.69,185510,10.5135,10.2615
2020-02-27,10.77,10.77,10.28,10.53,421180,10.5595,10.2871
2020-02-28,10.44,10.44,10.19,10.28,124615,10.547,10.2864
2020-03-02,10.19,10.28,9.86,9.95,205740,10.448,10.2544
2020-03-03,9.95,9.95,9.61,9.78,292045,10.4025,10.2092
2020-03-04,9.78,10.19,9.78,9.95,154800,10.3985,10.1845
2020-03-05,9.95,10.03,9.86,9.95,172810,10.403,10.1622
2020-03-06,9.86,10.03,9.78,9.95,95140,10.3865,10.142
2020-03-09,10.11,10.61,9.53,9.61,380267,10.32,10.0913
2020-03-10,9.53,9.86,9.53,9.7,90200,10.2745,10.054
2020-03-11,9.7,9.86,8.95,9.28,178620,10.208,9.9803
2020-03-12,8.95,8.95,8.04,8.04,524808,10.0835,9.7955
2020-03-13,8.45,8.45,7.13,8.04,335040,9.98,9.6283
2020-03-16,7.87,8.29,7.71,8.21,207910,9.885,9.4933
2020-03-17,8.04,8.21,7.87,8.21,161010,9.765,9.371
2020-03-18,8.21,8.54,8.21,8.54,186830,9.6615,9.2919
2020-03-19,8.54,8.54,8.29,8.37,194600,9.562,9.2041
2020-03-20,8.37,8.54,8.29,8.45,123310,9.4665,9.1323
2020-03-23,8.37,8.37,7.96,8.12,300841,9.3255,9.0359
2020-03-24,8.12,8.29,8.12,8.21,82300,9.193,8.9572
2020-03-25,8.37,8.54,8.21,8.29,67500,9.073,8.8937
2020-03-26,8.21,8.37,8.12,8.21,105835,8.957,8.8286
2020-03-27,8.21,8.29,8.12,8.21,58900,8.8535,8.7697
2020-03-30,8.21,8.21,7.71,7.87,90220,8.7495,8.684
2020-03-31,7.87,8.04,7.71,7.79,103800,8.65,8.5988
2020-04-01,7.79,7.96,7.79,7.96,42300,8.5505,8.538
2020-04-03,8.12,8.12,7.96,8.04,86761,8.455,8.4906
2020-04-06,8.12,8.54,8.12,8.45,125811,8.38,8.4867
