time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,21.37,21.48,21.37,21.37,6820,,
2020-01-03,21.48,21.48,21.16,21.43,16580,,
2020-01-06,21.43,21.43,21.25,21.43,6220,,
2020-01-07,21.43,21.43,21.07,21.34,19780,,
2020-01-08,21.28,21.28,21.13,21.13,18450,,
2020-01-09,21.37,21.37,21.07,21.19,11020,,
2020-01-10,21.19,21.19,21.07,21.13,8610,,
2020-01-13,21.13,21.13,21.07,21.13,8680,,
2020-01-14,21.13,21.19,21.13,21.19,2610,,
2020-01-15,21.19,21.19,21.13,21.16,5330,,
2020-01-16,21.16,21.16,21.13,21.13,5520,,
2020-01-17,21.13,21.16,21.07,21.16,6790,,
2020-01-20,21.13,21.16,21.13,21.13,4110,,
2020-01-21,21.22,21.45,21.19,21.31,6040,,
2020-01-22,21.66,21.69,21.37,21.54,5910,,
2020-01-30,21.45,21.75,21.37,21.72,7010,,
2020-01-31,21.37,21.72,21.13,21.43,8880,,
2020-02-03,21.37,21.37,19.96,21.13,25300,,
2020-02-04,21.13,21.13,20.54,21.04,4040,,
2020-02-05,20.99,20.99,20.54,20.9,4000,21.2495,21.2477
2020-02-06,20.72,20.96,20.6,20.93,17280,21.2275,21.2174
2020-02-07,21.07,21.07,20.31,20.93,36460,21.2025,21.19
2020-02-10,20.84,21.43,20.84,21.13,40010,21.1875,21.1843
2020-02-11,21.4,21.4,21.19,21.19,2540,21.18,21.1849
2020-02-12,21.22,21.4,21.19,21.37,8020,21.192,21.2025
2020-02-13,21.37,21.37,21.07,21.31,5500,21.198,21.2127
2020-02-14,21.34,21.4,21.13,21.13,3440,21.198,21.2049
2020-02-17,21.37,21.37,21.13,21.13,3720,21.198,21.1977
2020-02-18,21.13,21.43,21.13,21.34,12770,21.2055,21.2113
2020-02-19,21.37,21.37,21.16,21.37,180,21.216,21.2264
2020-02-20,20.9,21.6,20.9,21.43,7000,21.231,21.2458
2020-02-21,21.48,21.48,21.13,21.48,3980,21.247,21.2681
2020-02-24,21.48,21.48,20.54,21.04,24310,21.2425,21.2464
2020-02-25,20.87,21.13,20.6,21.07,4300,21.2305,21.2296
2020-02-26,21.07,21.07,20.66,20.78,12690,21.1925,21.1868
2020-02-27,20.72,22.19,20.66,22.19,22110,21.216,21.2823
2020-02-28,21.66,21.98,20.66,20.66,37870,21.1775,21.223
2020-03-02,20.66,20.84,20.13,20.54,3190,21.148,21.158
2020-03-03,20.63,20.63,20.25,20.43,7180,21.1175,21.0887
2020-03-04,20.43,20.52,20.43,20.52,3660,21.0985,21.0345
2020-03-05,20.63,20.84,20.54,20.78,6530,21.091,21.0103
2020-03-06,20.78,20.81,20.13,20.57,44210,21.073,20.9683
2020-03-09,19.17,20.25,19.17,19.17,26370,20.975,20.7971
2020-03-10,19.17,19.61,19.17,19.19,28790,20.875,20.644
2020-03-11,19.96,19.96,19.17,19.17,21260,20.765,20.5036
2020-03-12,19.17,19.17,17.84,18.46,16260,20.6225,20.309
2020-03-13,17.84,18.43,17.26,18.43,20470,20.4875,20.13
2020-03-16,18.67,19.05,17.79,18.75,7880,20.3685,19.9986
2020-03-17,18.75,18.84,17.46,18.02,17660,20.2025,19.8102
2020-03-18,18.49,18.49,18.05,18.37,28640,20.0525,19.673
2020-03-19,18.08,18.26,17.61,18.2,7400,19.891,19.5327
2020-03-20,17.9,18.2,17.67,18.17,6230,19.7255,19.4029
2020-03-23,17.79,18.14,16.96,17.26,15240,19.5365,19.1989
2020-03-24,17.26,17.49,17.26,17.46,10600,19.356,19.0332
2020-03-25,17.46,18.02,17.46,17.84,23340,19.209,18.9196
2020-03-26,17.67,18.02,17.61,18.02,6150,19.0005,18.8339
2020-03-27,17.67,18.08,17.02,17.61,14600,18.848,18.7174
2020-03-30,17.32,17.32,16.44,17.02,8180,18.672,18.5557
2020-03-31,17.02,17.61,16.32,16.44,34830,18.4725,18.3542
2020-04-01,16.73,17.32,16.2,16.61,11900,18.277,18.1881
2020-04-03,17.02,17.02,16.44,16.73,48080,18.0745,18.0492
2020-04-06,16.79,17.82,16.73,17.82,15180,17.937,18.0274
2020-04-07,17.82,17.82,17.32,17.73,17840,17.865,17.9991
2020-04-08,17.38,17.73,17.02,17.67,22170,17.789,17.9677
2020-04-09,17.61,17.9,17.43,17.73,15110,17.717,17.9451
2020-04-10,17.73,17.87,17.32,17.79,16850,17.6835,17.9303
2020-04-13,17.79,18.49,17.79,18.2,22290,17.672,17.956
2020-04-14,18.2,18.28,17.9,18.2,15020,17.6445,17.9792
2020-04-15,18.14,18.78,18.14,18.75,18970,17.681,18.0526
2020-04-16,18.93,18.93,18.2,18.64,11900,17.6945,18.1086
2020-04-17,18.58,19.14,18.58,19.14,26510,17.7415,18.2068
2020-04-20,19.37,19.49,19.14,19.49,20390,17.8075,18.329
2020-04-21,19.49,19.49,18.49,19.08,25820,17.8985,18.4005
